Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	12.7804	17.0000	10.1825	0.3972	1.4296	0.7710	7.1362	4.7974	2.1798	8.5989	7.4617	2.5484	0.0000	0.0000	0.0000	0.3590	0.0000	1.1732	0.3675	0.4113	3.8356	8.1558	5.7484	2.2912	9.9781	8.4715	2.6887	0.0000	0.0000	0.0000	0.3842	0.0000	1.2575	0.3922	0.9160	4.8055	32.9139	5.5222	14.3153	33.3739	35.8922	5.4883	0.0000	0.0000	0.0000	0.1216	0.0000	0.5800	0.1467	0.0000	13.6512	23.4756	1.9699	3.0423	23.5581	23.6719	1.8676	0.0000	0.0000	0.0000	0.1063	0.0000	0.6019	0.1376	2.8470	0.0000	14.4484	1.8369	1.6835	14.5647	14.5461	0.7832	0.0000	0.0000	0.0000	0.6166	0.0000	1.4244	0.5820	0.0000	0.3199
2	-3.0144	-2.8888	15.0376	15.0000	12.2003	0.7536	1.5187	0.5650	6.8687	1.9219	2.6302	7.1325	7.3551	1.7969	0.0002	0.0000	0.0000	0.4161	0.0000	1.2408	0.4125	0.0720	1.3481	7.9108	2.1742	3.1559	8.2041	8.5170	2.2984	0.0000	0.0000	0.0000	0.4661	0.0000	1.3483	0.4573	0.1542	1.5585	26.0517	0.4824	1.2925	26.0562	26.0838	1.1995	0.0042	0.0000	0.0000	0.0797	0.0000	0.4628	0.1104	0.0000	0.0000	19.5958	1.0293	0.8203	19.6228	19.6130	0.6191	0.0000	0.0000	0.0000	0.1764	0.0000	0.7765	0.2051	0.0000	0.0000	16.0773	5.5336	2.9853	17.0029	16.3521	1.7412	0.0000	0.0000	0.0000	0.4296	0.0000	1.2049	0.4047	1.4146	4.8772
3	-2.8888	-2.7632	13.9861	10.0000	10.9831	0.4615	1.7786	0.7629	6.9199	4.0909	3.9305	8.0386	7.9582	0.3959	0.0014	0.0000	0.0000	0.3646	0.0000	1.1717	0.3712	0.6383	3.8551	8.0161	4.9191	4.7537	9.4051	9.3197	0.4736	0.0000	0.0000	0.0000	0.3767	0.0000	1.2225	0.3812	0.8128	4.6981	34.1479	9.6904	7.1381	35.4962	34.8860	9.5664	0.0421	0.0000	0.0000	0.5146	0.0000	1.3542	0.5358	0.0000	0.0000	19.8003	1.6748	1.8353	19.8710	19.8852	1.7124	0.0000	0.0000	0.0000	0.1364	0.0000	0.6215	0.1820	0.0000	0.0000	14.7559	4.6188	3.6306	15.4618	15.1960	2.9637	0.0000	0.0000	0.0000	0.6317	0.0000	1.6128	0.5689	0.0000	3.0374
4	-2.7632	-2.6376	14.6214	15.0000	10.8878	0.7343	2.2294	0.7699	6.6796	1.4060	3.3970	6.8260	7.4938	0.0438	0.0000	0.0000	0.0000	0.2918	0.0000	1.0414	0.3045	0.5658	3.1570	8.0662	1.9007	4.5031	8.2871	9.2380	0.8857	0.0000	0.0000	0.0000	0.3387	0.0000	1.1445	0.3462	0.7599	4.2395	24.2424	2.0205	4.6217	24.3264	24.6790	4.5889	0.0000	0.0000	0.0000	0.1054	0.0000	0.5248	0.1286	0.0000	0.0000	16.4394	1.8113	2.3274	16.5389	16.6033	2.2282	0.0000	0.0000	0.0000	0.1070	0.0000	0.6508	0.1390	0.0000	0.0000	16.7133	1.3520	2.3650	16.7679	16.8798	1.9745	0.0000	0.0000	0.0000	0.3417	0.0000	1.2084	0.3627	0.0000	0.0055
5	-2.6376	-2.5120	13.1068	17.0000	10.5534	0.5222	1.3690	0.6622	7.0942	2.6824	2.3328	7.5844	7.4679	1.5479	0.0000	0.0000	0.0000	0.4939	0.0000	1.3605	0.4776	0.8272	1.9864	8.1564	2.8568	2.2950	8.6422	8.4731	1.1608	0.0000	0.0000	0.0000	0.5614	0.0000	1.4826	0.5356	1.0273	2.0710	28.0352	7.5606	10.8279	29.0368	30.0536	10.7935	0.0000	0.0000	0.0000	0.2196	0.0000	0.7973	0.2539	0.0000	0.0000	22.2680	0.6971	0.9066	22.2789	22.2865	0.6736	0.0000	0.0000	0.0000	0.0841	0.0000	0.5904	0.1192	0.0000	0.0000	14.5465	6.5977	2.7427	15.9728	14.8028	2.2328	0.0000	0.0000	0.0000	0.4818	0.0000	1.4513	0.4716	0.0000	6.3100
6	-2.5120	-2.3864	14.0191	7.0000	11.0613	1.3245	1.1192	0.5141	8.8113	3.1444	2.4121	9.3555	9.1355	1.3452	0.0000	0.0000	0.0000	0.3615	0.0000	1.1516	0.3609	0.5139	2.6476	7.9840	3.8438	3.0368	8.8611	8.5420	2.1189	0.0000	0.0000	0.0000	0.4129	0.0000	1.2407	0.4060	0.4829	3.1829	61.2902	6.2270	6.7461	61.6057	61.6603	6.6992	0.0000	0.0000	0.0000	0.0766	0.0000	0.7857	0.1063	0.2846	0.2846	25.3338	3.2936	1.8378	25.5470	25.4004	3.2302	0.0000	0.0000	0.0000	0.1238	0.0000	0.6155	0.1405	0.0000	0.0000	15.7443	5.7275	7.1617	16.7537	17.2966	3.5600	0.0000	0.0000	0.0000	0.5062	0.0000	1.3438	0.5258	3.0594	5.4073
7	-2.3864	-2.2608	12.1852	4.0000	9.1989	0.3419	1.9072	0.7372	7.3429	2.5996	2.1999	7.7895	7.6654	1.7483	0.0000	0.0000	0.0000	0.2822	0.0000	1.0254	0.2985	0.0668	1.9255	8.6818	3.3297	2.4357	9.2984	9.0170	1.8569	0.0000	0.0000	0.0000	0.3207	0.0000	1.1376	0.3345	0.0885	2.5440	34.8015	8.2185	4.7801	35.7587	35.1282	8.1341	0.0000	0.0000	0.0000	0.3583	0.0000	1.0629	0.3506	0.0000	0.0000	19.3525	0.6142	2.5666	19.3622	19.5219	2.5233	0.0000	0.0000	0.0000	0.0772	0.0000	0.4503	0.1101	0.0000	0.0001	15.0980	3.3410	4.7492	15.4633	15.8274	4.6009	0.0001	0.0000	0.0000	0.2972	0.0000	1.0957	0.3127	0.0000	0.1027
8	-2.2608	-2.1352	13.1725	6.0000	10.4103	0.5730	1.6329	0.5563	7.0720	2.5216	2.0824	7.5081	7.3722	0.7751	0.0000	0.0000	0.0000	0.3796	0.0000	1.2329	0.3878	0.0414	1.9857	8.1736	2.8631	2.3278	8.6605	8.4986	0.4087	0.0000	0.0000	0.0000	0.4241	0.0000	1.3531	0.4331	0.0524	2.4150	29.5261	2.3826	1.5274	29.6221	29.5656	2.2896	0.0000	0.0000	0.0000	0.1026	0.0000	0.6381	0.1307	0.0000	0.0000	20.1338	2.0949	2.2173	20.2424	20.2555	2.0819	0.0000	0.0000	0.0000	0.2071	0.0000	0.7062	0.2088	0.0000	0.0000	15.1234	6.7709	6.9982	16.5699	16.6641	6.4017	0.0000	0.0000	0.0000	0.3401	0.0000	1.1417	0.3296	0.0000	3.3747
9	-2.1352	-2.0096	14.0084	16.0000	11.0680	0.4887	1.7419	0.7098	6.8590	3.5228	3.2771	7.7108	7.6017	1.4303	0.0000	0.0000	0.0000	0.3303	0.0000	1.1504	0.3293	0.3188	2.9705	7.9961	4.3676	4.1099	9.1112	8.9905	1.8720	0.0000	0.0000	0.0000	0.3509	0.0000	1.2249	0.3434	0.4034	3.7190	33.9709	8.1380	6.7320	34.9321	34.6315	8.1187	0.0000	0.0000	0.0000	0.0668	0.0000	0.5462	0.1082	0.0000	0.0000	18.4296	1.7303	1.9321	18.5107	18.5306	1.8306	0.0000	0.0000	0.0000	0.0876	0.0000	0.6005	0.1263	0.0000	0.0000	13.6164	2.4198	2.0935	13.8297	13.7764	1.0869	0.0000	0.0000	0.0000	0.7864	0.0000	1.7541	0.7595	0.1558	0.6340
10	-2.0096	-1.8840	14.2140	7.0000	10.9940	0.8554	1.5360	0.8286	6.6949	3.1829	3.7993	7.4130	7.6978	3.0600	0.0000	0.0000	0.0000	0.3810	0.0000	1.2145	0.3836	0.1298	1.8215	7.6797	3.7860	4.1714	8.5623	8.7395	3.1467	0.0000	0.0000	0.0000	0.4410	0.0000	1.3322	0.4336	0.1678	2.3360	24.4384	1.1233	5.1914	24.4642	24.9837	5.1270	0.0000	0.0000	0.0000	0.1441	0.0000	0.7839	0.1771	0.0000	0.0000	24.0309	4.1225	5.5343	24.3819	24.6599	5.4975	0.0000	0.0000	0.0000	0.0813	0.0000	0.6208	0.1265	0.0000	0.0000	13.6363	2.6374	2.0718	13.8891	13.7928	1.5788	0.0000	0.0000	0.0000	0.3852	0.0000	1.1970	0.4096	1.2604	1.8226
11	-1.8840	-1.7584	13.5240	12.0000	10.3971	0.4272	2.0254	0.6743	6.8968	1.7822	2.6612	7.1234	7.3924	1.0853	0.0000	0.0000	0.0000	0.3373	0.0000	1.0914	0.3347	0.2222	2.2660	8.0691	1.8758	3.2563	8.2843	8.7014	1.0137	0.0000	0.0000	0.0000	0.3790	0.0000	1.1948	0.3673	0.2891	2.9306	31.7314	8.4885	1.5811	32.8471	31.7707	8.4764	0.0000	0.0000	0.0000	0.1048	0.0000	0.4163	0.1477	0.0000	0.0000	17.8814	0.6225	2.5590	17.8923	18.0636	2.4826	0.0000	0.0000	0.0000	0.0971	0.0000	0.5993	0.1377	0.0000	0.0000	19.1020	2.9676	1.6418	19.3311	19.1724	1.8865	0.0000	0.0000	0.0000	0.5624	0.0000	1.4029	0.5427	0.2589	1.6335
12	-1.7584	-1.6328	16.4630	11.0000	12.4753	0.4788	2.7760	0.7329	6.6829	2.0653	2.6916	6.9947	7.2046	1.8093	0.0000	0.0000	0.0000	0.2903	0.0000	1.0770	0.3069	0.4996	1.5473	7.9956	2.1789	2.8781	8.2872	8.4979	1.4274	0.0000	0.0000	0.0000	0.3288	0.0000	1.1949	0.3461	0.6593	2.0419	29.8544	5.8318	13.4699	30.4187	32.7525	13.4635	0.0000	0.0000	0.0000	0.0527	0.0000	0.4045	0.0875	0.0000	0.0000	15.2889	3.4146	3.5413	15.6656	15.6937	3.4741	0.0000	0.0000	0.0000	0.1475	0.0000	0.6544	0.1576	0.0000	0.0009	16.6680	8.3838	7.0884	18.6577	18.1126	8.2816	0.0000	0.0000	0.0000	0.3304	0.0000	1.1092	0.3479	0.0000	0.4932
13	-1.6328	-1.5072	12.6631	13.0000	9.7180	0.4901	1.6484	0.8066	6.9259	4.0399	3.3473	8.0180	7.6923	2.7361	0.0000	0.0000	0.0000	0.3860	0.0000	1.2191	0.3994	0.0747	2.6534	8.1318	3.8894	3.6113	9.0141	8.8977	1.7376	0.0000	0.0000	0.0000	0.4414	0.0000	1.3186	0.4487	0.0973	3.3038	29.1521	8.3785	11.6335	30.3323	31.3877	11.6178	0.0000	0.0000	0.0000	0.1213	0.0000	0.5641	0.1857	0.0000	0.0000	20.1764	7.2559	8.9357	21.4414	22.0666	8.8969	0.0000	0.0000	0.0000	0.1525	0.0000	0.7998	0.1828	0.0000	0.0000	14.4849	4.4498	2.1228	15.1530	14.6396	2.2122	0.0000	0.0000	0.0000	0.3560	0.0000	1.2746	0.3780	0.0000	3.6073
14	-1.5072	-1.3816	16.5290	6.0000	13.4437	0.9270	1.4064	0.7518	6.5958	1.5781	2.2861	6.7819	6.9807	1.5507	0.0027	0.0000	0.0000	0.3675	0.0000	1.1590	0.3663	0.0225	1.1056	7.5419	1.5828	1.9993	7.7062	7.8024	0.8773	0.0000	0.0000	0.0000	0.4030	0.0000	1.2544	0.3966	0.0277	1.1622	24.6429	13.0724	11.4735	27.8955	27.1830	13.0506	0.0238	0.0000	0.0000	0.2363	0.0000	0.6725	0.2456	0.0000	0.0000	21.5272	0.6048	1.9757	21.5357	21.6177	1.8814	0.0000	0.0000	0.0000	0.1060	0.0000	0.5758	0.1517	0.0000	0.0000	17.1785	4.6894	4.7107	17.8071	17.8127	4.4372	0.0304	0.0000	0.0000	0.3842	0.0000	1.1455	0.3750	0.0000	3.5247
15	-1.3816	-1.2560	15.1260	11.0000	11.6957	0.7151	1.9465	0.7686	6.7167	1.7801	1.7836	6.9486	6.9495	0.6629	0.0000	0.0000	0.0000	0.4429	0.0000	1.2764	0.4415	0.0688	1.0359	7.9475	1.9577	2.0838	8.1851	8.2161	0.6635	0.0000	0.0000	0.0000	0.5227	0.0000	1.4508	0.5151	0.0518	1.2055	26.1216	0.5545	1.8000	26.1275	26.1836	1.7129	0.0000	0.0000	0.0000	0.0841	0.0000	0.5369	0.1100	0.0000	0.0000	17.9312	1.2747	0.4537	17.9765	17.9370	1.1910	0.0000	0.0000	0.0000	0.0749	0.0000	0.4344	0.1104	0.0000	0.0000	13.9388	4.0208	2.5900	14.5072	14.1774	0.1305	0.0000	0.0000	0.0000	0.4939	0.0000	1.4432	0.4677	1.5575	3.3434
16	-1.2560	-1.1304	13.4688	8.0000	10.0625	0.7161	1.9660	0.7242	7.0179	4.3996	3.6038	8.2829	7.8891	0.7002	0.0000	0.0000	0.0000	0.2642	0.0000	1.0466	0.2802	0.5965	4.2559	8.4223	5.5422	4.7914	10.0822	9.6898	1.1262	0.0000	0.0000	0.0000	0.2981	0.0000	1.1566	0.3088	0.7985	5.3997	26.5417	2.9046	5.8475	26.7002	27.1782	5.8003	0.0000	0.0000	0.0000	0.1754	0.0000	0.6919	0.2046	0.0000	0.0000	18.0939	0.5598	1.5816	18.1026	18.1629	1.4795	0.0000	0.0000	0.0000	0.0891	0.0000	0.5375	0.1287	0.0000	0.0000	15.4567	5.8127	3.5154	16.5136	15.8514	3.8666	0.0000	0.0000	0.0000	0.3556	0.0000	1.2513	0.3687	0.0000	4.1242
17	-1.1304	-1.0048	15.5295	9.0000	12.8293	0.5167	1.6208	0.5627	6.9893	3.1341	3.2691	7.6598	7.7160	2.2708	0.0000	0.0000	0.0000	0.3374	0.0000	1.1866	0.3463	0.5838	2.6026	7.9516	4.3753	4.2938	9.0759	9.0369	3.5811	0.0000	0.0000	0.0000	0.3739	0.0000	1.2840	0.3775	0.7067	3.0454	30.7036	0.5157	0.7989	30.7079	30.7140	0.6840	0.0000	0.0000	0.0000	0.0721	0.0000	0.3929	0.1062	0.0000	0.0000	19.7523	6.5725	6.5680	20.8171	20.8156	6.5381	0.0000	0.0000	0.0000	0.0937	0.0000	0.6513	0.1357	0.0000	0.0000	17.5490	1.6803	2.7672	17.6292	17.7658	0.8666	0.0000	0.0000	0.0000	0.4502	0.0000	1.2363	0.4631	0.2515	2.3923
18	-1.0048	-0.8792	15.4564	11.0000	12.4261	0.4569	2.0882	0.4852	6.8255	2.9232	2.2033	7.4252	7.1723	1.6689	0.0000	0.0000	0.0000	0.3345	0.0000	1.1360	0.3314	0.1751	2.0859	7.8314	3.0924	2.2033	8.4198	8.1354	1.4940	0.0000	0.0000	0.0000	0.3771	0.0000	1.2170	0.3643	0.0373	2.3723	31.6716	1.8293	2.6662	31.7244	31.7836	2.5577	0.0000	0.0000	0.0000	0.0936	0.0000	0.7384	0.1303	0.0000	1.0165	17.7999	3.8559	3.6904	18.2128	18.1785	3.7953	0.0000	0.0000	0.0000	0.0906	0.0000	0.6620	0.1335	0.0000	0.0000	17.1143	6.8968	1.7308	18.4517	17.2016	0.5327	0.0000	0.0000	0.0000	0.5201	0.0000	1.4768	0.5298	4.7334	4.7334
19	-0.8792	-0.7536	14.3030	5.0000	11.3692	0.5600	1.7416	0.6322	7.0892	1.5722	2.9007	7.2614	7.6597	1.6348	0.0003	0.0000	0.0000	0.2911	0.0000	1.1177	0.2964	0.7160	1.9543	8.1932	2.0487	3.6796	8.4454	8.9815	2.1946	0.0000	0.0000	0.0000	0.3228	0.0000	1.2022	0.3230	0.9008	2.5047	29.0049	3.9113	5.0391	29.2675	29.4394	4.9856	0.0069	0.0000	0.0000	0.1077	0.0000	0.7146	0.1368	0.0000	0.0000	19.9670	0.7167	1.1115	19.9798	19.9979	0.8512	0.0000	0.0000	0.0000	0.1357	0.0000	0.6830	0.1697	0.0000	0.0000	18.1241	2.0576	3.1650	18.2405	18.3983	2.9162	0.0000	0.0000	0.0000	0.3123	0.0000	1.1533	0.3086	0.0000	0.8274
20	-0.7536	-0.6280	13.3423	9.0000	9.8902	0.3263	2.0815	1.0443	6.7646	3.5017	3.4356	7.6172	7.5870	2.9989	0.0002	0.0000	0.0000	0.3396	0.0000	1.1861	0.3366	0.1407	1.3061	8.1194	4.4528	3.9791	9.2603	9.0421	3.8579	0.0000	0.0000	0.0000	0.3936	0.0000	1.3183	0.3849	0.2124	1.6906	31.7873	19.3575	19.1883	37.2176	37.1298	19.3477	0.0000	0.0000	0.0000	0.1506	0.0000	0.5656	0.1926	0.0000	1.9701	17.9418	1.4090	2.5225	17.9970	18.1182	2.4495	0.0000	0.0000	0.0000	0.0807	0.0000	0.5885	0.1124	0.0000	0.0000	13.3761	1.5814	2.8245	13.4693	13.6711	1.9610	0.0028	0.0000	0.0000	0.4035	0.0000	1.3190	0.3703	1.0274	1.0274
21	-0.6280	-0.5024	15.4946	5.0000	12.0066	0.5737	2.1438	0.7705	6.5413	1.6881	3.0826	6.7556	7.2313	1.3119	0.0000	0.0000	0.0000	0.3700	0.0000	1.1542	0.3733	0.9999	2.2770	7.6783	1.9465	4.0261	7.9212	8.6698	2.0028	0.0000	0.0000	0.0000	0.4171	0.0000	1.2516	0.4146	1.2904	2.9385	27.2924	2.0567	0.6667	27.3697	27.3005	1.9860	0.0000	0.0000	0.0000	0.0762	0.0000	0.5137	0.1275	0.0000	0.0000	17.5543	1.1349	0.7334	17.5909	17.5696	0.9211	0.0000	0.0000	0.0000	0.0846	0.0000	0.6468	0.1187	0.0000	0.0000	13.7561	4.5171	1.9055	14.4788	13.8875	2.5608	0.0000	0.0000	0.0000	0.6475	0.0000	1.5243	0.6218	0.0000	3.2736
22	-0.5024	-0.3768	15.3275	18.0000	11.8663	0.5454	2.1833	0.7325	6.6594	1.8574	2.5185	6.9136	7.1197	1.7677	0.0000	0.0000	0.0000	0.3361	0.0000	1.0702	0.3420	0.2167	1.3610	7.8454	1.8285	2.7786	8.0556	8.3229	1.7426	0.0000	0.0000	0.0000	0.3720	0.0000	1.1519	0.3735	0.2799	1.7580	29.1746	4.7194	4.3031	29.5539	29.4903	4.6852	0.0000	0.0000	0.0000	0.0939	0.0000	0.5441	0.1300	0.0000	0.0000	16.8869	0.7981	0.9617	16.9057	16.9143	0.5390	0.0000	0.0000	0.0000	0.1980	0.0000	0.7388	0.2281	0.0000	0.0000	16.1184	7.5753	4.1586	17.8097	16.6462	7.4444	0.0000	0.0000	0.0000	0.3457	0.0000	1.1268	0.3304	0.0000	0.6831
23	-0.3768	-0.2512	14.0981	15.0000	11.2897	0.3488	1.7008	0.7588	7.1399	4.2434	2.2185	8.3058	7.4767	0.8011	0.0012	0.0000	0.0000	0.3255	0.0000	1.0859	0.3240	0.2543	3.9888	8.1975	5.2384	2.5691	9.7283	8.5906	1.1775	0.0000	0.0000	0.0000	0.3734	0.0000	1.1797	0.3637	0.3186	4.9284	31.8974	20.0435	20.6952	37.6721	38.0228	20.6830	0.0469	0.0000	0.0000	0.0749	0.0000	0.7002	0.1127	0.0000	0.0000	21.2610	6.4336	5.7071	22.2131	22.0136	6.4082	0.0000	0.0000	0.0000	0.0759	0.0000	0.5544	0.1146	0.0073	0.0000	15.3687	1.3845	2.9211	15.4309	15.6438	1.1481	0.0007	0.0000	0.0000	0.2883	0.0000	1.0590	0.3000	0.0000	2.4353
24	-0.2512	-0.1256	15.1362	8.0000	11.7877	0.7093	1.9042	0.7349	6.8600	4.8760	1.7621	8.4163	7.0827	0.7297	0.0013	0.0000	0.0000	0.3704	0.0000	1.1920	0.3743	0.4052	4.6620	8.0399	5.8421	1.8622	9.9383	8.2527	0.9397	0.0000	0.0000	0.0000	0.4319	0.0000	1.3042	0.4280	0.5623	5.5836	27.9902	2.1101	1.6613	28.0696	28.0394	1.5319	0.0271	0.0000	0.0000	0.0894	0.0000	0.6258	0.1215	0.0000	2.0093	18.6281	0.7106	1.6509	18.6417	18.7012	1.4914	0.0000	0.0000	0.0000	0.1027	0.0000	0.6875	0.1476	0.0000	0.0000	16.5139	5.1523	4.5091	17.2990	17.1184	2.0525	0.0000	0.0000	0.0000	0.3494	0.0000	1.2475	0.3435	0.9927	4.5194
