Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.2500	0.1257	0.0000	0.0002	0.0000	0.1255	0.0000	70.5846	12.4769	10.0049	71.6789	71.2901	12.3474	0.3972	1.6402	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	30.1616	25.6631	104.4496	103.2405	30.1307	0.3972	1.1577	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.7207	12.4430	9.9750	71.8070	71.4207	12.3131	0.3972	1.6412	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.2500	-2.0000	0.2147	0.0000	0.0000	0.0000	0.1591	0.0556	49.2066	4.3739	7.8915	49.4006	49.8354	6.5685	0.3972	4.3370	0.4048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.2476	4.2369	7.6412	62.3916	62.7148	6.5657	0.3972	3.8742	0.3350	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	66.0798	5.7087	8.7087	66.3259	66.6512	6.5766	0.3972	5.6627	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-2.0000	-1.7500	0.2056	0.0000	0.0019	0.0147	0.1590	0.0300	47.9706	5.1141	2.6023	48.2424	48.0411	4.5971	0.3972	2.1208	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	80.2741	42.0146	34.0353	90.6044	87.1914	41.9877	0.3972	1.3168	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	57.4132	48.0753	115.3095	110.9560	57.2688	0.3972	4.0041	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.3426	3.3784	2.3317	59.4386	59.3883	2.5314	0.3972	2.1171	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	81.8989	4.6090	1.4639	82.0285	81.9120	4.3703	0.3972	1.2726	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-1.7500	-1.5000	0.3024	1.0000	0.0015	0.1109	0.1620	0.0279	44.9601	7.7946	6.4708	45.6307	45.4233	7.2268	0.4086	2.7943	0.7443	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	85.4096	5.4399	18.5169	85.5827	87.3938	18.3980	0.3972	1.9666	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.7588	12.9746	13.2628	71.9385	71.9911	12.9642	0.3972	2.7033	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	60.8690	5.3604	2.9613	61.1045	60.9410	4.4867	0.3972	2.8426	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	182.6228	4.6614	9.6711	182.6823	182.8787	8.9574	0.5205	2.9216	2.1184	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-1.5000	-1.2500	0.4457	0.0000	0.0005	0.1235	0.2932	0.0285	38.5551	2.6345	4.4065	38.6450	38.8061	3.5665	0.4123	2.5012	0.5208	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	84.0708	10.4026	8.6051	84.7120	84.5101	10.1491	0.4014	2.1491	0.6557	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	90.1913	3.7313	8.3245	90.2684	90.5747	8.1952	0.3972	1.2698	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.7322	6.3875	8.8022	44.1962	44.6092	7.9804	0.4202	3.6589	0.4771	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	91.6277	13.2517	12.2690	92.5810	92.4455	11.2663	0.3972	6.9394	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-1.2500	-1.0000	0.6717	0.0000	0.0421	0.1072	0.5175	0.0049	28.2372	9.8183	4.0869	29.8955	28.5315	3.3222	0.4144	3.9810	0.7883	0.0000	0.0000	0.0000	0.0000	0.0000	8.2898	87.6951	39.1304	36.4377	96.0293	94.9639	39.0899	0.4096	1.6470	0.5351	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.7344	52.0581	3.9340	81.5209	62.8577	1.7275	0.4193	3.3985	0.8755	0.0000	0.0000	0.0000	0.0000	0.0000	51.9380	33.4933	5.5753	4.3973	33.9542	33.7807	3.4275	0.4125	4.3088	0.7751	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	144.2460	41.6902	45.0040	150.1498	151.1035	44.8803	0.5480	2.1893	2.4553	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-1.0000	-0.7500	0.5870	0.0000	0.0124	0.1326	0.4386	0.0033	35.2818	5.8080	4.2929	35.7566	35.5420	4.5062	0.4296	3.5552	0.7768	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.3498	6.4096	12.1709	63.6733	64.5084	11.4312	0.4012	4.1074	0.6528	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	94.1321	6.1738	5.4234	94.3343	94.2882	2.9501	0.4843	5.1360	1.6733	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.6258	6.1074	4.4281	38.1183	37.8855	5.2375	0.4142	3.0720	0.5106	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	19.5666	31.2248	101.8963	104.7616	31.1391	0.3972	2.1966	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-0.7500	-0.5000	0.0800	1.0000	0.0074	0.0485	0.0127	0.0114	79.5139	42.4658	32.6260	90.1432	85.9471	41.9971	0.3830	6.2657	0.4304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	69.2648	2.7717	7.0600	69.3202	69.6236	6.4931	0.4210	2.5895	0.8944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0039	72.5848	40.7112	38.7046	83.2223	82.2593	40.2207	0.4229	6.2186	0.9204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	89.5145	91.4428	55.4339	127.9634	105.2890	91.1651	0.3987	7.0826	0.6231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	452.0149	27.5542	8.2401	452.8539	452.0900	26.2932	0.1709	7.9468	2.1724	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-0.5000	-0.2500	0.5656	2.0000	0.1153	0.0973	0.3160	0.0370	35.0898	11.4823	10.6978	36.9207	36.6843	11.0268	0.4395	2.9662	1.1233	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	92.7415	15.2930	14.4901	93.9939	93.8666	14.7223	0.5036	3.6368	1.9104	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.0951	11.4518	9.7516	72.0115	71.7608	11.3351	0.3904	1.4944	0.5214	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.3677	9.6145	9.1467	46.3753	46.2806	8.8761	0.4229	3.5535	0.9201	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	138.2569	17.2041	16.1606	139.3232	139.1982	17.0788	0.5101	0.2744	1.9901	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-0.2500	0.0000	0.4639	0.0000	0.0064	0.1543	0.2600	0.0433	30.2199	8.9584	6.6235	31.5197	30.9372	8.3244	0.3763	3.0400	1.2543	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	78.0863	12.3660	8.8034	79.0594	78.5810	12.1536	0.3977	2.1543	0.6389	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.5514	4.0788	5.1393	51.7125	51.8070	4.5529	0.4532	1.9517	1.2919	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.0355	18.4325	13.5352	46.8168	45.1139	17.9614	0.3266	3.8985	1.3552	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	64.8138	3.0828	2.3454	64.8871	64.8562	2.3227	0.3972	1.8935	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
