Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.2500	0.2805	0.0000	0.0002	0.1434	0.1369	0.0000	40.1925	9.0143	6.9952	41.1909	40.7967	8.7052	0.4182	2.1449	0.8378	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	30.1616	25.6631	104.4496	103.2405	30.1307	0.3972	1.1577	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	47.8227	18.8601	19.5718	51.4073	51.6727	19.3528	0.4382	2.6656	1.1084	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	65.3825	6.9337	2.3876	65.7491	65.4261	6.7118	0.3972	1.6011	0.5547	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.2500	-2.0000	0.9479	1.0000	0.0037	0.6287	0.2296	0.0859	23.7748	3.7313	3.3470	24.0658	24.0092	1.8191	0.3972	3.1902	0.5270	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	11.9892	25.7658	100.7161	103.2661	25.6786	0.3972	1.9912	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.3594	5.0613	2.9989	29.7925	29.5122	4.1745	0.3972	2.7791	0.5558	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.9460	4.0398	5.0733	53.0999	53.1885	3.1759	0.3972	3.9140	0.4178	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.0244	4.3757	5.3078	51.2116	51.2997	3.0043	0.3972	4.3154	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-2.0000	-1.7500	2.1015	0.0000	0.0023	1.6155	0.4367	0.0470	16.9363	12.6316	8.2363	21.1281	18.8328	10.9517	0.4001	2.6185	0.6275	0.0000	0.0000	0.0000	0.0000	2.7493	4.9648	68.8573	45.6323	36.2997	82.6053	77.8395	45.5926	0.4143	1.6731	0.8099	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.6282	16.1891	10.9850	25.4432	22.4931	14.1217	0.3993	2.7622	0.6143	0.0000	0.0000	0.0000	0.0000	3.5763	6.4583	36.4229	2.6562	2.2356	36.5196	36.4914	1.4344	0.3989	2.1089	0.6257	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	60.9111	10.9929	7.8034	61.8951	61.4089	10.6501	0.4365	2.4592	1.0866	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-1.7500	-1.5000	1.9367	1.0000	0.0045	1.5922	0.2048	0.1351	16.1561	2.9330	6.3101	16.4202	17.3446	2.5179	0.4057	2.7386	0.7043	0.0000	0.0000	0.0000	0.0000	1.3352	4.8512	72.1803	15.0600	27.1052	73.7347	77.1018	26.8266	0.4692	3.5479	1.4885	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.8058	2.8759	7.1537	18.0365	19.1890	2.3338	0.4052	2.7606	0.6967	0.0000	0.0000	0.0000	0.0000	1.6241	5.9008	51.6152	8.5190	5.2683	52.3135	51.8834	8.1145	0.3973	2.4908	0.6056	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.9222	3.0024	4.6053	58.9986	59.1019	3.4921	0.4226	2.8275	0.9169	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-1.5000	-1.2500	1.9958	2.0000	0.0066	1.5782	0.4003	0.0107	17.1609	3.0311	2.9758	17.4265	17.4170	0.7696	0.3966	2.8029	0.7626	0.0000	0.0000	0.0000	0.0000	0.0000	0.5103	74.7413	11.9728	9.1757	75.6942	75.3025	11.6980	0.3979	2.4434	0.6138	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.7943	2.8493	2.8239	19.0090	19.0052	0.7487	0.3888	2.6056	0.7861	0.0000	0.0000	0.0000	0.0000	0.0000	0.6453	39.0793	3.3848	3.7156	39.2256	39.2555	1.5338	0.4180	3.3114	0.5598	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	646.7360	64.9978	37.9396	649.9940	647.8479	63.4743	0.7515	13.0628	4.9527	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-1.2500	-1.0000	2.5928	2.0000	0.0437	1.7756	0.6535	0.1200	14.0342	5.9711	5.4487	15.2516	15.0548	4.3333	0.4110	3.3944	0.7569	0.0000	0.0000	0.0000	0.0000	0.1123	2.1476	84.5050	37.7776	35.2206	92.5648	91.5509	37.7323	0.4106	1.7169	0.5545	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.7119	7.2466	6.8405	18.2154	18.0577	5.8691	0.4100	3.3989	0.7556	0.0000	0.0000	0.0000	0.0000	0.1640	3.1361	30.5690	5.0088	4.0921	30.9767	30.8417	3.1743	0.4108	3.7826	0.7316	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.2832	5.8781	8.0378	46.6550	46.9760	7.7538	0.4284	1.8240	0.9873	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-1.0000	-0.7500	3.0372	3.0000	0.0519	2.4342	0.4425	0.1086	12.9885	3.6132	3.9681	13.4817	13.5811	1.5582	0.4167	3.1392	0.7740	0.0000	0.0000	0.0000	0.0000	0.0000	1.6477	71.2149	29.9226	29.7756	77.2459	77.1891	29.8455	0.3983	2.0175	0.6158	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.4966	3.8673	4.4408	15.0035	15.1615	2.0357	0.4184	3.2377	0.8323	0.0000	0.0000	0.0000	0.0000	0.0000	2.0558	37.3041	5.7491	4.0675	37.7445	37.5252	4.8227	0.4141	3.0595	0.5120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.8941	1.9353	3.7311	45.9349	46.0455	3.1903	0.3978	1.7920	0.6115	0.0000	0.0000	0.0000	0.0000	0.0000	0.0447
8	-0.7500	-0.5000	2.6561	3.0000	0.0131	2.2322	0.2601	0.1506	13.7862	5.0438	4.1904	14.6799	14.4089	3.3805	0.4210	3.6001	0.8840	0.0000	0.0000	0.0000	0.0000	0.0000	1.4001	53.7140	5.6446	8.0634	54.0098	54.3159	6.7132	0.4112	4.4135	0.5509	0.0000	0.0000	0.0000	0.0000	0.0000	0.0022	15.1124	4.9350	4.1451	15.8977	15.6705	3.2556	0.4211	3.5586	0.8848	0.0000	0.0000	0.0000	0.0000	0.0000	1.6659	45.5964	4.6660	5.4845	45.8345	45.9250	3.6774	0.4240	3.9376	0.9339	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.1385	8.8123	5.2127	52.8779	52.3984	8.0091	0.4144	3.5601	0.8154	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-0.5000	-0.2500	2.9595	3.0000	0.1234	2.0198	0.7166	0.0997	14.2108	4.9519	5.4968	15.0489	15.2369	4.0291	0.4305	3.1967	1.0134	0.0000	0.0000	0.0000	0.0000	1.1291	1.1291	86.7743	14.8579	14.0874	88.0371	87.9104	14.3024	0.4974	3.5482	1.8340	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.1967	6.4267	8.2430	18.3583	19.0702	7.2080	0.4235	3.0787	0.9276	0.0000	0.0000	0.0000	0.0000	1.6544	1.6544	28.3352	4.1441	3.9147	28.6366	28.6043	1.3596	0.4365	3.7352	1.0875	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.6682	6.1043	1.8136	59.9796	59.6957	5.8287	0.4461	1.2803	1.2046	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-0.2500	0.0000	3.3545	0.0000	0.0156	2.4752	0.6129	0.2508	12.6822	3.5166	3.1522	13.1607	13.0680	1.5902	0.4132	2.9679	0.9260	0.0000	0.0000	0.0000	0.0000	0.0000	0.0348	44.5991	7.6944	5.4292	45.2579	44.9283	6.4975	0.4325	3.9705	1.0170	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.8802	4.0491	3.4974	15.4213	15.2857	2.5684	0.4186	2.9782	0.8671	0.0000	0.0000	0.0000	0.0000	0.0000	0.0471	32.0268	3.9416	3.4723	32.2684	32.2144	1.8655	0.3903	3.2329	1.2052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.7680	6.6370	6.7104	33.4334	33.4480	6.2878	0.4147	2.1564	0.8193	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	0.0000	0.2500	3.4744	3.0000	0.0200	2.8165	0.3613	0.2767	12.1330	3.3190	3.9116	12.5787	12.7479	1.8971	0.4244	2.7817	0.9387	0.0000	0.0000	0.0000	0.0000	0.1659	1.7037	44.1500	11.9974	8.8157	45.7511	45.0215	11.4208	0.4596	3.3801	1.3664	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.9907	3.1883	4.3762	13.3763	13.7080	2.4517	0.4282	2.7512	0.9851	0.0000	0.0000	0.0000	0.0000	0.2047	2.1017	52.6765	6.2576	3.5394	53.0469	52.7953	5.2033	0.3984	3.3973	0.6190	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	31.3928	2.7079	2.4379	31.5094	31.4873	1.1788	0.4175	2.2452	0.8532	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
