Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.2500	0.5611	0.0000	0.0048	0.5170	0.0393	0.0000	26.9427	13.7540	13.7654	30.2503	30.2555	12.7563	0.5061	4.7355	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.8716	94.3263	13.3963	11.1897	95.2728	94.9876	12.3699	0.5061	4.7355	1.9406	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.7073	11.0170	11.6153	30.7487	30.9681	10.3717	0.5061	4.7355	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.9459	72.2398	55.4596	47.2723	91.0733	86.3323	55.2206	0.5061	4.7355	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.2500	-2.0000	0.7811	1.0000	0.0002	0.5772	0.1724	0.0312	25.7232	5.1167	5.6124	26.2272	26.3284	2.2014	0.5061	4.7355	1.7640	0.0000	0.0000	0.0000	0.0000	0.0000	0.9274	71.9862	31.9115	34.7226	78.7423	79.9229	34.3397	0.5061	4.7355	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.2481	6.6803	8.6302	28.0551	28.5822	6.8161	0.5061	4.7355	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	1.2549	71.6925	19.7558	18.0047	74.3647	73.9188	19.1393	0.5061	4.7355	1.1402	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	60.2913	32.5859	34.8596	68.5338	69.6436	34.4782	0.5061	4.7355	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.1554
3	-2.0000	-1.7500	0.8904	1.0000	0.0017	0.8127	0.0104	0.0657	21.8024	6.7670	7.7663	22.8284	23.1443	7.3979	0.5061	1.5329	1.7263	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.7569	30.0224	14.5965	57.2589	50.8949	29.9161	0.5061	1.5329	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.3045	6.7231	8.0630	24.2549	24.6599	7.7134	0.5061	1.5329	1.7058	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.2007	95.4814	44.5048	118.5109	83.1192	95.4480	0.5061	1.5329	1.9406	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.9728	3.5782	8.2284	64.0728	64.4998	7.8316	0.5061	1.5329	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-1.7500	-1.5000	1.3701	2.0000	0.0003	1.2385	0.0878	0.0435	18.8014	4.6507	2.5160	19.3681	18.9690	3.9229	0.5061	1.5329	1.9063	0.0000	0.0000	0.0000	0.0000	0.2125	0.2125	60.8657	13.8756	8.1928	62.4272	61.4146	13.6451	0.5061	1.5329	1.9334	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.7843	4.1515	2.5175	20.2152	19.9438	3.3178	0.5061	1.5329	1.9029	0.0000	0.0000	0.0000	0.0000	0.2351	0.2351	79.3526	3.7200	2.5215	79.4397	79.3926	2.7351	0.5061	1.5329	1.9370	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	87.8557	23.6389	2.5244	90.9804	87.8920	23.5037	0.5061	1.5330	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-1.5000	-1.2500	1.4359	0.0000	0.0026	1.2985	0.0627	0.0720	19.6727	3.0059	2.9612	19.9010	19.8943	1.7749	0.3953	2.3169	0.6012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.4150	28.7243	21.8935	52.8940	49.5179	28.6312	0.3972	2.1966	0.5991	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.9860	3.7683	3.5455	21.3217	21.2834	2.8718	0.3951	2.3296	0.6080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.2497	13.1277	9.7939	100.1141	99.7317	12.9224	0.3972	2.1966	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.5689	3.0874	9.4359	56.6531	57.3505	9.1557	0.3972	2.1966	0.4756	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-1.2500	-1.0000	1.8583	0.0000	0.0111	1.3791	0.3139	0.1542	17.9953	5.2135	5.5560	18.7353	18.8335	4.6725	0.3972	2.1966	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	2.9222	66.6319	15.0365	12.6407	68.3074	67.8203	14.8576	0.3972	2.1966	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.3941	7.3239	7.2959	21.6693	21.6598	6.9491	0.3972	2.1966	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	3.9375	48.9673	3.1553	5.1210	49.0688	49.2343	4.5691	0.3972	2.1966	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	61.6516	4.9284	4.7993	61.8483	61.8381	4.3520	0.3972	2.1966	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-1.0000	-0.7500	2.7208	0.0000	0.0023	2.4586	0.1526	0.1073	13.4573	5.1486	4.0776	14.4086	14.0615	0.6464	0.3972	4.0041	0.6048	0.0000	0.0000	0.0000	0.0000	2.1235	2.2416	66.4773	6.1646	4.7268	66.7625	66.6452	4.6315	0.3972	4.0041	0.6011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.0030	5.3315	4.0690	14.9836	14.5822	0.4387	0.3972	4.0041	0.6048	0.0000	0.0000	0.0000	0.0000	2.3499	2.4806	68.9685	4.3880	10.5233	69.1079	69.7667	9.7048	0.3972	4.0041	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.2061	7.3424	4.0690	62.6379	62.3390	6.1118	0.3972	4.0041	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-0.7500	-0.5000	3.1486	3.0000	0.0014	2.6652	0.3933	0.0887	12.4880	4.0796	4.4440	13.1375	13.2552	0.3208	0.3972	4.0041	0.5909	0.0000	0.0000	0.0000	0.0000	0.0000	1.7913	42.5185	17.0617	14.3711	45.8140	44.8815	16.5699	0.3972	4.0041	0.5918	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.3980	4.2233	4.6505	14.0479	14.1822	1.1398	0.3972	4.0041	0.5884	0.0000	0.0000	0.0000	0.0000	0.0000	2.1163	40.5541	11.4035	9.2355	42.1269	41.5924	10.6528	0.3972	4.0041	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0433	45.9319	14.2255	16.6804	48.0843	48.8669	16.1765	0.3972	4.0041	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-0.5000	-0.2500	3.4930	4.0000	0.0016	3.1864	0.0722	0.2327	11.6425	2.3802	2.0839	11.8833	11.8276	1.8502	0.3972	1.3027	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	1.4327	48.0592	36.0171	16.8923	60.0576	50.9415	35.9863	0.3972	1.3027	0.5981	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.3013	1.8928	2.1650	12.4460	12.4903	1.1560	0.3972	1.3027	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	1.5705	95.5208	14.7220	9.6330	96.6487	96.0053	14.6464	0.3972	1.3027	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.8913	7.6578	6.2408	36.6992	36.4299	7.5114	0.3972	1.3027	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-0.2500	0.0000	2.8959	6.0000	0.0073	2.5292	0.2792	0.0803	13.9008	6.5212	7.4492	15.3544	15.7709	7.1138	0.3972	1.3027	0.6048	0.0000	0.0000	0.0000	0.0000	1.1539	1.1539	79.1179	5.4908	9.5162	79.3083	79.6882	9.3989	0.3972	1.3027	0.6036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.6884	8.0269	9.0709	16.7386	17.2636	8.7504	0.3972	1.3027	0.6048	0.0000	0.0000	0.0000	0.0000	1.3212	1.3212	48.0359	7.1899	8.3479	48.5710	48.7559	8.2139	0.3972	1.3027	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	96.6548	10.0320	6.0616	97.1740	96.8447	9.9207	0.3972	1.3027	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
