Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
32	1.9468	2.0096	0.0074	-1	0.0041	0.0000	0.0000	0.0033	50.5701	8.3800	13.8789	51.2597	52.4401	13.2339	0.4839	3.8537	1.5498	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.3331	3.7507	4.6369	44.4915	44.5749	3.1181	0.4670	3.1636	1.2461	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	97.3298	65.7230	49.1759	117.4419	109.0475	65.6823	0.3972	2.1966	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	20.0986	31.5609	101.9998	104.8622	31.1391	0.5061	4.7355	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
33	2.0096	2.0724	0.3945	-1	0.0307	0.2589	0.0803	0.0246	30.1658	3.4483	3.9327	30.3623	30.4211	1.8922	0.4286	3.3425	0.7276	0.0000	0.0000	0.0000	0.0000	0.0297	0.0654	17.3398	4.0119	4.2859	17.7978	17.8616	2.1262	0.4102	3.6274	0.7224	0.0000	0.0000	0.0000	0.0000	0.3815	0.8407	39.3639	4.5717	5.5423	39.6285	39.7522	4.3056	0.4227	3.3505	0.8799	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	67.3990	6.5413	18.8722	67.7157	69.9913	18.4891	0.4645	3.7478	0.2313	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	116.2319	7.0338	4.3069	116.4446	116.3117	6.8018	0.3972	1.5780	0.7495	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
34	2.0724	2.1352	0.5585	-1	0.0414	0.1331	0.3083	0.0757	31.1089	4.1792	5.3588	31.3884	31.5671	3.4604	0.4319	4.0070	0.7066	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.0773	5.3424	4.8650	28.5811	28.4957	4.4656	0.4112	2.8029	0.7577	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.0092	8.0709	13.5328	58.5679	59.5668	11.8501	0.4150	6.4986	0.5557	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.6331	7.1761	7.9384	47.1820	47.3039	7.1002	0.4469	3.4423	0.7459	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	77.2450	2.7327	3.9239	77.2933	77.3446	2.8158	0.4118	2.5854	0.7835	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
35	2.1352	2.1980	0.2833	-1	0.0281	0.0940	0.1096	0.0516	39.3004	3.3619	3.6454	39.4439	39.4691	1.4087	0.4303	3.1753	1.0171	0.0000	0.0000	0.0000	0.0000	0.0006	0.0484	23.4845	2.7605	3.6294	23.6462	23.7633	2.3053	0.4112	2.5978	0.8383	0.0000	0.0000	0.0000	0.0000	0.0057	0.4873	68.2181	8.3319	8.5992	68.7250	68.7579	7.7013	0.4279	3.6729	0.9815	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.3021	2.5746	7.9525	71.3486	71.7442	7.5246	0.4054	2.4415	0.7054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	89.5405	8.5089	5.3478	89.9439	89.7000	7.1825	0.4980	4.1439	1.8422	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
36	2.1980	2.2608	0.7355	-1	0.0406	0.1170	0.5337	0.0442	26.6605	3.8629	5.2494	26.9389	27.1724	3.5545	0.4122	3.7986	0.5679	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.7263	3.6091	4.0026	19.0709	19.1493	2.8895	0.4180	2.6005	0.8572	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.8444	7.2030	13.1105	51.3521	52.5075	12.2941	0.4260	4.4319	0.9575	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.3301	3.8686	4.6500	34.5474	34.6436	2.5801	0.4101	3.8195	0.4574	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	81.0787	3.2864	10.2532	81.1453	81.7244	9.7869	0.3972	2.9700	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
37	2.2608	2.3236	0.7783	-1	0.0335	0.4844	0.2460	0.0144	24.9596	5.4598	4.4694	25.5498	25.3566	3.4442	0.4359	4.0803	1.0529	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.0836	3.8515	3.4112	16.5383	16.4413	2.3806	0.4248	2.8460	0.9418	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.7961	8.4639	5.1281	31.9380	31.2202	7.3609	0.4328	4.0269	1.0255	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.3441	4.4374	4.8467	50.5393	50.5768	1.9494	0.4457	4.2630	1.1482	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	73.9383	30.9846	34.2610	80.1680	81.4904	33.7873	0.3972	5.6313	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
38	2.3236	2.3864	0.7848	-1	0.0963	0.3418	0.3168	0.0299	25.8884	4.2780	5.2779	26.2394	26.4209	3.6471	0.4333	3.6634	0.9728	0.0000	0.0000	0.0000	0.0000	0.0002	0.0002	58.0759	20.7493	18.1958	61.6713	60.8597	19.9932	0.4069	5.4884	0.7189	0.0000	0.0000	0.0000	0.0000	0.0018	0.0018	34.6586	4.4881	4.7055	34.9480	34.9766	1.9959	0.4178	4.1649	0.7982	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.9482	5.4160	8.0646	47.2595	47.6358	7.4445	0.4577	2.8117	1.2258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	149.5125	22.9305	37.8851	151.2606	154.2377	37.8512	0.4382	1.0732	1.1075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
39	2.3864	2.4492	0.8393	-1	0.0821	0.3488	0.3682	0.0403	24.0530	3.9983	5.0407	24.3830	24.5755	3.9350	0.4250	3.0238	0.7747	0.0000	0.0000	0.0000	0.0000	0.0019	0.0001	38.6474	7.4676	6.1031	39.3622	39.1263	7.0411	0.4225	2.2754	0.9124	0.0000	0.0000	0.0000	0.0000	0.0197	0.0012	34.9763	2.7286	4.2974	35.0826	35.2393	3.4188	0.3972	2.5011	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.9210	7.9244	8.7473	42.6634	42.8239	7.8964	0.4453	3.6491	0.8042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	80.2001	4.7263	6.7060	80.3392	80.4799	5.5294	0.4861	3.3591	1.6962	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
40	2.4492	2.5120	1.3371	-1	0.0723	0.6570	0.4486	0.1593	20.4422	3.4575	3.9615	20.7326	20.8225	2.2773	0.4317	3.0536	0.9982	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.8834	4.8179	4.0783	27.3117	27.1910	3.9082	0.4064	2.6926	0.7236	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4926	3.2976	3.6035	27.6897	27.7278	1.4529	0.4380	3.0769	1.1023	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.3905	3.7212	3.6232	42.5535	42.5450	0.9288	0.4332	3.4296	1.0173	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.7780	18.6095	17.6494	50.3437	49.9968	18.4792	0.4133	2.0624	0.6399	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
41	2.5120	2.5748	1.2274	-1	0.0766	0.6532	0.4740	0.0236	19.6676	3.6616	4.1497	20.0055	20.1006	2.7027	0.4325	2.9941	0.8739	0.0000	0.0000	0.0000	0.0000	0.1175	0.1233	13.7761	4.8177	3.8202	14.5942	14.2960	2.3106	0.4233	3.0669	0.9200	0.0000	0.0000	0.0000	0.0000	1.8813	1.9749	24.9345	5.3734	5.4521	25.5069	25.5236	4.0608	0.4430	3.4628	1.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	36.6714	2.7287	4.3224	36.7727	36.9252	3.5780	0.4260	2.2728	0.7310	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	159.9672	36.4628	31.4784	164.0703	163.0350	36.2062	0.3020	4.2711	0.5633	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
