Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	75.3535	81.0000	70.9790	1.7449	0.0127	2.6169	3.1763	7.6800	7.5871	8.3109	8.2252	0.6401	0.8463	5.4666	0.8497	0.0000	0.0000	0.0000	0.0000	0.3009	5.2714	3.3359	7.7170	7.6305	8.4071	8.3278	0.7433	0.8474	5.5045	0.8590	0.0000	0.0000	0.0000	0.0000	0.3390	5.2941	16.7839	6.2914	7.3910	17.9243	18.3392	2.0849	0.8128	4.4831	0.5546	0.0000	0.0000	0.0000	0.0000	0.0000	5.4839	100.0000	78.5311	53.4414	127.1501	113.3842	78.3889	0.9053	4.2111	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2851	8.0545	7.1562	10.8604	10.2120	2.1010	0.8373	5.1001	0.7883	0.0000	0.0000	0.0000	0.0000	0.5330	5.9957
2	-3.0144	-2.8888	70.3431	93.0000	65.4427	1.6269	0.0765	3.1969	3.2387	8.3122	8.4026	8.9209	9.0051	1.0367	0.8443	5.3693	0.8374	0.0000	0.0000	0.0000	0.0000	0.7047	6.3763	3.4354	8.4605	8.5712	9.1313	9.2341	1.0065	0.8451	5.4055	0.8433	0.0000	0.0000	0.0000	0.0000	0.7587	6.5695	17.7197	8.0805	7.0366	19.4752	19.0657	4.4612	0.8202	4.0966	0.5767	0.0000	0.0000	0.0000	0.0000	0.0000	5.2541	80.1596	20.3786	27.7796	82.7094	84.8367	26.4829	0.8436	8.5479	0.9072	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.9245	6.2895	6.4385	9.3545	9.4553	0.9337	0.8393	5.2001	0.8483	0.0000	0.0000	0.0000	0.0000	0.3787	3.6667
3	-2.8888	-2.7632	76.8365	85.0000	71.7386	1.8194	0.0000	3.2785	3.1234	7.8512	7.0070	8.4496	7.6716	1.3121	0.8478	5.3641	0.8304	0.0000	0.0000	0.0000	0.0000	0.7198	5.4055	3.3081	7.9725	7.0021	8.6316	7.7443	1.4709	0.8493	5.3918	0.8393	0.0000	0.0000	0.0000	0.0000	0.7811	5.5036	15.2811	6.9074	8.4205	16.7697	17.4475	4.6090	0.8223	4.9618	0.6139	0.0000	0.0000	0.0000	0.0000	3.0122	4.0058	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.8188	6.9039	7.9835	9.7036	10.4992	1.1831	0.8300	4.9808	0.7540	0.0000	0.0000	0.0000	0.0000	0.3312	6.1192
4	-2.7632	-2.6376	72.5112	89.0000	67.4234	2.1996	0.0002	2.8881	3.2062	7.9835	7.4884	8.6032	8.1459	1.4070	0.8464	5.4591	0.8504	0.0000	0.0000	0.0000	0.0000	0.2768	5.5171	3.3959	7.9742	7.4768	8.6671	8.2119	1.2879	0.8489	5.5026	0.8605	0.0000	0.0000	0.0000	0.0000	0.2310	5.4896	15.7707	9.8998	10.2144	18.6205	18.7896	7.4561	0.7956	4.3896	0.5242	0.0000	0.0000	0.0000	0.0000	2.4015	5.9177	100.0000	5.4639	14.6706	100.1492	101.0704	13.6564	0.7960	5.3717	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.1116	9.1308	7.1938	11.5735	10.1156	0.6741	0.8259	5.2594	0.8636	0.0000	0.0000	0.0000	0.0000	1.1970	7.2698
5	-2.6376	-2.5120	74.0970	87.0000	69.3401	1.7427	0.1534	2.8608	3.1509	7.9696	7.1165	8.5698	7.7828	0.1115	0.8480	5.4157	0.8783	0.0000	0.0000	0.0000	0.0000	0.3730	5.7046	3.3255	7.9259	7.2278	8.5953	7.9561	0.1406	0.8498	5.4451	0.8919	0.0000	0.0000	0.0000	0.0000	0.4600	5.6055	16.1867	10.7622	5.0368	19.4379	16.9522	1.5397	0.8021	4.7862	0.6202	0.0000	0.0000	0.0000	0.0000	0.0000	9.5859	70.7757	12.2518	14.1503	71.8283	72.1764	13.6879	0.7960	3.5552	0.2894	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.1792	8.0978	6.9514	10.8220	9.9931	0.9316	0.8360	5.1853	0.7379	0.0000	0.0000	0.0000	0.0000	1.4864	6.0474
6	-2.5120	-2.3864	73.0731	100.0000	67.8301	1.9927	0.0658	3.1845	3.1420	7.4137	7.6119	8.0520	8.2349	0.1356	0.8465	5.5469	0.8313	0.0000	0.0000	0.0000	0.0000	0.1485	5.2379	3.3397	7.4622	7.6822	8.1755	8.3767	0.1105	0.8485	5.5843	0.8433	0.0000	0.0000	0.0000	0.0000	0.1562	5.3011	15.0786	4.9015	6.7705	15.8552	16.5288	0.9395	0.8099	4.6712	0.4994	0.0000	0.0000	0.0000	0.0000	0.0000	4.8237	100.0000	14.7753	19.3912	101.0857	101.8627	13.6564	0.7960	14.7415	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6771	8.3784	6.6487	10.7136	9.4228	0.4391	0.8278	5.1086	0.7883	0.0000	0.0000	0.0000	0.0000	0.3433	6.5179
7	-2.3864	-2.2608	73.8577	76.0000	68.7762	1.9057	0.0021	3.1737	3.1662	7.5382	8.3095	8.1761	8.8923	0.2686	0.8466	5.5843	0.8462	0.0000	0.0000	0.0000	0.0000	0.4945	6.1752	3.3597	7.5850	8.2345	8.2958	8.8935	0.4064	0.8480	5.6098	0.8536	0.0000	0.0000	0.0000	0.0000	0.5330	6.0480	15.2535	6.6385	12.8963	16.6355	19.9746	2.2775	0.8160	5.0276	0.6820	0.0000	0.0000	0.0000	0.0000	4.3805	10.8064	100.0000	177.0564	70.4127	203.3445	122.3027	177.0387	0.7960	2.2924	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6852	7.3862	8.2320	9.9623	10.6046	1.2992	0.8329	5.3677	0.7844	0.0000	0.0000	0.0000	0.0000	0.3837	6.1553
8	-2.2608	-2.1352	75.0900	91.0000	70.3280	1.6138	0.0000	3.1482	3.1443	7.2482	8.0288	7.9008	8.6225	0.9408	0.8483	5.3011	0.8429	0.0000	0.0000	0.0000	0.0000	0.3996	5.9461	3.3192	7.1028	8.2221	7.8401	8.8668	0.9631	0.8507	5.3254	0.8531	0.0000	0.0000	0.0000	0.0000	0.4204	6.1790	17.4758	6.2181	4.9683	18.5491	18.1683	1.3361	0.7756	4.6339	0.4786	0.0000	0.0000	0.0000	0.0000	0.3995	3.8898	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.8176	12.1531	6.0237	13.9348	9.0976	0.2406	0.8322	5.1004	0.8018	0.0000	0.0000	0.0000	0.0000	0.8384	10.9382
9	-2.1352	-2.0096	78.7286	80.0000	74.0205	1.7900	0.0000	2.9181	3.0939	7.4833	7.4724	8.0977	8.0876	1.8469	0.8471	5.2654	0.8445	0.0000	0.0000	0.0000	0.0000	0.2784	4.9658	3.2549	7.4977	7.4542	8.1737	8.1339	1.8124	0.8484	5.2812	0.8570	0.0000	0.0000	0.0000	0.0000	0.3315	4.9911	16.1239	6.7191	8.3405	17.4679	18.1534	4.6277	0.8146	4.7056	0.4778	0.0000	0.0000	0.0000	0.0000	2.7181	5.2253	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.3007	8.9104	7.8727	11.5193	10.7368	1.8928	0.8325	5.2096	0.7537	0.0000	0.0000	0.0000	0.0000	0.7707	6.8423
10	-2.0096	-1.8840	75.8016	90.0000	70.6153	2.1634	0.0856	2.9372	3.1263	7.5788	7.1350	8.1983	7.7898	0.4951	0.8481	5.1803	0.8399	0.0000	0.0000	0.0000	0.0000	0.3849	5.3651	3.3099	7.5040	7.2037	8.2016	7.9277	0.3839	0.8492	5.1896	0.8490	0.0000	0.0000	0.0000	0.0000	0.4367	5.2534	15.0902	9.0627	7.1538	17.6025	16.7000	4.4509	0.8235	4.9119	0.5533	0.0000	0.0000	0.0000	0.0000	2.2147	5.6838	82.1123	19.9625	5.4621	84.5041	82.2938	19.4557	0.8408	4.3008	0.8785	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.9361	9.5870	6.2008	11.8330	9.3037	0.3665	0.8401	5.1800	0.8323	0.0000	0.0000	0.0000	0.0000	1.1556	7.9715
11	-1.8840	-1.7584	77.9388	60.0000	73.0868	1.5716	0.0519	3.2284	3.1364	7.6744	7.3724	8.2906	8.0118	1.4722	0.8491	5.2842	0.8619	0.0000	0.0000	0.0000	0.0000	0.3679	5.2169	3.3099	7.7323	7.4655	8.4110	8.1664	1.5283	0.8510	5.2758	0.8788	0.0000	0.0000	0.0000	0.0000	0.3530	5.2913	16.8744	5.9219	6.3346	17.8833	18.0242	3.0789	0.8092	5.6148	0.4078	0.0000	0.0000	0.0000	0.0000	0.0000	0.2307	100.0000	13.4089	26.4149	100.8950	103.4299	25.6786	0.7960	6.2887	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.9503	8.6197	7.3846	11.0727	10.1409	2.9960	0.8282	5.2957	0.7049	0.0000	0.0000	0.0000	0.0000	0.8902	6.0445
12	-1.7584	-1.6328	73.5484	96.0000	68.3751	2.2933	0.0159	2.8641	3.1359	7.0499	7.5310	7.7159	8.1578	0.8587	0.8467	5.3490	0.8521	0.0000	0.0000	0.0000	0.0000	0.5255	5.2638	3.3238	7.1113	7.5281	7.8497	8.2292	0.6687	0.8474	5.3640	0.8595	0.0000	0.0000	0.0000	0.0000	0.5424	5.2591	14.5596	8.5170	7.9843	16.8678	16.6051	6.9569	0.8210	4.7991	0.6114	0.0000	0.0000	0.0000	0.0000	0.0000	4.4516	100.0000	68.2960	51.4460	121.0964	112.4575	67.8070	0.9053	8.0854	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2334	7.5046	8.2326	10.4231	10.9589	0.7973	0.8495	5.4153	0.8693	0.0000	0.0000	0.0000	0.0000	1.2376	6.0573
13	-1.6328	-1.5072	73.9261	85.0000	69.6789	1.3740	0.0700	2.8032	3.1228	8.0635	7.9589	8.6471	8.5496	0.9736	0.8480	5.5034	0.8060	0.0000	0.0000	0.0000	0.0000	0.4331	5.7726	3.2803	8.1926	7.9405	8.8249	8.5914	1.0409	0.8490	5.5450	0.8084	0.0000	0.0000	0.0000	0.0000	0.3849	5.9100	17.7330	6.0674	8.5461	18.7423	19.6849	1.0659	0.8297	4.4875	0.7542	0.0000	0.0000	0.0000	0.0000	5.0668	5.0668	100.0000	19.0706	15.8388	101.8022	101.2466	17.4893	0.7960	7.5372	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2109	6.1261	9.3561	9.4618	11.8124	0.7690	0.8330	4.9151	0.7775	0.0000	0.0000	0.0000	0.0000	0.6281	7.9109
