Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
10	450.0000	500.0000	0.0102	0.0000	0.0102	0.0000	0.0000	0.0000	82.9576	974.1746	43.9820	977.7004	93.8956	51.1332	0.8895	5.3797	0.0222	0.0000	0.0000	0.0000	0.0000	821.3197	521.3499	82.9576	949.2291	44.2653	952.8472	94.0286	51.1332	0.8895	5.3797	0.0222	0.0000	0.0000	0.0000	0.0000	821.3197	473.1019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	500.0000	550.0000	3.8113	1.0000	3.5414	0.0386	0.0000	0.2314	13.6932	6.7066	10.9797	15.2474	17.5516	1.8714	0.8381	6.4482	0.3547	0.0000	0.0000	0.0000	0.0000	5.9570	6.4489	14.6283	6.8949	11.0755	16.1718	18.3481	2.2368	0.8362	6.4950	0.3347	0.0000	0.0000	0.0000	0.0000	5.7916	6.6031	86.8398	135.0567	34.0404	160.5661	93.2732	33.9627	0.7960	2.1159	0.5180	0.0000	0.0000	0.0000	0.0000	0.0000	132.4362	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.1933	7.3965	15.9077	24.3441	28.1244	0.9917	0.8748	6.4554	0.6327	0.0000	0.0000	0.0000	0.0000	12.7188	7.0589
12	550.0000	600.0000	25.0279	45.0000	23.0630	0.5416	0.0000	1.4233	5.4097	8.3028	7.5531	9.9097	9.2906	0.4717	0.8460	6.0608	0.6291	0.0000	0.0000	0.0000	0.0000	3.5804	4.6263	5.7906	8.7047	8.0098	10.4548	9.8837	0.8224	0.8469	6.1291	0.6327	0.0000	0.0000	0.0000	0.0000	3.5002	5.2249	31.6112	13.0384	38.9761	34.1946	50.1837	11.9807	0.8300	4.6595	0.3881	0.0000	0.0000	0.0000	0.0000	1.9780	38.0334	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.0064	8.9010	5.9189	13.3924	11.6259	0.9963	0.8360	5.4877	0.6624	0.0000	0.0000	0.0000	0.0000	5.4895	4.1972
13	600.0000	650.0000	100.3791	139.0000	92.8135	1.8567	0.1636	5.5453	2.7847	9.0700	7.9355	9.4878	8.4099	0.7359	0.8481	5.4069	0.7178	0.0000	0.0000	0.0000	0.0000	0.8207	7.1120	2.9768	9.4179	7.8679	9.8771	8.4122	0.7224	0.8485	5.4215	0.7223	0.0000	0.0000	0.0000	0.0000	1.0061	7.5186	15.9626	7.9035	22.7225	17.8120	27.7690	4.1423	0.8361	4.5591	0.4901	0.0000	0.0000	0.0000	0.0000	5.4076	21.4807	58.5732	10.7284	57.9860	59.5476	82.4208	11.2072	1.0147	3.2719	1.0261	0.0000	0.0000	0.0000	0.0000	31.6784	47.1264	5.1938	6.2517	6.1018	8.1277	8.0130	0.1737	0.8407	5.5098	0.7094	0.0000	0.0000	0.0000	0.0000	1.1154	2.6642
14	650.0000	700.0000	249.9875	307.0000	233.9172	4.0019	0.2916	11.7768	1.7787	6.7413	8.5838	6.9720	8.7662	0.6069	0.8481	5.5044	0.7812	0.0000	0.0000	0.0000	0.0000	0.5435	6.5751	1.8827	6.5538	8.7994	6.8189	8.9986	0.6150	0.8490	5.5335	0.7864	0.0000	0.0000	0.0000	0.0000	0.8281	6.8017	10.7429	13.0951	9.3350	16.9379	14.2321	0.6325	0.8262	4.6522	0.4577	0.0000	0.0000	0.0000	0.0000	8.0827	9.5027	45.7740	49.7167	49.9597	67.5797	67.7586	16.8911	0.9388	6.1628	1.2940	0.0000	0.0000	0.0000	0.0000	32.5657	48.2683	3.5357	10.7643	6.7931	11.3301	7.6582	0.7319	0.8360	5.2004	0.7745	0.0000	0.0000	0.0000	0.0000	2.0353	9.1021
15	700.0000	750.0000	434.0510	492.0000	404.1935	9.5236	0.5124	19.8215	1.3588	6.6957	6.3776	6.8321	6.5207	0.7211	0.8443	5.2199	0.7867	0.0000	0.0000	0.0000	0.0000	0.2023	3.9613	1.4426	6.7483	6.3397	6.9007	6.5018	0.7045	0.8454	5.2412	0.7929	0.0000	0.0000	0.0000	0.0000	0.3955	4.0091	7.0473	7.6185	11.4458	10.3782	13.4414	1.9507	0.8154	4.6485	0.5306	0.0000	0.0000	0.0000	0.0000	4.6407	9.1685	39.8357	9.1639	28.2208	40.8761	48.8190	5.2885	0.8762	4.3609	0.8486	0.0000	0.0000	0.0000	0.0000	23.2991	14.8824	2.7315	6.3915	6.0272	6.9507	6.6173	0.7001	0.8354	5.0819	0.7804	0.0000	0.0000	0.0000	0.0000	0.8040	3.6789
16	750.0000	800.0000	450.6562	485.0000	420.5308	9.5200	0.4633	20.1420	1.3386	7.3045	7.7659	7.4262	7.8804	0.5289	0.8426	5.2959	0.8074	0.0000	0.0000	0.0000	0.0000	0.6429	5.6396	1.4195	7.4083	7.9261	7.5431	8.0523	0.5971	0.8435	5.3170	0.8147	0.0000	0.0000	0.0000	0.0000	0.7964	5.8166	6.8491	7.4210	6.2700	10.0986	9.2856	1.2054	0.8177	4.7250	0.5344	0.0000	0.0000	0.0000	0.0000	4.4303	3.3012	41.1023	28.8010	16.1925	50.1886	44.1769	2.3573	0.8809	4.8387	1.0461	0.0000	0.0000	0.0000	0.0000	16.4612	22.9714	2.7019	5.8759	6.4814	6.4673	7.0220	0.1181	0.8335	5.1352	0.7788	0.0000	0.0000	0.0000	0.0000	0.4240	3.9363
17	800.0000	850.0000	378.1566	414.0000	352.2035	9.0765	0.8714	16.0052	1.4644	8.0374	7.7637	8.1697	7.9006	0.4463	0.8439	5.3515	0.8329	0.0000	0.0000	0.0000	0.0000	0.8308	5.8045	1.5521	8.0534	7.8404	8.2016	7.9925	0.3938	0.8450	5.3558	0.8410	0.0000	0.0000	0.0000	0.0000	0.8212	5.8254	7.1090	5.3107	5.1614	8.8736	8.7851	0.5861	0.8131	5.1641	0.5512	0.0000	0.0000	0.0000	0.0000	0.1576	0.7290	39.9450	14.0773	14.8032	42.3530	42.5998	11.7184	0.8576	7.6993	0.9127	0.0000	0.0000	0.0000	0.0000	0.0000	6.1596	3.1015	10.3991	8.6730	10.8518	9.2109	0.9386	0.8366	5.2342	0.8119	0.0000	0.0000	0.0000	0.0000	1.5939	8.7280
18	850.0000	900.0000	317.4681	367.0000	296.0477	6.8056	0.3320	14.2827	1.5864	7.4728	7.1456	7.6393	7.3196	0.3388	0.8453	5.2863	0.8458	0.0000	0.0000	0.0000	0.0000	0.6940	5.1335	1.6826	7.4125	7.0430	7.6011	7.2412	0.3595	0.8466	5.2995	0.8539	0.0000	0.0000	0.0000	0.0000	0.6424	5.0285	8.3409	16.4497	11.0762	18.4435	13.8655	0.4194	0.8135	5.0320	0.5811	0.0000	0.0000	0.0000	0.0000	3.0396	15.3903	41.1435	6.1271	38.8372	41.5973	56.5784	3.2274	0.8520	5.0566	0.9114	0.0000	0.0000	0.0000	0.0000	0.0000	38.5009	3.1976	6.1696	7.4605	6.9490	8.1168	0.1657	0.8333	5.1401	0.8026	0.0000	0.0000	0.0000	0.0000	1.6024	5.1643
19	900.0000	950.0000	270.2938	282.0000	252.7744	5.5659	0.3608	11.5927	1.7091	6.7542	6.7796	6.9671	6.9917	0.3831	0.8480	5.2842	0.8575	0.0000	0.0000	0.0000	0.0000	1.0698	4.1990	1.8076	6.8019	6.7631	7.0380	7.0005	0.3330	0.8489	5.3003	0.8630	0.0000	0.0000	0.0000	0.0000	1.1327	4.1449	9.1447	6.2870	6.1262	11.0974	11.0071	2.6844	0.8137	4.6328	0.5639	0.0000	0.0000	0.0000	0.0000	2.2989	3.5794	43.4897	5.4105	17.3958	43.8250	46.8399	2.3872	0.8582	5.2503	0.9855	0.0000	0.0000	0.0000	0.0000	16.4023	0.0253	3.6606	6.6898	7.8796	7.6259	8.6884	1.0648	0.8450	5.2477	0.8735	0.0000	0.0000	0.0000	0.0000	0.6403	5.8069
