Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	76.0425	96.0000	70.8044	1.6413	0.0021	3.5948	3.1029	8.5912	8.6851	9.1343	9.2228	0.7010	0.8493	5.4315	0.8553	0.0000	0.0000	0.0000	0.0000	2.8681	6.7542	3.2917	9.3432	8.3287	9.9061	8.9556	0.5347	0.8511	5.4600	0.8651	0.0000	0.0000	0.0000	0.0000	3.3949	6.6484	17.1171	5.9566	16.0145	18.1239	23.4406	3.8150	0.8195	4.7748	0.5841	0.0000	0.0000	0.0000	0.0000	4.0817	14.2261	94.5492	17.3854	134.2939	96.1343	164.2389	13.3634	0.9053	10.9127	1.9408	0.0000	0.0000	0.0000	0.0000	94.3822	94.3822	6.6162	5.9536	14.4296	8.9006	15.8741	2.7284	0.8277	5.1671	0.7857	0.0000	0.0000	0.0000	0.0000	4.2806	12.5178
2	-3.0144	-2.8888	77.4345	98.0000	72.6955	1.6790	0.0000	3.0600	3.1268	6.8034	7.7774	7.4875	8.3824	1.3368	0.8538	5.3141	0.8901	0.0000	0.0000	0.0000	0.0000	2.0545	5.1183	3.2940	6.4496	8.0734	7.2421	8.7196	1.4205	0.8551	5.3400	0.9003	0.0000	0.0000	0.0000	0.0000	2.2177	5.4484	17.0429	13.9644	5.5057	22.0333	17.9101	0.6087	0.8289	4.6636	0.6024	0.0000	0.0000	0.0000	0.0000	9.1335	9.4127	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0168	18.1547	7.1968	19.4635	10.0513	0.2894	0.8360	5.0552	0.8038	0.0000	0.0000	0.0000	0.0000	3.5237	17.0356
3	-2.8888	-2.7632	74.3898	92.0000	69.1985	1.9433	0.1416	3.1065	3.1210	5.7719	7.7799	6.5616	8.3825	0.1469	0.8505	5.2582	0.8728	0.0000	0.0000	0.0000	0.0000	0.6661	5.6876	3.3083	5.8858	7.7426	6.7518	8.4198	0.1809	0.8521	5.2603	0.8834	0.0000	0.0000	0.0000	0.0000	0.9295	5.5948	15.7971	8.9289	17.0075	18.1459	23.2121	5.7486	0.8116	4.9417	0.5216	0.0000	0.0000	0.0000	0.0000	8.2968	12.7676	70.8833	9.5125	47.9555	71.5187	85.5814	10.9499	0.9130	3.8915	1.3195	0.0000	0.0000	0.0000	0.0000	0.0000	46.5043	6.8354	5.8046	5.6539	8.9675	8.8707	0.3279	0.8371	5.4709	0.8352	0.0000	0.0000	0.0000	0.0000	1.5368	1.4665
4	-2.7632	-2.6376	79.0142	74.0000	74.1227	1.7670	0.0433	3.0812	3.1045	8.8138	6.6457	9.3446	7.3351	1.3418	0.8541	5.3388	0.8927	0.0000	0.0000	0.0000	0.0000	1.4928	6.6321	3.2735	8.9761	6.4309	9.5544	7.2161	1.3321	0.8551	5.3591	0.9014	0.0000	0.0000	0.0000	0.0000	1.8077	6.7493	16.0495	6.9829	17.5851	17.5028	23.8081	1.8336	0.8224	4.3542	0.6594	0.0000	0.0000	0.0000	0.0000	3.8327	16.4868	85.3171	28.0746	36.2330	89.8176	92.6922	36.1136	0.8138	2.7412	0.8218	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.1092	7.4151	9.3153	10.2725	11.7181	1.7053	0.8474	5.4519	0.8184	0.0000	0.0000	0.0000	0.0000	3.0076	6.7355
5	-2.6376	-2.5120	78.0332	94.0000	73.7383	1.2852	0.0074	3.0023	3.1307	7.4222	9.6254	8.0555	10.1218	1.2209	0.8556	5.4381	0.8952	0.0000	0.0000	0.0000	0.0000	1.4650	7.7151	3.2826	7.0843	10.3764	7.8079	10.8833	1.2875	0.8570	5.4650	0.9015	0.0000	0.0000	0.0000	0.0000	2.0622	8.4847	18.7311	20.8775	4.6497	28.0486	19.2996	1.8030	0.8211	4.5812	0.6726	0.0000	0.0000	0.0000	0.0000	6.5354	19.1780	100.0000	1247.9261	59.0641	1251.9264	116.1403	116.0380	0.7960	5.5600	0.6048	0.0000	0.0000	0.0000	0.0000	878.5849	878.5849	7.5125	18.0522	5.2928	19.5530	9.1897	1.8288	0.8376	5.1421	0.8374	0.0000	0.0000	0.0000	0.0000	7.5973	15.3940
6	-2.5120	-2.3864	75.4552	91.0000	71.4370	1.1630	0.0654	2.7899	3.1728	7.8083	7.0751	8.4283	7.7540	0.8800	0.8523	5.4407	0.8798	0.0000	0.0000	0.0000	0.0000	2.3309	4.8641	3.3226	7.7760	7.0298	8.4561	7.7754	0.9848	0.8537	5.4574	0.8869	0.0000	0.0000	0.0000	0.0000	2.7325	4.5531	20.0399	20.6106	12.0472	28.7470	23.3823	1.5028	0.8186	5.0857	0.6182	0.0000	0.0000	0.0000	0.0000	8.7801	17.8729	100.0000	26.0637	140.2265	103.3408	172.2309	14.5913	0.7960	6.2887	0.6048	0.0000	0.0000	0.0000	0.0000	100.0000	97.5334	7.1095	11.2379	9.2869	13.2979	11.6958	1.5375	0.8330	5.1404	0.8115	0.0000	0.0000	0.0000	0.0000	5.1072	9.8056
7	-2.3864	-2.2608	74.1137	79.0000	68.8468	1.9969	0.0624	3.2076	3.1286	8.5175	5.9636	9.0739	6.7345	0.2517	0.8558	5.3569	0.8934	0.0000	0.0000	0.0000	0.0000	2.4079	6.0382	3.3238	9.1384	5.8982	9.7241	6.7702	0.2729	0.8566	5.3814	0.9029	0.0000	0.0000	0.0000	0.0000	2.8816	6.6801	15.0047	4.8913	12.8379	15.7818	19.7472	0.2928	0.8299	4.7674	0.7127	0.0000	0.0000	0.0000	0.0000	7.4938	9.2558	72.7840	42.9412	44.5645	84.5072	85.3435	42.6342	0.8399	5.0038	0.7283	0.0000	0.0000	0.0000	0.0000	0.0000	21.6258	6.8531	5.7514	9.1317	8.9467	11.4173	1.3861	0.8540	5.2064	0.8050	0.0000	0.0000	0.0000	0.0000	1.5489	7.2073
8	-2.2608	-2.1352	73.0080	72.0000	68.6326	1.3290	0.0000	3.0464	3.1874	7.5362	9.5209	8.1826	10.0403	0.8873	0.8518	5.3459	0.8633	0.0000	0.0000	0.0000	0.0000	0.8193	7.7923	3.3569	7.4293	10.2002	8.1525	10.7384	0.8870	0.8528	5.3653	0.8681	0.0000	0.0000	0.0000	0.0000	1.0332	8.5745	18.5106	30.8156	5.0854	35.9478	19.1964	1.7378	0.8131	4.9419	0.5859	0.0000	0.0000	0.0000	0.0000	12.3792	27.7112	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0885	6.4647	5.5490	9.5937	9.0021	2.5512	0.8457	5.0861	0.8770	0.0000	0.0000	0.0000	0.0000	0.9228	2.6606
9	-2.1352	-2.0096	74.3979	104.0000	69.9441	1.5928	0.0869	2.7741	3.1674	9.1899	6.2174	9.7204	6.9777	0.1846	0.8512	5.3489	0.8803	0.0000	0.0000	0.0000	0.0000	1.1678	7.3624	3.3333	9.2687	6.1889	9.8498	7.0295	0.2610	0.8530	5.3746	0.8920	0.0000	0.0000	0.0000	0.0000	1.3044	7.4320	16.9029	8.3685	11.9005	18.8611	20.6720	3.2463	0.7996	4.8006	0.5547	0.0000	0.0000	0.0000	0.0000	9.3599	6.4395	85.8358	6.4890	10.4122	86.0807	86.4650	9.4037	0.7960	4.4908	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.1381	8.8014	8.2648	11.3321	10.9206	0.2593	0.8360	5.0420	0.7983	0.0000	0.0000	0.0000	0.0000	3.1765	6.5421
10	-2.0096	-1.8840	71.7870	71.0000	66.5139	2.1406	0.0000	3.1326	3.1661	7.3816	9.6170	8.0319	10.1248	0.2565	0.8470	5.4031	0.8429	0.0000	0.0000	0.0000	0.0000	0.8943	7.9120	3.3713	7.6231	9.1985	8.3353	9.7969	0.3751	0.8480	5.4270	0.8510	0.0000	0.0000	0.0000	0.0000	1.1114	7.3474	14.2301	7.8194	22.0478	16.2370	26.2412	2.8525	0.8285	5.0111	0.6197	0.0000	0.0000	0.0000	0.0000	5.5899	21.0136	100.0000	177.3015	70.9882	203.5579	122.6349	177.0387	0.7960	9.5979	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.7564	8.2982	13.3382	10.7009	14.9518	0.9855	0.8380	5.1633	0.8246	0.0000	0.0000	0.0000	0.0000	5.6154	10.9469
