Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	75.1728	91.0000	69.9836	1.6413	0.0001	3.5478	3.1208	8.5839	8.9121	9.1336	9.4427	0.6442	0.8484	5.4298	0.8477	0.0000	0.0000	0.0000	0.0000	2.8352	7.0364	3.3109	9.3278	8.5604	9.8979	9.1784	0.4641	0.8501	5.4604	0.8571	0.0000	0.0000	0.0000	0.0000	3.3544	6.6533	17.1171	5.9566	16.4687	18.1239	23.7532	3.8150	0.8195	4.7748	0.5841	0.0000	0.0000	0.0000	0.0000	4.0817	14.7356	100.0000	15.0349	14.7074	101.1239	101.0757	14.2734	0.9053	4.2111	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6588	6.0084	14.3097	8.9689	15.7832	2.9134	0.8273	5.1297	0.7842	0.0000	0.0000	0.0000	0.0000	4.2059	12.3687
2	-3.0144	-2.8888	76.1224	96.0000	71.5413	1.6125	0.0000	2.9686	3.1598	6.6948	7.9942	7.4030	8.5960	1.4470	0.8525	5.3097	0.8830	0.0000	0.0000	0.0000	0.0000	2.3390	5.3027	3.3258	6.3762	8.3331	7.1914	8.9723	1.5143	0.8539	5.3407	0.8930	0.0000	0.0000	0.0000	0.0000	2.5103	5.6829	17.5106	14.6524	5.5516	22.8323	18.3695	1.6559	0.8274	4.3981	0.6023	0.0000	0.0000	0.0000	0.0000	9.5100	10.0559	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.1079	17.2422	6.7613	18.6498	9.8101	0.2307	0.8332	5.0573	0.7950	0.0000	0.0000	0.0000	0.0000	3.2839	16.1106
3	-2.8888	-2.7632	73.0156	90.0000	67.9963	1.8947	0.0658	3.0587	3.1542	5.9891	7.3943	6.7689	8.0389	0.2413	0.8487	5.2584	0.8653	0.0000	0.0000	0.0000	0.0000	0.5498	5.1596	3.3419	6.1151	7.2536	6.9687	7.9865	0.0827	0.8505	5.2603	0.8778	0.0000	0.0000	0.0000	0.0000	0.4672	4.9656	15.9979	10.5524	17.2958	19.1648	23.5601	5.5813	0.8064	4.9198	0.4852	0.0000	0.0000	0.0000	0.0000	8.5095	13.0950	100.0000	13.5963	100.5443	100.9201	141.8067	13.3092	0.7960	2.5930	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	6.8726	5.9289	6.0676	9.0766	9.1678	0.2476	0.8359	5.4832	0.8279	0.0000	0.0000	0.0000	0.0000	1.9239	2.5151
4	-2.7632	-2.6376	77.4157	71.0000	72.6944	1.7555	0.0000	2.9658	3.1415	8.2646	6.7854	8.8415	7.4774	1.3471	0.8520	5.3390	0.8841	0.0000	0.0000	0.0000	0.0000	1.3216	5.9050	3.3095	8.4168	6.5853	9.0441	7.3702	1.3059	0.8531	5.3556	0.8931	0.0000	0.0000	0.0000	0.0000	1.6942	6.0104	16.1415	5.3679	18.5451	17.0106	24.5859	2.2906	0.8211	4.3577	0.6510	0.0000	0.0000	0.0000	0.0000	6.6253	16.5950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2495	7.9077	8.4771	10.7278	11.1542	1.8002	0.8442	5.5131	0.8030	0.0000	0.0000	0.0000	0.0000	3.1067	5.3784
5	-2.6376	-2.5120	75.8651	87.0000	71.6298	1.2608	0.0074	2.9671	3.1765	7.6682	9.1512	8.3001	9.6869	1.2610	0.8530	5.4258	0.8794	0.0000	0.0000	0.0000	0.0000	1.2797	7.1543	3.3329	7.3305	9.8302	8.0527	10.3799	1.3345	0.8542	5.4544	0.8848	0.0000	0.0000	0.0000	0.0000	1.8774	7.8551	18.9953	21.1764	4.6271	28.4475	19.5507	1.9409	0.8216	4.5742	0.6739	0.0000	0.0000	0.0000	0.0000	6.3601	19.5491	100.0000	1247.9261	59.0641	1251.9264	116.1403	116.0380	0.7960	5.5600	0.6048	0.0000	0.0000	0.0000	0.0000	878.5849	878.5849	7.5611	17.7127	5.4770	19.2590	9.3364	1.7532	0.8368	5.0992	0.8374	0.0000	0.0000	0.0000	0.0000	7.6943	14.9686
6	-2.5120	-2.3864	74.1330	91.0000	70.1702	1.1592	0.0654	2.7383	3.1985	7.3539	7.2363	8.0193	7.9117	0.7991	0.8514	5.4361	0.8771	0.0000	0.0000	0.0000	0.0000	2.0579	4.6234	3.3498	7.3039	7.1672	8.0354	7.9114	0.8834	0.8526	5.4518	0.8840	0.0000	0.0000	0.0000	0.0000	2.4513	4.4682	20.1030	20.6596	12.0585	28.8262	23.4422	1.3265	0.8197	5.0863	0.6138	0.0000	0.0000	0.0000	0.0000	8.8089	17.9316	100.0000	15.9202	140.2265	101.2593	172.2309	14.5913	0.7960	6.2887	0.6048	0.0000	0.0000	0.0000	0.0000	100.0000	97.5334	7.1752	11.1773	9.6484	13.2821	12.0239	1.0734	0.8330	5.1624	0.8171	0.0000	0.0000	0.0000	0.0000	5.3898	9.7861
7	-2.3864	-2.2608	72.1179	79.0000	66.8965	1.9969	0.0489	3.1756	3.1646	9.0404	5.9474	9.5783	6.7369	0.2400	0.8537	5.3507	0.8813	0.0000	0.0000	0.0000	0.0000	2.6277	6.6807	3.3655	9.7479	5.8766	10.3125	6.7721	0.3010	0.8544	5.3739	0.8901	0.0000	0.0000	0.0000	0.0000	3.0925	7.4139	15.0047	4.8913	12.8379	15.7818	19.7472	0.2928	0.8299	4.7674	0.7127	0.0000	0.0000	0.0000	0.0000	7.4938	9.2558	88.6734	33.2521	35.2071	94.7030	95.4071	34.6125	0.8218	5.5386	0.7624	0.0000	0.0000	0.0000	0.0000	0.0000	3.2981	6.8937	5.6142	8.7476	8.8906	11.1375	1.4011	0.8538	5.2256	0.8052	0.0000	0.0000	0.0000	0.0000	0.7584	6.8325
8	-2.2608	-2.1352	71.7862	72.0000	67.5386	1.3290	0.0000	2.9186	3.2193	7.2167	10.1456	7.9022	10.6441	0.9071	0.8503	5.3389	0.8577	0.0000	0.0000	0.0000	0.0000	1.2296	8.4975	3.3880	7.1107	10.8752	7.8766	11.3907	0.8885	0.8513	5.3581	0.8623	0.0000	0.0000	0.0000	0.0000	1.4632	9.3141	18.5106	30.8156	5.0854	35.9478	19.1964	1.7378	0.8131	4.9419	0.5859	0.0000	0.0000	0.0000	0.0000	12.3792	27.7112	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2115	6.5212	5.9175	9.7228	9.3286	2.8222	0.8451	5.0751	0.8756	0.0000	0.0000	0.0000	0.0000	0.7746	2.5931
9	-2.1352	-2.0096	72.2773	102.0000	67.9829	1.5807	0.0000	2.7136	3.2038	9.6688	5.9965	10.1858	6.7987	0.0930	0.8499	5.2748	0.8653	0.0000	0.0000	0.0000	0.0000	1.2201	8.0065	3.3708	9.7560	5.9428	10.3219	6.8322	0.0589	0.8517	5.2957	0.8755	0.0000	0.0000	0.0000	0.0000	1.3629	8.0916	17.0144	8.2932	12.1300	18.9280	20.8956	2.8848	0.7996	4.7999	0.5589	0.0000	0.0000	0.0000	0.0000	9.4310	6.4885	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2433	9.1177	8.8913	11.6446	11.4683	0.2138	0.8339	5.0259	0.7863	0.0000	0.0000	0.0000	0.0000	3.2915	7.3299
10	-2.0096	-1.8840	70.4766	68.0000	65.3395	2.0925	0.0000	3.0446	3.1996	7.2396	9.7958	7.9152	10.3051	0.3166	0.8450	5.3910	0.8328	0.0000	0.0000	0.0000	0.0000	0.7717	8.1488	3.4050	7.4572	9.4275	8.1978	10.0236	0.4146	0.8459	5.4157	0.8407	0.0000	0.0000	0.0000	0.0000	0.9935	7.6558	14.4341	7.8281	22.0019	16.4202	26.3141	2.2580	0.8283	5.0014	0.6138	0.0000	0.0000	0.0000	0.0000	5.7185	21.0277	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.8709	8.2535	12.3178	10.7392	14.1045	0.8875	0.8366	5.1290	0.8147	0.0000	0.0000	0.0000	0.0000	5.2925	9.8768
11	-1.8840	-1.7584	73.7530	85.0000	69.3119	1.5728	0.0733	2.7949	3.1803	5.7633	6.6159	6.5825	7.3406	0.5178	0.8497	5.5487	0.8430	0.0000	0.0000	0.0000	0.0000	1.6938	3.2335	3.3496	5.7675	6.8140	6.6696	7.5928	0.6872	0.8507	5.5483	0.8511	0.0000	0.0000	0.0000	0.0000	1.8877	3.5134	16.6481	9.7836	6.6311	19.3100	17.9201	2.9490	0.8126	5.3650	0.4659	0.0000	0.0000	0.0000	0.0000	2.6450	7.9963	95.4882	12.7442	10.5429	96.3349	96.0684	9.7046	1.0046	7.9875	1.8510	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.9698	9.1075	6.0036	11.4684	9.1990	1.9747	0.8409	5.5970	0.8296	0.0000	0.0000	0.0000	0.0000	3.6060	5.7991
12	-1.7584	-1.6328	70.9104	64.0000	65.8482	2.3409	0.0021	2.7193	3.2458	10.3055	6.8887	10.8046	7.6151	0.9148	0.8461	5.1955	0.8448	0.0000	0.0000	0.0000	0.0000	2.3894	8.4401	3.4456	10.6790	6.7842	11.2211	7.6090	0.9527	0.8476	5.2100	0.8588	0.0000	0.0000	0.0000	0.0000	2.5260	8.8403	14.0394	4.9467	13.3362	14.8854	19.3638	1.0877	0.8161	4.8326	0.5084	0.0000	0.0000	0.0000	0.0000	2.1429	12.2027	100.0000	13.3197	12.5193	100.8832	100.7806	11.5069	1.0147	6.3410	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.4898	10.5593	6.0495	12.9459	9.6277	0.5868	0.8359	5.1552	0.7940	0.0000	0.0000	0.0000	0.0000	2.4808	8.7804
13	-1.6328	-1.5072	76.0572	70.0000	71.4562	1.8002	0.0220	2.7789	3.1317	8.3285	10.5209	8.8978	10.9771	0.5964	0.8499	5.4984	0.8520	0.0000	0.0000	0.0000	0.0000	0.9530	8.9616	3.2972	8.1742	10.8827	8.8141	11.3713	0.6078	0.8510	5.5194	0.8608	0.0000	0.0000	0.0000	0.0000	0.8526	9.3473	16.1177	13.3964	8.0007	20.9581	17.9942	2.1840	0.8184	5.4101	0.5156	0.0000	0.0000	0.0000	0.0000	11.9709	2.2180	72.5867	593.2363	66.9916	597.6605	98.7760	26.0700	0.7960	3.7605	0.2323	0.0000	0.0000	0.0000	0.0000	438.1212	399.7148	7.0169	15.3495	8.1344	16.8774	10.7426	0.6131	0.8434	5.0285	0.8483	0.0000	0.0000	0.0000	0.0000	4.0217	13.8802
14	-1.5072	-1.3816	73.4087	95.0000	68.5982	1.7324	0.2386	2.8394	3.1585	10.1577	7.3009	10.6375	7.9549	0.1410	0.8481	5.4530	0.8413	0.0000	0.0000	0.0000	0.0000	0.8006	8.4476	3.3343	10.5678	7.4097	11.0813	8.1254	0.2720	0.8485	5.4806	0.8485	0.0000	0.0000	0.0000	0.0000	1.3524	8.8506	16.5766	12.7781	11.0641	20.9300	19.9298	4.7691	0.8259	5.1798	0.5109	0.0000	0.0000	0.0000	0.0000	8.9696	5.9219	58.5237	26.5003	45.4560	64.2440	74.1032	17.1407	0.9131	3.2150	1.1439	0.0000	0.0000	0.0000	0.0000	21.2774	36.8121	7.2349	6.8069	10.1047	9.9337	12.4278	1.4322	0.8446	5.1399	0.8441	0.0000	0.0000	0.0000	0.0000	6.9801	4.9930
15	-1.3816	-1.2560	73.7414	94.0000	68.9026	1.3819	0.2163	3.2406	3.1951	6.5475	9.9623	7.2855	10.4621	0.7798	0.8437	5.4945	0.8396	0.0000	0.0000	0.0000	0.0000	3.5340	7.5085	3.3789	6.2818	10.1521	7.1329	10.6996	0.6718	0.8447	5.4561	0.8433	0.0000	0.0000	0.0000	0.0000	3.9881	7.5647	18.6628	16.8191	12.7694	25.1234	22.6133	2.0642	0.8169	5.8769	0.5587	0.0000	0.0000	0.0000	0.0000	3.7078	15.1445	55.7716	28.8076	24.2959	62.7722	60.8339	10.1039	0.8122	12.3474	0.7037	0.0000	0.0000	0.0000	0.0000	21.0418	23.9619	6.8999	10.4347	8.2641	12.5096	10.7659	1.9048	0.8364	5.6908	0.8891	0.0000	0.0000	0.0000	0.0000	5.0435	6.7781
16	-1.2560	-1.1304	73.1369	69.0000	68.4891	1.5812	0.1182	2.9485	3.1397	9.1594	7.0322	9.6825	7.7013	0.1267	0.8505	5.4090	0.8475	0.0000	0.0000	0.0000	0.0000	2.8519	6.7116	3.3149	9.5811	7.0295	10.1383	7.7719	0.1639	0.8516	5.4354	0.8579	0.0000	0.0000	0.0000	0.0000	3.4298	7.0002	16.8916	5.4252	17.9599	17.7415	24.6553	2.0363	0.8150	4.9364	0.5044	0.0000	0.0000	0.0000	0.0000	15.8821	6.6379	71.2440	137.0114	56.4691	154.4275	90.9091	4.5086	1.0147	3.6441	1.0898	0.0000	0.0000	0.0000	0.0000	0.0000	136.9549	6.7837	6.1098	5.7697	9.1295	8.9055	1.5763	0.8375	5.1214	0.7800	0.0000	0.0000	0.0000	0.0000	2.2477	2.1120
