Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	74.1353	81.0000	68.8208	1.7606	0.2150	3.3389	3.1270	8.2700	7.0989	8.8414	7.7571	0.4957	0.8487	5.3958	0.8294	0.0000	0.0000	0.0000	0.0000	0.7171	6.1007	3.3218	8.4075	7.1179	9.0400	7.8549	0.4163	0.8505	5.4068	0.8370	0.0000	0.0000	0.0000	0.0000	0.7983	6.2689	16.3555	6.9939	6.1805	17.7881	17.4843	3.2232	0.8035	5.4174	0.5135	0.0000	0.0000	0.0000	0.0000	0.3212	2.8754	58.1878	6.0562	9.1573	58.5021	58.9040	7.0536	0.8353	5.9678	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6337	7.0775	7.8814	9.7004	10.3015	0.6369	0.8349	5.1190	0.8540	0.0000	0.0000	0.0000	0.0000	0.6046	5.9156
2	-3.0144	-2.8888	75.8629	79.0000	70.5406	1.7898	0.0761	3.4563	3.1415	7.6921	7.6282	8.3089	8.2498	1.0042	0.8523	5.5116	0.8472	0.0000	0.0000	0.0000	0.0000	0.2731	5.2262	3.3359	7.7193	7.8281	8.4092	8.5093	1.0149	0.8535	5.5272	0.8558	0.0000	0.0000	0.0000	0.0000	0.2927	5.5060	16.2230	8.3916	5.2687	18.2648	17.0571	0.7298	0.8162	5.2584	0.5691	0.0000	0.0000	0.0000	0.0000	2.4843	5.9671	86.8842	7.6112	3.9015	87.2170	86.9718	6.6070	0.9844	3.1980	1.7555	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.7069	7.1947	6.9450	9.8360	9.6549	2.0340	0.8433	5.3749	0.7968	0.0000	0.0000	0.0000	0.0000	1.0253	4.4094
3	-2.8888	-2.7632	78.2013	90.0000	72.7332	2.3454	0.0592	3.0636	3.1108	7.8625	7.1370	8.4555	7.7855	1.3202	0.8478	5.3903	0.8415	0.0000	0.0000	0.0000	0.0000	0.7208	5.4400	3.3009	7.9502	7.2402	8.6082	7.9572	1.4808	0.8492	5.4277	0.8516	0.0000	0.0000	0.0000	0.0000	0.7916	5.4868	14.0084	6.3584	7.0017	15.3839	15.6608	1.0020	0.8188	4.6726	0.5877	0.0000	0.0000	0.0000	0.0000	3.5593	4.1913	85.9448	25.8428	30.9691	89.7460	91.3542	30.4834	0.8298	5.5095	0.5113	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.8000	7.5107	6.0172	10.1317	9.0801	0.9532	0.8361	5.0500	0.8025	0.0000	0.0000	0.0000	0.0000	0.6355	5.3880
4	-2.7632	-2.6376	79.5048	99.0000	74.6114	1.8512	0.1082	2.9340	3.0674	7.1924	7.8977	7.8191	8.4725	0.9846	0.8475	5.3893	0.8787	0.0000	0.0000	0.0000	0.0000	0.2269	5.7475	3.2281	7.1203	8.0654	7.8179	8.6875	0.9641	0.8485	5.4092	0.8876	0.0000	0.0000	0.0000	0.0000	0.2856	5.9534	16.5986	8.8727	5.2258	18.8212	17.4018	2.4145	0.8230	4.9908	0.6414	0.0000	0.0000	0.0000	0.0000	2.5957	6.3371	75.0646	7.0334	7.0598	75.3934	75.3959	1.9441	0.8312	6.9579	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2446	8.8679	6.3476	11.4509	9.6321	0.7112	0.8382	5.0753	0.8132	0.0000	0.0000	0.0000	0.0000	0.9696	7.0761
5	-2.6376	-2.5120	70.6794	92.0000	65.8037	1.7154	0.1290	3.0314	3.2085	7.7899	6.9116	8.4248	7.6201	0.7318	0.8532	5.3388	0.8831	0.0000	0.0000	0.0000	0.0000	0.5025	5.4813	3.4024	7.7512	6.9974	8.4650	7.7807	0.8764	0.8553	5.3815	0.8930	0.0000	0.0000	0.0000	0.0000	0.5527	5.3564	16.2870	10.8570	4.0837	19.5740	16.7912	2.2299	0.8050	3.8523	0.5598	0.0000	0.0000	0.0000	0.0000	0.0000	9.8539	67.7584	10.4483	16.7372	68.5592	69.7949	15.8887	0.9381	5.1166	1.2608	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.9623	8.0527	7.8440	10.6452	10.4882	1.1299	0.8313	5.2639	0.8346	0.0000	0.0000	0.0000	0.0000	0.6143	5.9509
6	-2.5120	-2.3864	79.0914	81.0000	73.6007	2.1051	0.0962	3.2893	3.0406	7.3147	7.1692	7.9215	7.7874	0.6765	0.8498	5.5238	0.8633	0.0000	0.0000	0.0000	0.0000	0.3937	4.5731	3.2198	7.3484	7.1636	8.0228	7.8539	0.5226	0.8510	5.5731	0.8698	0.0000	0.0000	0.0000	0.0000	0.4692	4.5788	15.8808	7.0486	8.2214	17.3748	17.8827	4.5567	0.8226	4.6627	0.6785	0.0000	0.0000	0.0000	0.0000	0.3063	4.9737	72.5714	16.5000	60.9404	74.4235	94.7647	26.0777	0.8380	8.8664	0.6048	0.0000	0.0000	0.0000	0.0000	38.4541	38.4541	6.8647	8.0694	6.8672	10.5943	9.7099	2.5027	0.8403	4.8728	0.8441	0.0000	0.0000	0.0000	0.0000	0.8360	5.7855
7	-2.3864	-2.2608	73.3799	96.0000	68.8714	1.4959	0.0000	3.0126	3.1754	7.6973	7.8707	8.3265	8.4871	1.0727	0.8485	5.4849	0.8569	0.0000	0.0000	0.0000	0.0000	0.4484	5.6035	3.3459	7.4358	7.9279	8.1539	8.6050	0.9862	0.8496	5.5047	0.8657	0.0000	0.0000	0.0000	0.0000	0.4413	5.6675	18.4285	20.2557	7.4560	27.3843	19.8796	6.3455	0.8205	4.6274	0.4779	0.0000	0.0000	0.0000	0.0000	9.8031	15.8623	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.8887	10.7060	7.4329	12.7307	10.1342	0.6999	0.8395	5.4587	0.8446	0.0000	0.0000	0.0000	0.0000	0.7220	9.0935
8	-2.2608	-2.1352	74.5399	70.0000	69.2935	1.7699	0.2629	3.2136	3.1747	8.8806	6.9573	9.4310	7.6474	1.5907	0.8502	5.3614	0.8380	0.0000	0.0000	0.0000	0.0000	0.7254	6.7912	3.3675	9.0533	6.9303	9.6593	7.7051	1.5464	0.8516	5.3926	0.8480	0.0000	0.0000	0.0000	0.0000	0.7518	7.0110	16.5267	7.5056	8.7840	18.1512	18.7161	3.0026	0.8264	4.7453	0.4837	0.0000	0.0000	0.0000	0.0000	0.0000	7.3686	51.1341	4.0855	7.5381	51.2970	51.6867	6.6773	0.8258	3.3625	0.7847	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0555	7.1973	7.1766	10.0787	10.0640	3.1189	0.8364	5.1915	0.8213	0.0000	0.0000	0.0000	0.0000	0.6149	4.2034
9	-2.1352	-2.0096	78.0892	90.0000	72.5822	2.1064	0.1469	3.2537	3.0492	7.6919	7.8588	8.2743	8.4296	0.4939	0.8446	5.4222	0.8540	0.0000	0.0000	0.0000	0.0000	0.1599	5.6809	3.2351	7.6727	7.8254	8.3268	8.4678	0.5525	0.8465	5.4430	0.8699	0.0000	0.0000	0.0000	0.0000	0.1940	5.6096	15.0282	5.9056	9.9823	16.1469	18.0414	2.0600	0.8069	4.9225	0.5345	0.0000	0.0000	0.0000	0.0000	3.8876	7.5045	65.0426	8.3026	9.9136	65.5704	65.7938	6.0848	0.7960	8.2382	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6334	9.8956	8.1654	11.9132	10.5203	0.1033	0.8285	5.1535	0.7182	0.0000	0.0000	0.0000	0.0000	0.7595	8.3417
10	-2.0096	-1.8840	75.6360	85.0000	70.3948	2.1096	0.1317	2.9999	3.1473	7.3642	7.7209	8.0086	8.3378	1.6754	0.8543	5.3590	0.8535	0.0000	0.0000	0.0000	0.0000	0.1893	5.3941	3.3340	7.3818	7.8421	8.0998	8.5215	1.7263	0.8562	5.3930	0.8633	0.0000	0.0000	0.0000	0.0000	0.2270	5.5300	14.7496	5.3469	5.5316	15.6889	15.7528	0.8223	0.8082	4.6872	0.5363	0.0000	0.0000	0.0000	0.0000	0.3921	2.8019	100.0000	41.8501	31.8305	108.4040	104.9437	41.7248	0.9053	2.4270	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0163	8.9162	6.7422	11.3458	9.7307	0.0402	0.8400	5.1625	0.7969	0.0000	0.0000	0.0000	0.0000	0.7958	7.1769
