Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	50.0000	2821.4293	3403.0000	2715.4142	31.6769	1.7790	72.5591	0.5218	6.4626	7.5054	6.4837	7.5235	0.4986	0.0000	0.0000	0.0000	0.1766	0.0000	0.6897	0.2663	0.6868	7.4186	0.5380	6.5722	7.5707	6.5942	7.5898	0.5032	0.0000	0.0000	0.0000	0.1767	0.0000	0.6911	0.2668	0.6938	7.4836	4.5875	2.7979	4.1918	5.3734	6.2142	1.1554	0.0000	0.0000	0.0000	0.0989	0.0000	0.4212	0.1930	0.6717	4.1068	18.2125	9.1435	21.7431	20.3789	28.3630	3.0224	0.0000	0.0000	0.0000	0.1159	0.0000	0.4732	0.2255	5.8572	21.4615	1.4397	4.7861	6.9340	4.9979	7.0819	0.4185	0.0000	0.0000	0.0000	0.2077	0.0000	0.7596	0.2789	1.1786	6.7747
2	50.0000	100.0000	2307.4336	2740.0000	2159.8497	64.1984	4.9290	78.4566	0.5729	6.0128	5.0786	6.0400	5.1109	0.3538	0.0000	0.0000	0.0000	0.1919	0.0000	0.7163	0.2760	0.8812	5.8864	0.6042	6.0620	5.0317	6.0921	5.0678	0.3608	0.0000	0.0000	0.0000	0.1936	0.0000	0.7240	0.2779	0.9692	5.9218	2.6820	4.3469	6.0235	5.1077	6.5936	0.5877	0.0000	0.0000	0.0000	0.0978	0.0000	0.3943	0.1943	0.8643	5.9153	11.6752	0.9630	8.7026	11.7149	14.5618	1.6340	0.0000	0.0000	0.0000	0.1258	0.0000	0.5675	0.2413	5.3762	6.6157	1.3779	6.6567	5.6977	6.7979	5.8620	0.1081	0.0000	0.0000	0.0000	0.2248	0.0000	0.7758	0.2929	0.4741	6.5943
3	100.0000	150.0000	1069.6377	1264.0000	958.5465	63.8671	4.3417	42.8825	0.8182	5.6367	4.8537	5.6958	4.9222	0.0761	0.0000	0.0000	0.0000	0.2082	0.0000	0.7369	0.2868	0.7829	5.5327	0.8898	5.6221	4.9827	5.6921	5.0615	0.1593	0.0000	0.0000	0.0000	0.2150	0.0000	0.7592	0.2935	0.9136	5.5154	2.6741	5.1897	3.9159	5.8381	4.7418	0.6060	0.0000	0.0000	0.0000	0.0927	0.0000	0.3799	0.1797	1.1589	5.0343	12.1585	18.1850	4.6876	21.8752	13.0308	3.9074	0.0000	0.0000	0.0000	0.1109	0.0000	0.5086	0.2022	1.9836	17.6403	1.8619	5.6100	4.0505	5.9109	4.4579	0.5033	0.0000	0.0000	0.0000	0.2372	0.0000	0.7923	0.3037	0.9853	5.4339
4	150.0000	200.0000	513.6706	561.0000	437.8187	49.1494	2.7900	23.9124	1.1070	4.2347	5.1304	4.3770	5.2485	0.0485	0.0000	0.0000	0.0000	0.2003	0.0000	0.7159	0.2782	1.3400	4.8887	1.2418	3.9530	4.6370	4.1434	4.8004	0.0905	0.0000	0.0000	0.0000	0.2105	0.0000	0.7508	0.2887	1.4567	4.3235	3.0437	6.0345	8.3638	6.7587	8.9004	0.4534	0.0000	0.0000	0.0000	0.0924	0.0000	0.3878	0.1743	1.0570	8.2729	14.7226	15.1473	11.2913	21.1233	18.5539	2.4941	0.0000	0.0000	0.0000	0.1293	0.0000	0.4228	0.1928	0.6715	15.0626	2.5396	4.8122	7.6711	5.4412	8.0806	0.7111	0.0000	0.0000	0.0000	0.2443	0.0000	0.7868	0.3095	0.5126	7.5702
5	200.0000	250.0000	251.7067	260.0000	203.0231	33.9312	3.0435	11.7089	1.4396	5.9580	5.6983	6.1295	5.8774	0.2466	0.0000	0.0000	0.0000	0.2003	0.0000	0.7115	0.2780	0.9625	5.8299	1.6462	5.6282	5.8818	5.8640	6.1079	0.2073	0.0000	0.0000	0.0000	0.2153	0.0000	0.7635	0.2928	1.1954	5.6970	3.6795	7.3332	5.6342	8.2045	6.7292	0.1336	0.0000	0.0000	0.0000	0.0935	0.0000	0.3718	0.1734	0.4662	7.3050	15.1534	4.1079	15.4103	15.7003	21.6125	4.0548	0.0000	0.0000	0.0000	0.1214	0.0000	0.6083	0.2211	7.9806	12.9517	3.7081	13.6244	3.1783	14.1200	4.8838	0.2652	0.0000	0.0000	0.0000	0.2693	0.0000	0.8217	0.3404	6.0693	12.1595
6	250.0000	300.0000	127.4180	146.0000	94.6393	23.5901	1.8150	7.3736	1.6772	9.2179	4.3922	9.3692	4.7015	0.9413	0.0000	0.0000	0.0000	0.2025	0.0000	0.6957	0.2731	2.6874	8.7328	1.9067	9.8594	4.6297	10.0421	5.0070	1.4461	0.0000	0.0000	0.0000	0.2265	0.0000	0.7733	0.2958	3.1162	9.2016	4.3845	7.5497	1.7177	8.7306	4.7090	0.1712	0.0000	0.0000	0.0000	0.0956	0.0000	0.3679	0.1745	1.5367	7.3798	19.0204	21.7250	15.5657	28.8748	24.5778	3.7985	0.0000	0.0000	0.0000	0.1048	0.0000	0.5160	0.1733	12.6334	17.4979	4.7373	4.9835	8.4788	6.8759	9.7125	0.8118	0.0000	0.0000	0.0000	0.2612	0.0000	0.7933	0.3225	1.5823	8.2420
7	300.0000	350.0000	73.3879	73.0000	51.9111	16.8197	0.7166	3.9406	2.0131	6.7042	7.0887	6.9999	7.3691	0.6854	0.0000	0.0000	0.0000	0.2135	0.0000	0.7190	0.2817	0.9490	6.9591	2.1863	6.9351	4.9667	7.2715	5.4266	1.0685	0.0000	0.0000	0.0000	0.2487	0.0000	0.8157	0.3144	1.4580	6.6334	5.2725	6.3347	14.1019	8.2419	15.0554	0.7016	0.0000	0.0000	0.0000	0.1081	0.0000	0.4290	0.1854	1.9439	13.9452	26.0872	21.1004	16.3570	33.5524	30.7911	16.3510	0.0000	0.0000	0.0000	0.0947	0.0000	0.4031	0.1553	9.9952	11.9155	6.8666	6.5512	9.3371	9.4905	11.5902	1.8001	0.0000	0.0000	0.0000	0.2204	0.0000	0.7413	0.2839	2.3802	9.1803
8	350.0000	400.0000	41.2043	33.0000	27.7099	10.3910	0.6829	2.4205	2.4808	11.2244	8.1959	11.4953	8.5631	1.1053	0.0000	0.0000	0.0000	0.2042	0.0000	0.6921	0.2790	1.9483	11.0535	2.5452	8.0328	7.0236	8.4264	7.4705	1.4434	0.0000	0.0000	0.0000	0.2401	0.0000	0.7932	0.3148	2.3785	7.6231	6.5679	18.7612	9.0322	19.8777	11.1677	0.2932	0.0000	0.0000	0.0000	0.1046	0.0000	0.4119	0.1818	1.3569	18.7041	31.1096	27.8956	33.2170	41.7849	45.5102	3.3420	0.0000	0.0000	0.0000	0.1209	0.0000	0.4191	0.1835	9.1118	31.9083	7.9040	13.0894	13.3563	15.2907	15.5198	2.7202	0.0000	0.0000	0.0000	0.2442	0.0000	0.8145	0.3126	3.1349	12.7882
9	400.0000	450.0000	23.5964	16.0000	15.1233	6.6184	0.2982	1.5565	3.1317	9.3852	6.8703	9.8939	7.5504	0.9319	0.0000	0.0000	0.0000	0.1919	0.0000	0.6623	0.2663	2.5759	9.2945	2.9765	10.6691	9.4241	11.0765	9.8830	1.1532	0.0000	0.0000	0.0000	0.2224	0.0000	0.7778	0.2966	3.1676	10.5387	8.3057	8.3149	2.2285	11.7525	8.5994	0.6597	0.0000	0.0000	0.0000	0.1071	0.0000	0.3944	0.1884	1.7838	8.3024	43.8561	19.3289	19.1133	47.9267	47.8402	2.5886	0.0000	0.0000	0.0000	0.1203	0.0000	0.3264	0.2360	2.4472	19.0973	9.9879	10.1317	10.7956	14.2270	14.7072	2.6451	0.0000	0.0000	0.0000	0.2705	0.0000	0.7432	0.3092	7.0999	8.6022
10	450.0000	500.0000	15.5210	10.0000	8.6228	5.5439	0.3159	1.0384	3.9976	4.3694	10.2905	5.9222	11.0397	1.1508	0.0000	0.0000	0.0000	0.2122	0.0000	0.6630	0.2765	1.7689	10.2217	3.0550	8.5180	7.6833	9.0493	8.2684	1.2374	0.0000	0.0000	0.0000	0.2714	0.0000	0.8354	0.3337	3.4072	7.6507	9.3999	2.6796	14.6560	9.7744	17.4114	3.1177	0.0000	0.0000	0.0000	0.1011	0.0000	0.3630	0.1705	0.3497	14.3103	49.5628	14.7221	30.9041	51.7031	58.4083	14.5029	0.0000	0.0000	0.0000	0.1159	0.0000	0.3366	0.1799	2.3627	30.0630	13.4453	6.6334	6.0745	14.9926	14.7538	3.9906	0.0000	0.0000	0.0000	0.3434	0.0000	0.9323	0.3963	3.3321	4.6612
