Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	50.0000	100.0000	1480.8184	1869.0000	1303.5623	145.8405	4.4585	26.9571	0.6824	8.0873	7.7090	8.1160	7.7391	0.4062	0.0000	0.0000	0.0000	0.1007	0.0000	0.3711	0.2321	0.5728	8.0442	0.7439	8.1096	7.6453	8.1436	7.6814	0.5069	0.0000	0.0000	0.0000	0.1033	0.0000	0.3780	0.2386	0.5639	8.0610	1.8598	7.7158	7.8029	7.9368	8.0215	0.4626	0.0000	0.0000	0.0000	0.0783	0.0000	0.3130	0.1766	0.6897	7.7677	11.9692	9.0680	10.9393	15.0163	16.2152	1.1769	0.0000	0.0000	0.0000	0.0809	0.0000	0.3510	0.1908	0.5168	10.9318	2.4685	9.1133	10.0160	9.4417	10.3157	0.0647	0.0000	0.0000	0.0000	0.0958	0.0000	0.3535	0.2204	0.4697	10.0035
3	100.0000	150.0000	1974.1200	2357.0000	1809.2619	106.6712	4.6662	53.5207	0.5964	6.8212	6.7680	6.8472	6.7942	0.1296	0.0000	0.0000	0.0000	0.1158	0.0000	0.5581	0.2222	0.3552	6.7873	0.6364	6.8882	6.8296	6.9176	6.8592	0.0945	0.0000	0.0000	0.0000	0.1174	0.0000	0.5688	0.2257	0.4010	6.8536	2.0745	5.4174	5.5332	5.8010	5.9093	0.6132	0.0000	0.0000	0.0000	0.0902	0.0000	0.3844	0.1702	0.2853	5.4938	11.8750	6.1710	6.0344	13.3827	13.3202	1.4418	0.0000	0.0000	0.0000	0.1042	0.0000	0.4852	0.1987	1.8669	5.9745	1.6923	7.4949	7.3280	7.6836	7.5208	0.2502	0.0000	0.0000	0.0000	0.1126	0.0000	0.5468	0.2098	0.1268	7.4664
4	150.0000	200.0000	1482.0395	1792.0000	1387.3232	37.9174	2.1633	54.6356	0.6996	5.9044	5.8746	5.9457	5.9161	0.1468	0.0000	0.0000	0.0000	0.1364	0.0000	0.7134	0.2246	0.3682	5.8428	0.7378	5.9497	5.9364	5.9953	5.9821	0.1567	0.0000	0.0000	0.0000	0.1372	0.0000	0.7215	0.2264	0.3926	5.8859	3.4862	3.3178	3.0339	4.8126	4.6215	0.5258	0.0000	0.0000	0.0000	0.1133	0.0000	0.4856	0.1788	0.5005	3.1949	17.5204	9.3445	11.0219	19.8566	20.6990	5.4615	0.0000	0.0000	0.0000	0.1179	0.0000	0.4983	0.1904	2.8840	9.1126	1.6555	6.5395	6.2121	6.7458	6.4290	0.1413	0.0000	0.0000	0.0000	0.1311	0.0000	0.6757	0.2115	0.2501	6.4967
5	200.0000	250.0000	1027.6031	1130.0000	969.5051	13.7976	1.3816	42.9187	0.8573	5.1202	5.3213	5.1915	5.3899	0.5475	0.0000	0.0000	0.0000	0.2720	0.0000	0.9760	0.3064	0.1197	5.1856	0.9007	5.1686	5.3543	5.2465	5.4295	0.5738	0.0000	0.0000	0.0000	0.2732	0.0000	0.9812	0.3072	0.1145	5.2156	5.7130	2.3998	2.5878	6.1965	6.2717	1.7335	0.0000	0.0000	0.0000	0.1925	0.0000	0.7306	0.2552	0.0411	1.9172	23.0974	4.9042	5.5801	23.6123	23.7618	4.7996	0.0000	0.0000	0.0000	0.2798	0.0000	0.9148	0.3157	0.0000	4.5442	1.8437	5.3184	5.6810	5.6289	5.9726	0.4491	0.0000	0.0000	0.0000	0.2721	0.0000	0.9385	0.3056	0.2862	5.5776
6	250.0000	300.0000	620.8974	653.0000	585.9912	4.5067	0.4195	29.9800	1.1088	4.8045	4.4188	4.9307	4.5558	0.4737	0.0000	0.0000	0.0000	0.2588	0.0000	0.9273	0.2988	0.2698	4.6727	1.1668	4.8519	4.4414	4.9902	4.5922	0.5247	0.0000	0.0000	0.0000	0.2598	0.0000	0.9304	0.2994	0.2801	4.7156	9.5176	2.9853	2.6041	9.9748	9.8674	1.9386	0.0000	0.0000	0.0000	0.1936	0.0000	0.7269	0.2644	0.2749	2.1077	36.3946	11.2607	12.4356	38.0969	38.4605	12.3911	0.0000	0.0000	0.0000	0.1768	0.0000	1.0099	0.2454	0.0000	0.0000	2.2002	4.4049	4.4829	4.9238	4.9937	0.0772	0.0000	0.0000	0.0000	0.2494	0.0000	0.8965	0.2926	0.2842	4.3747
7	300.0000	350.0000	335.8787	367.0000	316.9816	1.6564	0.2616	16.9791	1.5062	3.4823	3.7276	3.7941	4.0204	0.1258	0.0000	0.0000	0.0000	0.2430	0.0000	0.8817	0.2881	0.2245	3.6008	1.5855	3.4837	3.7463	3.8276	4.0680	0.1158	0.0000	0.0000	0.0000	0.2438	0.0000	0.8838	0.2884	0.2419	3.6200	16.8182	2.4035	1.9466	16.9891	16.9305	2.2182	0.0000	0.0000	0.0000	0.2055	0.0000	0.7578	0.2778	0.0000	1.5089	43.5822	10.2016	27.6064	44.7602	51.5899	10.1823	0.0000	0.0000	0.0000	0.1830	0.0000	0.5455	0.2505	18.1496	18.1496	2.9113	3.8549	3.3787	4.8308	4.4600	0.6593	0.0000	0.0000	0.0000	0.2330	0.0000	0.8602	0.2848	0.2241	3.6743
8	350.0000	400.0000	170.0185	177.0000	160.2699	0.6033	0.0549	9.0904	2.1083	2.0414	2.3957	2.9347	3.1913	0.6092	0.0000	0.0000	0.0000	0.2310	0.0000	0.8493	0.2822	0.2179	2.1464	2.2231	2.0571	2.4401	3.0289	3.3010	0.6779	0.0000	0.0000	0.0000	0.2316	0.0000	0.8527	0.2827	0.2310	2.1785	24.3102	1.2975	0.7074	24.3448	24.3205	1.0870	0.0000	0.0000	0.0000	0.1820	0.0000	0.6382	0.2482	0.0000	0.0000	62.1300	54.1273	45.7027	82.4008	77.1290	54.1244	0.0000	0.0000	0.0000	0.1549	0.0000	0.4782	0.2391	0.0000	0.0000	3.9845	2.1899	1.9776	4.5466	4.4483	0.3544	0.0000	0.0000	0.0000	0.2236	0.0000	0.8051	0.2764	0.0305	1.9956
9	400.0000	450.0000	78.9975	87.0000	73.7078	0.5085	0.0401	4.7410	2.9727	1.4585	2.5425	3.3113	3.9117	0.1963	0.0000	0.0000	0.0000	0.2159	0.0000	0.8068	0.2731	0.2565	2.3647	3.1592	1.4568	2.5946	3.4790	4.0881	0.2582	0.0000	0.0000	0.0000	0.2160	0.0000	0.8080	0.2735	0.2484	2.4153	29.7738	3.9126	3.7939	30.0298	30.0145	3.8321	0.0000	0.0000	0.0000	0.1747	0.0000	0.7300	0.2459	0.0000	0.0000	99.9972	34.0348	31.1426	105.6305	104.7344	31.1377	0.0000	0.0000	0.0000	0.1547	0.0000	0.4777	0.2391	0.0000	27.9390	5.4994	1.7164	2.2980	5.7611	5.9603	0.9765	0.0000	0.0000	0.0000	0.2199	0.0000	0.7992	0.2702	0.4113	1.8514
10	450.0000	500.0000	41.3826	39.0000	38.5711	0.1903	0.0003	2.6209	3.9473	5.7930	5.5629	7.0100	6.8211	1.2865	0.0000	0.0000	0.0000	2.6248	0.0000	4.1104	2.4629	0.2145	1.4167	4.1962	5.8540	5.5963	7.2026	6.9947	1.3935	0.0000	0.0000	0.0000	2.6314	0.0000	4.1184	2.4688	0.2148	1.5169	51.1143	7.1656	8.1534	51.6141	51.7605	7.0229	0.0000	0.0000	0.0000	1.9223	0.0000	3.2133	1.7951	0.0000	0.0000	73.2223	30.5581	24.7418	79.3429	77.2894	30.3480	0.0000	0.0000	0.0000	1.5391	0.0000	2.8176	1.5788	0.0000	0.0000	7.5617	5.4096	5.4198	9.2975	9.3034	0.4608	0.0000	0.0000	0.0000	2.5788	0.0000	4.0580	2.4249	0.2395	0.6674
11	500.0000	550.0000	20.9295	21.0000	19.2973	0.1062	0.0000	1.5260	5.1602	5.3270	5.7037	7.4165	7.6915	0.7972	0.0000	0.0000	0.0000	2.5086	0.0000	3.9691	2.3596	0.7634	1.9537	5.5240	5.3796	5.8682	7.7107	8.0592	1.4989	0.0000	0.0000	0.0000	2.5139	0.0000	3.9727	2.3611	0.8280	1.9859	64.9520	8.6217	7.9932	65.5217	65.4419	6.8212	0.0000	0.0000	0.0000	2.3855	0.0000	4.0485	2.3926	0.0000	0.0000	100.0000	18.0472	13.4620	101.6155	100.9021	17.1701	0.0000	0.0000	0.0000	2.9078	0.0000	4.0838	2.3998	0.0000	0.0000	10.4286	9.4787	7.0595	14.0927	12.5933	7.5454	0.0000	0.0000	0.0000	2.4493	0.0000	3.9171	2.3383	0.3785	2.4413
