Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.5988	1.0000	0.0003	0.5392	0.0000	0.0594	27.1008	61.5188	2.9455	67.2236	27.2604	2.0640	0.4531	2.2992	0.0000	0.0000	0.0000	0.5147	0.1633	16.9343	59.0571	100.0000	89.2140	55.2559	134.0117	114.2507	88.7699	0.3972	2.1966	0.0000	0.0000	0.0000	0.3045	0.1367	0.0000	8.5994	29.0662	66.9002	11.2982	72.9416	31.1848	3.6241	0.4538	2.3440	0.0000	0.0000	0.0000	0.5061	0.1674	10.4950	66.6545	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.9602	188.9073	15.9241	201.7953	72.7250	13.8985	0.4471	1.8927	0.0000	0.0000	0.0000	0.5941	0.1269	188.3798	9.6921
2	-4.8000	-4.6000	1.4004	1.0000	0.0049	1.2150	0.0025	0.1779	20.2887	5.8131	42.6970	21.1051	47.2723	4.1161	0.4241	4.0137	0.0000	0.0000	0.0000	0.6964	0.2740	11.4327	40.7432	100.0000	1.6456	141.6080	100.0135	173.3575	7.4114	0.5061	1.5330	0.0000	0.0000	0.0000	0.1028	0.0609	99.9764	100.0000	21.8907	4.6130	35.4515	22.3715	41.6655	2.6187	0.4141	3.9677	0.0000	0.0000	0.0000	0.5685	0.1937	8.6476	34.0426	100.0000	13.5132	14.5625	100.9089	101.0548	14.3371	0.3972	2.1966	0.0000	0.0000	0.0000	1.0056	0.7204	0.0000	0.0000	56.0589	17.7980	92.7716	58.8164	108.3936	17.1403	0.4906	4.4223	0.0000	0.0000	0.0000	1.5826	0.8225	33.5120	85.4314
3	-4.6000	-4.4000	1.8443	2.0000	0.0000	1.6434	0.0000	0.2009	15.2773	19.5694	2.8935	24.8265	15.5489	1.8544	0.4485	2.0319	0.0000	0.0000	0.0000	0.7142	0.3060	12.9052	14.4902	92.9060	1060562.6931	100.6471	1060562.6972	136.9721	11.3187	0.3972	1.1577	0.0000	0.0000	0.0000	0.4465	0.1703	982163.5735	400184.8833	16.5162	14.7701	3.4032	22.1572	16.8632	2.3022	0.4476	1.9837	0.0000	0.0000	0.0000	0.5004	0.1637	8.3600	11.9301	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.6363	33.7673	5.3142	50.5640	38.0096	1.8084	0.4563	2.4264	0.0000	0.0000	0.0000	2.4628	1.4706	5.9524	32.9728
4	-4.4000	-4.2000	3.6420	2.0000	0.1512	3.3703	0.0000	0.1204	11.9185	5.0852	16.5487	12.9580	20.3938	4.2006	0.4498	2.7815	0.0000	0.0000	0.0000	0.4981	0.1636	11.2209	11.2927	99.3722	24.0790	142.2062	102.2479	173.4861	23.5950	0.5060	4.7155	0.0000	0.0000	0.0000	0.7566	0.0904	99.3797	99.4698	12.0071	4.9147	11.5353	12.9740	16.6504	4.0467	0.4471	2.7054	0.0000	0.0000	0.0000	0.4821	0.1642	6.4576	8.3207	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.7328	33.6092	43.0138	50.5306	57.2185	26.3461	0.4553	2.4834	0.0000	0.0000	0.0000	0.6204	0.2384	33.8238	21.1716
5	-4.2000	-4.0000	3.8668	8.0000	0.0360	3.6488	0.0682	0.1137	11.8568	20.0137	10.5000	23.2622	15.8377	5.8933	0.4529	2.7054	0.0000	0.0000	0.0000	0.5004	0.2148	5.9178	17.9715	97.8717	330.1827	44.5202	344.3827	107.5217	47.4951	0.5056	4.6994	0.0000	0.0000	0.0000	0.3180	0.1441	0.3519	326.7143	12.1174	13.8408	13.3355	18.3957	18.0185	6.0881	0.4519	2.6330	0.0000	0.0000	0.0000	0.5126	0.2268	4.4870	12.1003	100.0000	12.9339	139.7191	100.8330	171.8180	12.0222	0.5061	4.7355	0.0000	0.0000	0.0000	0.2562	0.0617	100.0000	96.7820	82.5544	159.4923	10.8782	179.5913	83.2680	11.8562	0.4366	3.1809	0.0000	0.0000	0.0000	0.3115	0.0574	57.2514	148.3546
6	-4.0000	-3.8000	5.1923	6.0000	0.0045	4.5009	0.0849	0.6019	9.5744	4.5733	4.5042	10.6106	10.5810	2.0707	0.4419	2.5084	0.0000	0.0000	0.0000	0.5465	0.1891	3.1314	3.1662	62.1145	3364.5969	60.8578	3365.1702	86.9591	4.9012	0.2010	15.4201	0.0000	0.0000	0.0000	0.1964	0.0739	3281.0896	744.7831	10.5351	4.7169	3.1840	11.5428	11.0057	1.7184	0.4432	2.4278	0.0000	0.0000	0.0000	0.5358	0.1876	2.0297	2.9603	80.2457	80.5050	5.5944	113.6681	80.4405	4.5565	0.3972	1.4338	0.0000	0.0000	0.0000	1.0033	0.1900	80.3557	5.2954	22.0707	15.6566	33.1378	27.0600	39.8150	5.5915	0.4402	3.1649	0.0000	0.0000	0.0000	0.5648	0.2007	14.6898	29.8276
7	-3.8000	-3.6000	6.1512	6.0000	0.0042	5.1964	0.3381	0.6125	8.5812	14.0248	2.5160	16.4417	8.9424	0.2035	0.4440	2.4167	0.0000	0.0000	0.0000	0.5102	0.1802	4.5941	13.0083	60.8701	934.9745	8.0509	936.9538	61.4003	14.6098	0.4437	2.1323	0.0000	0.0000	0.0000	2.3882	1.3459	32.7511	934.2799	9.4085	17.4616	2.5326	19.8350	9.7434	0.4335	0.4402	2.4176	0.0000	0.0000	0.0000	0.4888	0.1687	7.7316	15.4478	42.3879	19.4847	21.1860	46.6518	47.3876	4.3033	0.4958	3.0701	0.0000	0.0000	0.0000	0.3993	0.0961	20.7504	8.9877	22.5302	13.9008	11.1936	26.4734	25.1576	0.8589	0.4474	2.0502	0.0000	0.0000	0.0000	0.7407	0.3158	8.0697	13.6910
8	-3.6000	-3.4000	10.0076	11.0000	0.0514	9.2921	0.0219	0.6421	6.8453	2.7203	7.0502	7.3660	9.8267	0.8527	0.4402	2.5152	0.0000	0.0000	0.0000	0.6211	0.2477	4.9518	4.1821	65.6806	10.7704	89.2192	66.5578	110.7882	10.6745	0.5010	1.1261	0.0000	0.0000	0.0000	0.6360	0.3640	2.2903	88.6509	7.2161	2.6454	7.6061	7.6857	10.4845	0.4295	0.4386	2.5155	0.0000	0.0000	0.0000	0.6270	0.2533	5.9168	3.9601	76.9398	407.2287	22.4589	414.4333	80.1507	31.3240	0.4283	2.9216	0.0000	0.0000	0.0000	0.0755	0.0686	320.5195	249.2238	21.0415	9.9385	20.6895	23.2706	29.5094	8.0751	0.4592	2.6081	0.0000	0.0000	0.0000	0.5517	0.1632	5.1208	19.0042
9	-3.4000	-3.2000	11.2166	6.0000	0.0106	10.3259	0.1857	0.6943	6.4910	13.1641	8.4831	14.6774	10.6816	1.7656	0.4420	2.6588	0.0000	0.0000	0.0000	0.6183	0.2677	4.9301	11.7538	57.1401	340.3984	5.6498	345.1610	57.4188	4.6284	0.5018	3.1765	0.0000	0.0000	0.0000	0.3425	0.1360	7.5029	340.2908	6.7670	13.6914	8.8919	15.2725	11.1740	1.8781	0.4425	2.6119	0.0000	0.0000	0.0000	0.5877	0.2549	4.9907	12.3123	58.2349	13.2266	19.5730	59.7181	61.4362	11.5059	0.4583	5.4661	0.0000	0.0000	0.0000	0.4307	0.2248	12.0782	12.0957	24.9840	11.5610	10.4762	27.5292	27.0915	2.6366	0.4295	2.5978	0.0000	0.0000	0.0000	1.1268	0.4722	5.3085	9.9008
10	-3.2000	-3.0000	14.5213	11.0000	0.0240	13.3685	0.3611	0.7677	5.8039	7.6954	7.7612	9.6387	9.6913	1.4491	0.4303	2.5045	0.0000	0.0000	0.0000	0.5508	0.1967	1.4983	7.0604	57.4418	47.5006	71.8784	74.5377	92.0112	47.4808	0.4910	1.0179	0.0000	0.0000	0.0000	0.7411	0.1461	7.1043	63.7894	6.0711	7.0899	6.7196	9.3340	9.0560	1.3100	0.4288	2.4736	0.0000	0.0000	0.0000	0.5556	0.1984	1.4500	6.3085	42.1292	7.1818	35.0991	42.7369	54.8344	1.6996	0.4864	3.5545	0.0000	0.0000	0.0000	0.3079	0.0966	6.2131	34.8724	21.9022	29.6166	16.4670	36.8354	27.4019	4.6979	0.4281	2.5944	0.0000	0.0000	0.0000	0.5762	0.2158	12.3552	29.2326
