Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	0.7624	0.0000	0.1099	0.3482	0.1114	0.1929	24.6337	9.7946	5.6794	26.5094	25.2799	4.7324	0.4756	3.0813	0.0000	0.0000	0.0000	0.3485	0.1332	0.0000	9.2723	99.0379	65.8097	14.8240	118.9093	100.1412	14.1621	0.5060	4.3426	0.0000	0.0000	0.0000	0.2609	0.0643	0.0000	64.3449	32.9327	7.4866	12.6464	33.7729	35.2774	12.3872	0.4723	2.4818	0.0000	0.0000	0.0000	0.3052	0.1079	0.0000	0.0000	70.9754	4.7729	6.1007	71.1357	71.2371	3.7998	0.5061	4.7355	0.0000	0.0000	0.0000	0.2861	0.1334	0.0000	0.0000	32.9069	2.5903	4.1093	33.0087	33.1625	3.1901	0.4467	2.4900	0.0000	0.0000	0.0000	0.5126	0.2179	0.0000	0.0000
2	-3.0144	-2.8888	0.6281	0.0000	0.0362	0.1219	0.2307	0.2393	25.9669	5.6191	5.2723	26.5679	26.4968	4.8992	0.4428	2.3120	0.0000	0.0000	0.0000	0.4682	0.1312	0.0000	1.3396	95.7036	44.9548	43.1278	105.7361	104.9723	44.6875	0.5014	4.8502	0.0000	0.0000	0.0000	0.4023	0.1704	0.0000	0.0000	62.8881	2.2473	1.9558	62.9283	62.9185	1.1068	0.4482	1.8856	0.0000	0.0000	0.0000	0.2371	0.1130	0.0000	0.0000	49.3856	9.2886	10.8335	50.2515	50.5599	10.6612	0.4382	1.8244	0.0000	0.0000	0.0000	0.4176	0.0928	0.0000	0.0000	33.8082	6.1969	4.2311	34.3714	34.0719	4.3093	0.4357	2.6148	0.0000	0.0000	0.0000	0.6446	0.1716	0.0000	3.5157
3	-2.8888	-2.7632	0.4724	2.0000	0.0114	0.1679	0.2102	0.0830	31.2747	22.3244	2.2704	38.4250	31.3570	0.9736	0.4606	2.1846	0.0000	0.0000	0.0000	0.3866	0.1450	15.6888	15.6888	61.2914	3.5302	3.5400	61.3930	61.3936	0.2637	0.4625	3.4853	0.0000	0.0000	0.0000	0.2906	0.1296	0.0000	0.0000	47.1506	26.3473	2.6227	54.0126	47.2235	2.7826	0.4123	2.3759	0.0000	0.0000	0.0000	0.3459	0.1982	0.0000	26.0857	56.8524	51.1067	9.3041	76.4467	57.6087	10.9955	0.5060	1.6808	0.0000	0.0000	0.0000	0.2541	0.0633	35.2693	35.2693	42.4731	18.8934	20.5576	46.4858	47.1866	20.3301	0.4430	2.8940	0.0000	0.0000	0.0000	0.8174	0.2464	0.0000	1.5335
4	-2.7632	-2.6376	0.2814	0.0000	0.0112	0.1771	0.0324	0.0607	40.3263	19.9897	18.0720	45.0088	44.1906	19.2795	0.4714	2.1832	0.0000	0.0000	0.0000	0.3537	0.1346	4.7702	1.8077	70.3049	19.2926	16.4074	72.9039	72.1940	18.5685	0.4606	5.2094	0.0000	0.0000	0.0000	0.2257	0.1137	0.0000	0.0000	43.4831	21.7974	19.7173	48.6406	47.7447	21.6883	0.4997	2.0940	0.0000	0.0000	0.0000	0.3130	0.1128	0.0000	2.4734	89.8126	66.1519	42.5132	111.5454	99.3663	46.5174	0.4011	1.7147	0.0000	0.0000	0.0000	0.4482	0.1648	33.2331	33.2331	128.0393	6.4208	26.3132	128.2002	130.7151	6.7330	0.4282	2.1348	0.0000	0.0000	0.0000	0.4456	0.1860	4.3732	25.3393
5	-2.6376	-2.5120	0.3959	1.0000	0.0005	0.0688	0.2539	0.0727	36.1622	22.3544	15.5955	42.5138	39.3818	15.2229	0.4530	3.2832	0.0000	0.0000	0.0000	0.5690	0.2148	11.9948	12.1381	49.7335	11.3928	10.7359	51.0217	50.8790	10.5674	0.4425	4.0973	0.0000	0.0000	0.0000	1.0344	0.2695	0.0000	0.0000	75.1656	99.1748	20.2508	124.4408	77.8458	19.6519	0.4754	4.8594	0.0000	0.0000	0.0000	0.2206	0.1046	69.0030	69.0030	45.5857	10.5491	11.1477	46.7903	46.9289	10.9045	0.4448	2.2019	0.0000	0.0000	0.0000	0.5367	0.1690	0.0000	0.0000	91.4945	25.0380	26.8280	94.8586	95.3467	26.1442	0.4604	5.5615	0.0000	0.0000	0.0000	1.0084	0.4784	0.7800	1.9580
6	-2.5120	-2.3864	1.6521	0.0000	0.0033	1.0141	0.3795	0.2553	44.6718	5.9112	43.2207	45.0612	62.1579	5.2674	0.4639	2.6156	0.0000	0.0000	0.0000	0.3261	0.1670	0.0000	42.8512	51.6977	56.4159	44.9636	76.5207	68.5156	56.2415	0.4880	4.2813	0.0000	0.0000	0.0000	0.9633	0.3905	0.0000	0.0000	70.6477	8.0785	70.2418	71.1081	99.6243	8.2154	0.4910	1.8439	0.0000	0.0000	0.0000	0.1407	0.0704	0.0000	69.7335	41.7250	7.3661	5.5431	42.3702	42.0916	5.2032	0.4255	5.1860	0.0000	0.0000	0.0000	0.3203	0.0883	0.0000	0.0000	31.2703	6.7010	8.2557	31.9802	32.3417	7.9330	0.4127	1.8387	0.0000	0.0000	0.0000	1.0633	0.6645	0.0000	0.5023
7	-2.3864	-2.2608	0.6258	1.0000	0.0847	0.2386	0.1645	0.1380	29.2335	2.9788	3.6762	29.3848	29.4637	2.2418	0.4789	2.8416	0.0000	0.0000	0.0000	0.4028	0.1511	0.0000	0.6027	99.4916	10.3828	14.1866	100.0319	100.4980	13.4325	0.5055	4.5286	0.0000	0.0000	0.0000	0.2425	0.0618	0.0000	0.0000	43.2550	2.6971	4.6090	43.3390	43.4998	3.9905	0.4699	2.1903	0.0000	0.0000	0.0000	0.5164	0.1850	0.0000	0.0000	66.3334	7.7399	6.2997	66.7834	66.6319	5.8552	0.5034	4.4782	0.0000	0.0000	0.0000	0.2238	0.1058	0.0000	2.2923	44.7046	10.2902	14.5228	45.8737	47.0044	14.4720	0.4489	0.9807	0.0000	0.0000	0.0000	0.5182	0.2014	0.0000	0.0000
8	-2.2608	-2.1352	0.5315	2.0000	0.0029	0.0524	0.1960	0.2802	26.9652	16.3239	2.1610	31.5212	27.0516	3.3335	0.4714	2.0479	0.0000	0.0000	0.0000	0.4022	0.1478	0.0000	15.8353	53.2662	52.0569	33.5698	74.4796	62.9620	51.9746	0.4139	2.7604	0.0000	0.0000	0.0000	0.8663	0.1545	0.0000	0.0000	64.5290	53.2044	40.7871	83.6343	76.3385	45.6973	0.4853	4.3839	0.0000	0.0000	0.0000	0.7853	0.3904	0.0000	26.8745	57.4416	36.1155	0.9543	67.8518	57.4495	5.0396	0.5060	0.7681	0.0000	0.0000	0.0000	0.2467	0.0619	0.0000	35.7494	29.2496	5.8439	6.8005	29.8276	30.0297	6.2887	0.4453	2.4990	0.0000	0.0000	0.0000	0.4345	0.1624	0.0000	0.2027
9	-2.1352	-2.0096	0.6789	1.0000	0.0187	0.3071	0.1652	0.1879	24.5866	3.8724	3.0508	24.8897	24.7751	1.1659	0.4712	2.9613	0.0000	0.0000	0.0000	0.5057	0.2305	1.4725	1.4725	65.7601	53.8955	27.0673	85.0242	71.1128	53.8539	0.4635	2.0152	0.0000	0.0000	0.0000	0.3634	0.2903	0.0000	0.0000	37.4680	2.4137	4.2082	37.5457	37.7036	3.4648	0.4674	2.3083	0.0000	0.0000	0.0000	0.3534	0.1818	0.0000	0.0000	62.8327	6.5024	4.1551	63.1682	62.9699	5.0017	0.5011	4.1109	0.0000	0.0000	0.0000	0.3227	0.1013	0.0000	0.0000	32.3769	9.0191	3.9604	33.6097	32.6182	3.7173	0.4518	3.1123	0.0000	0.0000	0.0000	0.9297	0.4175	5.3196	5.3196
10	-2.0096	-1.8840	0.5852	2.0000	0.0003	0.2241	0.1370	0.2238	25.7356	3.4506	10.1534	25.9659	27.6661	1.5357	0.4476	2.9897	0.0000	0.0000	0.0000	0.5570	0.1919	0.1940	9.6026	63.0535	19.3993	12.2496	65.9703	64.2324	19.1275	0.4653	1.1501	0.0000	0.0000	0.0000	2.6141	1.4482	0.0000	0.0000	42.5302	4.9816	24.3315	42.8210	48.9984	3.1819	0.4783	3.7910	0.0000	0.0000	0.0000	0.2813	0.1085	0.0000	24.0147	65.2144	7.5429	11.5267	65.6492	66.2252	11.3691	0.4434	1.7699	0.0000	0.0000	0.0000	0.5231	0.0793	0.0000	0.0000	33.4687	5.6874	4.9433	33.9485	33.8318	4.7199	0.4194	2.9363	0.0000	0.0000	0.0000	0.8514	0.3429	0.5072	1.0635
