Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	50.0000	100.0000	67.8908	-1	6.7334	55.1637	2.1606	3.8330	2.6223	7.0533	7.0746	7.5250	7.5450	0.9377	0.8853	5.0506	0.9754	0.0000	0.0000	0.0000	0.0000	0.2271	4.8151	5.0746	8.3757	7.3076	9.7930	8.8968	2.6781	0.8717	5.0109	0.9699	0.0000	0.0000	0.0000	0.0000	0.5195	6.0142	2.9971	7.0532	7.1425	7.6635	7.7458	0.7612	0.8866	5.0164	0.9565	0.0000	0.0000	0.0000	0.0000	0.2467	4.9721	20.8814	6.8371	7.8884	21.9722	22.3217	4.2575	0.9051	6.1760	1.3771	0.0000	0.0000	0.0000	0.0000	1.8642	1.4001	8.8775	7.3494	7.3114	11.5249	11.5007	3.3498	0.8785	4.9773	1.0313	0.0000	0.0000	0.0000	0.0000	1.1967	4.2732
3	100.0000	150.0000	102.9234	-1	17.8036	77.9999	1.7709	5.3491	2.0179	8.4049	8.2655	8.6437	8.5082	0.7611	0.8580	6.3997	0.9344	0.0000	0.0000	0.0000	0.0000	0.1963	5.2720	3.3151	8.2661	9.9903	8.9061	10.5260	1.1434	0.8568	6.3242	0.9764	0.0000	0.0000	0.0000	0.0000	0.2388	7.6884	2.4719	8.4540	7.9570	8.8080	8.3322	0.6864	0.8570	6.4210	0.9207	0.0000	0.0000	0.0000	0.0000	0.2508	5.3323	19.1989	6.5140	6.4050	20.2739	20.2391	1.2657	0.9016	6.2910	1.0128	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.7964	9.5088	9.0350	11.6879	11.3059	1.1639	0.8618	6.3752	0.9670	0.0000	0.0000	0.0000	0.0000	0.5416	6.9241
4	150.0000	200.0000	79.3918	-1	22.2496	51.6806	0.6344	4.8271	2.2126	7.6391	7.5954	7.9531	7.9111	0.5537	0.8384	5.9287	0.8597	0.0000	0.0000	0.0000	0.0000	0.4762	4.7585	2.9683	8.9526	9.2922	9.4319	9.7548	0.2980	0.8496	6.1557	0.9188	0.0000	0.0000	0.0000	0.0000	0.4210	6.9871	3.0580	7.1657	6.9763	7.7910	7.6171	0.7999	0.8321	5.8360	0.8279	0.0000	0.0000	0.0000	0.0000	0.5124	3.8880	33.1512	10.6170	7.7653	34.8098	34.0485	8.4073	0.8908	6.3564	0.9172	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.7948	7.9616	8.0105	10.4669	10.5042	1.4266	0.8478	5.8193	0.9201	0.0000	0.0000	0.0000	0.0000	0.4063	5.3322
5	200.0000	250.0000	44.7055	-1	19.3043	22.1540	0.2012	3.0460	2.7991	8.0199	8.4844	8.4943	8.9342	0.1808	0.8292	5.9220	0.8200	0.0000	0.0000	0.0000	0.0000	0.4463	6.1075	3.2836	8.3376	10.6454	8.9609	11.1403	0.7857	0.8424	6.0214	0.8819	0.0000	0.0000	0.0000	0.0000	0.6152	8.7559	4.6869	7.7419	7.0981	9.0501	8.5059	0.9550	0.8167	5.8451	0.7689	0.0000	0.0000	0.0000	0.0000	0.4079	4.8582	73.3005	14.1798	8.8081	74.6594	73.8278	12.1057	0.8002	7.3345	0.2898	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.3172	8.9654	7.3413	12.2292	11.0937	1.0242	0.8381	5.7578	0.8341	0.0000	0.0000	0.0000	0.0000	0.9962	6.6171
6	250.0000	300.0000	22.2107	-1	11.3411	8.8047	0.0665	1.9984	3.7333	6.9588	8.3292	7.8970	9.1276	0.2236	0.8281	5.7128	0.8085	0.0000	0.0000	0.0000	0.0000	0.2187	6.0946	4.2710	8.2423	10.3359	9.2831	11.1835	1.1035	0.8374	6.1351	0.8463	0.0000	0.0000	0.0000	0.0000	0.2808	8.2971	7.2454	5.7278	6.0974	9.2360	9.4696	1.9487	0.8149	5.1132	0.7383	0.0000	0.0000	0.0000	0.0000	0.1346	2.6935	99.4613	19.4885	15.2832	101.3526	100.6287	17.1021	0.9047	9.0973	1.9336	0.0000	0.0000	0.0000	0.0000	0.2941	0.2941	10.2079	7.0403	10.5529	12.4002	14.6821	0.7307	0.8310	5.8458	0.8662	0.0000	0.0000	0.0000	0.0000	0.6612	8.7827
7	300.0000	350.0000	10.5654	-1	6.7908	2.7673	0.0569	0.9504	5.1785	9.5512	9.4576	10.8648	10.7825	1.1672	0.8181	6.0563	0.7799	0.0000	0.0000	0.0000	0.0000	0.8107	7.2365	5.5069	9.3139	10.3431	10.8201	11.7177	1.3067	0.8227	6.1286	0.7894	0.0000	0.0000	0.0000	0.0000	1.2296	8.2932	13.4365	12.2253	7.7159	18.1659	15.4943	1.4879	0.8035	5.8340	0.7356	0.0000	0.0000	0.0000	0.0000	1.9321	10.5082	99.6330	6.1126	19.9717	99.8203	101.6150	19.6761	0.7960	3.3268	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.1291	7.6618	11.2942	16.0728	18.0883	3.9819	0.8283	6.3503	0.8518	0.0000	0.0000	0.0000	0.0000	5.8526	6.8357
8	350.0000	400.0000	5.6316	-1	3.7580	1.1977	0.0028	0.6730	6.6625	10.0685	9.2536	12.0732	11.4025	0.2137	0.8240	5.8153	0.7911	0.0000	0.0000	0.0000	0.0000	1.1332	8.0574	7.4040	11.0281	10.6264	13.2829	12.9514	0.3737	0.8243	6.0268	0.7933	0.0000	0.0000	0.0000	0.0000	0.9860	9.1036	18.9908	6.4267	7.1161	20.0488	20.2803	1.8009	0.8199	5.4401	0.7859	0.0000	0.0000	0.0000	0.0000	0.0000	4.2652	100.0000	21.2319	19.3398	102.2291	101.8530	20.7819	0.7960	4.2315	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.0126	13.0232	6.8159	20.6399	17.4028	1.7184	0.8299	5.3091	0.7886	0.0000	0.0000	0.0000	0.0000	3.9768	11.0431
9	400.0000	450.0000	2.6233	-1	2.0288	0.2022	0.0000	0.3923	9.6272	7.1761	12.1378	12.0075	15.4922	0.4707	0.8166	5.6015	0.7491	0.0000	0.0000	0.0000	0.0000	1.0756	10.7565	9.9958	9.4353	12.2861	13.7456	15.8387	0.6183	0.8197	5.5731	0.7605	0.0000	0.0000	0.0000	0.0000	1.3908	10.9452	61.9832	8.8439	23.7082	62.6109	66.3626	6.5867	0.7960	6.2578	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	21.9814	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.2546	6.6294	14.7120	22.2645	25.8496	4.8352	0.8110	5.4097	0.7643	0.0000	0.0000	0.0000	0.0000	4.1568	12.1239
10	450.0000	500.0000	1.5524	-1	1.1935	0.1876	0.0000	0.1713	11.3667	8.3879	8.0833	14.1265	13.9478	5.1141	0.8107	5.3847	0.7062	0.0000	0.0000	0.0000	0.0000	1.3273	4.9100	12.5083	8.4409	6.6455	15.0899	14.1640	2.9158	0.8127	5.6961	0.7073	0.0000	0.0000	0.0000	0.0000	0.5845	5.7684	43.8212	3.9631	4.9264	44.0000	44.0972	3.0874	0.7960	3.7808	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.7123	22.1285	28.1535	34.6875	38.8094	22.6465	0.8128	4.9714	0.8096	0.0000	0.0000	0.0000	0.0000	7.9553	13.8474
11	500.0000	550.0000	1.0847	-1	0.8537	0.0023	0.0001	0.2287	13.5599	7.5166	6.7707	15.5038	15.1563	1.1332	0.8125	5.7365	0.6991	0.0000	0.0000	0.0000	0.0000	0.9087	4.6629	15.5696	7.7061	7.3508	17.3723	17.2176	0.6481	0.8152	5.8750	0.6856	0.0000	0.0000	0.0000	0.0000	1.1546	4.8651	100.0000	123.3883	60.1553	158.8228	116.6990	123.0104	0.7960	9.5979	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	20.2395	16.2041	102.0276	101.3044	17.7909	0.7960	9.5979	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5291	9.6044	9.1408	29.1564	29.0070	7.5309	0.8028	5.1796	0.7503	0.0000	0.0000	0.0000	0.0000	0.0000	3.9561
