Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	0.7133	-1	0.0645	0.3398	0.2092	0.0998	25.5626	7.0823	9.5505	26.5255	27.2884	1.6250	0.8619	5.6061	1.0943	0.0000	0.0000	0.0000	0.0000	4.0345	7.5189	52.5896	19.7037	53.5945	56.1596	75.0869	15.3234	0.8628	4.6326	0.6598	0.0000	0.0000	0.0000	0.0000	2.4586	53.2541	35.4613	6.5544	7.6742	36.0620	36.2822	4.5887	0.8337	6.1140	1.2714	0.0000	0.0000	0.0000	0.0000	0.0000	0.4718	53.4635	5.1540	11.5552	53.7114	54.6980	5.1649	0.9011	4.9813	0.9667	0.0000	0.0000	0.0000	0.0000	0.0000	9.0150	71.3436	28.0565	7.8311	76.6621	71.7721	4.2569	0.8751	5.8163	1.0396	0.0000	0.0000	0.0000	0.0000	27.2532	2.1094
2	-3.0144	-2.8888	0.2828	-1	0.0372	0.0378	0.0705	0.1373	36.2689	8.0444	10.0109	37.1503	37.6252	6.9259	0.8685	3.8423	1.1071	0.0000	0.0000	0.0000	0.0000	0.7984	6.3084	43.5014	6.5858	42.8449	43.9971	61.0578	11.1943	0.9065	5.3918	1.5999	0.0000	0.0000	0.0000	0.0000	0.0078	40.9812	100.0000	12.1610	25.8429	100.7367	103.2853	25.6786	0.7960	2.7636	0.6049	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	96.8559	15.3460	11.6746	98.0641	97.5570	15.1155	0.9053	2.4153	0.6048	0.0000	0.0000	0.0000	0.0000	3.1969	3.1969	46.9858	17.2650	13.2315	50.0574	48.8133	16.6022	0.8594	4.4534	1.3702	0.0000	0.0000	0.0000	0.0000	0.0000	0.2628
3	-2.8888	-2.7632	0.2910	-1	0.0621	0.0826	0.1063	0.0400	36.9832	14.6069	11.8560	39.7633	38.8372	12.8634	0.9480	6.8261	0.6330	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	65.3824	14.2584	13.1050	66.9191	66.6829	12.6831	0.8950	6.4118	0.7272	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.4195	33.4080	36.7111	65.5687	67.3117	36.0625	0.9053	7.0103	0.7054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	69.6227	17.2876	9.5678	71.7369	70.2770	15.8709	0.9813	6.7796	0.2231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	119.4855	7.6666	7.1679	119.7312	119.7003	1.9129	1.0298	7.2127	1.4260	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.7632	-2.6376	0.2974	-1	0.0165	0.0932	0.1041	0.0836	34.4645	5.8858	6.0282	34.9634	34.9877	2.9646	0.9039	5.1310	1.1519	0.0000	0.0000	0.0000	0.0000	0.3243	0.4211	35.5210	7.7502	11.0785	36.3567	37.2086	4.4632	0.9071	6.1439	1.2553	0.0000	0.0000	0.0000	0.0000	5.8282	6.6756	65.8394	5.9836	4.9647	66.1107	66.0263	3.1605	0.8798	4.9651	0.6224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	69.3652	8.2976	8.0971	69.8598	69.8362	6.7081	0.9261	4.5863	1.3993	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.2109	6.1412	9.0229	46.6172	47.0835	6.8457	0.9023	5.7941	1.4135	0.0000	0.0000	0.0000	0.0000	0.0000	0.1770
5	-2.6376	-2.5120	0.3038	-1	0.0972	0.0964	0.0289	0.0814	34.5458	7.0461	10.7087	35.2571	36.1675	9.2592	0.9062	5.2403	1.3286	0.0000	0.0000	0.0000	0.0000	0.0000	0.4600	63.6276	5.7651	10.0465	63.8882	64.4158	8.3201	0.9630	5.4222	1.7055	0.0000	0.0000	0.0000	0.0000	0.0000	0.0019	67.4543	6.2377	7.9823	67.7421	67.9249	5.9972	0.8568	5.2973	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.3262	37.2748	40.6693	106.0901	107.3298	40.2638	1.0140	5.3850	1.9317	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.8823	5.2064	6.2797	57.1200	57.2278	3.2373	0.8588	4.9043	1.5217	0.0000	0.0000	0.0000	0.0000	0.0000	1.7154
6	-2.5120	-2.3864	0.2657	-1	0.0380	0.0774	0.0736	0.0766	44.0475	12.5136	11.6669	45.7906	45.5664	3.7774	0.7634	11.8296	1.0922	0.0000	0.0000	0.0000	0.0000	0.2739	2.4578	36.9432	25.9811	13.7313	45.1643	39.4125	12.6053	0.8958	5.8316	1.3864	0.0000	0.0000	0.0000	0.0000	0.0000	21.8950	74.2349	6.2726	6.0397	74.4994	74.4802	0.7665	0.8332	6.0780	1.0593	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	78.0273	33.3938	36.8557	84.8729	86.2937	27.3013	0.5036	27.3983	1.5844	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	108.3605	20.6671	16.2187	110.3137	109.5675	19.8281	0.8768	5.6614	0.5068	0.0000	0.0000	0.0000	0.0000	0.9496	2.3421
7	-2.3864	-2.2608	0.4204	-1	0.0953	0.1751	0.0869	0.0631	31.1502	7.0191	25.5238	31.9312	40.2715	4.7299	0.9113	6.7898	1.2215	0.0000	0.0000	0.0000	0.0000	0.0000	24.1645	56.0618	14.1100	11.1107	57.8102	57.1522	12.5470	0.9051	6.2344	1.3862	0.0000	0.0000	0.0000	0.0000	0.0000	0.2428	50.5422	7.1232	43.3874	51.0417	66.6107	4.1461	0.8748	6.9950	1.0220	0.0000	0.0000	0.0000	0.0000	0.0000	42.6413	77.0110	15.0965	23.6489	78.4767	80.5603	22.4232	0.9836	7.5012	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.6008	25.0718	49.2636	74.9204	86.0893	24.3000	0.9228	6.0801	0.5364	0.0000	0.0000	0.0000	0.0000	0.0000	42.6305
8	-2.2608	-2.1352	0.3151	-1	0.0535	0.0902	0.1376	0.0338	40.4389	8.6783	6.2182	41.3596	40.9142	2.8103	0.9296	5.9182	1.3614	0.0000	0.0000	0.0000	0.0000	0.0000	5.4473	56.8517	9.3990	9.0014	57.6234	57.5599	7.0507	0.8966	6.0958	0.8159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	69.6821	5.9487	5.7666	69.9355	69.9203	4.4451	0.9053	3.8002	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.6801	16.9543	15.8235	72.6851	72.4297	15.3202	0.9593	6.9322	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	128.9104	54.7124	16.0203	140.0405	129.9021	18.8412	0.9257	7.1621	1.8846	0.0000	0.0000	0.0000	0.0000	0.0000	50.8208
9	-2.1352	-2.0096	0.2153	-1	0.0354	0.1693	0.0000	0.0106	54.7594	19.1437	8.6629	58.0093	55.4404	18.2854	0.8511	5.5489	0.7812	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	54.9182	47.3905	32.2151	72.5387	63.6696	46.8765	0.9011	6.6902	1.6971	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	68.6011	31.3021	20.4321	75.4051	71.5792	30.8399	0.8403	5.2632	0.5620	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.1901	24.2927	17.2265	60.3000	57.8161	23.4137	0.8567	6.3010	1.2237	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-2.0096	-1.8840	0.4333	-1	0.0307	0.2108	0.0884	0.1034	31.5535	9.6836	6.0508	33.0060	32.1285	1.4893	0.8893	5.8828	0.9824	0.0000	0.0000	0.0000	0.0000	1.0062	7.3606	63.2127	90.5078	17.8088	110.3970	65.6735	17.2322	0.8832	4.4591	0.6510	0.0000	0.0000	0.0000	0.0000	0.0000	89.6583	47.0210	8.3854	8.8389	47.7628	47.8445	5.0393	0.8809	7.4036	0.9844	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	73.7666	13.3957	8.3688	74.9731	74.2398	12.3887	0.9000	4.7786	1.5228	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.9735	12.0331	10.8447	64.1128	63.9004	9.9038	0.8992	4.1488	0.6149	0.0000	0.0000	0.0000	0.0000	4.2161	4.2161
