Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	6.1592	-1	1.7309	3.9687	0.1996	0.2601	8.4135	7.5940	6.6677	11.3339	10.7352	0.4349	0.8509	5.5415	0.9593	0.0000	0.0000	0.0000	0.0000	2.0049	4.5943	10.3063	13.5124	9.3756	16.9943	13.9328	0.2402	0.8515	5.5384	0.9817	0.0000	0.0000	0.0000	0.0000	2.3319	12.0327	11.7851	6.0930	5.5689	13.2670	13.0346	0.1438	0.8516	5.3758	0.9526	0.0000	0.0000	0.0000	0.0000	2.4168	1.3460	53.8001	6.8030	30.7380	54.2285	61.9619	8.6856	0.8728	5.9840	1.1263	0.0000	0.0000	0.0000	0.0000	28.5005	4.6598	30.8289	24.1792	16.1877	39.1797	34.8204	9.5058	0.8185	7.7510	0.7843	0.0000	0.0000	0.0000	0.0000	13.6001	15.7463
2	-3.0144	-2.8888	7.4103	-1	1.6749	4.8938	0.2621	0.5796	7.4168	7.2215	7.6554	10.3518	10.6590	2.8734	0.8558	5.7678	0.8888	0.0000	0.0000	0.0000	0.0000	0.7534	4.5339	11.7541	9.5374	5.8419	15.1367	13.1258	1.4481	0.8494	5.7361	0.8400	0.0000	0.0000	0.0000	0.0000	1.2520	7.3842	9.9370	8.3266	10.0213	12.9644	14.1128	3.3373	0.8532	5.8627	0.8895	0.0000	0.0000	0.0000	0.0000	1.5831	7.4411	46.3785	22.3927	41.6468	51.5014	62.3331	3.1187	0.9317	4.1754	1.4675	0.0000	0.0000	0.0000	0.0000	21.6397	41.4081	18.9463	9.6642	8.6591	21.2687	20.8313	4.5570	0.8623	5.7782	0.7620	0.0000	0.0000	0.0000	0.0000	6.5245	3.9159
3	-2.8888	-2.7632	7.3024	-1	1.8055	4.7241	0.1461	0.6267	7.4694	6.7739	8.1946	10.0835	11.0880	1.5706	0.8397	5.7572	0.8688	0.0000	0.0000	0.0000	0.0000	2.9687	5.5935	10.3644	7.5694	11.6873	12.8342	15.6210	1.2528	0.8468	6.4788	0.8662	0.0000	0.0000	0.0000	0.0000	3.5048	9.3681	10.3498	7.0040	5.8574	12.4970	11.8923	1.2230	0.8348	5.5214	0.8556	0.0000	0.0000	0.0000	0.0000	3.9555	1.5996	59.8521	20.1951	4.7572	63.1674	60.0408	4.4311	0.9491	4.2520	1.3754	0.0000	0.0000	0.0000	0.0000	0.0000	19.1660	20.0525	7.6839	28.1277	21.4743	34.5438	4.8881	0.8299	5.8073	0.8575	0.0000	0.0000	0.0000	0.0000	5.3228	26.8334
4	-2.7632	-2.6376	6.5452	-1	1.9735	4.0671	0.2049	0.2998	7.6131	9.5212	7.5492	12.1907	10.7215	2.5953	0.8419	6.0130	0.8945	0.0000	0.0000	0.0000	0.0000	3.5193	6.6254	9.7334	16.3031	12.9433	18.9876	16.1947	1.5029	0.8493	6.0508	0.9126	0.0000	0.0000	0.0000	0.0000	5.5233	14.8093	10.6652	6.7613	7.0622	12.6278	12.7915	3.5475	0.8435	5.6491	0.8632	0.0000	0.0000	0.0000	0.0000	2.3720	1.0742	49.6337	54.6388	26.1308	73.8167	56.0921	14.3850	0.7488	14.6389	1.4368	0.0000	0.0000	0.0000	0.0000	17.0371	51.5822	37.9020	31.5332	9.2185	49.3042	39.0069	11.1912	0.8365	4.8048	0.8295	0.0000	0.0000	0.0000	0.0000	6.4320	28.3418
5	-2.6376	-2.5120	7.0194	-1	1.7055	4.6045	0.1908	0.5186	7.5274	10.7715	8.6655	13.1411	11.4784	0.0579	0.8587	5.8402	0.9421	0.0000	0.0000	0.0000	0.0000	1.9215	8.9599	10.8223	11.3815	17.9261	15.7054	20.9396	2.8560	0.8434	6.2625	0.9615	0.0000	0.0000	0.0000	0.0000	3.8487	16.3012	10.1273	11.9117	5.8315	15.6349	11.6862	0.0223	0.8587	5.6778	0.8891	0.0000	0.0000	0.0000	0.0000	1.3335	10.3983	57.1053	30.8737	37.5941	64.9169	68.3691	5.4568	0.9441	6.4641	1.5008	0.0000	0.0000	0.0000	0.0000	12.2253	36.6178	24.2403	8.4458	20.2470	25.6695	31.5838	7.5630	0.8782	5.6635	1.1427	0.0000	0.0000	0.0000	0.0000	4.0416	17.4334
6	-2.5120	-2.3864	7.4905	-1	1.9308	5.0236	0.1306	0.4055	7.4907	13.5668	10.4014	15.4974	12.8180	0.8630	0.8529	6.1357	0.9434	0.0000	0.0000	0.0000	0.0000	4.8586	10.9746	10.4071	8.9213	7.7638	13.7076	12.9840	2.4132	0.8406	6.0138	0.8843	0.0000	0.0000	0.0000	0.0000	2.5748	5.4297	10.1585	14.3345	14.7271	17.5691	17.8909	0.7302	0.8561	6.1746	0.9673	0.0000	0.0000	0.0000	0.0000	6.3997	13.3881	59.5898	56.8626	25.6149	82.3668	64.8619	22.5757	0.9053	6.7144	1.1969	0.0000	0.0000	0.0000	0.0000	10.0491	51.7848	22.0019	42.2307	15.4024	47.6184	26.8574	14.5200	0.8554	6.0479	0.8468	0.0000	0.0000	0.0000	0.0000	3.4355	39.1471
7	-2.3864	-2.2608	6.7771	-1	2.0780	4.0273	0.1648	0.5069	7.6067	7.6263	8.6637	10.7714	11.5292	2.7021	0.8538	5.9219	0.9265	0.0000	0.0000	0.0000	0.0000	4.4853	4.1033	10.8245	11.2023	21.2601	15.5776	23.8571	6.5366	0.8563	6.0800	0.9862	0.0000	0.0000	0.0000	0.0000	1.6997	19.8264	10.9470	8.7397	7.0639	14.0079	13.0283	2.0677	0.8506	5.8686	0.8867	0.0000	0.0000	0.0000	0.0000	3.7385	5.8446	63.7954	7.2109	49.8834	64.2016	80.9828	3.5044	0.8537	6.9759	1.1567	0.0000	0.0000	0.0000	0.0000	47.2519	13.9543	19.4614	10.6280	20.3319	22.1743	28.1448	7.4644	0.8688	5.3544	0.9226	0.0000	0.0000	0.0000	0.0000	7.9330	16.2973
8	-2.2608	-2.1352	6.6785	-1	2.0153	4.2767	0.0569	0.3296	7.3589	6.9065	7.7459	10.0922	10.6842	1.1424	0.8572	5.9323	0.8548	0.0000	0.0000	0.0000	0.0000	3.3644	3.5545	9.6024	6.7913	6.6655	11.7613	11.6891	0.6890	0.8452	6.3332	0.8199	0.0000	0.0000	0.0000	0.0000	1.8618	2.1507	10.3576	7.2503	11.5502	12.6431	15.5141	3.0365	0.8604	5.7000	0.8518	0.0000	0.0000	0.0000	0.0000	4.5882	8.4168	96.5456	196.3626	10.5792	218.8135	97.1235	7.6674	0.9091	8.2621	0.6518	0.0000	0.0000	0.0000	0.0000	136.9126	140.3030	21.1303	22.6841	20.0845	31.0010	29.1527	19.3651	0.8789	6.0930	1.1415	0.0000	0.0000	0.0000	0.0000	10.0181	1.7466
9	-2.1352	-2.0096	6.9929	-1	2.4524	4.1066	0.1076	0.3263	7.4438	6.9348	10.9134	10.1736	13.2103	2.3552	0.8487	5.8001	0.8707	0.0000	0.0000	0.0000	0.0000	1.1179	8.8899	9.3642	6.4108	9.6589	11.3484	13.4530	1.9376	0.8428	6.2534	0.8741	0.0000	0.0000	0.0000	0.0000	0.3319	7.1526	10.9022	10.7426	15.3719	15.3056	18.8455	3.8592	0.8498	5.5500	0.8583	0.0000	0.0000	0.0000	0.0000	3.2062	13.5160	99.6569	140.7748	65.4956	172.4791	119.2526	31.3412	0.9082	6.1001	0.9645	0.0000	0.0000	0.0000	0.0000	73.4853	115.9359	24.2866	29.1070	7.3846	37.9086	25.3845	0.7337	0.8596	5.4404	0.9710	0.0000	0.0000	0.0000	0.0000	0.6959	28.5573
10	-2.0096	-1.8840	7.4636	-1	2.2306	4.4245	0.3684	0.4401	7.4458	9.2619	6.8005	11.8837	10.0840	1.1731	0.8631	5.7080	0.8943	0.0000	0.0000	0.0000	0.0000	4.1453	5.7529	9.6177	16.6592	10.4726	19.2361	14.2189	1.0387	0.8591	6.1153	0.9436	0.0000	0.0000	0.0000	0.0000	1.3602	15.4389	10.8060	11.3964	6.0760	15.7050	12.3971	3.4064	0.8587	5.6798	0.8545	0.0000	0.0000	0.0000	0.0000	8.1314	4.2925	42.6250	9.8296	75.4130	43.7437	86.6256	8.7068	0.9507	4.3514	0.9863	0.0000	0.0000	0.0000	0.0000	43.9015	60.5428	22.2136	21.7267	12.8809	31.0724	25.6780	3.1523	0.8543	5.0628	0.9674	0.0000	0.0000	0.0000	0.0000	8.9674	19.0651
