Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.4000	3.6058	-1	1.0028	2.0220	0.2227	0.3582	10.4070	9.0904	8.7573	13.8182	13.6013	0.5071	0.9148	6.2061	0.6594	0.0000	0.0000	0.0000	0.0000	0.7635	6.4914	14.3121	10.4752	12.9231	17.7360	19.2832	1.9463	0.9227	7.0341	0.8157	0.0000	0.0000	0.0000	0.0000	0.1205	10.7683	15.5353	7.4246	7.3183	17.2183	17.1728	2.0920	0.9076	5.7434	0.5660	0.0000	0.0000	0.0000	0.0000	1.3445	4.0774	45.6846	32.7594	21.1939	56.2161	50.3613	20.1765	0.9504	6.5700	0.7738	0.0000	0.0000	0.0000	0.0000	0.0000	27.5447	29.5273	13.4362	14.4557	32.4406	32.8759	10.6835	0.9113	6.2739	0.6775	0.0000	0.0000	0.0000	0.0000	0.0986	9.5161
2	-2.4000	-2.3000	3.6029	-1	0.8095	2.2249	0.1601	0.4084	10.8166	9.4375	7.8632	14.3550	13.3727	3.0456	0.9072	6.2792	0.6708	0.0000	0.0000	0.0000	0.0000	0.2476	6.2643	16.4016	12.2621	10.7244	20.4786	19.5966	1.8135	0.9339	6.0944	0.9306	0.0000	0.0000	0.0000	0.0000	1.6404	10.4015	15.0915	8.8465	6.9976	17.4933	16.6349	3.1713	0.9056	6.0787	0.5952	0.0000	0.0000	0.0000	0.0000	0.0000	6.1638	64.6576	10.4025	7.7787	65.4891	65.1238	8.7948	0.9140	5.4514	0.5566	0.0000	0.0000	0.0000	0.0000	1.4081	1.4081	25.4300	14.2685	12.3791	29.1595	28.2830	11.6269	0.8600	8.0629	0.6127	0.0000	0.0000	0.0000	0.0000	1.0676	6.2100
3	-2.3000	-2.2000	4.1601	-1	0.9766	2.6800	0.1420	0.3616	10.1665	7.5820	7.0102	12.6824	12.3491	0.5663	0.9197	5.5853	0.7634	0.0000	0.0000	0.0000	0.0000	1.2736	4.7875	14.2178	8.0115	9.4257	16.3196	17.0584	1.8974	0.9271	6.7940	0.8719	0.0000	0.0000	0.0000	0.0000	0.4258	6.3495	14.2031	8.6822	5.8177	16.6465	15.3484	2.6493	0.9193	5.1596	0.7577	0.0000	0.0000	0.0000	0.0000	1.8219	6.0829	58.1570	21.0702	28.8765	61.8562	64.9314	25.3488	0.9053	3.7606	0.4996	0.0000	0.0000	0.0000	0.0000	0.0000	13.2851	24.5750	6.5860	18.3597	25.4422	30.6759	1.9562	0.9081	6.1921	0.6159	0.0000	0.0000	0.0000	0.0000	6.6087	15.9871
4	-2.2000	-2.1000	4.7600	-1	1.0532	3.1160	0.0647	0.5261	9.0657	9.7565	9.8053	13.3183	13.3541	3.9093	0.9187	6.1923	0.6739	0.0000	0.0000	0.0000	0.0000	0.8112	6.8678	15.5319	11.4477	15.1813	19.2948	21.7189	7.3235	0.9321	7.2210	0.9318	0.0000	0.0000	0.0000	0.0000	3.2730	11.9625	12.1116	9.2478	7.2785	15.2385	14.1303	1.8033	0.9139	5.7698	0.6007	0.0000	0.0000	0.0000	0.0000	0.0000	6.9125	111.2762	23.0860	29.0973	113.6458	115.0176	27.7136	0.9053	9.0159	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.6839	13.1261	16.1568	24.4973	26.2463	7.4180	0.9218	6.2878	0.5999	0.0000	0.0000	0.0000	0.0000	5.9822	13.5249
5	-2.1000	-2.0000	5.7157	-1	1.3682	3.6584	0.2656	0.4236	8.4967	8.1077	8.8009	11.7444	12.2331	1.0937	0.9263	6.4015	0.7481	0.0000	0.0000	0.0000	0.0000	0.8401	5.9970	12.2469	9.6279	11.7250	15.5783	16.9547	1.8489	0.9342	7.2698	0.9205	0.0000	0.0000	0.0000	0.0000	1.8114	9.0796	11.3277	8.4619	8.0396	14.1393	13.8907	1.0332	0.9203	6.2915	0.6796	0.0000	0.0000	0.0000	0.0000	1.7631	5.2389	56.5161	4.3322	6.7833	56.6818	56.9217	5.9075	0.9699	3.0667	0.8821	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4451	7.7670	12.5558	28.5230	30.1808	3.9168	0.9257	6.6503	0.6986	0.0000	0.0000	0.0000	0.0000	1.9934	9.7745
6	-2.0000	-1.9000	5.7550	-1	1.2057	3.6604	0.3962	0.4927	8.5741	7.1396	7.8085	11.1574	11.5969	2.0308	0.9269	4.6831	0.7400	0.0000	0.0000	0.0000	0.0000	0.5974	6.0244	12.4561	8.9582	13.2209	15.3429	18.1645	1.6535	0.9239	3.7451	0.8368	0.0000	0.0000	0.0000	0.0000	4.5049	11.7754	11.7330	6.8551	7.3766	13.5888	13.8592	2.1242	0.9263	4.8216	0.6863	0.0000	0.0000	0.0000	0.0000	1.4516	5.1400	37.0574	8.6328	8.4468	38.0497	38.0079	3.9526	0.9457	7.5640	0.8910	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.7928	10.4536	7.7488	26.9065	25.9755	6.9849	0.9240	3.6330	0.7806	0.0000	0.0000	0.0000	0.0000	1.1372	6.7582
7	-1.9000	-1.8000	6.6186	-1	1.4010	4.3158	0.2369	0.6650	8.0883	7.9270	5.9872	11.3251	10.0631	3.0336	0.9165	4.4898	0.7107	0.0000	0.0000	0.0000	0.0000	0.6574	5.6302	12.8428	10.4022	7.4370	16.5270	14.8406	5.4516	0.9252	4.3281	0.8118	0.0000	0.0000	0.0000	0.0000	0.6131	7.6067	10.8263	8.2875	6.2652	13.6342	12.5084	2.9026	0.9128	4.4831	0.6626	0.0000	0.0000	0.0000	0.0000	1.1313	6.1651	61.9405	13.5860	8.0286	63.4130	62.4587	12.0939	0.9063	6.0923	0.6165	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.0277	6.0876	6.2555	19.0278	19.0822	4.4378	0.9260	4.3036	0.8434	0.0000	0.0000	0.0000	0.0000	0.0000	0.0441
8	-1.8000	-1.7000	6.4546	-1	1.6419	3.9264	0.2205	0.6659	7.7259	5.5974	8.5542	9.5405	11.5267	0.5899	0.9216	4.4137	0.7269	0.0000	0.0000	0.0000	0.0000	0.9155	7.2821	11.5189	8.1663	14.7827	14.1200	18.7407	5.6055	0.9253	4.7601	0.8621	0.0000	0.0000	0.0000	0.0000	0.1341	13.6431	10.8910	6.2109	6.6860	12.5375	12.7795	2.4285	0.9177	4.2867	0.6582	0.0000	0.0000	0.0000	0.0000	0.8019	4.8584	51.8080	4.1519	5.0236	51.9741	52.0510	3.0534	0.9522	3.8933	0.5695	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.5815	6.2227	10.0171	20.5465	21.9950	3.2517	0.9258	4.4804	0.8510	0.0000	0.0000	0.0000	0.0000	4.0838	8.3001
9	-1.7000	-1.6000	8.3524	-1	1.7024	5.5885	0.5900	0.4714	7.9957	6.4331	7.5479	10.2623	10.9955	1.9254	0.9274	4.8497	0.8145	0.0000	0.0000	0.0000	0.0000	0.6332	5.3570	10.5917	6.8753	6.4832	12.6275	12.4184	1.7062	0.9237	4.2190	0.8126	0.0000	0.0000	0.0000	0.0000	1.1294	4.9231	9.8034	6.8956	8.2395	11.9857	12.8061	3.3200	0.9266	4.7556	0.7893	0.0000	0.0000	0.0000	0.0000	0.9128	5.7252	53.9543	7.2911	9.9038	54.4447	54.8558	6.8447	0.9294	7.1755	0.8996	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.2183	8.7004	12.0373	24.7949	26.1531	0.4970	0.9487	5.3315	1.0131	0.0000	0.0000	0.0000	0.0000	0.8576	10.7082
10	-1.6000	-1.5000	2.6431	-1	0.6047	1.7461	0.1454	0.1470	11.8617	10.2668	10.8843	15.6878	16.0987	3.2148	0.8677	7.0627	0.8485	0.0000	0.0000	0.0000	0.0000	0.9356	7.7437	18.1188	7.9119	13.7915	19.7709	22.7705	2.4553	0.8977	5.6159	0.7478	0.0000	0.0000	0.0000	0.0000	0.2329	12.3579	15.3628	10.5973	9.8518	18.6633	18.2503	2.8249	0.8527	7.6861	0.8535	0.0000	0.0000	0.0000	0.0000	0.0000	6.7593	70.1822	27.4607	21.9415	75.3633	73.5321	26.5353	0.9662	6.9185	1.0800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.6115	27.2258	23.6599	50.5666	48.7394	10.3516	0.8255	5.7509	0.9736	0.0000	0.0000	0.0000	0.0000	17.7804	20.4822
