Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	50.0000	100.0000	74.9143	-1	7.2134	57.6719	5.1330	4.8959	2.5529	7.0149	7.1155	7.4650	7.5596	1.0600	0.8876	5.1075	0.9913	0.0000	0.0000	0.0000	0.0000	0.2263	4.7844	5.1747	7.9480	7.1055	9.4841	8.7901	2.0529	0.8764	5.0205	0.9855	0.0000	0.0000	0.0000	0.0000	0.4849	5.6579	2.9329	7.0246	7.2194	7.6123	7.7924	1.0098	0.8873	5.0255	0.9647	0.0000	0.0000	0.0000	0.0000	0.1106	5.0404	13.8858	7.1269	7.0688	15.6080	15.5816	1.6795	0.9123	6.3589	1.2712	0.0000	0.0000	0.0000	0.0000	0.8286	2.8122	7.8945	6.7536	7.0988	10.3891	10.6168	3.0617	0.8826	4.8895	1.0199	0.0000	0.0000	0.0000	0.0000	0.9472	4.2894
3	100.0000	150.0000	108.2483	-1	18.4707	80.1382	2.7930	6.8464	1.9703	8.3511	8.2299	8.5804	8.4624	0.8395	0.8594	6.3923	0.9428	0.0000	0.0000	0.0000	0.0000	0.2127	5.1901	3.3271	8.1983	10.3483	8.8477	10.8700	1.1813	0.8587	6.3478	0.9816	0.0000	0.0000	0.0000	0.0000	0.4936	8.1102	2.4368	8.4528	7.9203	8.7970	8.2867	0.6998	0.8576	6.4153	0.9237	0.0000	0.0000	0.0000	0.0000	0.2543	5.3383	15.1024	6.7304	6.1951	16.5342	16.3236	0.5684	0.9010	6.1679	1.1376	0.0000	0.0000	0.0000	0.0000	0.0000	2.1966	6.1977	8.6343	8.5359	10.6283	10.5486	2.1265	0.8656	6.3358	0.9826	0.0000	0.0000	0.0000	0.0000	0.3555	5.3898
4	150.0000	200.0000	82.2646	-1	22.8224	52.9809	0.9135	5.5477	2.1748	7.6398	7.5630	7.9433	7.8695	0.5465	0.8396	5.9565	0.8733	0.0000	0.0000	0.0000	0.0000	0.4538	4.6730	2.9286	8.9804	9.2774	9.4459	9.7287	0.2803	0.8510	6.1721	0.9312	0.0000	0.0000	0.0000	0.0000	0.3916	6.9547	3.0234	7.2044	6.9562	7.8131	7.5849	0.9449	0.8328	5.8608	0.8379	0.0000	0.0000	0.0000	0.0000	0.4998	3.8884	26.8445	7.6641	6.9454	27.9171	27.7284	3.4977	0.9090	6.6677	1.1044	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.4500	7.8108	8.1359	10.1297	10.3824	2.1004	0.8457	5.8666	0.9350	0.0000	0.0000	0.0000	0.0000	0.4364	5.2474
5	200.0000	250.0000	46.2162	-1	19.7512	22.6147	0.2876	3.5626	2.7442	8.0201	8.5301	8.4766	8.9607	0.2557	0.8308	5.9225	0.8278	0.0000	0.0000	0.0000	0.0000	0.3723	6.1749	3.2404	8.4076	10.5083	9.0104	10.9966	0.7525	0.8439	6.0251	0.8905	0.0000	0.0000	0.0000	0.0000	0.6013	8.5895	4.6254	7.7218	7.2975	9.0011	8.6399	1.1386	0.8180	5.8660	0.7753	0.0000	0.0000	0.0000	0.0000	0.3996	4.7592	56.6933	10.0720	6.4858	57.5810	57.0631	7.8310	0.7990	6.2717	0.3844	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.8472	8.8797	7.4858	11.8502	10.8451	0.4220	0.8420	5.6839	0.8494	0.0000	0.0000	0.0000	0.0000	1.0398	6.6221
6	250.0000	300.0000	22.9408	-1	11.7171	8.8594	0.2284	2.1360	3.6720	7.0410	8.2945	7.9410	9.0710	0.2663	0.8296	5.7088	0.8156	0.0000	0.0000	0.0000	0.0000	0.2236	6.0481	4.2071	8.4860	10.3735	9.4716	11.1941	1.2673	0.8396	6.1494	0.8489	0.0000	0.0000	0.0000	0.0000	0.2718	8.3080	7.2175	5.7560	6.1339	9.2317	9.4719	2.1029	0.8147	5.1040	0.7375	0.0000	0.0000	0.0000	0.0000	0.1337	2.6769	49.0232	7.3754	8.0874	49.5749	49.6858	5.3192	0.8600	6.0128	1.3873	0.0000	0.0000	0.0000	0.0000	0.0856	0.0856	9.9545	6.8895	10.0801	12.1061	14.1669	0.3696	0.8327	5.7683	0.8955	0.0000	0.0000	0.0000	0.0000	0.6187	8.2809
7	300.0000	350.0000	10.8319	-1	6.9351	2.8443	0.0569	0.9956	5.0946	9.5876	9.4679	10.8571	10.7515	1.0307	0.8183	6.0930	0.7915	0.0000	0.0000	0.0000	0.0000	0.7908	7.2428	5.4329	9.2713	10.4141	10.7459	11.7461	1.1687	0.8217	6.2024	0.7999	0.0000	0.0000	0.0000	0.0000	1.2040	8.3402	13.1997	11.9664	7.6144	17.8165	15.2385	1.5014	0.8062	5.8014	0.7559	0.0000	0.0000	0.0000	0.0000	1.8798	10.2237	99.6330	6.1126	19.9717	99.8203	101.6150	19.6761	0.7960	3.3268	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.6215	7.6046	11.0257	15.6006	17.5246	2.7422	0.8307	6.3222	0.8459	0.0000	0.0000	0.0000	0.0000	5.5871	7.0020
8	350.0000	400.0000	5.8134	-1	3.8964	1.1977	0.0028	0.7164	6.5303	10.0080	9.4872	11.9501	11.5174	0.3673	0.8255	5.7904	0.8047	0.0000	0.0000	0.0000	0.0000	1.1089	7.9961	7.2641	10.7512	11.0206	12.9751	13.1992	0.5084	0.8256	6.0002	0.8052	0.0000	0.0000	0.0000	0.0000	0.9509	9.2926	18.9908	6.4267	7.1161	20.0488	20.2803	1.8009	0.8199	5.4401	0.7859	0.0000	0.0000	0.0000	0.0000	0.0000	4.2652	100.0000	21.2319	19.3398	102.2291	101.8530	20.7819	0.7960	4.2315	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.4577	13.6319	6.5090	20.6099	16.7722	1.1182	0.8345	5.2415	0.8343	0.0000	0.0000	0.0000	0.0000	3.8260	11.9212
9	400.0000	450.0000	2.8402	-1	2.1250	0.2022	0.0648	0.4483	9.4055	7.4384	12.2925	11.9914	15.4781	0.9290	0.8165	5.5235	0.7545	0.0000	0.0000	0.0000	0.0000	1.5980	10.8491	9.7976	9.1402	11.8332	13.3991	15.3628	0.7343	0.8206	5.5251	0.7753	0.0000	0.0000	0.0000	0.0000	1.3279	10.4500	61.9832	8.8439	23.7082	62.6109	66.3626	6.5867	0.7960	6.2578	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	21.9814	100.0000	16.5080	12.0569	101.3534	100.7242	15.9793	0.7960	4.0221	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.0962	8.7484	19.9410	21.9179	28.3108	4.0009	0.8094	5.4019	0.7449	0.0000	0.0000	0.0000	0.0000	9.1624	16.4018
10	450.0000	500.0000	1.6071	-1	1.2283	0.1876	0.0000	0.1912	11.1898	8.2407	8.2070	13.8968	13.8768	5.3696	0.8120	5.3859	0.7267	0.0000	0.0000	0.0000	0.0000	1.2821	4.7428	12.3718	8.3256	6.7268	14.9123	14.0823	3.0750	0.8147	5.7246	0.7357	0.0000	0.0000	0.0000	0.0000	0.5679	5.6046	43.8212	3.9631	4.9264	44.0000	44.0972	3.0874	0.7960	3.7808	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.0943	20.4162	26.9702	33.1321	37.5273	22.3516	0.8110	4.7845	0.7883	0.0000	0.0000	0.0000	0.0000	7.1289	12.4090
11	500.0000	550.0000	1.1655	-1	0.9344	0.0023	0.0001	0.2287	13.1871	7.3278	8.4157	15.0863	15.6437	1.0868	0.8177	5.7933	0.7427	0.0000	0.0000	0.0000	0.0000	0.8457	6.0190	15.0027	7.4984	9.6465	16.7722	17.8363	1.2111	0.8215	5.9338	0.7412	0.0000	0.0000	0.0000	0.0000	1.0548	7.5072	100.0000	123.3883	60.1553	158.8228	116.6990	123.0104	0.7960	9.5979	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	20.2395	16.2041	102.0276	101.3044	17.7909	0.7960	9.5979	0.6048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5291	9.6044	9.1408	29.1564	29.0070	7.5309	0.8028	5.1796	0.7503	0.0000	0.0000	0.0000	0.0000	0.0000	3.9561
