Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	0.1454	-1	0.0062	0.0575	0.0793	0.0024	67.4370	5.0953	39.0490	67.6293	77.9268	6.1280	0.0000	0.0000	0.0000	0.1584	0.0000	0.4455	0.3302	0.0000	38.5609	78.1944	10.9797	77.9791	78.9615	110.4314	10.8159	0.0000	0.0000	0.0000	0.4816	0.0000	1.0519	0.5023	0.0000	77.3594	100.0000	1.0289	100.4105	100.0053	141.7119	9.0118	0.0000	0.0000	0.0000	0.0795	0.0000	1.0145	0.1519	0.0000	100.0000	94.8696	9.3815	6.3198	95.3323	95.0798	9.3372	0.0000	0.0000	0.0000	0.2844	0.0000	0.5223	0.6891	0.0000	0.0000	1047.2735	96.2730	19.3976	1051.6893	1047.4532	76.7909	0.0000	0.0000	0.0000	3.0152	0.0000	17.5197	7.7611	0.0000	54.8360
2	-3.0144	-2.8888	0.2662	-1	0.0057	0.0180	0.1369	0.1056	42.7990	4.4923	11.8471	43.0341	44.4084	5.9139	0.0000	0.0000	0.0000	0.2695	0.0000	0.9390	0.3105	0.2396	10.2117	67.7193	22.6805	22.9713	71.4165	71.5094	22.9317	0.0000	0.0000	0.0000	0.2948	0.0000	1.2274	0.3406	0.2474	0.2474	82.2065	69.2318	50.1241	107.4754	96.2826	69.2300	0.0000	0.0000	0.0000	0.1106	0.0000	0.4584	0.1708	0.0000	0.0000	69.3541	0.8623	6.5368	69.3594	69.6614	6.4802	0.0000	0.0000	0.0000	0.1318	0.0000	0.8270	0.2039	0.0000	0.0000	57.8215	6.5706	26.2874	58.1936	63.5166	6.3297	0.0000	0.0000	0.0000	0.4741	0.0000	1.1510	0.4710	0.6041	25.7363
3	-2.8888	-2.7632	0.2173	-1	0.0007	0.0536	0.1508	0.0122	56.9102	7.3968	5.4585	57.3889	57.1714	7.3397	0.0000	0.0000	0.0000	0.1090	0.0000	0.9005	0.1384	2.7297	4.6377	72.4069	24.4699	8.8037	76.4299	72.9401	24.3796	0.0000	0.0000	0.0000	0.6578	0.0000	1.8818	0.6609	0.0000	0.0000	62.1835	29.4692	38.2688	68.8129	73.0157	33.3267	0.0000	0.0000	0.0000	0.2489	0.0000	0.8024	0.2827	0.0000	18.7897	64.7561	7.2800	6.1677	65.1640	65.0491	7.2257	0.0000	0.0000	0.0000	0.1177	0.0000	0.8589	0.1912	4.3059	4.3059	558.8299	188.5256	67.4464	589.7735	562.8853	188.4561	0.0000	0.0000	0.0000	0.6445	0.0000	1.7932	1.1775	4.6017	1.4701
4	-2.7632	-2.6376	0.2074	-1	0.0002	0.0281	0.0153	0.1639	38.8278	39.1408	25.8653	55.1325	46.6541	13.6611	0.0000	0.0000	0.0000	0.4809	0.0000	1.4134	0.3536	21.8803	29.8956	63.9639	8.2229	16.1380	64.4903	65.9683	15.8893	0.0000	0.0000	0.0000	1.1409	0.0000	2.3136	1.1809	0.0000	0.0000	100.0000	28.2325	106.4044	103.9090	146.0202	36.1136	0.0000	0.0000	0.0000	1.5248	0.0000	3.8461	0.7896	0.0000	100.0000	99.6707	580.3113	14.1516	588.8085	100.6703	14.1009	0.0000	0.0000	0.0000	0.1853	0.0000	1.1590	0.2603	410.2371	410.2371	45.1095	12.4364	19.3937	46.7924	49.1017	12.3869	0.0000	0.0000	0.0000	0.3287	0.0000	1.0188	0.2867	10.5736	10.5736
5	-2.6376	-2.5120	0.1983	-1	0.0006	0.0480	0.0949	0.0548	55.5576	10.9129	11.7705	56.6192	56.7908	11.6881	0.0000	0.0000	0.0000	0.2384	0.0000	0.7703	0.2785	0.0000	1.0990	78.2835	7.4337	7.2073	78.6357	78.6146	5.5775	0.0000	0.0000	0.0000	2.5618	0.0000	3.6171	2.1223	0.0000	0.0000	100.0000	1.1187	13.7020	100.0063	100.9344	13.6564	0.0000	0.0000	0.0000	0.1546	0.0000	1.0818	0.2393	0.0000	0.0000	99.9732	23.5053	20.6542	102.6993	102.0845	23.4988	0.0000	0.0000	0.0000	0.1730	0.0000	0.4777	0.2241	0.0000	0.0000	52.5338	10.6492	7.2430	53.6023	53.0308	10.5899	0.0000	0.0000	0.0000	0.4008	0.0000	0.9742	0.3879	0.0000	3.9778
6	-2.5120	-2.3864	0.0950	-1	0.0002	0.0142	0.0041	0.0765	52.7439	99.5842	9.5070	112.6896	53.5938	9.4743	0.0000	0.0000	0.0000	0.1539	0.0000	0.7351	0.2390	70.1754	70.1754	70.7973	24.9512	29.0060	75.0654	76.5089	26.8484	0.0000	0.0000	0.0000	0.6911	0.0000	1.7117	0.6971	0.0000	10.8014	100.0000	57.2798	47.9159	115.2431	110.8870	57.2688	0.0000	0.0000	0.0000	0.3996	0.0000	0.6456	0.8270	0.0000	0.0000	93.7530	2188.4023	58.6386	2190.4096	110.5808	133.9872	0.0000	0.0000	0.0000	0.3698	0.0000	1.7258	0.5886	1544.5304	1544.5304	62.6261	6.3055	7.7037	62.9428	63.0982	7.6708	0.0000	0.0000	0.0000	0.0954	0.0000	0.6959	0.1106	4.4244	4.4244
7	-2.3864	-2.2608	0.2674	-1	0.0056	0.0153	0.0737	0.1729	36.6392	5.2137	1.6116	37.0083	36.6746	4.9785	0.0000	0.0000	0.0000	0.6095	0.0000	1.2778	0.6264	0.0000	0.4689	88.7220	15.9683	12.3506	90.1475	89.5775	15.9343	0.0000	0.0000	0.0000	0.2974	0.0000	0.9216	0.3835	0.0000	0.0000	73.3684	74.5688	52.3675	104.6109	90.1403	74.5622	0.0000	0.0000	0.0000	0.2966	0.0000	0.7410	0.5928	0.0000	0.0000	85.0626	6.9339	0.5589	85.3447	85.0644	6.9113	0.0000	0.0000	0.0000	0.1165	0.0000	0.5105	0.1987	0.0000	0.0000	42.9650	10.6670	9.4259	44.2694	43.9868	10.4694	0.0000	0.0000	0.0000	0.8574	0.0000	1.6639	0.8196	0.0000	0.7254
8	-2.2608	-2.1352	0.2214	-1	0.0001	0.0624	0.0850	0.0739	42.1666	493.8275	4.4971	495.6245	42.4058	5.3348	0.0000	0.0000	0.0000	0.4243	0.0000	1.1151	0.4145	331.2369	366.2208	52.5321	4.3788	4.7099	52.7142	52.7428	3.1743	0.0000	0.0000	0.0000	1.4086	0.0000	2.8616	1.4489	0.0000	0.0000	82.8305	1660.0428	15.9206	1662.1080	84.3466	15.8725	0.0000	0.0000	0.0000	0.3544	0.0000	1.1328	0.3648	1173.8102	1173.8102	82.8442	92.1555	0.9165	123.9185	82.8493	4.4331	0.0000	0.0000	0.0000	0.3509	0.0000	0.8069	0.2732	0.0000	92.0442	44.5345	5.8474	4.9199	44.9168	44.8055	5.4978	0.0000	0.0000	0.0000	0.5669	0.0000	1.4529	0.6178	1.0738	0.0000
9	-2.1352	-2.0096	0.2670	-1	0.0058	0.0281	0.2175	0.0156	54.3353	7.6482	5.6935	54.8709	54.6327	7.5519	0.0000	0.0000	0.0000	0.2754	0.0000	1.0837	0.4610	0.0000	0.0004	83.2280	13.1869	9.6505	84.2662	83.7856	13.1197	0.0000	0.0000	0.0000	0.2633	0.0000	1.2623	0.3220	0.0000	0.0197	89.1353	7.0680	0.7449	89.4151	89.1384	7.0284	0.0000	0.0000	0.0000	0.1414	0.0000	0.6989	0.2228	0.0000	0.0000	62.2766	11.1312	10.9571	63.2636	63.2332	11.0663	0.0000	0.0000	0.0000	0.2610	0.0000	1.0707	0.4745	0.0000	0.0000	290.2273	54.1117	42.5883	295.2287	293.3354	54.0686	0.0000	0.0000	0.0000	0.7220	0.0000	1.8911	0.7538	0.0000	0.0000
10	-2.0096	-1.8840	0.2888	-1	0.0054	0.1943	0.0627	0.0265	45.3976	8.8598	8.7166	46.2541	46.2269	8.7422	0.0000	0.0000	0.0000	0.2731	0.0000	1.3732	0.3294	0.0000	0.0057	91.2486	10.8288	2.4047	91.8889	91.2803	10.7603	0.0000	0.0000	0.0000	0.2891	0.0000	1.0467	0.5474	0.0000	0.0000	59.7231	22.1361	18.6094	63.6935	62.5553	22.1014	0.0000	0.0000	0.0000	0.1910	0.0000	1.1988	0.2466	0.0000	0.0000	95.8214	5.8453	20.1752	95.9995	97.9223	20.1199	0.0000	0.0000	0.0000	0.1164	0.0000	1.4878	0.1812	0.0000	0.0264	36.3651	29.7184	21.6410	46.9639	42.3173	29.5650	0.0000	0.0000	0.0000	1.2432	0.0000	2.4496	1.2445	0.0000	0.0000
