Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	10.1912	-1	2.0727	7.5750	0.0144	0.5291	6.3462	11.2596	7.1594	12.9249	9.5672	0.9560	0.0000	0.0000	0.0000	0.4699	0.0000	1.3140	0.5191	2.7748	10.8600	8.9341	17.3582	3.3645	19.5224	9.5466	2.5410	0.0000	0.0000	0.0000	0.8661	0.0000	1.8781	0.8160	7.7557	15.2708	7.9821	9.1701	12.2901	12.1575	14.6547	1.9291	0.0000	0.0000	0.0000	0.3280	0.0000	1.1047	0.4099	5.4382	10.7826	98.7940	476.5317	12.2333	486.6649	99.5485	12.6835	0.0000	0.0000	0.0000	0.3168	0.0000	0.6697	0.5945	476.2082	12.1005	25.5009	31.3316	2.4595	40.3976	25.6192	2.7338	0.0000	0.0000	0.0000	0.9546	0.0000	2.1182	0.9173	7.1089	30.2889
2	-3.0144	-2.8888	9.4578	-1	2.4906	6.3387	0.0938	0.5348	6.3465	2.1851	5.3662	6.7121	8.3110	1.9919	0.0000	0.0000	0.0000	0.5349	0.0000	1.3491	0.5687	1.4190	4.5181	8.6403	5.8276	5.7117	10.4218	10.3575	0.5708	0.0000	0.0000	0.0000	0.8431	0.0000	1.8012	0.8288	3.1720	4.3849	8.5172	2.5641	7.1036	8.8947	11.0907	2.6320	0.0000	0.0000	0.0000	0.4238	0.0000	1.1969	0.4808	3.6557	5.3237	76.0658	88.4930	0.6801	116.6920	76.0688	5.4451	0.0000	0.0000	0.0000	0.0793	0.0000	0.6588	0.1591	5.9503	88.1220	24.6827	4.7040	17.7219	25.1270	30.3859	3.7461	0.0000	0.0000	0.0000	0.4958	0.0000	1.1696	0.4700	2.4199	17.5167
3	-2.8888	-2.7632	9.3609	-1	2.7590	5.7074	0.2732	0.6213	6.6175	9.3783	3.3227	11.4780	7.4048	0.4700	0.0000	0.0000	0.0000	0.5444	0.0000	1.4333	0.5762	3.6799	8.4693	8.5502	6.2532	10.0840	10.5929	13.2210	1.3383	0.0000	0.0000	0.0000	0.7649	0.0000	1.8430	0.7821	6.6587	7.1464	9.5012	12.0320	1.4104	15.3311	9.6054	0.6722	0.0000	0.0000	0.0000	0.3457	0.0000	1.1262	0.4027	4.8146	10.9562	53.0852	4.8053	7.4296	53.3022	53.6026	3.4686	0.0000	0.0000	0.0000	1.7391	0.0000	2.4365	1.4486	2.0606	5.7324	18.3385	18.2432	25.2305	25.8673	31.1910	3.2910	0.0000	0.0000	0.0000	0.8642	0.0000	1.9935	0.8715	15.5772	24.3336
4	-2.7632	-2.6376	9.5464	-1	2.4830	6.4661	0.0193	0.5780	6.5345	3.7750	6.8466	7.5465	9.4644	0.4402	0.0000	0.0000	0.0000	0.5177	0.0000	1.3618	0.5637	2.8940	6.0080	9.3438	4.6102	13.3647	10.4192	16.3071	2.3740	0.0000	0.0000	0.0000	1.0266	0.0000	2.1990	1.0040	2.1846	12.8127	8.8030	3.9575	8.5148	9.6517	12.2473	1.4917	0.0000	0.0000	0.0000	0.2919	0.0000	1.0011	0.3753	4.4196	7.1803	78.8894	64.3344	5.9705	101.7961	79.1150	19.4762	0.0000	0.0000	0.0000	2.3611	0.0000	4.4622	2.3667	43.1826	43.1713	18.2088	35.0543	8.3219	39.5014	20.0203	2.3193	0.0000	0.0000	0.0000	0.7970	0.0000	1.6965	0.7195	7.7400	34.6945
5	-2.6376	-2.5120	9.6581	-1	2.6523	6.2016	0.0824	0.7218	6.2146	10.3845	7.4871	12.1020	9.7303	1.1587	0.0000	0.0000	0.0000	0.4989	0.0000	1.3510	0.5365	1.5035	10.1191	8.3720	11.3245	17.8162	14.0832	19.6852	1.5258	0.0000	0.0000	0.0000	0.7037	0.0000	1.6726	0.6910	4.0372	17.6450	8.6677	10.3538	1.9406	13.5030	8.8823	1.4683	0.0000	0.0000	0.0000	0.3750	0.0000	1.1722	0.4407	1.7709	10.0100	90.0225	160.0765	100.6347	183.6533	135.0236	10.5130	0.0000	0.0000	0.0000	0.4158	0.0000	1.0448	0.6203	10.1125	159.7806	17.8003	3.4273	21.4419	18.1272	27.8676	1.3486	0.0000	0.0000	0.0000	0.8206	0.0000	1.7400	0.7824	7.0531	20.1101
6	-2.5120	-2.3864	9.7930	-1	2.0988	6.9063	0.0128	0.7751	6.3426	10.2446	7.7677	12.0491	10.0282	2.3882	0.0000	0.0000	0.0000	0.4738	0.0000	1.2696	0.5168	4.8457	8.8126	8.8150	18.4251	5.2547	20.4252	10.2624	4.7942	0.0000	0.0000	0.0000	0.8028	0.0000	1.8410	0.8155	7.3606	16.3790	8.3713	8.7516	11.4213	12.1107	14.1607	1.8916	0.0000	0.0000	0.0000	0.3345	0.0000	1.0320	0.3931	3.7185	10.5773	99.0038	581.4730	14.3076	589.8412	100.0323	13.7984	0.0000	0.0000	0.0000	1.6034	0.0000	3.0320	1.6341	5.9886	581.4297	16.9010	8.4330	15.2272	18.8881	22.7489	0.8636	0.0000	0.0000	0.0000	0.8044	0.0000	1.8109	0.7923	8.1585	15.0543
7	-2.3864	-2.2608	9.7126	-1	2.5535	6.4910	0.0806	0.5874	6.4272	2.1428	10.6852	6.7750	12.4693	1.5001	0.0000	0.0000	0.0000	0.5064	0.0000	1.3385	0.5418	4.8095	9.3163	9.0174	3.4097	11.1083	9.6405	14.3076	1.3937	0.0000	0.0000	0.0000	0.9170	0.0000	1.9602	0.8856	1.6837	10.7101	8.6808	2.4385	11.5382	9.0168	14.4391	2.3013	0.0000	0.0000	0.0000	0.3148	0.0000	1.0492	0.3795	5.4135	9.8588	94.1746	9.1030	94.2908	94.6135	133.2652	9.0825	0.0000	0.0000	0.0000	0.0644	0.0000	0.5885	0.1523	0.9511	94.0793	19.7069	29.8776	13.3955	35.7915	23.8286	5.0066	0.0000	0.0000	0.0000	0.8984	0.0000	1.9359	0.8940	12.2531	29.3641
8	-2.2608	-2.1352	9.9362	-1	2.5500	6.3640	0.0946	0.9276	6.4641	11.0629	1.8251	12.8130	6.7168	1.0170	0.0000	0.0000	0.0000	0.4845	0.0000	1.3435	0.5479	5.9332	9.1627	10.4648	9.0443	2.6006	13.8315	10.7831	1.1531	0.0000	0.0000	0.0000	0.9301	0.0000	2.0114	0.9273	5.8441	6.3675	8.7868	11.9484	1.4678	14.8315	8.9086	0.8166	0.0000	0.0000	0.0000	0.2646	0.0000	1.0137	0.3661	7.1040	9.5098	85.5550	301.9335	7.3657	313.8208	85.8715	7.2588	0.0000	0.0000	0.0000	0.2305	0.0000	1.1980	0.2917	118.4018	277.7164	16.0182	4.2653	18.5228	16.5764	24.4883	1.5841	0.0000	0.0000	0.0000	0.7939	0.0000	1.7854	0.7780	3.3264	18.2949
9	-2.1352	-2.0096	10.3802	-1	2.5405	6.7545	0.2421	0.8431	6.5102	4.0780	7.7220	7.6820	10.1001	0.7876	0.0000	0.0000	0.0000	0.4824	0.0000	1.2776	0.5159	5.7974	4.8263	9.0032	4.0092	17.8649	9.8555	20.0053	0.9442	0.0000	0.0000	0.0000	0.8562	0.0000	1.9534	0.8167	2.8764	17.4605	8.9200	6.4695	5.0163	11.0191	10.2337	0.6960	0.0000	0.0000	0.0000	0.3599	0.0000	1.0359	0.4146	4.8381	5.7945	58.4528	9.8931	84.2459	59.2841	102.5383	9.8263	0.0000	0.0000	0.0000	0.2245	0.0000	1.0546	0.3917	46.2739	69.8595	17.3191	9.5184	11.7202	19.7624	20.9121	1.3502	0.0000	0.0000	0.0000	0.4123	0.0000	1.2414	0.4566	10.6637	4.7920
10	-2.0096	-1.8840	10.7675	-1	2.5569	7.3612	0.1349	0.7145	5.9602	15.3985	13.0609	16.5117	14.3566	0.3133	0.0000	0.0000	0.0000	0.4282	0.0000	1.2079	0.4749	2.4436	15.3345	8.7290	6.5496	20.6144	10.9130	22.3864	0.9035	0.0000	0.0000	0.0000	0.7305	0.0000	1.7446	0.7339	5.4753	19.7572	7.9041	19.5321	10.6293	21.0708	13.2460	0.5956	0.0000	0.0000	0.0000	0.3036	0.0000	0.9883	0.3656	2.0345	19.4788	70.7918	3.2167	8.3540	70.8649	71.2830	8.0369	0.0000	0.0000	0.0000	0.7963	0.0000	1.9649	0.8562	0.0000	0.1476	16.7948	8.7856	19.1370	18.9540	25.4615	1.8078	0.0000	0.0000	0.0000	0.5603	0.0000	1.4073	0.6010	12.0498	14.6680
