Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	6.8925	-1	1.5111	4.8836	0.1213	0.3765	7.6315	10.5689	6.8181	13.0362	10.2336	1.5632	0.0000	0.0000	0.0000	0.4022	0.0000	1.1140	0.4282	1.8423	10.2548	11.7356	17.7459	14.1777	21.2753	18.4047	0.4583	0.0000	0.0000	0.0000	0.6680	0.0000	1.5726	0.6483	2.4374	17.5891	9.7431	7.6873	4.3766	12.4106	10.6809	3.0421	0.0000	0.0000	0.0000	0.2832	0.0000	0.9416	0.3383	2.0586	6.8685	70.8089	73.7613	53.1205	102.2479	88.5194	2.9369	0.0000	0.0000	0.0000	0.1912	0.0000	1.1717	0.2597	52.1500	53.0254	28.4185	14.9901	11.8760	32.1296	30.8001	9.7298	0.0000	0.0000	0.0000	0.9479	0.0000	1.4906	0.7646	0.0000	11.2396
3	-2.3000	-2.2000	7.1692	-1	1.5669	4.8934	0.1286	0.5804	7.8158	5.0258	11.2231	9.2922	13.6764	2.1618	0.0000	0.0000	0.0000	0.3812	0.0000	1.1729	0.4398	1.5869	10.8198	11.4666	14.0349	8.4823	18.1235	14.2630	0.9075	0.0000	0.0000	0.0000	0.5538	0.0000	1.5302	0.5650	3.0918	13.5762	10.4293	3.5239	12.3877	11.0085	16.1934	2.8240	0.0000	0.0000	0.0000	0.3087	0.0000	1.0173	0.3856	1.6905	11.8892	70.3588	1.2761	4.0114	70.3704	70.4731	3.8056	0.0000	0.0000	0.0000	0.1036	0.0000	1.2602	0.1720	0.0000	0.0000	19.6873	1.7724	11.8272	19.7669	22.9668	0.5664	0.0000	0.0000	0.0000	0.5880	0.0000	1.5010	0.6182	3.3100	11.2098
4	-2.2000	-2.1000	7.1962	-1	1.8476	5.0877	0.0143	0.2467	7.6937	6.9103	6.3571	10.3415	9.9802	1.7017	0.0000	0.0000	0.0000	0.3669	0.0000	1.1493	0.4110	0.6205	6.7590	10.9827	11.2636	16.5977	15.7318	19.9024	0.7961	0.0000	0.0000	0.0000	0.7299	0.0000	1.7202	0.7257	2.8356	16.2191	9.9361	5.0127	3.5207	11.1290	10.5414	2.2293	0.0000	0.0000	0.0000	0.2306	0.0000	0.9314	0.2906	0.4916	4.8667	99.1866	16.2818	14.8774	100.5141	100.2962	15.8721	0.0000	0.0000	0.0000	1.5540	0.0000	2.8753	1.5786	0.0000	0.0000	39.7410	23.1846	10.6946	46.0095	41.1548	11.9810	0.0000	0.0000	0.0000	0.3916	0.0000	1.2689	0.4698	13.9999	13.9999
5	-2.1000	-2.0000	7.9122	-1	1.5219	5.7081	0.1293	0.5529	7.4881	5.3177	10.2743	9.1842	12.7135	0.1904	0.0000	0.0000	0.0000	0.3666	0.0000	1.1482	0.4399	1.0319	10.1406	11.6173	3.9830	9.1889	12.2811	14.8121	0.2706	0.0000	0.0000	0.0000	0.7112	0.0000	1.7765	0.7124	4.2015	7.9176	9.5742	6.6751	11.2465	11.6714	14.7699	0.7089	0.0000	0.0000	0.0000	0.2419	0.0000	0.9318	0.3341	0.6783	11.1576	70.8227	1.1017	4.1246	70.8313	70.9427	3.9755	0.0000	0.0000	0.0000	0.3236	0.0000	0.8178	0.6634	0.0000	0.0000	20.3949	6.7449	9.9511	21.4813	22.6931	5.1969	0.0000	0.0000	0.0000	0.7154	0.0000	1.7295	0.7299	3.8013	8.1320
6	-2.0000	-1.9000	8.8846	-1	2.1981	5.8644	0.1105	0.7116	6.5382	6.7258	4.9343	9.3800	8.1912	0.8937	0.0000	0.0000	0.0000	0.4895	0.0000	1.3035	0.5306	1.4859	6.3253	10.1144	8.7778	6.9614	13.3922	12.2785	0.5890	0.0000	0.0000	0.0000	1.0588	0.0000	2.1888	1.0413	4.4135	7.1116	8.7754	7.1474	4.6004	11.3178	9.9081	1.5312	0.0000	0.0000	0.0000	0.2667	0.0000	0.9537	0.3249	2.8128	6.3041	70.9270	9.9140	5.3440	71.6165	71.1281	9.8831	0.0000	0.0000	0.0000	0.1815	0.0000	0.6517	0.3918	0.0000	0.0000	18.3355	5.9200	4.5554	19.2675	18.8929	2.6539	0.0000	0.0000	0.0000	0.6147	0.0000	1.5524	0.6699	1.6738	5.0527
7	-1.9000	-1.8000	8.8266	-1	2.0106	5.9029	0.1021	0.8110	6.6137	2.5174	5.4376	7.0766	8.5620	0.3306	0.0000	0.0000	0.0000	0.4267	0.0000	1.2093	0.4832	0.4324	5.2358	10.1900	3.4493	4.3136	10.7580	11.0654	1.8309	0.0000	0.0000	0.0000	0.7263	0.0000	1.6935	0.7271	0.6514	3.3749	8.9338	2.5319	5.6015	9.2856	10.5446	0.4111	0.0000	0.0000	0.0000	0.2765	0.0000	0.9804	0.3600	0.7839	5.4316	56.3767	27.6359	33.3017	62.7859	65.4777	33.2820	0.0000	0.0000	0.0000	0.3441	0.0000	0.9827	0.4843	0.0000	0.0000	16.2604	2.3823	9.3272	16.4340	18.7456	0.2267	0.0000	0.0000	0.0000	0.7868	0.0000	1.7035	0.7749	0.6154	9.0823
8	-1.8000	-1.7000	8.6680	-1	2.1754	5.9182	0.0396	0.5349	7.2867	6.5760	2.4617	9.8152	7.6913	1.4153	0.0000	0.0000	0.0000	0.4276	0.0000	1.2197	0.4803	1.1691	6.2545	9.8365	5.2827	4.3105	11.1653	10.7395	1.1673	0.0000	0.0000	0.0000	0.8663	0.0000	1.9449	0.8584	1.5235	4.6263	9.6725	7.6067	2.0603	12.3052	9.8895	1.7571	0.0000	0.0000	0.0000	0.2449	0.0000	0.9244	0.3259	2.2904	7.0548	270.3951	30.1813	54.8669	272.0743	275.9056	54.8575	0.0000	0.0000	0.0000	0.1771	0.0000	0.9159	0.4048	0.0000	0.0000	22.1295	5.4887	8.4598	22.8000	23.6914	3.9116	0.0000	0.0000	0.0000	0.7100	0.0000	1.5613	0.7168	1.7974	7.0444
9	-1.7000	-1.6000	10.8294	-1	1.9702	7.8736	0.0716	0.9139	6.2473	4.0002	5.5203	7.4183	8.3369	2.6350	0.0000	0.0000	0.0000	0.4373	0.0000	1.2615	0.4808	0.6981	4.5887	9.6366	2.8436	8.5145	10.0474	12.8593	1.1226	0.0000	0.0000	0.0000	1.0783	0.0000	2.0753	0.9998	4.7517	6.5984	7.9302	4.6841	5.0881	9.2102	9.4221	3.7490	0.0000	0.0000	0.0000	0.2698	0.0000	1.0392	0.3442	0.2166	3.4240	82.2034	20.0971	84.0512	84.6245	117.5671	26.5999	0.0000	0.0000	0.0000	0.1204	0.0000	0.6581	0.1926	0.0000	79.7281	18.4206	8.9538	6.9040	20.4814	19.6719	4.3266	0.0000	0.0000	0.0000	0.5237	0.0000	1.4693	0.5609	3.1390	8.1097
10	-1.6000	-1.5000	10.8868	-1	2.3936	7.7320	0.2869	0.4742	6.3985	3.3124	6.3187	7.2050	8.9926	1.7082	0.0000	0.0000	0.0000	0.4083	0.0000	1.2048	0.4701	2.6189	5.3224	9.0994	7.5271	11.1943	11.8091	14.4261	1.1607	0.0000	0.0000	0.0000	0.7578	0.0000	1.7371	0.7380	1.6386	10.8259	8.2449	1.7202	5.7362	8.4224	10.0440	1.8329	0.0000	0.0000	0.0000	0.3063	0.0000	1.0623	0.3866	3.4089	4.0696	48.5020	13.0956	3.9264	50.2389	48.6607	3.8465	0.0000	0.0000	0.0000	0.2461	0.0000	0.6295	0.4096	0.0000	12.8144	23.1275	15.1693	6.2546	27.6584	23.9583	8.0134	0.0000	0.0000	0.0000	0.4049	0.0000	1.1906	0.5144	3.7286	12.2534
11	-1.5000	-1.4000	11.9543	-1	2.4042	8.5786	0.3230	0.6486	6.1283	4.5944	5.9099	7.6593	8.5137	2.5376	0.0000	0.0000	0.0000	0.4111	0.0000	1.1547	0.4692	0.6076	5.2785	9.2466	4.3137	3.2162	10.2033	9.7899	0.2529	0.0000	0.0000	0.0000	0.9392	0.0000	2.0577	0.9047	2.4760	2.5453	7.8385	5.2406	7.1654	9.4290	10.6201	3.1925	0.0000	0.0000	0.0000	0.2595	0.0000	0.8889	0.3453	0.6889	6.3847	44.2566	2.4228	3.9307	44.3228	44.4308	3.7867	0.0000	0.0000	0.0000	0.2217	0.0000	0.9836	0.3180	0.0000	0.0000	18.6825	4.0073	5.3658	19.1075	19.4378	2.5229	0.0000	0.0000	0.0000	0.5526	0.0000	1.4068	0.5697	1.4059	4.8991
