Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	6.8867	-1	1.5123	4.7382	0.2291	0.4071	7.8493	5.9908	6.3096	9.8743	10.0708	1.0360	0.0000	0.0000	0.0000	0.4740	0.0000	0.9280	0.6467	0.8970	6.1027	12.4223	5.6239	9.4790	13.6361	15.6258	4.4425	0.0000	0.0000	0.0000	0.9652	0.0000	1.5070	0.8740	0.0999	8.7949	10.1361	6.1114	5.7175	11.8360	11.6374	0.7827	0.0000	0.0000	0.0000	0.3343	0.0000	0.7624	0.5783	0.0000	6.0268	51.7211	39.0786	6.3372	64.8244	52.1079	6.2568	0.0000	0.0000	0.0000	0.3590	0.0000	0.6678	0.6664	27.6235	27.6235	27.1451	3.7147	6.2655	27.3980	27.8588	3.0746	0.0000	0.0000	0.0000	0.3397	0.0000	0.8510	0.5866	1.0963	5.7033
3	-2.3000	-2.2000	7.1441	-1	1.4188	5.2770	0.0716	0.3768	7.8437	7.7661	7.1289	11.0379	10.5993	0.8147	0.0000	0.0000	0.0000	0.5157	0.0000	0.9731	0.6947	1.3952	7.6138	12.6005	13.8926	6.9845	18.7557	14.4069	2.0645	0.0000	0.0000	0.0000	1.0692	0.0000	1.8043	1.0128	0.4161	13.5331	9.8401	4.0232	7.8259	10.6308	12.5727	1.0645	0.0000	0.0000	0.0000	0.3438	0.0000	0.7063	0.5864	2.0879	7.4025	51.9904	113.8532	48.5601	125.1621	71.1413	62.0402	0.0000	0.0000	0.0000	0.3232	0.0000	0.7507	0.6563	0.0000	95.4592	27.8677	22.6103	5.5609	35.8864	28.4171	4.7001	0.0000	0.0000	0.0000	0.8763	0.0000	1.6229	1.0218	1.2216	22.1098
4	-2.2000	-2.1000	8.1222	-1	1.5867	6.0501	0.2267	0.2587	7.3407	6.6465	5.8041	9.9026	9.3581	2.6751	0.0000	0.0000	0.0000	0.5296	0.0000	1.0528	0.7000	0.6341	5.9187	12.5793	8.3980	7.2377	15.1250	14.5128	7.1343	0.0000	0.0000	0.0000	0.9981	0.0000	1.6901	0.9286	1.7571	5.0832	8.8995	5.9621	5.7731	10.7120	10.6080	1.8611	0.0000	0.0000	0.0000	0.3984	0.0000	0.8882	0.6363	0.7005	5.5652	49.6889	33.4678	1.8801	59.9089	49.7245	1.4986	0.0000	0.0000	0.0000	0.3747	0.0000	0.7398	0.7808	0.0000	33.4484	44.1726	7.4126	7.5132	44.7903	44.8070	2.3567	0.0000	0.0000	0.0000	0.8589	0.0000	1.2683	0.7148	4.3270	6.4033
5	-2.1000	-2.0000	9.2695	-1	1.9186	6.6829	0.1455	0.5225	6.7374	6.4243	6.3890	9.3094	9.2850	1.3645	0.0000	0.0000	0.0000	0.2611	0.0000	1.0737	0.3101	0.4609	6.3041	10.4436	8.1151	6.2990	13.2259	12.1962	1.5423	0.0000	0.0000	0.0000	0.6363	0.0000	1.8961	0.6262	0.2192	7.7805	8.5629	4.8405	6.4672	9.8363	10.7307	1.6037	0.0000	0.0000	0.0000	0.1329	0.0000	0.7984	0.2003	0.4872	6.2099	71.2426	75.6494	14.0583	103.9151	72.6164	15.2147	0.0000	0.0000	0.0000	0.1229	0.0000	0.5598	0.1960	0.0000	74.1012	20.6723	4.3911	8.8709	21.1335	22.4953	2.2704	0.0000	0.0000	0.0000	0.5623	0.0000	1.7192	0.5856	2.7510	8.3651
6	-2.0000	-1.9000	9.3276	-1	1.5117	7.1232	0.0820	0.6107	6.7228	4.3915	6.1623	8.0300	9.1197	1.2541	0.0000	0.0000	0.0000	0.2765	0.0000	1.0684	0.3303	1.5038	5.8615	11.4355	12.0188	7.5131	16.5898	13.6828	1.2058	0.0000	0.0000	0.0000	0.5990	0.0000	1.7679	0.5736	2.2539	11.6196	8.2267	3.1282	6.5261	8.8013	10.5009	2.0279	0.0000	0.0000	0.0000	0.1722	0.0000	0.8710	0.2422	1.6077	6.2085	78.7720	11.4581	1.7674	79.6010	78.7918	11.4108	0.0000	0.0000	0.0000	0.1655	0.0000	0.9985	0.2380	0.0000	0.0000	20.5598	8.8792	3.6185	22.3952	20.8758	4.4378	0.0000	0.0000	0.0000	0.7099	0.0000	1.6495	0.7672	0.0000	7.4386
7	-1.9000	-1.8000	9.4531	-1	1.9181	6.8190	0.1437	0.5723	6.8103	4.4828	5.1945	8.1532	8.5652	1.8256	0.0000	0.0000	0.0000	0.3170	0.0000	1.1802	0.3688	1.4708	4.9304	10.1252	6.2418	11.6006	11.8945	15.3978	1.1394	0.0000	0.0000	0.0000	0.7152	0.0000	1.9759	0.7040	2.5109	11.2889	8.7159	4.2183	3.9249	9.6830	9.5589	2.8888	0.0000	0.0000	0.0000	0.1744	0.0000	0.9006	0.2462	1.3326	3.3680	70.7799	3.5588	8.9439	70.8694	71.3428	8.6687	0.0000	0.0000	0.0000	0.7630	0.0000	1.9075	0.8128	0.0000	0.0000	20.0427	11.7636	4.1743	23.2399	20.4727	2.9083	0.0000	0.0000	0.0000	0.5695	0.0000	1.6619	0.5939	0.0150	11.2466
8	-1.8000	-1.7000	10.4313	-1	1.9961	7.4686	0.1526	0.8141	6.4342	3.4960	3.6306	7.3226	7.3878	0.5613	0.0000	0.0000	0.0000	0.2816	0.0000	1.1647	0.3365	0.5639	3.3195	10.6504	8.4664	4.7439	13.6055	11.6591	2.9847	0.0000	0.0000	0.0000	0.8388	0.0000	2.1174	0.8034	0.8291	7.5001	8.1623	2.6734	3.8218	8.5890	9.0127	0.8615	0.0000	0.0000	0.0000	0.1402	0.0000	0.9106	0.2161	1.0973	3.4310	60.6066	0.9462	3.7609	60.6140	60.7232	3.6409	0.0000	0.0000	0.0000	0.1655	0.0000	0.8992	0.2436	0.0000	0.0000	19.4635	3.5286	6.9068	19.7808	20.6527	6.6021	0.0000	0.0000	0.0000	0.2348	0.0000	1.2101	0.3129	0.8087	1.5886
9	-1.7000	-1.6000	12.2771	-1	2.5209	8.7461	0.2624	0.7476	6.0300	3.0781	4.2625	6.7702	7.3844	1.8621	0.0000	0.0000	0.0000	0.3061	0.0000	1.2122	0.3580	0.7614	3.8968	9.1517	3.7571	6.1689	9.8929	11.0367	0.5400	0.0000	0.0000	0.0000	0.7486	0.0000	2.0161	0.7188	1.5563	5.5156	7.7224	3.6094	4.1820	8.5243	8.7821	2.9804	0.0000	0.0000	0.0000	0.1653	0.0000	0.9560	0.2392	1.3185	3.4895	48.0726	1.8998	6.3523	48.1101	48.4905	6.2725	0.0000	0.0000	0.0000	0.1526	0.0000	0.9718	0.2216	0.0000	0.0000	20.1667	4.8978	4.9446	20.7529	20.7641	2.3402	0.0000	0.0000	0.0000	0.5146	0.0000	1.5827	0.5795	0.6652	4.5705
10	-1.6000	-1.5000	11.4495	-1	2.6373	7.6388	0.3687	0.8047	5.9425	5.3488	5.2561	7.9952	7.9335	1.0757	0.0000	0.0000	0.0000	0.3243	0.0000	1.3081	0.3772	1.0263	5.0036	9.0394	3.9032	5.1161	9.8461	10.3868	1.6897	0.0000	0.0000	0.0000	0.6651	0.0000	1.9674	0.6482	0.9261	4.3232	7.8600	6.5600	4.7473	10.2378	9.1824	1.7172	0.0000	0.0000	0.0000	0.1864	0.0000	1.0525	0.2637	1.2607	6.1060	39.8460	1.4121	16.3482	39.8710	43.0693	5.1682	0.0000	0.0000	0.0000	0.1233	0.0000	0.8477	0.1881	0.0000	15.4851	19.2608	3.8270	8.2690	19.6374	20.9608	0.6069	0.0000	0.0000	0.0000	0.6088	0.0000	1.7847	0.6530	0.4001	7.9962
11	-1.5000	-1.4000	12.9706	-1	2.8414	9.1469	0.1354	0.8470	5.6882	3.2757	3.0768	6.5640	6.4670	1.2478	0.0000	0.0000	0.0000	0.4371	0.0000	1.4448	0.4837	0.0630	2.5800	9.0223	6.4472	6.0975	11.0891	10.8895	3.7115	0.0000	0.0000	0.0000	0.9740	0.0000	2.3620	0.9387	0.2875	4.8766	7.3421	2.5751	2.5533	7.7806	7.7734	1.2867	0.0000	0.0000	0.0000	0.2786	0.0000	1.1834	0.3505	0.0000	1.8369	58.8656	18.9820	15.6630	61.8505	60.9138	18.9568	0.0000	0.0000	0.0000	0.1739	0.0000	0.9290	0.2488	0.0000	0.0000	17.2166	5.3910	4.9998	18.0409	17.9279	4.7396	0.0000	0.0000	0.0000	0.3890	0.0000	1.2727	0.4333	1.2926	4.5582
