Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	50.0000	100.0000	135.4197	-1	9.7000	113.9679	3.8640	7.8878	1.8492	5.1425	4.9918	5.4649	5.3233	0.0974	0.0000	0.0000	0.0000	0.2942	0.0000	0.9022	0.3898	0.4400	5.0199	3.9682	6.1952	5.7090	7.3571	6.9526	0.7672	0.0000	0.0000	0.0000	0.7167	0.0000	1.4578	0.7507	0.7916	5.8461	2.0795	4.9567	5.2447	5.3752	5.6419	0.1079	0.0000	0.0000	0.0000	0.2425	0.0000	0.8322	0.3448	0.5074	5.1604	12.9662	9.5446	1.3826	16.1004	13.0397	0.9413	0.0000	0.0000	0.0000	0.2851	0.0000	0.8748	0.4292	3.2605	8.9127	6.4048	4.9394	3.1880	8.0882	7.1544	0.6390	0.0000	0.0000	0.0000	0.5264	0.0000	1.2428	0.5768	0.7509	4.6728
3	100.0000	150.0000	150.3525	-1	23.8395	115.8265	2.1162	8.5703	1.7048	6.1361	4.8738	6.3685	5.1634	0.2661	0.0000	0.0000	0.0000	0.3300	0.0000	1.0726	0.3849	0.4256	5.9993	2.8764	5.7807	7.5735	6.4568	8.1013	0.7234	0.0000	0.0000	0.0000	0.5628	0.0000	1.4035	0.5799	0.7816	7.3300	2.0618	6.2071	4.4570	6.5406	4.9108	0.3409	0.0000	0.0000	0.0000	0.2690	0.0000	0.9859	0.3323	0.6967	6.0640	17.0086	12.7858	6.6392	21.2784	18.2584	5.5152	0.0000	0.0000	0.0000	0.2843	0.0000	0.9674	0.3544	0.3068	11.5288	6.0337	5.3902	3.6321	8.0907	7.0425	0.5880	0.0000	0.0000	0.0000	0.5181	0.0000	1.3501	0.5611	0.3010	5.1434
4	150.0000	200.0000	105.5549	-1	28.9648	68.8022	1.1061	6.6818	1.9300	5.0302	5.5309	5.3878	5.8580	0.6088	0.0000	0.0000	0.0000	0.3743	0.0000	1.1972	0.4096	0.4516	5.3188	2.6077	6.1236	7.0054	6.6558	7.4750	0.6984	0.0000	0.0000	0.0000	0.5034	0.0000	1.4108	0.5126	0.4025	6.7782	2.6527	4.6297	4.9320	5.3358	5.6002	0.7816	0.0000	0.0000	0.0000	0.3072	0.0000	1.0877	0.3555	0.4449	4.7035	24.9775	7.0451	7.8109	25.9521	26.1703	6.9514	0.0000	0.0000	0.0000	0.2166	0.0000	1.0866	0.2904	0.0000	7.0119	6.2103	5.4531	5.3580	8.2647	8.2022	0.3086	0.0000	0.0000	0.0000	0.5321	0.0000	1.4178	0.5404	0.8073	5.1793
5	200.0000	250.0000	60.2097	-1	25.0670	30.1484	0.1274	4.8669	2.4162	5.5362	5.2959	6.0405	5.8210	0.2214	0.0000	0.0000	0.0000	0.5634	0.0000	1.5294	0.5539	0.6153	5.2422	2.9104	6.5501	6.4457	7.1676	7.0723	1.2876	0.0000	0.0000	0.0000	0.6806	0.0000	1.6943	0.6296	0.4670	6.1072	4.0285	4.2211	4.0896	5.8349	5.7405	0.7692	0.0000	0.0000	0.0000	0.4744	0.0000	1.4024	0.4985	0.5042	3.8384	63.0723	60.3736	93.8070	87.3102	113.0392	11.7983	0.0000	0.0000	0.0000	0.5313	0.0000	1.5958	0.5078	60.4376	70.7447	6.5846	8.3245	6.1464	10.6139	9.0075	1.1809	0.0000	0.0000	0.0000	0.5120	0.0000	1.4650	0.5087	0.8297	8.0626
6	250.0000	300.0000	30.6794	-1	16.4835	11.1833	0.0874	2.9252	3.2140	5.5562	6.4572	6.4189	7.2129	0.9097	0.0000	0.0000	0.0000	0.6840	0.0000	1.7034	0.6750	0.5066	6.0845	3.5707	6.3606	8.9210	7.2943	9.6091	1.0197	0.0000	0.0000	0.0000	0.7099	0.0000	1.7862	0.6919	0.5429	8.6102	6.7139	4.1917	2.8852	7.9150	7.3076	1.5446	0.0000	0.0000	0.0000	0.5683	0.0000	1.4685	0.5812	0.4994	3.5127	86.6430	10.6874	12.3287	87.2996	87.5157	7.5556	0.0000	0.0000	0.0000	4.8115	0.0000	7.0989	4.7315	0.1951	2.9908	8.1165	6.8599	7.2273	10.6271	10.8679	0.4767	0.0000	0.0000	0.0000	0.8573	0.0000	1.9736	0.8173	0.7117	6.8026
7	300.0000	350.0000	13.7659	-1	7.9363	4.3115	0.0481	1.4700	4.5224	6.7330	5.4599	8.1108	7.0896	0.6430	0.0000	0.0000	0.0000	0.9891	0.0000	2.1326	0.9601	0.7397	6.1752	4.9821	6.7302	5.8797	8.3736	7.7066	1.0981	0.0000	0.0000	0.0000	1.0306	0.0000	2.2255	0.9950	0.3072	6.1205	10.4331	7.1100	4.9104	12.6254	11.5309	3.6123	0.0000	0.0000	0.0000	0.8909	0.0000	1.9152	0.8746	1.5663	5.5333	98.8493	20.2106	31.4526	100.8942	103.7325	30.9492	0.0000	0.0000	0.0000	2.9161	0.0000	4.1670	2.4230	0.0000	0.0000	11.1000	9.4209	10.6710	14.5590	15.3974	0.9829	0.0000	0.0000	0.0000	0.9898	0.0000	2.2024	0.9749	3.0025	9.8597
8	350.0000	400.0000	6.7244	-1	4.4099	1.3357	0.0686	0.9102	6.2812	5.8009	8.6029	8.5501	10.6519	0.4936	0.0000	0.0000	0.0000	1.4180	0.0000	2.7101	1.3600	0.6918	7.8900	6.6578	6.3092	10.8477	9.1723	12.7279	0.3574	0.0000	0.0000	0.0000	1.4156	0.0000	2.7313	1.3538	1.1385	10.2559	19.6986	5.9264	7.1296	20.5708	20.9492	5.1314	0.0000	0.0000	0.0000	1.2961	0.0000	2.4804	1.2882	1.3034	3.8894	97.6097	12.0736	11.5678	98.3536	98.2928	11.2777	0.0000	0.0000	0.0000	1.7799	0.0000	3.5217	1.7361	0.0000	0.0000	14.9370	6.4746	4.9027	16.2798	15.7210	1.7091	0.0000	0.0000	0.0000	1.5811	0.0000	2.8833	1.4672	0.4053	5.2051
9	400.0000	450.0000	4.0356	-1	2.9940	0.5081	0.0145	0.5190	7.5323	6.1065	8.8618	9.6967	11.6305	0.1868	0.0000	0.0000	0.0000	2.1859	0.0000	3.7547	2.0599	0.2855	7.4600	8.2892	6.6813	10.8376	10.6466	13.6442	1.5617	0.0000	0.0000	0.0000	2.2988	0.0000	3.8951	2.1548	0.4863	9.5455	28.2216	7.7912	11.4502	29.2773	30.4559	10.6977	0.0000	0.0000	0.0000	1.8312	0.0000	3.2258	1.7816	0.0000	0.0000	98.2031	4.4447	8.7026	98.3036	98.5879	7.5111	0.0000	0.0000	0.0000	1.6478	0.0000	3.7677	1.6866	0.0000	0.0000	19.3096	7.2835	5.3060	20.6376	20.0254	2.1513	0.0000	0.0000	0.0000	1.8968	0.0000	3.4617	1.7956	0.5851	5.4105
10	450.0000	500.0000	2.2981	-1	1.6118	0.3508	0.0001	0.3354	10.3097	12.8793	12.2057	16.4975	15.9772	2.2209	0.0000	0.0000	0.0000	4.7694	0.0000	7.5089	4.4070	1.5584	7.7436	11.3920	11.9485	14.9866	16.5089	18.8249	2.2730	0.0000	0.0000	0.0000	4.7270	0.0000	7.4933	4.3668	2.2220	11.3087	36.9141	11.1017	9.2176	38.5473	38.0475	3.0315	0.0000	0.0000	0.0000	4.3937	0.0000	6.9341	4.0599	0.0000	5.4944	93.5449	19.4219	29.7933	95.5398	98.1748	28.5626	0.0000	0.0000	0.0000	4.2920	0.0000	6.5611	3.7674	0.0000	0.0000	22.4126	26.9467	10.6936	35.0492	24.8330	1.1301	0.0000	0.0000	0.0000	5.3659	0.0000	8.1853	4.9632	0.0000	24.5849
11	500.0000	550.0000	1.4208	-1	1.1404	0.0860	0.0028	0.1915	12.6046	10.8569	11.9300	16.6358	17.3551	1.0651	0.0000	0.0000	0.0000	5.2668	0.0000	8.1300	4.8989	2.9705	4.7553	14.0051	10.7728	12.6070	17.6691	18.8436	1.7361	0.0000	0.0000	0.0000	5.2131	0.0000	8.0395	4.8438	3.7006	5.8908	66.2198	13.3078	21.7947	67.5438	69.7142	20.5253	0.0000	0.0000	0.0000	3.4060	0.0000	5.8460	3.2512	0.0000	0.0000	92.7590	9.6883	13.7402	93.2636	93.7712	10.7553	0.0000	0.0000	0.0000	4.3244	0.0000	6.6194	3.8120	0.0000	0.0000	30.0289	13.1720	12.7770	32.7908	32.6341	2.3434	0.0000	0.0000	0.0000	6.4360	0.0000	9.7166	5.9823	0.0000	0.1991
