Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
3	200.0000	300.0000	1.0167	2.0000	0.0027	0.2808	0.6921	0.0411	24.9525	2.3112	0.7328	25.0593	24.9632	2.1911	0.0001	0.0000	0.0000	0.0869	0.0000	0.7135	0.1548	0.0000	0.0000	71.6313	45.9660	38.3816	85.1112	81.2662	45.9473	0.0000	0.0000	0.0000	0.1163	0.0000	1.2589	0.3539	0.0000	0.0000	45.8260	12.4602	10.3705	47.4898	46.9848	12.4503	0.0000	0.0000	0.0000	0.0747	0.0000	0.4677	0.1513	0.0000	0.0000	31.3305	8.0054	4.2980	32.3371	31.6239	7.9640	0.0000	0.0000	0.0000	0.0927	0.0000	0.7923	0.1576	0.0000	0.0000	67.7471	15.0551	12.1883	69.3998	68.8348	15.0191	0.0018	0.0000	0.0000	0.0714	0.0000	1.0310	0.1198	0.0000	0.0000
4	300.0000	400.0000	1.6785	1.0000	0.0121	0.4595	1.1780	0.0289	18.6172	7.1906	3.9910	19.9576	19.0402	7.1377	0.0000	0.0000	0.0000	0.1084	0.0000	0.8529	0.1383	0.0000	0.0000	68.5022	15.1267	4.7462	70.1524	68.6664	15.1148	0.0000	0.0000	0.0000	0.1341	0.0000	0.4530	0.3701	0.0000	0.0000	31.8845	6.4102	2.1563	32.5224	31.9573	6.3437	0.0000	0.0000	0.0000	0.1239	0.0000	0.8988	0.1587	0.0000	0.0000	23.3960	6.8374	4.1187	24.3746	23.7558	6.7850	0.0000	0.0000	0.0000	0.0956	0.0000	0.8299	0.1230	0.0000	0.0000	43.6700	30.8196	28.9328	53.4501	52.3849	30.7910	0.0009	0.0000	0.0000	0.3771	0.0000	1.2276	0.3384	0.0000	0.0000
5	400.0000	500.0000	2.8812	2.0000	0.1031	0.3464	2.2551	0.1766	14.3857	3.7949	2.0532	14.8779	14.5315	3.7037	0.0040	0.0000	0.0000	0.1282	0.0000	0.7983	0.1730	0.0000	0.0168	38.1117	16.0820	16.3506	41.3658	41.4710	16.3317	0.0000	0.0000	0.0000	0.0858	0.0000	0.7719	0.1401	0.0000	0.0000	38.6938	1.3597	1.6007	38.7177	38.7269	1.4451	0.0334	0.0000	0.0000	0.1334	0.0000	0.6591	0.1522	0.0000	0.0000	17.0549	6.5622	3.8411	18.2738	17.4821	6.5058	0.0000	0.0000	0.0000	0.1204	0.0000	0.8320	0.1743	0.0000	0.0000	37.4140	5.5058	10.3089	37.8169	38.8082	10.2793	0.0000	0.0000	0.0000	0.2433	0.0000	0.6558	0.2161	0.0000	0.2746
6	500.0000	600.0000	3.3766	4.0000	0.0883	0.5122	2.6552	0.1209	13.3931	2.8372	2.1317	13.6903	13.5617	1.9231	0.0027	0.0000	0.0000	0.1781	0.0000	0.8828	0.2040	1.3576	1.3644	26.2629	4.0767	4.2354	26.5774	26.6022	4.1784	0.0000	0.0000	0.0000	0.1104	0.0000	0.5946	0.1403	0.2063	0.2308	30.6924	13.1891	1.5342	33.4062	30.7307	3.2231	0.0000	0.0000	0.0000	0.5495	0.0000	1.2847	0.5582	8.9806	8.9806	15.8148	2.3944	2.8806	15.9950	16.0750	2.7592	0.0000	0.0000	0.0000	0.1110	0.0000	0.8110	0.1402	0.0000	0.0000	44.7726	1.6471	3.8418	44.8029	44.9372	3.7133	0.0768	0.0000	0.0000	0.1267	0.0000	0.9694	0.1505	0.0212	0.0597
7	600.0000	700.0000	1.7358	1.0000	0.0515	0.3997	1.2696	0.0151	18.2371	1.5608	0.7368	18.3038	18.2520	1.3743	0.0000	0.0000	0.0000	0.1336	0.0000	0.7110	0.1507	0.0000	0.0363	30.3098	3.8323	3.1386	30.5511	30.4719	3.6433	0.0000	0.0000	0.0000	0.4573	0.0000	1.0315	0.3740	0.0000	0.0909	34.0133	1.4418	2.8680	34.0439	34.1340	2.7546	0.0000	0.0000	0.0000	0.1241	0.0000	0.7740	0.1673	0.0000	0.0000	22.4768	2.5066	0.7000	22.6161	22.4877	2.4064	0.0000	0.0000	0.0000	0.1239	0.0000	0.6771	0.1368	0.0000	0.0000	50.0053	9.7051	0.8081	50.9384	50.0118	8.7221	0.0000	0.0000	0.0000	0.0909	0.0000	0.7972	0.1204	0.0000	4.1781
8	700.0000	800.0000	1.2533	0.0000	0.0141	0.2799	0.9578	0.0015	21.7262	1.3884	1.6556	21.7705	21.7891	1.5393	0.0002	0.0000	0.0000	0.0852	0.0000	0.5954	0.1082	0.0063	0.0076	23.4269	10.4968	10.0344	25.6711	25.4855	10.4709	0.0000	0.0000	0.0000	0.0902	0.0000	0.7222	0.1202	0.5643	0.6738	46.5516	15.1073	9.8667	48.9416	47.5857	15.0928	0.0000	0.0000	0.0000	0.0790	0.0000	0.6462	0.1139	0.0000	0.0000	24.9610	4.3413	6.2352	25.3357	25.7279	6.2069	0.0000	0.0000	0.0000	0.0866	0.0000	0.5781	0.1061	0.0000	0.0000	103.7278	33.2069	43.9736	108.9135	112.6638	43.9610	0.1299	0.0000	0.0000	0.2408	0.0000	0.9822	0.2781	0.0000	0.0000
9	800.0000	900.0000	0.4167	1.0000	0.0179	0.1210	0.2743	0.0035	33.7899	3.7546	4.1304	33.9978	34.0414	4.0471	0.0000	0.0000	0.0000	0.1116	0.0000	0.8083	0.1421	0.0000	0.0032	16.4381	5.1650	4.7659	17.2305	17.1151	5.0819	0.0005	0.0000	0.0000	0.2507	0.0000	0.8525	0.2496	0.0000	0.0742	56.4312	12.0427	15.5833	57.7019	58.5433	15.5772	0.0000	0.0000	0.0000	0.0834	0.0000	0.4138	0.1106	0.0000	0.0000	44.8807	1.3071	0.9825	44.8997	44.8915	0.8583	0.0000	0.0000	0.0000	0.1079	0.0000	0.9692	0.1440	0.0000	0.0000	49.7295	13.1227	12.5194	51.4318	51.2812	12.9983	0.0000	0.0000	0.0000	0.6491	0.0000	1.5964	0.5266	0.0000	0.0000
10	900.0000	1000.0000	0.3011	0.0000	0.0105	0.1091	0.1377	0.0438	48.5963	0.9328	1.5526	48.6052	48.6211	1.2425	0.0000	0.0000	0.0000	0.3694	0.0000	0.8048	0.2932	0.0022	0.0000	19.1280	1.2681	0.8795	19.1700	19.1482	0.9692	0.0000	0.0000	0.0000	0.1012	0.0000	0.8021	0.1234	0.0624	0.0000	70.9338	2.7735	8.7354	70.9880	71.4697	8.7317	0.0000	0.0000	0.0000	0.0396	0.0000	0.2434	0.0536	0.0000	0.0000	87.6335	4.7363	2.9018	87.7614	87.6815	4.4906	0.0000	0.0000	0.0000	0.7119	0.0000	1.2148	0.5330	0.0000	0.0000	66.5824	0.9487	3.7427	66.5891	66.6875	3.6214	0.0000	0.0000	0.0000	0.1784	0.0000	0.9149	0.1764	0.0000	0.0000
11	1000.0000	1100.0000	0.1450	0.0000	0.0068	0.0299	0.1067	0.0016	53.4380	0.6338	0.9561	53.4417	53.4465	0.7204	0.0000	0.0000	0.0000	0.1208	0.0000	0.6020	0.1405	0.0000	0.0100	24.1864	2.0370	0.8471	24.2720	24.2012	1.8383	0.0000	0.0000	0.0000	0.0972	0.0000	0.8358	0.1267	0.0000	0.2146	79.0593	20.4410	9.1631	81.6591	79.5885	20.4141	0.0000	0.0000	0.0000	0.1418	0.0000	1.0206	0.2010	0.0000	0.0000	69.1367	1.5427	5.6511	69.1539	69.3672	5.6285	0.0000	0.0000	0.0000	0.1180	0.0000	0.4752	0.1262	0.0000	0.0000	72.0947	4.9398	8.0251	72.2637	72.5400	8.0214	0.0000	0.0000	0.0000	0.0216	0.0000	0.2433	0.0186	0.0000	0.0000
12	1100.0000	1200.0000	0.4412	0.0000	0.0042	0.1703	0.2658	0.0009	33.6213	4.3334	2.1308	33.8994	33.6888	4.2859	0.0000	0.0000	0.0000	0.1160	0.0000	0.6102	0.1529	0.0000	0.0000	28.2054	3.6032	3.7560	28.4346	28.4544	3.5049	0.0000	0.0000	0.0000	0.5540	0.0000	1.1430	0.4750	0.0000	0.0000	62.6735	8.2305	8.9307	63.2116	63.3066	8.9042	0.0000	0.0000	0.0000	0.1253	0.0000	0.6641	0.1378	0.0000	0.0000	38.7685	2.3795	0.5951	38.8414	38.7731	2.3036	0.0000	0.0000	0.0000	0.1032	0.0000	0.5658	0.1577	0.0000	0.0000	88.0517	27.7452	8.1896	92.3195	88.4317	27.7260	0.0000	0.0000	0.0000	0.0447	0.0000	1.0269	0.0600	0.0000	0.0000
