Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	5.0000	0.0426	0.0000	0.0000	0.0426	0.0000	0.0000	100.0000	7.3502	7.0750	100.2698	100.2500	3.3472	0.3972	6.5310	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	7.3502	7.0750	100.2698	100.2500	3.3472	0.3972	6.5310	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	10.0000	15.0000	0.3875	0.0000	0.0000	0.4221	0.0000	-0.0346	46.6880	33.3093	23.6752	57.3522	52.3478	32.4262	0.4235	3.6218	0.5448	0.0000	0.0000	0.0000	0.0000	0.0000	6.6672	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	42.1032	33.0580	23.5160	53.5305	48.2254	32.2807	0.4213	3.5909	0.5084	0.0000	0.0000	0.0000	0.0000	0.0000	6.1206	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	15.0000	20.0000	1.2727	0.0000	0.0032	1.2658	0.0000	0.0038	23.8611	25.9774	19.3709	35.2729	30.7341	25.6210	0.4069	4.2607	0.2648	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	79.3670	38.1607	28.6191	88.0645	84.3692	36.5492	0.5022	10.7994	1.8765	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.9912	25.9846	19.3663	35.3664	30.8323	25.6316	0.4066	4.2412	0.2599	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	18.8503	18.9084	101.7612	101.7719	18.6363	0.3972	3.1702	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.5981	13.7828	13.6269	43.8220	43.7732	12.7249	0.4232	5.2508	0.5407	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	20.0000	25.0000	2.6115	2.0000	0.0009	2.0252	0.5887	-0.0033	17.0641	17.4377	15.5523	24.3979	23.0881	16.8917	0.4116	3.8883	0.3428	0.0000	0.0000	0.0000	0.0000	0.0000	1.8270	75.1860	18.7619	18.5233	77.4915	77.4341	18.5840	0.4056	2.5334	0.2429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.8715	16.7083	14.9721	25.2052	24.0893	16.1329	0.4085	3.6191	0.2900	0.0000	0.0000	0.0000	0.0000	0.0000	2.3558	38.9044	19.9355	17.5908	43.7147	42.6965	19.3263	0.4221	4.8445	0.5217	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	25.0000	30.0000	3.2398	2.0000	0.0023	2.7794	0.4002	0.0578	13.1661	12.4762	11.5863	18.1384	17.5382	11.5684	0.4175	4.5777	0.4045	0.0000	0.0000	0.0000	0.0000	0.0000	1.4873	64.8481	9.8763	9.3677	65.5959	65.5212	9.1666	0.4673	3.4122	1.2859	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.9887	12.4272	11.5172	18.7115	18.1199	11.4990	0.4170	4.5996	0.3888	0.0000	0.0000	0.0000	0.0000	0.0000	1.7336	41.6652	14.5488	13.1166	44.1322	43.6810	13.9927	0.4170	3.9381	0.4353	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	94.1920	8.0640	8.5541	94.5365	94.5796	2.8540	0.4451	8.0000	0.9107	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	30.0000	35.0000	4.2010	4.0000	0.0028	3.6362	0.4239	0.1381	11.9536	8.0937	7.8174	14.4360	14.2829	6.7494	0.4098	4.2952	0.3145	0.0000	0.0000	0.0000	0.0000	0.0000	1.1130	65.4844	5.4094	9.8834	65.7075	66.2261	8.3394	0.4144	5.2783	0.3223	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.5469	8.2301	7.9235	15.0053	14.8394	6.8350	0.4122	4.3667	0.3544	0.0000	0.0000	0.0000	0.0000	0.0000	1.2859	44.6121	8.0497	8.1685	45.3325	45.3537	6.8058	0.4005	4.4966	0.1565	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	65.8326	5.2100	3.9621	66.0384	65.9517	4.8784	0.3764	1.7723	0.2515	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	35.0000	40.0000	4.3631	1.0000	0.0023	3.7076	0.4697	0.1835	10.9563	5.5655	8.3488	12.2888	13.7747	7.0453	0.4179	4.4372	0.4492	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.1368	4.0045	10.0141	37.3520	38.4632	9.1976	0.4209	3.9354	0.1495	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.7522	5.2991	7.7357	12.8917	14.0697	6.2182	0.4187	4.5591	0.4634	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	39.7209	6.3132	12.9076	40.2195	41.7655	12.4429	0.4129	3.3879	0.3653	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	33.8243	12.7647	10.9722	36.1527	35.5594	11.8676	0.4140	4.6672	0.3794	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	40.0000	45.0000	3.1309	4.0000	0.0093	2.7711	0.1698	0.1808	10.6351	20.7757	22.2256	23.3395	24.6391	21.8271	0.4176	4.1327	0.4448	0.0000	0.0000	0.0000	0.0000	0.1432	0.2895	80.9500	4.4542	5.8503	81.0725	81.1611	4.3222	0.3978	3.9209	0.1097	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.3115	21.6180	22.4893	24.3985	25.1738	22.0769	0.4188	4.2255	0.4648	0.0000	0.0000	0.0000	0.0000	0.1618	0.3270	53.1604	20.8473	30.0215	57.1020	61.0518	29.9185	0.4013	2.4463	0.1689	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	36.7745	9.4644	12.4109	37.9728	38.8123	11.6258	0.4157	4.3044	0.4138	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	45.0000	50.0000	1.3844	0.0000	0.0004	1.1967	0.1261	0.0612	15.2439	34.7870	31.5496	37.9804	35.0393	34.5351	0.4192	4.1315	0.4640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0668	43.7001	63.9014	48.1165	77.4150	64.9993	63.6524	0.4139	5.6078	0.3769	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.4592	35.2489	30.9787	38.9023	35.0797	35.0165	0.4151	4.0003	0.3934	0.0000	0.0000	0.0000	0.0000	0.0000	0.0772	54.5645	28.0560	34.0586	61.3549	64.3217	33.6092	0.4488	5.4093	0.9742	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.8826	39.6122	37.4702	65.2758	63.9986	39.3938	0.4381	4.0543	0.7938	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	50.0000	55.0000	0.5670	0.0000	0.0018	0.5519	0.0114	0.0018	23.2262	41.1395	27.9642	47.2432	36.3518	40.9448	0.4070	3.9290	0.1224	0.0000	0.0000	0.0000	0.0000	0.0000	0.6064	97.0901	64.0611	52.0789	116.3198	110.1757	63.8184	0.3972	5.5564	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.7711	39.3670	27.0658	45.9872	36.0225	39.1695	0.4072	3.8653	0.1228	0.0000	0.0000	0.0000	0.0000	0.0000	0.6230	98.8109	103.8110	62.1054	143.3190	116.7077	103.6051	0.3973	6.5221	0.1022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.3993	161.2199	61.5634	169.2151	80.1994	161.1333	0.4009	5.2650	0.1631	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
