Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	10.0000	0.0001	-1	0.0000	0.0000	0.0000	0.0001	100.0000	104.2171	62.0653	144.4341	117.6950	104.1681	0.3972	3.1702	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	104.2171	62.0653	144.4341	117.6950	104.1681	0.3972	3.1702	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	10.0000	20.0000	0.2088	-1	0.0000	0.1022	0.0979	0.0087	46.0456	12.5810	18.1211	47.7334	49.4831	17.4015	0.4284	4.9983	0.6288	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.9677	9.0957	9.4555	63.6212	63.6736	8.9052	0.3972	3.1523	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	72.4463	12.1986	24.1885	73.4661	76.3777	23.1786	0.4638	6.7906	1.2270	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	98.2258	63.5530	52.5544	116.9927	111.4014	63.2169	0.3972	6.5147	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	20.0000	30.0000	0.2087	-1	0.0547	0.0487	0.0769	0.0283	52.4319	14.0939	12.0616	54.2931	53.8013	12.8500	0.4508	5.7502	0.4974	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	17.7597	15.3241	101.5648	101.1673	12.1874	0.5061	12.9081	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	98.3702	14.9822	6.4112	99.5046	98.5789	14.4543	0.5043	3.4101	1.9125	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	11.0441	14.3855	100.6080	101.0294	14.2118	0.3972	2.1909	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	97.6802	17.8042	15.7837	99.2895	98.9472	16.8886	0.3972	5.6212	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	30.0000	40.0000	0.1837	-1	0.0001	0.0000	0.0911	0.0925	65.6558	13.8198	10.6104	67.0945	66.5077	13.3657	0.3968	3.4897	0.1011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	15.0378	28.2736	101.1244	103.9201	28.1583	0.3972	2.5172	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	83.7899	6.0823	3.4123	84.0104	83.8594	5.2797	0.3972	2.9919	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.9634	28.4268	25.4183	104.8889	104.1138	28.1437	0.3964	3.9812	0.1014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	40.0000	50.0000	0.2596	-1	0.0000	0.0993	0.1569	0.0033	47.0859	6.5233	7.4478	47.5356	47.6713	4.5637	0.4490	5.8550	0.3995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	97.8786	152.4911	68.7690	181.2008	119.6219	152.4327	0.5061	3.7120	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.8467	7.9163	10.4576	71.2876	71.6143	7.2676	0.4483	7.4439	0.9646	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.6344	8.4974	9.1291	64.1992	64.2859	7.8135	0.4482	4.6997	0.0512	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	102.6165	104.9768	63.3328	146.8001	120.5868	104.1681	0.5061	12.9960	0.0502	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	50.0000	60.0000	0.1158	-1	0.0001	0.0467	0.0684	0.0006	95.2533	29.2317	29.4961	99.6378	99.7157	29.1565	0.3973	4.4439	0.1016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	98.4927	40.4562	43.2018	106.4778	107.5510	42.8245	0.3989	5.6817	0.1287	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	103.2081	10.4629	9.5945	103.7370	103.6531	9.9582	0.3972	3.1842	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	145.0187	55.1955	56.3637	155.1676	155.5869	56.1113	0.3972	5.3117	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	87.2684	12.8974	3.7342	88.2163	87.3483	12.4082	0.4123	3.4841	0.2688	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	60.0000	70.0000	0.3198	-1	0.0835	0.0000	0.2325	0.0038	44.4650	10.9502	14.4385	45.7935	46.7504	13.8768	0.4373	3.9505	0.3269	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	95.7323	7.6703	21.1520	96.0391	98.0412	20.9857	0.3993	2.6152	0.0993	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.5590	11.7295	11.8893	51.9018	51.9381	11.0124	0.4516	4.4393	0.4123	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	81.3094	37.2098	33.2842	89.4192	87.8582	37.0542	0.3972	3.3749	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	70.0000	80.0000	0.3273	-1	0.0087	0.0427	0.2729	0.0029	43.5745	5.4258	6.6457	43.9110	44.0784	3.8373	0.4393	5.3489	0.7973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	75.7530	9.1113	6.4767	76.2990	76.0294	6.7689	0.5061	5.7591	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	147.0802	35.9678	42.0408	151.4142	152.9706	41.2867	0.3972	7.9154	0.1422	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.8458	5.9342	11.1929	47.2201	48.1644	9.9880	0.4441	4.9566	0.8689	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	60.4911	85.5290	29.8519	104.7587	67.4559	85.4651	0.4073	3.2699	0.2710	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	80.0000	90.0000	0.3069	-1	0.0000	0.0550	0.2334	0.0184	38.5965	17.9595	13.7528	42.5703	40.9735	17.6640	0.4122	3.1988	0.3544	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	54.9146	4.9327	6.8216	55.1357	55.3367	4.7120	0.4367	4.8584	0.7323	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	74.6856	24.1092	33.7693	78.4805	81.9652	33.2697	0.4331	5.7277	0.7086	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	45.1335	21.1927	14.5826	49.8615	47.4309	21.0296	0.3998	2.5891	0.1441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	191.5764	58.6891	42.3120	200.3645	196.1933	58.5574	0.5072	3.3660	1.9612	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	90.0000	100.0000	0.4508	-1	0.0244	0.2277	0.1654	0.0334	36.8451	7.3295	7.1306	37.5671	37.5288	5.9150	0.4425	4.2175	0.8668	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	90.7108	12.9066	8.0564	91.6244	91.0678	11.7376	0.3996	5.3506	0.1404	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	49.1401	4.6858	4.7678	49.3630	49.3708	1.7803	0.4431	4.3125	0.8768	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	70.8841	12.5483	12.4236	71.9863	71.9646	11.9382	0.4555	3.6814	1.0863	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	86.8180	5.6530	5.6230	87.0018	86.9999	1.6068	0.4056	5.3992	0.2419	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
