Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	1.2627	-1	0.1314	0.5906	0.3982	0.1426	20.1680	9.0788	8.5693	22.1172	21.9130	7.3981	0.4236	5.2142	0.5479	0.0000	0.0000	0.0000	0.0000	0.1456	0.0476	42.0323	4.0837	4.5462	42.2302	42.2774	2.5255	0.4329	3.6886	0.7043	0.0000	0.0000	0.0000	0.0000	1.3994	0.4576	29.3485	9.0959	9.0120	30.7257	30.7010	8.1292	0.4166	4.0367	0.4282	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.1812	12.5197	10.3603	43.0423	42.4645	9.7377	0.4405	7.8123	0.8339	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	48.9626	8.1776	9.2767	49.6408	49.8337	8.2397	0.3972	4.2422	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-3.0144	-2.8888	1.0350	-1	0.1479	0.6569	0.2096	0.0206	21.6231	5.6956	6.5151	22.3606	22.5833	3.5135	0.4383	5.4109	0.7951	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.1763	15.2697	12.2758	40.1900	39.1506	14.8331	0.4432	3.4889	0.8788	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.0050	5.2546	5.7648	28.4937	28.5922	2.3711	0.4312	5.1931	0.6754	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	54.5595	7.8100	7.7995	55.1156	55.1141	0.4704	0.4569	7.7028	1.1104	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	58.8892	37.7364	14.5727	69.9426	60.6654	37.6179	0.4389	2.8444	0.8062	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-2.8888	-2.7632	0.6577	-1	0.1477	0.3826	0.1361	-0.0087	29.1745	4.4663	4.3262	29.5144	29.4936	1.9126	0.4203	3.9745	0.5628	0.0000	0.0000	0.0000	0.0000	0.0000	0.2290	39.4561	4.7093	8.0138	39.7362	40.2617	7.0295	0.4154	3.6641	0.4118	0.0000	0.0000	0.0000	0.0000	0.0000	1.0193	41.3328	4.3937	2.9090	41.5657	41.4350	3.2927	0.4078	2.8523	0.4006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	62.8018	8.8920	10.7859	63.4282	63.7213	8.0816	0.4594	7.0343	1.1532	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.7632	-2.6376	1.1732	-1	0.1411	0.6449	0.2808	0.1064	21.9023	6.0825	5.8507	22.7312	22.6703	4.3364	0.4101	4.2334	0.3199	0.0000	0.0000	0.0000	0.0000	0.0000	0.0147	42.4644	15.6395	17.8431	45.2529	46.0609	17.4271	0.4005	3.8062	0.1562	0.0000	0.0000	0.0000	0.0000	0.0000	0.1222	28.1090	7.8400	5.1462	29.1819	28.5762	6.4225	0.3983	4.4769	0.1197	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.4382	21.4218	27.2965	61.3029	63.5944	26.9290	0.4501	4.3278	0.9961	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.0614	11.5255	12.7998	57.2339	57.5041	12.4191	0.3882	3.0739	0.0345	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-2.6376	-2.5120	0.8016	-1	0.1615	0.4614	0.1397	0.0390	22.9112	8.0150	9.0213	24.2727	24.6233	8.1045	0.4238	3.8987	0.5505	0.0000	0.0000	0.0000	0.0000	0.0000	0.1333	41.4722	5.9208	5.3492	41.8927	41.8157	4.7949	0.4441	3.3267	0.8946	0.0000	0.0000	0.0000	0.0000	0.0000	0.6613	30.5583	6.6561	7.5798	31.2749	31.4844	6.2260	0.4041	4.2988	0.2177	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	67.7440	8.3001	12.5269	68.2506	68.8925	11.9818	0.4635	3.4133	1.2221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	51.8445	36.9747	33.5712	63.6787	61.7647	36.8212	0.4301	3.2728	0.6571	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-2.5120	-2.3864	1.2099	-1	0.1628	0.7659	0.2158	0.0655	20.1737	5.0356	4.8470	20.7926	20.7478	2.6228	0.3890	4.2680	0.2400	0.0000	0.0000	0.0000	0.0000	0.0000	0.2305	39.9042	8.4295	9.9752	40.7848	41.1321	8.4404	0.4155	5.2635	0.4101	0.0000	0.0000	0.0000	0.0000	0.0000	1.7131	26.8531	6.9634	5.5707	27.7413	27.4248	5.2088	0.3801	4.5989	0.2516	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	50.5372	3.1092	5.2046	50.6328	50.8045	4.4452	0.3972	2.6759	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	52.2216	11.2023	13.9170	53.4096	54.0442	13.5444	0.3996	3.1706	0.1404	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-2.3864	-2.2608	1.3011	-1	0.2888	0.6872	0.2079	0.1172	18.9212	4.5896	4.9863	19.4699	19.5672	2.0671	0.4254	4.4806	0.5770	0.0000	0.0000	0.0000	0.0000	0.0008	0.0008	37.8002	3.5901	5.6122	37.9703	38.2145	4.3250	0.4080	3.5417	0.2833	0.0000	0.0000	0.0000	0.0000	0.0035	0.0035	27.1054	4.3921	5.0719	27.4589	27.5758	3.0966	0.4191	3.9672	0.4704	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	47.6887	22.7085	24.4627	52.8194	53.5970	23.6571	0.4462	6.1401	0.9298	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.0554	20.4870	15.3903	58.7436	57.1660	19.2544	0.4686	6.8614	1.2998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-2.2608	-2.1352	0.2796	-1	0.0885	0.1196	0.0784	-0.0069	60.1530	22.0894	20.7104	64.0806	63.6184	21.4017	0.4261	5.4246	0.5495	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	43.1817	4.9744	5.7088	43.4673	43.5574	2.9596	0.4087	4.8502	0.3735	0.0000	0.0000	0.0000	0.0000	0.0000	0.0174	122.4664	31.7676	27.7638	126.5196	125.5741	30.8876	0.4421	7.3789	0.7012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	84.7509	21.2053	24.2283	87.3635	88.1461	24.0090	0.4143	3.2026	0.3889	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-2.1352	-2.0096	1.1572	-1	0.1147	0.8445	0.1837	0.0143	21.1314	7.0397	7.4867	22.2732	22.4185	5.2057	0.4280	5.3275	0.6208	0.0000	0.0000	0.0000	0.0000	0.2533	0.2533	47.4145	9.2046	7.3373	48.2997	47.9789	7.9222	0.4033	4.6647	0.2037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.2027	7.2064	7.5863	26.2128	26.3197	5.5885	0.4319	5.0657	0.6876	0.0000	0.0000	0.0000	0.0000	0.3470	0.3470	58.3053	7.3468	9.1659	58.7663	59.0214	5.7003	0.4276	7.1386	0.6151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.1832	27.5210	15.2691	62.5616	58.2211	27.3713	0.3970	2.8374	0.0966	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-2.0096	-1.8840	0.8315	-1	0.0988	0.4340	0.2634	0.0354	29.8466	6.6531	9.7905	30.5791	31.4114	8.7361	0.4265	4.3590	0.5924	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	68.1012	15.6569	21.8476	69.8778	71.5198	21.4987	0.4782	3.5809	1.4404	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.4649	6.0479	6.2818	46.8568	46.8876	2.8322	0.4323	5.5472	0.6942	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	47.7916	4.8386	11.5727	48.0359	49.1728	11.2303	0.3972	2.7641	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	66.9439	17.7745	27.2478	69.2634	72.2767	26.9659	0.4290	3.8329	0.6368	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
