Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
11	-3.0000	-2.8000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	14.7867	13.8512	101.0873	100.9547	8.5202	1.0147	12.0425	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	14.7867	13.8512	101.0873	100.9547	8.5202	1.0147	12.0425	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	-2.8000	-2.6000	0.0010	0.0000	0.0010	0.0000	0.0000	0.0000	78.5001	23.5830	28.4188	81.9660	83.4859	25.9056	1.0147	12.0793	0.4425	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	78.5001	23.5830	28.4188	81.9660	83.4859	25.9056	1.0147	12.0793	0.4425	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	-2.6000	-2.4000	0.9782	0.0000	0.9379	0.0000	0.0109	0.0294	26.5608	16.3615	13.7139	31.1958	29.8923	3.6022	1.0147	14.3627	1.5076	0.0000	0.0000	0.0000	0.0000	0.1443	6.7168	27.5944	16.6767	13.9232	32.2423	30.9081	4.0735	1.0147	14.4566	1.5483	0.0000	0.0000	0.0000	0.0000	0.1505	7.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	104.8847	63.0975	144.9166	118.2425	104.1680	1.0147	12.0425	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	68.4137	17.8456	15.8759	70.7029	70.2316	12.9615	1.0147	12.2243	0.0465	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	-2.4000	-2.2000	3.6482	7.0000	3.5144	0.0252	0.0156	0.0930	13.9003	14.8299	15.2367	20.3260	20.6247	3.2223	1.0147	14.4663	1.8850	0.0000	0.0000	0.0000	0.0000	1.8375	5.3910	14.3688	14.8238	15.1997	20.6448	20.9163	3.4801	1.0147	14.4383	1.8834	0.0000	0.0000	0.0000	0.0000	1.9074	5.1567	100.0000	25.0930	21.3313	103.1002	102.2498	18.3698	1.0147	16.9530	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	77.1610	57.3158	126.3084	115.2610	75.9266	1.0147	13.5709	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	38.5098	15.4402	22.1726	41.4898	44.4368	3.7336	1.0147	15.0005	1.9210	0.0000	0.0000	0.0000	0.0000	0.0000	16.6033
15	-2.2000	-2.0000	3.8947	5.0000	3.4817	0.0357	0.1476	0.2298	13.1872	14.2957	13.6208	19.4492	18.9585	0.8310	1.0091	12.5828	1.7335	0.0000	0.0000	0.0000	0.0000	0.8222	6.4821	14.2718	14.1114	13.7114	20.0703	19.7911	0.5419	1.0091	12.6204	1.7092	0.0000	0.0000	0.0000	0.0000	0.9197	6.4351	100.0000	24.9214	33.5500	103.0586	105.4780	28.1583	1.0147	19.9159	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	71.0860	30.6903	13.3094	77.4281	72.3213	8.7791	1.0147	10.2272	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	28.8530	29.5140	17.5854	19.8343	34.3558	35.5595	12.2789	1.0047	12.3871	1.9345	0.0000	0.0000	0.0000	0.0000	7.6698	8.8790
16	-2.0000	-1.8000	3.6653	3.0000	3.5363	0.0000	0.0002	0.1288	13.9843	12.4020	11.3490	18.6914	18.0100	1.9816	0.9866	9.3533	1.5741	0.0000	0.0000	0.0000	0.0000	2.3826	7.5319	14.4045	12.3126	11.4269	18.9497	18.3865	1.6448	0.9868	9.3570	1.5610	0.0000	0.0000	0.0000	0.0000	2.3823	7.4089	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	20.2672	18.2621	102.0331	101.6538	17.0316	1.0147	10.7649	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.2693	19.0515	14.5007	48.1947	46.5837	12.1561	0.9794	9.2493	1.9341	0.0000	0.0000	0.0000	0.0000	2.3932	10.9184
17	-1.8000	-1.6000	2.5504	6.0000	2.3397	0.0000	0.1297	0.0810	15.9417	10.6060	8.2498	19.1474	17.9498	3.9388	0.9443	7.6628	1.5435	0.0000	0.0000	0.0000	0.0000	2.4561	5.3803	16.9523	10.7479	8.1760	20.0723	18.8210	3.2885	0.9461	7.6926	1.5801	0.0000	0.0000	0.0000	0.0000	2.7107	5.8980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	64.1600	14.1829	13.5511	65.7089	65.5754	12.3170	0.9053	6.8905	1.0722	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	40.1087	12.4056	8.0024	41.9834	40.8992	9.3174	0.9535	8.0376	1.2429	0.0000	0.0000	0.0000	0.0000	0.9660	0.9660
18	-1.6000	-1.4000	2.0405	1.0000	1.7682	0.1002	0.0937	0.0784	18.8248	9.7782	8.7638	21.2128	20.7648	4.2219	0.8802	8.4255	0.7436	0.0000	0.0000	0.0000	0.0000	0.0000	2.3393	20.6243	9.4107	8.4486	22.6698	22.2876	3.3207	0.8836	8.3205	0.8055	0.0000	0.0000	0.0000	0.0000	0.0000	2.6217	66.5580	7.9640	6.2501	67.0327	66.8508	4.8326	0.8029	6.2768	0.1690	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	99.8866	20.3965	19.8990	101.9477	101.8494	15.8525	0.9053	12.8018	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	46.9023	13.0818	20.6900	48.6925	51.2631	9.8732	0.8726	8.3116	0.8499	0.0000	0.0000	0.0000	0.0000	0.0000	17.9781
19	-1.4000	-1.2000	1.4228	7.0000	1.3148	0.0000	0.0248	0.0832	22.1793	10.2172	15.8998	24.4195	27.2896	1.3161	0.8451	9.2471	0.2748	0.0000	0.0000	0.0000	0.0000	0.0129	13.1774	23.7681	10.7779	16.9515	26.0976	29.1937	2.9151	0.8465	9.4028	0.2891	0.0000	0.0000	0.0000	0.0000	0.0025	14.2525	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	51.9147	48.5101	112.6727	111.1451	51.5142	0.7960	6.3855	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.5579	13.5707	11.8521	45.6229	45.1415	11.1100	0.8375	7.6396	0.1020	0.0000	0.0000	0.0000	0.0000	0.1816	1.2868
20	-1.2000	-1.0000	1.2892	5.0000	1.1914	0.0619	0.0000	0.0359	23.4643	12.0897	8.6527	26.3957	25.0089	1.1483	0.8275	8.8482	0.0811	0.0000	0.0000	0.0000	0.0000	0.1037	8.1147	24.6971	12.3890	8.5733	27.6303	26.1428	1.0562	0.8300	8.7477	0.0846	0.0000	0.0000	0.0000	0.0000	0.0128	8.6691	95.3588	12.5469	12.0317	96.1807	96.1149	3.2775	0.7960	12.2557	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	106.0136	14.4212	11.2843	106.9899	106.6124	11.8253	0.7964	6.3105	0.0967	0.0000	0.0000	0.0000	0.0000	3.7192	3.7192
21	-1.0000	-0.8000	1.2737	0.0000	1.1101	0.0000	0.0000	0.1636	23.6541	7.0435	17.5765	24.6805	29.4695	0.8535	0.8069	6.8914	0.0852	0.0000	0.0000	0.0000	0.0000	7.7451	14.2576	26.3465	6.7693	19.6408	27.2023	32.8618	0.7228	0.8029	6.5459	0.0909	0.0000	0.0000	0.0000	0.0000	8.8577	16.3082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	44.2153	9.2727	9.0833	45.1771	45.1386	2.0416	0.8343	9.2350	0.0463	0.0000	0.0000	0.0000	0.0000	0.1970	0.3448
22	-0.8000	-0.6000	0.6033	0.0000	0.4731	0.0000	0.0452	0.0850	31.4133	7.1223	6.2903	32.2106	32.0369	3.3118	0.7960	6.2526	0.0967	0.0000	0.0000	0.0000	0.0000	0.1022	0.1044	37.7895	6.5851	5.6960	38.3589	38.2163	3.0665	0.7960	5.7720	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	81.3756	48.1274	45.0004	94.5422	92.9894	46.8796	0.7960	10.8584	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.9705	6.6097	7.4347	60.3336	60.4295	3.9318	0.7960	6.4787	0.0725	0.0000	0.0000	0.0000	0.0000	0.7258	0.7414
23	-0.6000	-0.4000	0.3938	0.0000	0.2891	0.0000	0.0576	0.0471	39.4461	9.5100	6.9603	40.5763	40.0555	3.0752	0.7960	6.8528	0.1005	0.0000	0.0000	0.0000	0.0000	0.0000	5.7774	49.4005	8.2761	7.8329	50.0890	50.0177	3.6315	0.7960	7.3934	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	12.8134	9.1250	100.8176	100.4155	12.1874	0.7960	3.8740	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.2309	50.6869	13.5222	66.6189	45.2964	13.5082	0.7960	7.1787	0.0992	0.0000	0.0000	0.0000	0.0000	0.0000	48.3168
24	-0.4000	-0.2000	0.5172	0.0000	0.4216	0.0000	0.0857	0.0099	39.5580	14.1456	25.2350	42.0111	46.9216	1.8695	0.7960	8.3155	0.0988	0.0000	0.0000	0.0000	0.0000	16.8112	16.9340	43.5222	8.6641	34.0245	44.3763	55.2436	3.0601	0.7960	8.0659	0.0986	0.0000	0.0000	0.0000	0.0000	20.6226	25.8751	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	10.4212	15.0283	100.5415	101.1229	12.6512	0.7960	8.2874	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	293.7760	319.2476	93.1291	433.8471	308.1839	91.4421	0.7960	19.1819	0.0914	0.0000	0.0000	0.0000	0.0000	220.1907	217.1820
