Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	50.0000	2.4813	4.0000	2.4319	0.0000	0.0000	0.0494	17.1647	20.8173	14.4833	26.9812	22.4587	6.1259	0.9456	8.9932	1.3132	0.0000	0.0000	0.0000	0.0000	3.2514	17.3713	17.4928	20.8782	14.5396	27.2378	22.7464	6.3921	0.9457	8.9595	1.3168	0.0000	0.0000	0.0000	0.0000	3.2748	17.3613	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.9007	22.7288	34.9375	47.6683	54.5554	8.8025	0.9437	10.6513	1.1327	0.0000	0.0000	0.0000	0.0000	2.1033	32.6509
2	50.0000	100.0000	77.2514	68.0000	68.5381	0.3666	0.1349	8.2118	2.9835	8.4637	8.0764	8.9742	8.6099	0.7907	0.8674	8.2944	0.7026	0.0000	0.0000	0.0000	0.0000	0.8766	0.4440	3.3144	8.4797	8.1348	9.1044	8.7840	0.6164	0.8690	8.2946	0.7136	0.0000	0.0000	0.0000	0.0000	0.6786	1.0421	33.6366	12.2069	8.0850	35.7831	34.5947	6.3290	0.8447	7.7489	0.3903	0.0000	0.0000	0.0000	0.0000	6.9246	0.3013	69.1731	20.0059	27.8084	72.0080	74.5535	14.7998	0.9956	14.7363	0.5752	0.0000	0.0000	0.0000	0.0000	4.8958	18.9825	4.3588	10.3591	9.1007	11.2388	10.0907	2.2548	0.8534	8.2114	0.6268	0.0000	0.0000	0.0000	0.0000	2.1935	5.3728
3	100.0000	150.0000	114.3414	122.0000	104.9905	1.1884	0.1797	7.9827	2.5412	11.1263	11.3905	11.4128	11.6705	0.3815	0.8534	8.0004	0.5648	0.0000	0.0000	0.0000	0.0000	1.0783	8.2699	2.7363	10.8993	11.1529	11.2375	11.4836	0.4003	0.8542	8.0327	0.5696	0.0000	0.0000	0.0000	0.0000	0.9995	7.9262	19.7414	8.6471	8.1688	21.5522	21.3648	1.2341	0.8535	6.4478	0.4833	0.0000	0.0000	0.0000	0.0000	5.4235	2.8734	65.0926	22.4248	44.3740	68.8471	78.7788	1.1903	0.8625	6.8040	1.0646	0.0000	0.0000	0.0000	0.0000	0.0000	43.8361	4.3574	17.0744	16.8585	17.6217	17.4126	0.2805	0.8434	7.8344	0.5034	0.0000	0.0000	0.0000	0.0000	2.3744	15.0655
4	150.0000	200.0000	101.2445	114.0000	94.4218	1.0742	0.4217	5.3268	2.7162	11.5558	9.9810	11.8708	10.3440	0.8108	0.8533	7.9232	0.5934	0.0000	0.0000	0.0000	0.0000	0.3041	8.3235	2.8799	11.5168	10.1446	11.8714	10.5455	0.7822	0.8538	7.9599	0.5982	0.0000	0.0000	0.0000	0.0000	0.4426	8.2295	20.7260	18.0403	9.0639	27.4776	22.6212	5.0465	0.8299	6.4290	0.2707	0.0000	0.0000	0.0000	0.0000	7.3964	14.3240	42.0767	22.3004	14.4891	47.6210	44.5015	9.4186	0.9456	8.7440	0.8553	0.0000	0.0000	0.0000	0.0000	0.0000	18.1801	5.5423	11.1332	9.0103	12.4365	10.5784	1.9183	0.8419	7.5083	0.5517	0.0000	0.0000	0.0000	0.0000	1.2345	7.9998
5	200.0000	250.0000	109.4835	138.0000	102.5441	1.6052	0.0023	5.3319	2.5912	9.6475	8.4377	9.9894	8.8267	0.4646	0.8600	8.0856	0.6333	0.0000	0.0000	0.0000	0.0000	0.7325	5.1099	2.7394	9.9063	8.3559	10.2781	8.7935	0.5497	0.8611	8.1392	0.6473	0.0000	0.0000	0.0000	0.0000	0.7076	5.4860	17.2827	9.3149	11.3923	19.6331	20.6996	6.0038	0.8433	6.9380	0.2876	0.0000	0.0000	0.0000	0.0000	2.8639	7.0951	100.0000	93.7711	13.7482	137.0876	100.9406	10.2425	0.9053	9.5434	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	93.2738	5.3147	7.5066	11.8840	9.1975	13.0183	0.4829	0.8440	7.3989	0.4686	0.0000	0.0000	0.0000	0.0000	1.8360	9.2646
6	250.0000	300.0000	127.8976	159.0000	121.5318	1.3098	0.1047	4.9513	2.4623	8.5906	9.6110	8.9366	9.9214	0.6272	0.8595	8.1314	0.6070	0.0000	0.0000	0.0000	0.0000	0.7371	5.4258	2.5734	8.5671	9.8538	8.9453	10.1843	0.7175	0.8601	8.1594	0.6113	0.0000	0.0000	0.0000	0.0000	0.8277	5.7879	17.8456	12.6087	7.6364	21.8506	19.4108	2.5807	0.8223	7.5244	0.2942	0.0000	0.0000	0.0000	0.0000	0.7305	9.7246	80.4249	42.6497	13.9555	91.0339	81.6267	7.1441	0.9659	12.4606	1.5321	0.0000	0.0000	0.0000	0.0000	0.0000	40.6475	5.5026	10.2822	7.4445	11.6620	9.2574	0.8786	0.8528	7.5142	0.5657	0.0000	0.0000	0.0000	0.0000	1.4815	6.7265
7	300.0000	350.0000	138.7368	159.0000	130.9499	1.7973	0.1025	5.8871	2.3823	8.5288	8.1091	8.8553	8.4518	0.6711	0.8542	7.7509	0.5462	0.0000	0.0000	0.0000	0.0000	0.8193	3.2427	2.5026	8.5679	8.1648	8.9260	8.5397	0.5902	0.8550	7.7830	0.5535	0.0000	0.0000	0.0000	0.0000	0.8227	3.2822	16.2770	11.5542	6.4687	19.9610	17.5152	2.9024	0.8159	5.9343	0.2141	0.0000	0.0000	0.0000	0.0000	5.9652	7.3188	70.5730	53.1766	11.1098	88.3646	71.4422	17.8150	0.8186	4.7448	0.2909	0.0000	0.0000	0.0000	0.0000	0.0000	49.8709	5.1800	8.9550	9.2602	10.3453	10.6105	2.0119	0.8502	7.6445	0.4899	0.0000	0.0000	0.0000	0.0000	0.8108	5.0771
8	350.0000	400.0000	145.8646	144.0000	136.9680	2.7639	0.3401	5.7927	2.3247	9.6039	9.1758	9.8813	9.4657	0.3107	0.8472	7.8159	0.5337	0.0000	0.0000	0.0000	0.0000	1.1459	5.3605	2.4489	9.7386	9.3417	10.0418	9.6574	0.2647	0.8480	7.8780	0.5430	0.0000	0.0000	0.0000	0.0000	1.2469	5.4899	13.4931	6.2842	8.8001	14.8847	16.1091	2.5386	0.8156	5.5207	0.2673	0.0000	0.0000	0.0000	0.0000	5.9203	2.7700	46.8070	10.3900	68.3290	47.9463	82.8236	8.9028	0.8802	5.2502	0.5932	0.0000	0.0000	0.0000	0.0000	29.1185	61.3413	4.9917	9.9031	7.3695	11.0900	8.9010	0.1105	0.8404	7.5911	0.4369	0.0000	0.0000	0.0000	0.0000	2.1963	5.8918
9	400.0000	450.0000	140.6238	192.0000	131.5079	2.9067	0.3930	5.8162	2.3587	9.2834	8.8088	9.5784	9.1192	0.5054	0.8540	7.5993	0.5506	0.0000	0.0000	0.0000	0.0000	0.6989	5.1629	2.4933	9.8322	8.8411	10.1435	9.1860	0.5297	0.8559	7.6623	0.5632	0.0000	0.0000	0.0000	0.0000	0.8309	5.9951	12.8324	5.5436	13.9651	13.9787	18.9656	0.9863	0.8170	5.3611	0.1908	0.0000	0.0000	0.0000	0.0000	0.6283	12.8814	40.5950	8.5875	24.5252	41.4934	47.4283	5.0300	0.8488	6.5912	0.6956	0.0000	0.0000	0.0000	0.0000	16.3421	16.3421	5.0555	7.4375	8.5479	8.9930	9.9310	0.5045	0.8314	7.3608	0.4349	0.0000	0.0000	0.0000	0.0000	1.0994	4.5438
10	450.0000	500.0000	138.4205	166.0000	129.0732	3.6873	0.0861	5.5739	2.3693	10.3181	11.0782	10.5867	11.3287	0.2843	0.8445	7.3436	0.4991	0.0000	0.0000	0.0000	0.0000	0.3296	8.4527	2.5092	10.0334	10.9751	10.3423	11.2583	0.2401	0.8449	7.3693	0.5060	0.0000	0.0000	0.0000	0.0000	0.3262	8.2979	11.5115	13.7912	11.2515	17.9642	16.0969	1.5115	0.8188	6.4558	0.2363	0.0000	0.0000	0.0000	0.0000	6.1369	12.1243	65.5140	141.7883	37.1407	156.1922	75.3094	36.0670	0.9586	8.9867	1.9185	0.0000	0.0000	0.0000	0.0000	97.6573	96.3405	5.1829	14.8312	15.4414	15.7107	16.2880	1.6278	0.8494	7.3092	0.4901	0.0000	0.0000	0.0000	0.0000	3.1159	13.2456
