Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	50.0000	767.0309	823.0000	738.0339	4.2085	0.5061	24.2824	0.9858	9.8743	10.8217	9.9234	10.8665	0.5502	0.8479	7.5568	0.5173	0.0000	0.0000	0.0000	0.0000	1.0039	7.8768	1.0191	9.9229	10.9426	9.9751	10.9900	0.5305	0.8483	7.5644	0.5204	0.0000	0.0000	0.0000	0.0000	0.9815	8.0316	10.6177	14.3740	10.8589	17.8703	15.1872	2.6954	0.8270	6.3976	0.2920	0.0000	0.0000	0.0000	0.0000	0.8400	12.5422	37.7144	11.8574	30.2329	39.5345	48.3364	8.3761	0.9245	8.2930	0.8996	0.0000	0.0000	0.0000	0.0000	12.6909	25.4109	2.5236	10.3980	9.6853	10.6998	10.0086	0.6499	0.8387	7.5111	0.4535	0.0000	0.0000	0.0000	0.0000	2.0004	6.8299
2	50.0000	100.0000	606.9211	720.0000	573.1071	8.5774	0.1772	25.0594	1.1080	9.3808	8.3977	9.4460	8.4705	0.4505	0.8490	7.4522	0.5082	0.0000	0.0000	0.0000	0.0000	1.0349	5.4965	1.1628	9.4822	8.3646	9.5533	8.4450	0.4769	0.8498	7.4764	0.5137	0.0000	0.0000	0.0000	0.0000	1.1130	5.6182	7.4434	6.4614	10.6656	9.8567	13.0061	1.2217	0.8245	6.0306	0.2485	0.0000	0.0000	0.0000	0.0000	1.7160	8.6088	64.2587	100.3448	5.7008	119.1564	64.5110	4.0383	0.8514	5.7490	0.0550	0.0000	0.0000	0.0000	0.0000	77.6363	63.1790	2.4769	8.2322	9.1241	8.5967	9.4544	0.4919	0.8374	7.3966	0.4747	0.0000	0.0000	0.0000	0.0000	1.6815	5.3258
3	100.0000	150.0000	284.2157	323.0000	259.3277	9.8559	0.4460	14.5862	1.5747	8.3827	7.6095	8.5293	7.7707	0.2692	0.8484	7.4657	0.5203	0.0000	0.0000	0.0000	0.0000	1.4048	3.3957	1.6938	8.4562	7.5972	8.6242	7.7837	0.2039	0.8502	7.5399	0.5369	0.0000	0.0000	0.0000	0.0000	1.5247	3.3619	7.0819	6.4192	7.1456	9.5582	10.0605	1.3664	0.8107	5.9021	0.1842	0.0000	0.0000	0.0000	0.0000	2.1276	3.3074	39.7053	8.4493	39.3656	40.5943	55.9121	4.8542	0.8604	8.3153	0.2694	0.0000	0.0000	0.0000	0.0000	16.4415	34.5461	3.2010	9.1011	8.7079	9.6476	9.2776	1.1195	0.8411	7.1777	0.4591	0.0000	0.0000	0.0000	0.0000	1.9428	5.3980
4	150.0000	200.0000	127.9236	149.0000	114.5287	6.4421	0.1439	6.8089	2.2214	8.4440	7.8058	8.7313	8.1157	0.5923	0.8492	7.5485	0.5315	0.0000	0.0000	0.0000	0.0000	0.4990	3.5662	2.4182	8.6195	7.8984	8.9523	8.2603	0.7099	0.8516	7.6208	0.5506	0.0000	0.0000	0.0000	0.0000	0.5035	3.7991	8.5342	7.4650	6.8345	11.3383	10.9336	1.9610	0.8201	6.2784	0.2366	0.0000	0.0000	0.0000	0.0000	3.4254	2.6607	65.9288	17.0414	12.8602	68.0956	67.1713	10.7694	0.9632	12.9295	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	1.5984	4.4911	9.5757	8.2012	10.5766	9.3504	0.6654	0.8340	7.4210	0.4603	0.0000	0.0000	0.0000	0.0000	2.0197	5.6148
5	200.0000	250.0000	63.3675	78.0000	54.3579	5.1477	0.0453	3.8166	2.7561	8.0725	7.6608	8.5300	8.1415	0.7815	0.8454	7.2714	0.4937	0.0000	0.0000	0.0000	0.0000	1.3567	2.9802	3.0506	8.2772	7.5736	8.8215	8.1648	0.8833	0.8486	7.3895	0.5217	0.0000	0.0000	0.0000	0.0000	1.6395	3.0737	9.6229	6.2043	13.6048	11.4496	16.6641	0.7456	0.8127	6.0052	0.2346	0.0000	0.0000	0.0000	0.0000	1.4667	12.1679	95.0630	129.6708	28.9725	160.7840	99.3800	26.0792	1.0092	13.1028	1.9427	0.0000	0.0000	0.0000	0.0000	0.0000	128.2861	6.0466	10.4824	7.4680	12.1013	9.6090	0.7707	0.8416	7.2288	0.4279	0.0000	0.0000	0.0000	0.0000	1.1527	7.4071
6	250.0000	300.0000	33.0966	28.0000	27.4959	3.0732	0.2246	2.3029	3.5173	10.4309	8.8604	11.0080	9.5330	0.4106	0.8453	7.6139	0.4543	0.0000	0.0000	0.0000	0.0000	2.4343	6.8315	3.9006	10.6362	9.2196	11.3289	10.0108	0.5745	0.8500	7.8016	0.4919	0.0000	0.0000	0.0000	0.0000	2.3303	6.8821	12.8554	9.5500	8.5193	16.0145	15.4221	2.8347	0.8080	6.3246	0.1141	0.0000	0.0000	0.0000	0.0000	5.8353	6.1187	56.0450	11.6868	28.7575	57.2506	62.9924	9.9334	0.9119	5.9279	1.3918	0.0000	0.0000	0.0000	0.0000	0.0000	26.9191	7.8807	10.7450	8.2466	13.3252	11.4066	0.0469	0.8327	7.2587	0.3678	0.0000	0.0000	0.0000	0.0000	0.6251	7.8451
7	300.0000	350.0000	17.7940	17.0000	13.9131	2.6499	0.0000	1.2311	4.2280	8.4497	7.6008	9.4485	8.6975	0.8755	0.8407	7.0355	0.4503	0.0000	0.0000	0.0000	0.0000	1.3442	4.2915	4.6056	8.0717	7.4079	9.2933	8.7229	1.6173	0.8458	7.3406	0.5013	0.0000	0.0000	0.0000	0.0000	2.3772	1.6814	13.8821	22.1659	14.6768	26.1542	20.2021	4.1479	0.8162	5.5215	0.2378	0.0000	0.0000	0.0000	0.0000	7.4495	19.6829	100.0000	5662352.2865	15.5142	5662352.2874	101.1963	14.9540	0.7960	4.1328	0.1007	0.0000	0.0000	0.0000	0.0000	4003887.6993	4003887.6993	11.5080	10.6944	11.6305	15.7100	16.3616	1.7450	0.8361	6.8462	0.3313	0.0000	0.0000	0.0000	0.0000	7.2565	8.5756
8	350.0000	400.0000	9.9399	9.0000	7.3858	1.6345	0.0598	0.8598	5.0649	12.2558	11.8847	13.2611	12.9189	0.8354	0.8362	7.2631	0.4380	0.0000	0.0000	0.0000	0.0000	5.0092	9.4119	5.3713	12.1196	12.4936	13.2565	13.5992	1.4171	0.8415	7.6238	0.4788	0.0000	0.0000	0.0000	0.0000	4.5013	8.9812	17.1364	14.3870	8.1949	22.3750	18.9951	0.6911	0.8126	5.5728	0.2980	0.0000	0.0000	0.0000	0.0000	8.0168	10.5087	100.0000	7.7611	142.5736	100.3007	174.1471	16.5267	0.7960	7.4206	0.1007	0.0000	0.0000	0.0000	0.0000	100.0000	100.0000	13.7831	14.2097	14.7045	19.7962	20.1543	3.9776	0.8379	7.3666	0.3767	0.0000	0.0000	0.0000	0.0000	3.5521	11.6805
9	400.0000	450.0000	5.6957	3.0000	4.1985	1.0774	0.0003	0.4195	6.7083	8.6757	7.2825	10.9667	9.9013	1.4243	0.8424	7.2548	0.4703	0.0000	0.0000	0.0000	0.0000	3.2851	2.9806	7.1440	8.8674	7.9580	11.3872	10.6942	1.7396	0.8531	7.5020	0.5737	0.0000	0.0000	0.0000	0.0000	2.9960	3.0483	20.3465	8.9569	6.4185	22.2307	21.3348	0.3616	0.8029	6.5419	0.0895	0.0000	0.0000	0.0000	0.0000	4.5990	3.9363	100.0000	119.7916	119.2812	156.0449	155.6535	119.5033	0.7960	8.2675	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	21.2800	12.2466	7.1130	24.5524	22.4374	0.9241	0.8362	6.6118	0.4133	0.0000	0.0000	0.0000	0.0000	10.2245	2.8333
10	450.0000	500.0000	3.2448	1.0000	2.2706	0.7426	0.0000	0.2315	7.4573	14.1660	16.0349	16.0090	17.6842	4.7124	0.8354	7.0959	0.4007	0.0000	0.0000	0.0000	0.0000	3.9998	13.2263	6.5833	11.0082	11.2089	12.8266	12.9992	3.8780	0.8397	7.5016	0.4843	0.0000	0.0000	0.0000	0.0000	2.8870	7.3393	24.2459	26.8862	28.0292	36.2041	37.0607	8.5005	0.8277	5.7795	0.2043	0.0000	0.0000	0.0000	0.0000	14.5745	24.8290	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.5754	12.5148	46.5926	29.3747	53.6388	1.5196	0.8180	7.3394	0.2104	0.0000	0.0000	0.0000	0.0000	13.6417	43.9515
