Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
2	-2.4000	-2.3000	42.2677	65.0000	40.2352	0.8489	0.0000	1.1836	4.0787	6.2013	5.2894	7.4224	6.6794	0.4734	0.0000	0.0000	0.0000	0.2965	0.0000	1.1111	0.6890	0.3208	6.0276	4.2416	6.2541	5.1276	7.5568	6.6546	0.4769	0.0000	0.0000	0.0000	0.2976	0.0000	1.1153	0.6888	0.3770	6.0776	23.6707	5.5677	9.6580	24.3167	25.5652	2.6864	0.0000	0.0000	0.0000	0.2311	0.0000	0.8549	0.6847	0.0000	9.3998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.7238	5.4594	8.0917	12.9327	14.2451	1.2332	0.0000	0.0000	0.0000	0.3046	0.0000	1.1500	0.6960	1.3586	7.7606
3	-2.3000	-2.2000	49.5282	60.0000	47.0941	1.0841	0.1296	1.2204	3.7988	5.9098	6.6729	7.0254	7.6784	0.8182	0.0000	0.0000	0.0000	0.2921	0.0000	1.1173	0.6649	0.3756	6.5191	3.9469	5.9644	6.4928	7.1521	7.5984	0.8516	0.0000	0.0000	0.0000	0.2939	0.0000	1.1212	0.6668	0.2292	6.3480	21.6303	1.6155	12.7136	21.6905	25.0899	1.6028	0.0000	0.0000	0.0000	0.1928	0.0000	0.7801	0.6028	8.3876	9.3654	71.1306	1.2048	59.4725	71.1408	92.7176	11.3227	0.0000	0.0000	0.0000	0.1869	0.0000	0.9500	0.5710	41.2767	41.2767	12.0107	8.9346	7.4462	14.9694	14.1316	2.3170	0.0000	0.0000	0.0000	0.3198	0.0000	1.2839	0.6546	0.5284	8.6121
4	-2.2000	-2.1000	57.3432	69.0000	54.3367	1.2777	0.1615	1.5673	3.5169	6.0594	5.4374	7.0060	6.4756	0.7943	0.0000	0.0000	0.0000	0.3003	0.0000	1.1692	0.6741	0.6162	5.8455	3.6695	6.2037	5.5293	7.2077	6.6361	0.9577	0.0000	0.0000	0.0000	0.3014	0.0000	1.1730	0.6752	0.6337	5.9701	18.8451	4.0834	5.4922	19.2824	19.6291	5.2181	0.0000	0.0000	0.0000	0.1913	0.0000	0.7662	0.5988	0.0803	1.4133	59.4250	1.5227	2.9182	59.4445	59.4966	2.4939	0.0000	0.0000	0.0000	0.2318	0.0000	1.3508	0.6627	0.0000	0.0000	9.9635	5.9618	6.2575	11.6110	11.7656	1.2953	0.0000	0.0000	0.0000	0.3565	0.0000	1.3453	0.7004	0.6425	5.8876
5	-2.1000	-2.0000	65.2737	91.0000	62.1285	1.4257	0.0141	1.7054	3.3665	5.3915	6.2452	6.3562	7.0947	0.4142	0.0000	0.0000	0.0000	0.1966	0.0000	1.2130	0.3054	0.9355	6.1007	3.4998	5.2677	6.3618	6.3243	7.2609	0.4284	0.0000	0.0000	0.0000	0.1998	0.0000	1.2221	0.3091	0.6803	6.2163	18.7538	12.9358	4.9049	22.7825	19.3846	1.6318	0.0000	0.0000	0.0000	0.0778	0.0000	0.6780	0.1686	9.9551	8.2303	100.0000	75.9282	55.8125	125.5591	114.5209	75.9266	0.0000	0.0000	0.0000	0.0764	0.0000	0.4699	0.1389	0.0000	0.0000	10.0163	6.6806	3.6065	12.0398	10.6458	0.8770	0.0000	0.0000	0.0000	0.1827	0.0000	1.3343	0.2882	2.6997	5.9536
6	-2.0000	-1.9000	71.2609	104.0000	67.9279	1.3120	0.0731	1.9479	3.2022	6.4158	6.1565	7.1706	6.9395	1.5333	0.0000	0.0000	0.0000	0.1869	0.0000	1.1880	0.2992	1.3643	5.9510	3.3250	6.5238	6.0834	7.3223	6.9327	1.5324	0.0000	0.0000	0.0000	0.1865	0.0000	1.1921	0.2992	1.4493	6.0470	20.0089	1.0802	14.8529	20.0381	24.9192	0.5179	0.0000	0.0000	0.0000	0.1206	0.0000	0.8689	0.2363	1.9021	14.6936	92.8830	12.1854	2.0520	93.6789	92.9057	12.0523	0.0000	0.0000	0.0000	0.8168	0.0000	1.4592	0.6562	0.0000	0.0000	9.2371	6.9588	3.6238	11.5650	9.9225	2.2127	0.0000	0.0000	0.0000	0.2214	0.0000	1.2479	0.3287	0.5617	6.4420
7	-1.9000	-1.8000	76.4719	102.0000	71.5912	2.5535	0.0573	2.2699	3.0497	5.6189	5.5211	6.3932	6.3074	1.3319	0.0000	0.0000	0.0000	0.2121	0.0000	1.2297	0.3176	0.5030	5.3619	3.2060	5.4517	5.4921	6.3245	6.3594	1.3453	0.0000	0.0000	0.0000	0.2149	0.0000	1.2447	0.3207	0.5361	5.1798	14.1813	8.2752	6.8015	16.4192	15.7280	1.4220	0.0000	0.0000	0.0000	0.1177	0.0000	0.7712	0.2363	0.7887	8.1921	97.6842	10.1286	1.9853	98.2079	97.7044	10.1154	0.0000	0.0000	0.0000	0.0769	0.0000	0.4912	0.1405	0.0000	0.0000	8.4667	8.5508	5.2017	12.0333	9.9370	1.5732	0.0000	0.0000	0.0000	0.2337	0.0000	1.2937	0.3167	1.9733	8.0572
8	-1.8000	-1.7000	82.0005	108.0000	77.2833	2.1768	0.0960	2.4444	2.9773	6.0408	6.0543	6.7346	6.7468	0.7524	0.0000	0.0000	0.0000	0.2000	0.0000	1.2047	0.3041	0.6139	5.8706	3.1187	6.0615	5.9488	6.8167	6.7167	0.7413	0.0000	0.0000	0.0000	0.2027	0.0000	1.2171	0.3074	0.5974	5.8717	14.9574	4.0157	6.3470	15.4871	16.2484	2.5933	0.0000	0.0000	0.0000	0.0840	0.0000	0.6644	0.1757	0.0000	5.7518	77.2670	79.8817	0.7409	111.1363	77.2705	1.1107	0.0000	0.0000	0.0000	0.0905	0.0000	0.6872	0.2681	0.0000	79.8705	8.1361	4.5804	9.7955	9.3368	12.7337	0.6275	0.0000	0.0000	0.0000	0.2233	0.0000	1.3143	0.3161	1.7088	9.5279
9	-1.7000	-1.6000	85.3408	110.0000	79.7079	3.0563	0.0731	2.5036	2.9140	5.5228	6.1154	6.2444	6.7742	1.5443	0.0000	0.0000	0.0000	0.2070	0.0000	1.1805	0.3116	0.7775	5.9127	3.0708	5.5250	6.0682	6.3211	6.8009	1.6105	0.0000	0.0000	0.0000	0.2074	0.0000	1.1928	0.3122	0.7718	5.8551	12.7346	3.5903	6.5491	13.2311	14.3200	2.7064	0.0000	0.0000	0.0000	0.1423	0.0000	0.7323	0.2413	1.4999	5.8902	89.8353	5.2064	0.8398	89.9860	89.8392	5.1379	0.0000	0.0000	0.0000	0.1628	0.0000	0.6494	0.5102	0.0000	0.0000	7.7467	10.1918	8.2148	12.8017	11.2913	2.1892	0.0000	0.0000	0.0000	0.2727	0.0000	1.3517	0.3732	2.5522	9.5145
10	-1.6000	-1.5000	93.7703	104.0000	88.3915	2.7660	0.0706	2.5422	2.7833	5.3201	5.1923	6.0042	5.8913	0.3043	0.0000	0.0000	0.0000	0.2510	0.0000	1.2605	0.3481	0.4148	5.1250	2.9165	5.3254	5.2342	6.0718	5.9919	0.4087	0.0000	0.0000	0.0000	0.2577	0.0000	1.2784	0.3545	0.4008	5.1192	12.8331	6.2119	2.3409	14.2575	13.0449	2.1170	0.0000	0.0000	0.0000	0.1003	0.0000	0.7129	0.2013	2.0228	5.4273	94.6749	14.5101	10.0762	95.7803	95.2096	14.5026	0.0000	0.0000	0.0000	0.0648	0.0000	0.4420	0.1298	0.0000	0.0000	7.4091	5.5651	8.4487	9.2664	11.2372	1.6858	0.0000	0.0000	0.0000	0.1875	0.0000	1.2557	0.2915	0.8368	8.1835
11	-1.5000	-1.4000	93.9734	110.0000	87.9921	3.0854	0.0032	2.8928	2.7592	6.2592	5.7025	6.8404	6.3349	0.7454	0.0000	0.0000	0.0000	0.2027	0.0000	1.1472	0.3077	0.7615	6.1145	2.9049	6.4239	5.3591	7.0501	6.0958	0.8651	0.0000	0.0000	0.0000	0.2036	0.0000	1.1531	0.3087	0.7320	6.2673	12.3512	3.2563	13.4923	12.7733	18.2919	3.1674	0.0000	0.0000	0.0000	0.1056	0.0000	0.7635	0.2084	1.9537	12.9445	100.0000	199.8605	72.5653	223.4820	123.5545	199.8593	0.0000	0.0000	0.0000	0.0453	0.0000	0.6620	0.1458	0.0000	0.0000	7.2817	6.4360	9.1190	9.7183	11.6696	0.9594	0.0000	0.0000	0.0000	0.2795	0.0000	1.3774	0.3816	0.8832	8.9084
12	-1.4000	-1.3000	95.4023	116.0000	89.4399	2.6302	0.1571	3.1751	2.7374	6.4010	5.4853	6.9618	6.1304	0.6714	0.0000	0.0000	0.0000	0.2075	0.0000	1.1572	0.3141	0.5637	6.2243	2.8796	6.3659	5.4813	6.9869	6.1916	0.6644	0.0000	0.0000	0.0000	0.2097	0.0000	1.1663	0.3162	0.5326	6.1883	13.4397	8.8464	2.8808	16.0899	13.7450	1.6693	0.0000	0.0000	0.0000	0.1102	0.0000	0.7052	0.2156	2.9324	8.3129	70.7126	12.5238	14.0127	71.8131	72.0876	13.9716	0.0000	0.0000	0.0000	0.1279	0.0000	1.0014	0.3731	0.0000	0.0000	7.0157	6.2369	8.5724	9.3871	11.0773	2.5131	0.0000	0.0000	0.0000	0.2317	0.0000	1.2830	0.3333	0.4947	8.0707
13	-1.3000	-1.2000	96.8622	117.0000	89.9107	3.2730	0.4607	3.2177	2.6730	5.2023	5.8107	5.8489	6.3960	0.3546	0.0000	0.0000	0.0000	0.1928	0.0000	1.0884	0.2943	0.7490	5.6376	2.8252	5.2910	5.7413	5.9980	6.3988	0.4142	0.0000	0.0000	0.0000	0.1951	0.0000	1.1001	0.2971	0.7189	5.5634	11.8482	4.5983	7.9011	12.7092	14.2410	1.7839	0.0000	0.0000	0.0000	0.0992	0.0000	0.6466	0.1911	0.7546	7.6298	49.6872	19.9572	15.6942	53.5454	52.1069	19.9515	0.0000	0.0000	0.0000	0.0753	0.0000	0.4503	0.1477	0.0000	0.0000	6.8434	4.4451	7.0755	8.1604	9.8435	0.3591	0.0000	0.0000	0.0000	0.2423	0.0000	1.3034	0.3401	2.4577	6.4923
14	-1.2000	-1.1000	92.7555	120.0000	85.8113	3.6953	0.1448	3.1041	2.7098	7.3625	6.7158	7.8453	7.2419	0.4334	0.0000	0.0000	0.0000	0.2432	0.0000	0.8925	0.3183	0.7234	7.2665	2.8785	7.1465	6.8460	7.7044	7.4265	0.4959	0.0000	0.0000	0.0000	0.2438	0.0000	0.9052	0.3201	0.7088	7.0511	10.9079	13.0149	5.4894	16.9815	12.2113	3.4477	0.0000	0.0000	0.0000	0.1589	0.0000	0.5050	0.2306	3.0750	12.1537	62.9048	4.8880	0.5059	63.0944	62.9068	4.8616	0.0000	0.0000	0.0000	0.1179	0.0000	0.4581	0.1824	0.0000	0.0000	6.8704	8.2991	6.0962	10.7739	9.1851	2.1911	0.0000	0.0000	0.0000	0.3306	0.0000	1.0214	0.3799	1.6751	7.7441
15	-1.1000	-1.0000	95.3845	114.0000	87.5840	4.4466	0.1864	3.1675	2.6958	7.5022	5.5465	7.9718	6.1669	0.5078	0.0000	0.0000	0.0000	0.2650	0.0000	0.9082	0.3359	0.2674	7.4186	2.8761	7.7511	5.1800	8.2675	5.9249	0.4731	0.0000	0.0000	0.0000	0.2658	0.0000	0.9211	0.3373	0.4077	7.6635	10.2728	3.3873	9.7973	10.8168	14.1956	0.5810	0.0000	0.0000	0.0000	0.1441	0.0000	0.5025	0.2200	2.6575	9.3950	55.9225	30.1356	6.6660	63.5254	56.3184	6.5990	0.0000	0.0000	0.0000	0.2292	0.0000	0.8727	0.2857	0.0000	30.0819	6.8477	5.4665	10.7481	8.7620	12.7441	1.6486	0.0000	0.0000	0.0000	0.4122	0.0000	1.1230	0.4632	0.9556	10.5248
