Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0007	100.0000	13.0653	12.5645	100.8499	100.7862	12.8304	0.3972	2.1909	0.0000	0.0000	0.0000	1.0121	0.3149	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	13.0653	12.5645	100.8499	100.7862	12.8304	0.3972	2.1909	0.0000	0.0000	0.0000	1.0121	0.3149	0.0000	0.0000
4	-4.4000	-4.2000	0.0483	0.0000	0.0000	0.0000	0.0359	0.0124	78.3169	32.3123	39.4104	84.7208	87.6739	38.2586	0.5049	9.4385	0.0000	0.0000	0.0000	0.3174	0.1396	0.0000	3.1298	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	32.5917	39.9745	105.1771	107.6938	38.8236	0.5061	9.5061	0.0000	0.0000	0.0000	0.2331	0.1131	0.0000	0.0000	95.9293	33.2335	37.7771	101.5229	103.0997	36.6207	0.5015	9.2425	0.0000	0.0000	0.0000	0.5618	0.2165	0.0000	12.2026
5	-4.2000	-4.0000	0.0112	1.0000	0.0000	0.0117	0.0000	-0.0005	104.8308	80.0055	58.4794	131.8726	120.0389	79.4131	0.5112	9.6896	0.0000	0.0000	0.0000	0.5039	0.2134	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	76.5232	56.6193	125.9198	114.9163	75.9266	0.5061	9.5061	0.0000	0.0000	0.0000	0.5347	0.2150	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-4.0000	-3.8000	0.0763	0.0000	0.0000	0.0000	0.0749	0.0014	98.1201	16.9472	14.9372	99.5729	99.2506	16.7637	0.3973	2.2372	0.0000	0.0000	0.0000	1.0055	0.1209	0.0000	0.6530	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	17.2067	15.1472	101.4696	101.1407	17.0316	0.3972	2.1909	0.0000	0.0000	0.0000	1.0121	0.1198	0.0000	0.0000	66.8955	5.5013	34.9977	67.1214	75.4973	2.8407	0.4036	4.6436	0.0000	0.0000	0.0000	0.6615	0.1747	0.0000	34.5843
7	-3.8000	-3.6000	0.0846	0.0000	0.0000	0.0828	0.0000	0.0019	68.4685	12.8553	63.2618	69.6648	93.2201	11.4092	0.5061	5.8590	0.0000	0.0000	0.0000	0.6781	0.2143	0.0000	62.7264	100.0000	89.7849	59.3621	134.3925	116.2921	89.6023	0.5061	3.7120	0.0000	0.0000	0.0000	3.8166	2.0400	0.0000	0.0000	69.9999	12.8669	64.6492	71.1726	95.2864	11.4574	0.5061	5.7898	0.0000	0.0000	0.0000	0.6780	0.2146	0.0000	64.1390	100.0000	16.4792	11.1558	101.3487	100.6203	16.0456	0.5061	3.7120	0.0000	0.0000	0.0000	0.2331	0.1131	0.0000	0.0000	53.7365	12.8261	12.9189	55.2460	55.2676	9.2849	0.5061	8.9407	0.0000	0.0000	0.0000	0.6779	0.1966	0.0000	0.0000
8	-3.6000	-3.4000	0.0166	0.0000	0.0000	0.0000	0.0000	0.0166	147.6792	35.9484	29.0936	151.9916	150.5177	35.1058	0.4028	7.5538	0.0000	0.0000	0.0000	1.5047	0.6192	12.1943	12.1943	71.7373	30.9900	38.4992	78.1449	81.4152	37.7918	0.4423	7.2323	0.0000	0.0000	0.0000	1.1860	0.2501	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	147.6879	35.9526	29.0966	152.0010	150.5269	35.1101	0.4028	7.5538	0.0000	0.0000	0.0000	1.5048	0.6192	12.1950	12.1950
9	-3.4000	-3.2000	0.0650	0.0000	0.0000	0.0427	0.0092	0.0131	65.7961	19.5449	12.4092	68.6376	66.9560	18.6119	0.5065	4.7798	0.0000	0.0000	0.0000	3.0776	1.7383	0.0498	0.9003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	73.9772	16.2618	18.3092	75.7435	76.2093	17.3683	0.5061	5.7183	0.0000	0.0000	0.0000	0.7761	0.1036	0.0000	0.0000	100.0000	119.8820	65.2163	156.1144	119.3866	119.5033	0.5061	9.5061	0.0000	0.0000	0.0000	0.1802	0.0904	0.0000	0.0000	208.4093	50.3409	43.8881	214.4030	212.9803	48.0110	0.5083	1.5877	0.0000	0.0000	0.0000	12.6019	8.2162	0.2467	4.4628
10	-3.2000	-3.0000	0.2304	1.0000	0.0000	0.1192	0.0019	0.1092	43.2816	28.4869	25.8870	51.8150	50.4325	11.9035	0.4818	6.7293	0.0000	0.0000	0.0000	0.8162	0.4099	0.0245	24.9692	69.7724	11.9408	12.4190	70.7868	70.8690	11.5779	0.4676	4.4296	0.0000	0.0000	0.0000	0.5662	0.1533	0.0000	0.0000	63.1690	48.3658	7.5456	79.5586	63.6181	9.6633	0.5061	6.1342	0.0000	0.0000	0.0000	0.9437	0.6324	0.0000	46.9754	100.0000	9.7551	19.0727	100.4747	101.8026	16.5267	0.5061	9.5061	0.0000	0.0000	0.0000	0.1041	0.0536	0.0000	0.0000	59.8012	16.6296	52.0050	62.0703	79.2509	14.8372	0.4548	7.3323	0.0000	0.0000	0.0000	0.6895	0.1732	0.0516	50.2020
11	-3.0000	-2.8000	0.4022	0.0000	0.0000	0.1346	0.2202	0.0474	41.0638	24.8822	13.7316	48.0141	43.2988	14.1103	0.4571	5.5796	0.0000	0.0000	0.0000	0.6108	0.1326	0.0000	19.7052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.8808	59.5105	7.3536	84.4228	60.3307	4.4925	0.5061	7.3107	0.0000	0.0000	0.0000	0.2746	0.1279	0.0000	58.8856	63.9243	22.7999	21.9729	67.8686	67.5953	22.2644	0.4339	4.8295	0.0000	0.0000	0.0000	0.7733	0.1355	0.0000	0.0000	65.4895	5.5244	6.8318	65.7221	65.8448	5.2441	0.4260	4.1483	0.0000	0.0000	0.0000	0.8109	0.1324	0.0000	1.0520
12	-2.8000	-2.6000	0.3246	0.0000	0.0005	0.0928	0.1777	0.0537	48.8596	6.7872	6.8149	49.3288	49.3326	0.7983	0.4943	6.7218	0.0000	0.0000	0.0000	0.4988	0.1000	0.0080	0.6100	96.4170	162.5921	68.8662	189.0302	118.4855	162.2601	0.5061	9.4936	0.0000	0.0000	0.0000	3.6858	1.9697	0.0000	0.0000	94.5393	25.1536	18.2220	97.8284	96.2794	23.6144	0.4919	8.3633	0.0000	0.0000	0.0000	0.4443	0.0733	0.0000	2.1614	72.0323	11.8048	15.3765	72.9932	73.6552	14.1207	0.5061	6.0463	0.0000	0.0000	0.0000	0.4699	0.0803	0.0000	0.0000	61.1524	6.1507	7.8214	61.4609	61.6505	4.3569	0.4596	6.0947	0.0000	0.0000	0.0000	0.6609	0.1953	0.0487	2.0874
