Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-2.5000	-2.4000	2.0883	2.0000	0.0014	1.7450	0.2029	0.1390	17.0245	10.8781	9.4965	20.2031	19.4940	1.6090	0.5061	8.3802	0.0000	0.0000	0.0000	0.2311	0.1086	1.2966	6.8413	95.5394	13.5358	11.2095	96.4935	96.1947	9.6191	0.5061	9.5061	0.0000	0.0000	0.0000	0.2330	0.1131	0.0000	0.0000	17.8203	10.2745	9.8204	20.5701	20.3471	5.2557	0.5061	8.2584	0.0000	0.0000	0.0000	0.2261	0.0804	1.5517	3.0690	75.7485	49.9410	33.6019	90.7301	82.8669	32.2217	0.5061	9.5061	0.0000	0.0000	0.0000	0.2876	0.3810	0.0000	43.4867	56.0981	8.9057	40.4897	56.8006	69.1839	4.2218	0.5061	8.2534	0.0000	0.0000	0.0000	0.2108	0.0652	0.0000	39.4102
2	-2.4000	-2.3000	3.3289	1.0000	0.0007	2.9791	0.0859	0.2632	11.6492	8.1690	11.6498	14.2280	16.4749	4.7961	0.4610	5.2083	0.0000	0.0000	0.0000	0.5822	0.2634	1.8337	9.0336	66.4361	8.3493	7.6872	66.9587	66.8793	3.4364	0.4878	7.5753	0.0000	0.0000	0.0000	0.4710	0.2387	0.0000	0.0000	12.3719	8.7188	11.8827	15.1355	17.1541	5.2789	0.4613	5.1248	0.0000	0.0000	0.0000	0.5560	0.2637	2.0482	9.0709	84.9690	17.3183	24.9824	86.7160	88.5655	23.0813	0.5061	9.5061	0.0000	0.0000	0.0000	0.8606	0.1088	0.0000	0.0000	36.4625	8.2066	13.2585	37.3746	38.7982	6.6277	0.4425	4.7440	0.0000	0.0000	0.0000	0.7890	0.3107	0.7682	11.5864
3	-2.3000	-2.2000	5.1334	9.0000	0.0002	4.1272	0.6813	0.3248	18.1865	7.2042	7.2933	19.5614	19.5944	2.1548	0.4705	5.9208	0.0000	0.0000	0.0000	0.4283	0.2471	0.0684	4.0464	99.5914	20.6434	16.2087	101.7084	100.9017	18.3171	0.5061	9.5061	0.0000	0.0000	0.0000	0.1041	0.0536	0.0000	0.0000	21.0547	8.1087	6.9024	22.5622	22.1572	1.5070	0.4651	5.9909	0.0000	0.0000	0.0000	0.4113	0.2312	1.4264	5.2332	47.9381	5.2538	13.8718	48.2252	49.9048	3.3417	0.5061	5.1187	0.0000	0.0000	0.0000	0.4136	0.3020	8.7903	8.7903	30.5201	9.9435	10.7040	32.0991	32.3428	7.8901	0.4634	6.7107	0.0000	0.0000	0.0000	0.6754	0.3338	1.3941	2.5442
4	-2.2000	-2.1000	4.3869	4.0000	0.0088	3.6911	0.4541	0.2329	11.3207	6.5557	8.5129	13.0819	14.1644	1.7642	0.4668	5.7102	0.0000	0.0000	0.0000	0.5714	0.2606	0.5734	5.9841	85.9447	10.6413	12.0496	86.6010	86.7853	7.3631	0.5030	9.5052	0.0000	0.0000	0.0000	0.5952	0.1486	0.0000	0.0000	12.2129	6.5243	9.1131	13.8464	15.2382	1.3493	0.4620	5.4360	0.0000	0.0000	0.0000	0.5884	0.2628	0.6815	7.1122	41.0718	7.5893	8.5595	41.7671	41.9542	4.4810	0.5061	7.2582	0.0000	0.0000	0.0000	0.4242	0.2605	0.0000	0.0000	39.7888	9.6738	7.4937	40.9479	40.4883	6.7382	0.4647	6.8941	0.0000	0.0000	0.0000	0.5875	0.2311	0.0000	0.1903
5	-2.1000	-2.0000	5.4012	1.0000	0.0016	4.8080	0.1306	0.4609	9.8098	9.9719	9.0610	13.9883	13.3541	2.4143	0.4650	5.8151	0.0000	0.0000	0.0000	0.5471	0.1228	1.3005	7.5877	86.9597	10.0019	9.3142	87.5330	87.4571	3.6446	0.5061	9.2955	0.0000	0.0000	0.0000	0.2781	0.1204	0.0000	0.0000	10.5388	10.6927	8.3364	15.0133	13.4373	2.2505	0.4648	5.8783	0.0000	0.0000	0.0000	0.5328	0.1193	1.4500	8.4910	70.7150	11.5968	10.4156	71.6596	71.4779	9.9805	0.5061	5.8795	0.0000	0.0000	0.0000	0.2186	0.0633	0.0000	0.0000	26.9653	5.5828	20.7550	27.5371	34.0279	3.8151	0.4554	5.1263	0.0000	0.0000	0.0000	0.7909	0.1759	6.9940	18.4434
6	-2.0000	-1.9000	5.6813	7.0000	0.0010	4.6767	0.4951	0.5084	9.4558	6.6581	6.0326	11.5647	11.2162	0.8663	0.4681	3.3462	0.0000	0.0000	0.0000	0.5987	0.1276	0.4783	5.6179	57.9476	1.9977	2.2475	57.9820	57.9912	1.0296	0.4755	1.8771	0.0000	0.0000	0.0000	0.4836	0.0870	0.0000	0.0000	10.4992	7.2275	6.4428	12.7464	12.3184	1.2220	0.4644	3.2185	0.0000	0.0000	0.0000	0.6111	0.1284	0.2473	6.3023	36.8933	4.4836	4.5576	37.1647	37.1737	0.8853	0.5049	4.4240	0.0000	0.0000	0.0000	0.3935	0.0808	0.0000	0.0000	23.3811	6.7303	5.9853	24.3305	24.1350	1.4300	0.4665	3.4740	0.0000	0.0000	0.0000	0.6843	0.1666	3.0698	4.8053
7	-1.9000	-1.8000	6.1004	4.0000	0.0364	5.5010	0.1906	0.3725	8.8438	12.9177	4.3851	15.6551	9.8713	0.2379	0.4746	3.4012	0.0000	0.0000	0.0000	0.5510	0.1332	0.4768	12.4308	99.0049	26.3932	105.3783	102.4626	144.5910	33.7586	0.5055	12.8239	0.0000	0.0000	0.0000	1.0104	0.1206	0.0000	98.9908	9.4198	13.5154	4.0279	16.4741	10.2448	0.1566	0.4740	3.3868	0.0000	0.0000	0.0000	0.5434	0.1332	0.5292	13.0528	56.9767	4.5498	4.2613	57.1581	57.1358	3.2450	0.5061	3.1271	0.0000	0.0000	0.0000	0.3505	0.1124	0.0000	0.0000	26.1295	11.5790	5.2458	28.5802	26.6509	2.8759	0.4639	2.8328	0.0000	0.0000	0.0000	0.7208	0.1447	0.0066	10.8177
8	-1.8000	-1.7000	5.4232	13.0000	0.0038	4.8042	0.1796	0.4357	9.7944	5.4782	5.9452	11.2223	11.4575	4.3113	0.4629	3.1541	0.0000	0.0000	0.0000	0.7410	0.2003	1.9452	1.6357	60.6329	6.7007	6.7499	61.0020	61.0074	0.9256	0.4153	5.2954	0.0000	0.0000	0.0000	3.5010	2.0577	0.0000	0.0000	10.5253	5.6710	6.1307	11.9559	12.1807	4.6703	0.4607	3.0870	0.0000	0.0000	0.0000	0.7512	0.2030	2.1814	1.0863	60.2738	5.2463	3.2344	60.5017	60.3606	4.1425	0.4470	3.1182	0.0000	0.0000	0.0000	0.6533	0.1158	0.0000	0.0000	27.8621	10.9440	10.0387	29.9344	29.6154	3.8287	0.4932	3.8894	0.0000	0.0000	0.0000	0.6407	0.1902	0.1590	9.9309
9	-1.7000	-1.6000	7.1543	9.0000	0.0091	6.5337	0.1609	0.4506	8.4175	6.1066	9.2270	10.3992	12.4896	1.0327	0.4655	3.3021	0.0000	0.0000	0.0000	0.6595	0.1506	1.1866	8.4312	70.5444	4.7032	10.8718	70.7011	71.3773	10.3150	0.4868	3.2717	0.0000	0.0000	0.0000	0.7877	0.2940	0.3862	0.0000	8.9585	6.5813	9.5822	11.1161	13.1177	1.1979	0.4626	3.3038	0.0000	0.0000	0.0000	0.6712	0.1468	1.5894	8.7804	57.3109	7.2433	3.7975	57.7669	57.4366	6.2551	0.5061	3.6002	0.0000	0.0000	0.0000	0.2716	0.2204	0.0000	1.0396	23.8146	3.2880	9.3360	24.0405	25.5792	1.3271	0.4915	3.1714	0.0000	0.0000	0.0000	0.6251	0.1784	6.0430	6.1773
10	-1.6000	-1.5000	5.4370	4.0000	0.0083	5.0886	0.0663	0.2738	9.6494	3.4579	4.0102	10.2502	10.4495	0.6857	0.4375	3.2586	0.0000	0.0000	0.0000	0.9037	0.2542	0.5031	1.9151	78.4634	29.2559	8.9308	83.7401	78.9700	8.7035	0.4848	1.5408	0.0000	0.0000	0.0000	1.0566	0.5310	20.6376	20.6376	10.1298	3.3039	3.8826	10.6550	10.8484	0.4342	0.4354	3.1270	0.0000	0.0000	0.0000	0.8968	0.2521	0.5254	1.9428	73.4592	4.7347	13.7808	73.6116	74.7406	13.6600	0.5032	1.7115	0.0000	0.0000	0.0000	0.3528	0.0775	0.0000	0.0000	30.8375	8.6695	7.6902	32.0330	31.7820	4.1373	0.4585	6.1318	0.0000	0.0000	0.0000	1.1596	0.3276	0.2247	4.3339
