Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	20.0000	16.7419	-1	9.4201	6.1787	-0.0686	1.2117	4.4729	2.2387	9.2637	5.0018	10.2870	0.2986	0.0000	0.0000	0.0000	0.6627	0.0000	1.7318	0.6638	1.3763	8.9458	5.1476	6.6598	10.2247	8.4173	11.4474	0.4369	0.0000	0.0000	0.0000	0.8742	0.0000	2.0480	0.8279	2.7441	9.8493	8.8366	1.6740	9.4014	8.9938	12.9024	1.4731	0.0000	0.0000	0.0000	0.2929	0.0000	1.1995	0.3782	3.7996	8.3742	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.4680	2.8845	12.4228	12.7973	17.6005	2.0949	0.0000	0.0000	0.0000	0.8820	0.0000	1.9707	0.8266	5.2338	10.8312
2	20.0000	40.0000	33.8264	-1	16.5970	14.7681	0.0637	2.3976	3.2793	7.2867	5.8711	7.9906	6.7248	0.5699	0.0000	0.0000	0.0000	0.7580	0.0000	1.8445	0.7451	1.0557	6.8648	3.8551	10.0813	9.6489	10.7932	10.3905	1.3226	0.0000	0.0000	0.0000	1.1396	0.0000	2.3924	1.0396	1.1746	9.5340	5.9305	4.3885	1.3620	7.3776	6.0849	0.4612	0.0000	0.0000	0.0000	0.3000	0.0000	1.1809	0.3946	2.4564	3.3723	93.8807	8.7247	0.6876	94.2853	93.8833	8.6974	0.0000	0.0000	0.0000	0.0621	0.0000	0.6687	0.1574	0.0000	0.0023	9.3697	10.4845	13.9819	14.0611	16.8310	1.4843	0.0000	0.0000	0.0000	0.9567	0.0000	2.1704	0.8804	1.2686	13.6770
3	40.0000	60.0000	37.4279	-1	13.4853	21.5278	0.0221	2.3926	3.2694	6.6331	3.9817	7.3951	5.1519	0.3256	0.0000	0.0000	0.0000	0.6583	0.0000	1.6920	0.6744	0.7113	6.2956	4.1176	6.8042	5.6601	7.9531	6.9994	0.7296	0.0000	0.0000	0.0000	1.1814	0.0000	2.4442	1.0917	0.2253	6.1007	4.9507	5.6179	2.6761	7.4880	5.6277	0.1795	0.0000	0.0000	0.0000	0.2893	0.0000	1.1647	0.3786	1.0863	5.3937	99.1389	280.7301	51.5940	297.7212	111.7608	62.5423	0.0000	0.0000	0.0000	0.1990	0.0000	2.1114	0.2969	0.0043	273.6663	9.5912	13.3845	8.1327	16.4662	12.5750	0.1071	0.0000	0.0000	0.0000	1.0346	0.0000	2.1930	0.9878	1.5454	13.0342
4	60.0000	80.0000	33.7748	-1	8.9804	22.6411	0.1066	2.0466	3.5125	7.9422	4.2712	8.6842	5.5299	0.2261	0.0000	0.0000	0.0000	0.6142	0.0000	1.6194	0.6213	2.1187	7.4264	4.7350	5.1339	8.2181	6.9840	9.4846	1.3513	0.0000	0.0000	0.0000	1.1303	0.0000	2.3463	1.0161	3.0211	6.9965	4.7869	8.8422	3.3281	10.0548	5.8301	0.8848	0.0000	0.0000	0.0000	0.3610	0.0000	1.2740	0.4300	2.0151	8.4500	71.9108	99.8287	8.1644	123.0322	72.3728	8.1199	0.0000	0.0000	0.0000	0.2618	0.0000	0.7561	0.2981	70.5442	70.5433	10.4842	8.5890	2.7378	13.5532	10.8357	0.9074	0.0000	0.0000	0.0000	1.1697	0.0000	2.2956	1.0214	2.5823	7.6549
5	80.0000	100.0000	31.5009	-1	6.3444	23.1500	0.4252	1.5813	3.7539	2.3517	5.7247	4.4297	6.8457	0.9297	0.0000	0.0000	0.0000	0.6107	0.0000	1.6101	0.6276	2.1929	4.8945	5.5131	7.5857	4.5353	9.3775	7.1388	0.6419	0.0000	0.0000	0.0000	1.5885	0.0000	2.8914	1.3854	1.8060	6.4186	4.7457	1.7711	5.9006	5.0654	7.5723	0.9730	0.0000	0.0000	0.0000	0.3264	0.0000	1.2394	0.4097	2.3260	5.1724	39.3328	8.2931	26.1213	40.1976	47.2164	8.2123	0.0000	0.0000	0.0000	0.2721	0.0000	1.0527	0.3898	17.6871	17.6869	12.8021	3.0834	13.8170	13.1681	18.8362	1.4147	0.0000	0.0000	0.0000	0.9403	0.0000	2.0446	0.8411	7.6724	11.2433
6	100.0000	120.0000	24.2785	-1	3.9422	19.0597	0.1192	1.1573	4.3661	3.9612	3.5943	5.8952	5.6552	0.4465	0.0000	0.0000	0.0000	0.5300	0.0000	1.4964	0.5592	0.7078	3.4868	6.4872	4.4106	6.5202	7.8446	9.1977	1.0474	0.0000	0.0000	0.0000	1.4023	0.0000	2.7493	1.2633	2.0796	5.1791	5.3038	4.9922	4.5238	7.2837	6.9711	0.7547	0.0000	0.0000	0.0000	0.3104	0.0000	1.1786	0.3838	0.3868	4.7509	65.8477	11.2373	1.8084	66.7997	65.8725	3.4538	0.0000	0.0000	0.0000	0.2186	0.0000	1.3189	0.3239	0.0790	10.6045	15.0105	13.9649	6.0102	20.5021	16.1690	1.9279	0.0000	0.0000	0.0000	1.2241	0.0000	2.4810	1.0833	7.1600	11.4547
7	120.0000	140.0000	17.4298	-1	2.3620	14.4023	0.0195	0.6460	5.0484	9.0858	8.7373	10.3942	10.0910	1.5875	0.0000	0.0000	0.0000	0.5801	0.0000	1.5769	0.6037	0.6226	8.7440	6.8794	11.3220	4.3318	13.2482	8.1296	2.0528	0.0000	0.0000	0.0000	1.5232	0.0000	2.9042	1.3493	4.0597	9.7426	5.9418	8.6757	10.9267	10.5153	12.4377	1.5684	0.0000	0.0000	0.0000	0.3628	0.0000	1.2809	0.4291	0.3038	10.7236	71.5940	181.1468	65.3635	194.7815	96.9437	7.9252	0.0000	0.0000	0.0000	3.7209	0.0000	4.8471	2.9819	143.6514	109.8607	19.1923	17.6405	4.1398	26.0678	19.6337	2.4119	0.0000	0.0000	0.0000	1.8821	0.0000	3.2239	1.6964	6.3021	15.7747
8	140.0000	160.0000	14.8983	-1	1.7636	12.3107	0.1510	0.6730	5.5233	5.6603	2.2527	7.9086	5.9650	0.2879	0.0000	0.0000	0.0000	0.6197	0.0000	1.5795	0.6356	1.1184	5.2367	7.8676	4.0308	8.8149	8.8400	11.8153	0.7632	0.0000	0.0000	0.0000	1.8263	0.0000	3.1583	1.5752	3.6095	6.9893	6.4556	6.8692	1.8242	9.4266	6.7084	0.1526	0.0000	0.0000	0.0000	0.4185	0.0000	1.3163	0.4784	1.5429	6.5304	60.6574	31.0603	1.2152	68.1474	60.6696	1.2678	0.0000	0.0000	0.0000	0.2908	0.0000	1.0801	0.4838	21.6262	22.2252	19.8666	16.5345	6.3209	25.8471	20.8479	5.6598	0.0000	0.0000	0.0000	1.2114	0.0000	2.3688	1.0834	3.8127	14.7840
9	160.0000	180.0000	11.8367	-1	1.0020	10.1014	0.2557	0.4776	6.3447	1.6585	9.1572	6.5579	11.1404	0.5982	0.0000	0.0000	0.0000	0.4854	0.0000	1.3872	0.5210	3.3055	8.3767	7.8506	11.0553	3.8622	13.5592	8.7492	1.5435	0.0000	0.0000	0.0000	1.5475	0.0000	2.8846	1.3756	1.4719	10.2577	7.1892	1.4848	10.0176	7.3410	12.3304	0.6902	0.0000	0.0000	0.0000	0.3625	0.0000	1.2136	0.4217	3.2077	9.3714	48.0737	2.3421	37.0949	48.1307	60.7216	4.4698	0.0000	0.0000	0.0000	0.2786	0.0000	1.3066	0.4389	23.7000	28.1498	25.9199	15.9905	18.8311	30.4555	32.0382	3.7381	0.0000	0.0000	0.0000	0.9664	0.0000	1.9615	0.8721	3.2191	18.0221
10	180.0000	200.0000	9.3106	-1	0.8513	7.8421	0.1049	0.5123	7.1698	15.4319	3.2004	17.0161	7.8517	2.3637	0.0000	0.0000	0.0000	0.6831	0.0000	1.6749	0.6934	4.0702	14.5683	9.9184	4.8167	5.1453	11.0261	11.1736	1.4711	0.0000	0.0000	0.0000	1.9952	0.0000	3.4740	1.7516	1.3463	2.5690	8.2455	18.2651	2.9361	20.0400	8.7526	2.7967	0.0000	0.0000	0.0000	0.4892	0.0000	1.4108	0.5373	4.8737	17.3067	90.0450	11.9497	6.0848	90.8344	90.2503	10.5954	0.0000	0.0000	0.0000	0.4128	0.0000	1.6678	0.4399	0.0014	5.2333	20.8892	10.7981	12.3910	23.5151	24.2878	4.4678	0.0000	0.0000	0.0000	1.5254	0.0000	2.7303	1.3766	9.5610	10.6732
