Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-3.1400	-3.0144	4.8947	-1	1.0150	3.3527	0.0002	0.5268	9.5975	8.6938	2.9853	12.9497	10.0511	0.7890	0.0000	0.0000	0.0000	0.7111	0.0000	1.6526	0.6820	1.1076	8.3685	12.1181	19.4300	3.9779	22.8992	12.7543	2.7444	0.0000	0.0000	0.0000	1.2747	0.0000	2.5123	1.1341	2.2474	18.8605	13.0927	3.6164	3.8481	13.5829	13.6464	1.9393	0.0000	0.0000	0.0000	0.4980	0.0000	1.3475	0.5091	2.9011	2.3672	98.8487	42906.7762	12.3106	42906.8900	99.6123	12.6834	0.0000	0.0000	0.0000	0.2303	0.0000	1.5558	0.3443	30339.9746	30339.3675	21.5353	16.3545	15.9456	27.0414	26.7961	1.2108	0.0000	0.0000	0.0000	0.9819	0.0000	1.9374	0.9116	6.0389	15.7263
2	-3.0144	-2.8888	5.3404	-1	1.0275	3.6002	0.2095	0.5031	8.9276	9.8942	4.6910	13.3265	10.0850	0.6036	0.0000	0.0000	0.0000	0.5928	0.0000	1.5411	0.5819	1.7236	9.7071	12.6929	8.5874	13.0302	15.3249	18.1905	4.1127	0.0000	0.0000	0.0000	1.2984	0.0000	2.4770	1.1258	3.2510	11.5507	11.8922	12.0101	1.8788	16.9017	12.0397	0.7449	0.0000	0.0000	0.0000	0.3958	0.0000	1.2735	0.4341	1.3768	11.8247	50.9855	1.4642	38.3038	51.0065	63.7707	4.4208	0.0000	0.0000	0.0000	0.4276	0.0000	1.1930	0.4456	0.0006	38.0244	24.8070	10.1564	11.9974	26.8056	27.5558	9.2342	0.0000	0.0000	0.0000	0.6299	0.0000	1.6894	0.5856	4.4358	7.1936
3	-2.8888	-2.7632	6.2317	-1	1.2732	4.4753	0.0491	0.4341	8.2074	1.9184	9.2877	8.4286	12.3945	0.0518	0.0000	0.0000	0.0000	0.6496	0.0000	1.6758	0.6707	2.2280	8.8127	12.5352	3.1243	10.3906	12.9187	16.2818	1.4139	0.0000	0.0000	0.0000	1.2331	0.0000	2.4783	1.0929	2.7439	9.4735	10.4606	1.5553	9.9445	10.5756	14.4332	0.2502	0.0000	0.0000	0.0000	0.4171	0.0000	1.3745	0.4963	1.6124	9.6957	177.9859	147.9427	65.3531	231.4434	189.6049	11.5869	0.0000	0.0000	0.0000	0.1573	0.0000	0.0389	0.8486	45.4754	147.8269	22.2408	8.7681	16.0652	23.9067	27.4361	1.7607	0.0000	0.0000	0.0000	1.3899	0.0000	2.6135	1.2105	2.8613	15.5004
4	-2.7632	-2.6376	5.6853	-1	1.6959	3.5712	0.0903	0.3279	8.7166	10.9516	3.8581	13.9971	9.5323	3.4879	0.0000	0.0000	0.0000	0.7306	0.0000	1.7496	0.7062	5.1039	8.8108	11.9613	12.5456	6.1095	17.3339	13.4312	3.8785	0.0000	0.0000	0.0000	1.5067	0.0000	2.7088	1.3137	5.0583	10.5412	12.3275	11.6786	4.1691	16.9811	13.0134	4.8179	0.0000	0.0000	0.0000	0.3672	0.0000	1.2857	0.4206	6.4744	8.3243	77.2671	36.2412	73.2455	85.3442	106.4664	9.7611	0.0000	0.0000	0.0000	0.2581	0.0000	1.5558	0.3324	24.7501	73.0171	23.1408	8.3104	6.6548	24.5878	24.0787	6.2875	0.0000	0.0000	0.0000	0.8034	0.0000	1.8948	0.7767	3.2872	6.1739
5	-2.6376	-2.5120	6.0228	-1	1.2430	4.4227	0.0223	0.3348	8.7362	1.7242	4.7540	8.9047	9.9459	0.3633	0.0000	0.0000	0.0000	0.5649	0.0000	1.4738	0.5969	2.2708	3.8073	12.3603	3.5145	6.8974	12.8503	14.1546	2.9549	0.0000	0.0000	0.0000	1.0770	0.0000	2.2293	0.9985	2.3086	5.1493	11.1430	1.6844	4.0225	11.2696	11.8469	1.1814	0.0000	0.0000	0.0000	0.4329	0.0000	1.2680	0.4960	2.0296	2.9394	99.4268	203.3382	110.4195	226.3451	148.5872	51.3947	0.0000	0.0000	0.0000	0.0472	0.0000	0.6678	0.1474	99.4260	196.7347	29.6862	3.3829	19.6685	29.8784	35.6107	2.9477	0.0000	0.0000	0.0000	0.4419	0.0000	1.4412	0.4690	16.4560	10.5977
6	-2.5120	-2.3864	6.0352	-1	1.6241	4.0180	0.0001	0.3930	12.9239	10.4367	9.9060	16.6118	16.2836	1.3340	0.0000	0.0000	0.0000	0.6691	0.0000	1.6524	0.6636	1.7604	10.1063	12.4253	10.3660	4.2813	16.1815	13.1422	3.5930	0.0000	0.0000	0.0000	1.1509	0.0000	2.3310	1.0285	5.5035	7.5127	18.5855	10.0676	17.3208	21.1371	25.4053	3.3210	0.0000	0.0000	0.0000	0.4735	0.0000	1.3474	0.5177	3.8493	16.4887	89.9678	7.2796	89.1866	90.2618	126.6825	4.0859	0.0000	0.0000	0.0000	2.9454	0.0000	4.7883	2.1668	0.0000	88.9870	25.4472	34.7057	8.6744	43.0354	26.8851	2.2314	0.0000	0.0000	0.0000	0.6779	0.0000	1.9646	0.6470	6.6632	33.9905
7	-2.3864	-2.2608	4.9244	-1	1.4050	3.2302	0.0323	0.2568	9.4643	18.3784	9.1693	20.6721	13.1775	0.9816	0.0000	0.0000	0.0000	0.5527	0.0000	1.6277	0.5936	6.8636	16.9229	12.4729	13.0751	28.9755	18.0702	31.5461	3.3936	0.0000	0.0000	0.0000	1.1547	0.0000	2.4912	1.0776	2.1280	28.6820	13.1297	25.5404	2.5564	28.7176	13.3763	2.2562	0.0000	0.0000	0.0000	0.2066	0.0000	1.1476	0.3105	11.1316	22.8998	70.7714	31.3860	27.1847	77.4188	75.8129	29.7816	0.0000	0.0000	0.0000	4.5263	0.0000	7.5369	4.5656	0.0873	0.0873	30.4024	6.3536	39.9382	31.0592	50.1933	5.7695	0.0000	0.0000	0.0000	1.1133	0.0000	2.1979	1.0059	11.6082	37.9335
8	-2.2608	-2.1352	5.8316	-1	1.2850	4.1760	0.0111	0.3595	8.6300	2.0470	6.7654	8.8694	10.9657	1.3987	0.0000	0.0000	0.0000	0.5473	0.0000	1.4907	0.5725	2.2434	5.9982	13.2775	4.1078	4.8411	13.8984	14.1325	2.9572	0.0000	0.0000	0.0000	0.9930	0.0000	2.2495	0.9119	2.6756	2.5628	10.9851	1.7048	12.9198	11.1165	16.9585	1.5650	0.0000	0.0000	0.0000	0.2988	0.0000	1.1401	0.3886	1.0942	12.7179	75.1879	608.1637	42.3803	612.7939	86.3094	70.4426	0.0000	0.0000	0.0000	0.3929	0.0000	1.1677	0.4370	0.2649	604.0689	32.5033	38.9759	17.2468	50.7503	36.7956	3.8953	0.0000	0.0000	0.0000	1.8449	0.0000	2.8612	1.5002	19.2290	33.4717
9	-2.1352	-2.0096	5.7589	-1	1.2667	3.9649	0.1070	0.4203	8.3072	3.2951	6.9185	8.9369	10.8109	2.1175	0.0000	0.0000	0.0000	0.6480	0.0000	1.6323	0.6581	2.0403	6.0466	13.1641	4.6479	9.6890	13.9605	16.3453	3.2091	0.0000	0.0000	0.0000	1.4404	0.0000	2.7365	1.2491	4.9864	7.3435	10.8794	8.5180	5.3855	13.8173	12.1394	3.2164	0.0000	0.0000	0.0000	0.3837	0.0000	1.2852	0.4582	3.7295	6.8097	68.5786	5.0212	88.7012	68.7622	112.1201	5.1945	0.0000	0.0000	0.0000	0.3808	0.0000	0.8961	0.5822	0.0000	88.5417	23.3300	8.3849	39.6062	24.7911	45.9668	4.3026	0.0000	0.0000	0.0000	0.8218	0.0000	1.7667	0.7818	13.3050	36.9967
10	-2.0096	-1.8840	5.6093	-1	1.3764	3.9433	0.0001	0.2895	8.6781	13.9661	2.0306	16.4426	8.9125	1.0729	0.0000	0.0000	0.0000	0.5513	0.0000	1.5622	0.5752	2.3688	13.6093	12.6473	12.1168	3.0113	17.5149	13.0008	0.6292	0.0000	0.0000	0.0000	1.1424	0.0000	2.5377	1.0558	3.0094	11.3400	11.2894	11.5973	7.7950	16.1848	13.7191	0.5944	0.0000	0.0000	0.0000	0.3238	0.0000	1.1986	0.3953	1.4064	11.4223	100.0000	54604.9771	14.7771	54605.0687	101.0859	14.1139	0.0000	0.0000	0.0000	2.9646	0.0000	4.0587	2.1555	0.0000	54604.9750	31.7964	57.6759	14.4307	65.8599	34.9179	14.2673	0.0000	0.0000	0.0000	0.8388	0.0000	1.8750	0.7401	16.8193	54.1979
