Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
21	2.0000	2.1000	0.1584	0.0000	0.0111	0.1658	0.0005	-0.0191	53.3182	14.4436	7.3489	55.2399	53.8223	14.3703	0.0000	0.0000	0.0000	0.3656	0.0000	1.3682	0.3246	0.0002	0.0997	12.7440	5.2334	3.7018	13.7767	13.2707	3.9457	0.0000	0.0000	0.0000	1.3192	0.0000	2.8983	1.1669	0.0023	1.4230	49.6567	14.8624	9.8470	51.8332	50.6236	14.7806	0.0000	0.0000	0.0000	0.4314	0.0000	1.4409	0.4022	0.0000	0.0000	46.0936	10.7688	10.9225	47.3348	47.3700	10.8860	0.0000	0.0000	0.0000	0.1663	0.0000	0.8623	0.1806	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22	2.1000	2.2000	0.2086	0.0000	0.0253	0.1199	0.0139	0.0496	34.6300	8.7272	6.1865	35.7127	35.1782	8.4024	0.0000	0.0000	0.0000	0.7567	0.0000	2.1126	0.7269	0.0006	0.0058	11.4268	5.4623	4.5754	12.6653	12.3088	4.5054	0.0000	0.0000	0.0000	1.1016	0.0000	2.6984	1.0203	0.0052	0.0479	53.7187	8.3856	6.1190	54.3693	54.0661	8.3331	0.0000	0.0000	0.0000	0.1559	0.0000	0.9052	0.1823	0.0000	0.0000	93.5824	15.8642	14.3127	94.9175	94.6705	12.1972	0.0000	0.0000	0.0000	5.0544	0.0000	7.2937	4.9149	0.0000	0.0000	60.3346	13.9509	9.5629	61.9265	61.0878	13.5143	0.0000	0.0000	0.0000	0.8317	0.0000	3.2832	0.7228	0.0000	0.0000
23	2.2000	2.3000	0.2157	0.0000	0.0357	0.1501	0.0055	0.0245	35.4990	8.3181	11.8332	36.4605	37.4193	11.7261	0.0000	0.0000	0.0000	0.5086	0.0000	1.4281	0.4943	0.0305	0.0008	10.7981	4.0702	3.7121	11.5397	11.4183	1.9674	0.0000	0.0000	0.0000	1.3108	0.0000	3.0841	1.1965	0.1840	0.0046	48.6444	12.1496	15.1089	50.1387	50.9368	15.0634	0.0000	0.0000	0.0000	0.3323	0.0000	1.0758	0.3351	0.0000	0.0000	87.5212	21.6592	22.5110	90.1614	90.3698	21.8519	0.0000	0.0000	0.0000	1.8288	0.0000	4.7561	1.8835	0.0000	0.0000	91.1582	0.4689	8.9974	91.1594	91.6012	8.9852	0.0000	0.0000	0.0000	0.1252	0.0000	0.4307	0.1366	0.0000	0.0000
24	2.3000	2.4000	0.5423	0.0000	0.0569	0.2551	0.1784	0.0519	24.1531	6.2227	3.4469	24.9418	24.3978	5.8154	0.0000	0.0000	0.0000	0.7664	0.0000	1.9469	0.7224	0.0001	0.0583	10.3233	4.8837	5.1437	11.4202	11.5338	4.4033	0.0000	0.0000	0.0000	0.9572	0.0000	2.3377	0.8811	0.0006	0.5562	34.9860	4.2087	2.2332	35.2383	35.0572	3.5627	0.0000	0.0000	0.0000	0.7606	0.0000	1.9970	0.6737	0.0000	0.0000	51.0794	12.4870	9.2592	52.5836	51.9119	12.3143	0.0000	0.0000	0.0000	0.7828	0.0000	1.7474	0.7858	0.0000	0.0000	56.1174	7.0493	9.5812	56.5585	56.9295	9.3485	0.0000	0.0000	0.0000	0.5300	0.0000	1.9582	0.5704	0.0000	0.0000
25	2.4000	2.5000	0.7873	1.0000	0.0822	0.5706	0.1026	0.0318	19.3846	12.1913	14.4388	22.8996	24.1711	14.2913	0.0000	0.0000	0.0000	0.6070	0.0000	1.8842	0.5950	0.0000	0.0000	8.3800	5.1150	3.2092	9.8177	8.9735	4.2428	0.0000	0.0000	0.0000	1.0874	0.0000	2.4518	0.9839	0.0000	0.0000	24.8218	12.7875	16.6315	27.9220	29.8785	16.5055	0.0000	0.0000	0.0000	0.6169	0.0000	1.8555	0.6174	0.0000	0.0000	50.7169	16.1332	13.1200	53.2211	52.3865	16.1143	0.0000	0.0000	0.0000	0.1606	0.0000	0.7452	0.1710	0.0000	0.0000	68.3856	9.2585	12.4082	69.0095	69.5022	11.5084	0.0000	0.0000	0.0000	0.6296	0.0000	4.6049	0.5567	0.0000	0.0000
26	2.5000	2.6000	1.7076	1.0000	0.1051	0.9928	0.4355	0.1742	15.1256	2.3127	2.3138	15.3014	15.3015	0.2112	0.0000	0.0000	0.0000	0.7873	0.0000	2.0278	0.7846	0.0087	0.0108	8.5571	2.9705	2.8461	9.0580	9.0180	0.8777	0.0000	0.0000	0.0000	0.9965	0.0000	2.4887	0.9310	0.1417	0.1755	19.3528	2.3578	2.7696	19.4958	19.5499	1.5953	0.0000	0.0000	0.0000	0.7333	0.0000	2.0196	0.7359	0.0000	0.0000	36.5725	5.7763	6.1823	37.0258	37.0914	6.0623	0.0000	0.0000	0.0000	0.3511	0.0000	1.1051	0.3633	0.0000	0.0000	37.8629	10.8784	7.2332	39.3947	38.5476	9.6520	0.0000	0.0000	0.0000	2.0595	0.0000	4.1025	2.0268	0.0000	0.0000
27	2.6000	2.7000	2.0053	1.0000	0.1965	1.2979	0.3182	0.1928	13.3197	4.1550	2.4347	13.9527	13.5404	2.5849	0.0000	0.0000	0.0000	0.5562	0.0000	1.5848	0.5340	0.0063	2.7343	12.5941	3.0438	3.6457	12.9567	13.1112	2.1463	0.0000	0.0000	0.0000	1.1127	0.0000	2.5589	1.0014	0.0640	0.0792	16.4223	8.7293	7.3196	18.5982	17.9796	7.4712	0.0000	0.0000	0.0000	0.4542	0.0000	1.4897	0.4589	0.0000	4.2126	40.8167	8.3780	7.8524	41.6677	41.5652	8.2869	0.0000	0.0000	0.0000	0.3699	0.0000	1.1169	0.3654	0.0000	0.0000	47.6488	19.1689	11.5531	51.3600	49.0294	19.0199	0.0000	0.0000	0.0000	0.9828	0.0000	2.0045	0.8417	0.0000	0.0000
28	2.7000	2.8000	2.7620	2.0000	0.3298	1.9580	0.4196	0.0545	12.9206	2.2528	1.8584	13.1155	13.0536	1.2635	0.0000	0.0000	0.0000	0.6457	0.0000	1.6415	0.6060	0.0020	0.0024	26.1388	2.3177	2.9005	26.2414	26.2993	1.7781	0.0000	0.0000	0.0000	0.8273	0.0000	2.0083	0.7726	0.0167	0.0202	14.3689	2.1986	1.9219	14.5361	14.4968	1.1214	0.0000	0.0000	0.0000	0.6474	0.0000	1.6682	0.6119	0.0000	0.0000	39.6875	2.7851	1.9596	39.7851	39.7358	2.3187	0.0000	0.0000	0.0000	0.5765	0.0000	1.3358	0.5137	0.0000	0.0000	209.3089	31.6686	0.8131	211.6911	209.3105	31.6578	0.0000	0.0000	0.0000	0.0198	0.0000	0.8190	0.0940	0.0000	0.0000
29	2.8000	2.9000	5.6962	6.0000	0.4554	4.2356	0.7837	0.2216	8.4536	2.6833	2.1287	8.8692	8.7175	2.0132	0.0000	0.0000	0.0000	0.5780	0.0000	1.5895	0.5353	0.0004	0.0019	11.1746	2.9858	3.3545	11.5666	11.6672	1.5685	0.0000	0.0000	0.0000	1.1378	0.0000	2.5558	1.0431	0.0052	0.0233	9.5350	1.9582	1.6490	9.7340	9.6765	1.1185	0.0000	0.0000	0.0000	0.4945	0.0000	1.4565	0.4665	0.0000	0.0000	28.4143	13.0786	9.0461	31.2797	29.8195	13.0310	0.0000	0.0000	0.0000	0.2364	0.0000	1.0639	0.2343	0.0000	0.0000	58.1444	10.4817	13.4300	59.0816	59.6753	12.4933	0.0000	0.0000	0.0000	2.2321	0.0000	4.0063	1.8719	0.0000	0.0000
30	2.9000	3.0000	13.9529	10.0000	0.8233	10.0684	2.1652	0.8961	5.5827	1.8326	1.6881	5.8757	5.8323	0.2295	0.0000	0.0000	0.0000	0.5155	0.0000	1.5135	0.4959	0.1611	0.6909	15.8359	3.2783	3.6059	16.1717	16.2413	2.3966	0.0000	0.0000	0.0000	1.0382	0.0000	2.2566	0.8969	0.0773	1.5846	6.4564	2.6071	1.8458	6.9629	6.7150	1.8623	0.0000	0.0000	0.0000	0.4674	0.0000	1.4728	0.4571	0.2170	0.8278	17.3231	6.8862	7.1204	18.6416	18.7294	7.0265	0.0000	0.0000	0.0000	0.3640	0.0000	1.0438	0.3398	0.0000	0.0000	18.1685	3.3153	8.4931	18.4685	20.0556	7.0296	0.0000	0.0000	0.0000	0.9421	0.0000	2.4235	0.9403	0.0000	3.8942
