Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	50.0000	221.1162	263.0000	209.4605	3.6789	0.0581	7.9187	2.5268	6.4878	7.0062	6.9625	7.4479	1.4510	0.8664	5.0938	0.7206	0.0000	0.0000	0.0000	0.0000	0.4074	4.6536	2.6571	6.6437	7.2139	7.1553	7.6877	1.6299	0.8678	5.1054	0.7242	0.0000	0.0000	0.0000	0.0000	0.4244	4.9257	10.5530	4.5835	5.5027	11.5054	11.9015	1.9301	0.8137	4.3073	0.4681	0.0000	0.0000	0.0000	0.0000	1.0978	2.8092	59.2354	11.6969	26.7973	60.3792	65.0148	10.1668	0.9025	4.7826	0.8814	0.0000	0.0000	0.0000	0.0000	0.0000	26.3631	3.7918	5.8696	5.4196	6.9879	6.6144	1.7357	0.8546	5.1543	0.7410	0.0000	0.0000	0.0000	0.0000	1.9187	1.5742
2	50.0000	100.0000	932.8904	1066.0000	887.2935	11.6351	0.5977	33.3641	1.2753	6.5809	6.3700	6.7033	6.4964	0.9868	0.8664	5.1245	0.6944	0.0000	0.0000	0.0000	0.0000	0.4430	3.8427	1.3365	6.6322	6.4601	6.7656	6.5969	1.0211	0.8673	5.1401	0.6966	0.0000	0.0000	0.0000	0.0000	0.4990	3.8999	5.9110	7.3227	4.7453	9.4107	7.5801	1.2272	0.8344	4.5719	0.4771	0.0000	0.0000	0.0000	0.0000	1.4997	5.2953	29.7662	14.5523	7.7054	33.1330	30.7474	6.5782	0.8861	6.9703	1.0311	0.0000	0.0000	0.0000	0.0000	0.0000	10.8657	1.9175	5.5384	6.0846	5.8609	6.3796	0.6366	0.8541	4.8687	0.7057	0.0000	0.0000	0.0000	0.0000	0.5439	3.6082
3	100.0000	150.0000	2322.9553	2744.0000	2221.3762	25.6150	1.2527	74.7113	0.8901	5.2432	5.4722	5.3182	5.5442	0.2672	0.8605	5.0352	0.7315	0.0000	0.0000	0.0000	0.0000	0.3860	2.1256	0.9286	5.2694	5.4943	5.3506	5.5722	0.2892	0.8613	5.0485	0.7348	0.0000	0.0000	0.0000	0.0000	0.4096	2.1448	4.0294	4.3946	5.3976	5.9623	6.7357	0.9505	0.8276	4.2132	0.4671	0.0000	0.0000	0.0000	0.0000	0.7875	3.1150	22.6719	7.3126	17.2457	23.8220	28.4856	2.6969	0.8991	6.3341	1.0133	0.0000	0.0000	0.0000	0.0000	5.2396	14.9514	1.2827	5.0809	5.4190	5.2403	5.5687	0.2729	0.8472	4.8998	0.7198	0.0000	0.0000	0.0000	0.0000	0.5350	2.2894
4	150.0000	200.0000	2887.9044	3318.0000	2748.7295	34.6519	2.5016	102.0214	0.7548	7.0044	6.7870	7.0449	6.8289	0.3564	0.8513	4.8779	0.7978	0.0000	0.0000	0.0000	0.0000	0.0512	4.8761	0.7905	7.0566	6.8694	7.1007	6.9148	0.3581	0.8520	4.8899	0.8027	0.0000	0.0000	0.0000	0.0000	0.0436	4.9380	3.4305	5.9682	4.5767	6.8839	5.7197	0.7783	0.8232	4.2017	0.5069	0.0000	0.0000	0.0000	0.0000	1.3040	3.8373	22.7946	6.4525	17.1790	23.6902	28.5431	3.8915	0.8925	5.4291	0.6870	0.0000	0.0000	0.0000	0.0000	1.5921	15.7737	1.1143	6.3720	5.5891	6.4687	5.6991	0.1043	0.8430	4.7693	0.7677	0.0000	0.0000	0.0000	0.0000	0.2504	4.0676
5	200.0000	250.0000	2412.0827	2635.0000	2270.1644	40.4608	1.7383	99.7191	0.7528	8.9370	8.9041	8.9687	8.9358	0.5945	0.8432	4.7736	0.7888	0.0000	0.0000	0.0000	0.0000	0.3978	7.4774	0.7961	9.0968	9.0708	9.1316	9.1057	0.5958	0.8440	4.7897	0.7952	0.0000	0.0000	0.0000	0.0000	0.4090	7.6647	3.1950	4.3223	4.4052	5.3750	5.4418	0.2619	0.8189	4.1955	0.5069	0.0000	0.0000	0.0000	0.0000	1.2040	0.2650	19.4370	39.3555	11.6193	43.8936	22.6452	10.1081	0.8890	4.7975	0.9362	0.0000	0.0000	0.0000	0.0000	3.1239	38.6511	1.1366	7.4890	7.9934	7.5748	8.0739	0.6819	0.8354	4.6422	0.7545	0.0000	0.0000	0.0000	0.0000	0.3860	6.4645
6	250.0000	300.0000	1646.8356	1687.0000	1525.1842	40.0638	2.6162	78.9714	0.8059	10.4166	9.7389	10.4478	9.7722	0.3850	0.8370	4.6431	0.7625	0.0000	0.0000	0.0000	0.0000	0.3955	9.2391	0.8629	10.7060	9.9239	10.7407	9.9613	0.3424	0.8378	4.6606	0.7705	0.0000	0.0000	0.0000	0.0000	0.4107	9.5559	3.2123	5.3560	5.9397	6.2454	6.7527	1.9653	0.8174	4.3154	0.5245	0.0000	0.0000	0.0000	0.0000	1.0813	3.3949	18.9156	4.7602	25.6675	19.5053	31.8845	2.4585	0.8810	4.5450	0.9261	0.0000	0.0000	0.0000	0.0000	2.9998	24.9508	1.2923	8.5857	8.0960	8.6824	8.1985	0.8762	0.8304	4.4750	0.7218	0.0000	0.0000	0.0000	0.0000	0.2112	7.1879
7	300.0000	350.0000	1014.7605	974.0000	926.0072	34.6762	1.0648	53.0123	0.9593	12.7316	12.5900	12.7677	12.6265	0.1260	0.8316	4.4505	0.7439	0.0000	0.0000	0.0000	0.0000	0.3180	11.8747	1.0390	13.0695	12.8957	13.1107	12.9375	0.1523	0.8324	4.4731	0.7532	0.0000	0.0000	0.0000	0.0000	0.3298	12.2256	3.4256	5.3366	7.2791	6.3415	8.0449	0.3406	0.8149	4.1039	0.5235	0.0000	0.0000	0.0000	0.0000	1.8850	5.6798	23.1748	33.1096	5.3948	40.4143	23.7945	3.8307	0.8325	3.6856	0.7911	0.0000	0.0000	0.0000	0.0000	7.3703	32.0257	1.5884	11.8359	11.5758	11.9420	11.6842	0.1357	0.8274	4.2984	0.7246	0.0000	0.0000	0.0000	0.0000	0.5329	10.9719
8	350.0000	400.0000	550.5976	505.0000	488.8724	28.5652	1.0260	32.1340	1.0983	13.8015	12.8649	13.8451	12.9117	0.3230	0.8306	4.4421	0.7306	0.0000	0.0000	0.0000	0.0000	0.7284	12.9997	1.2081	14.5288	13.4458	14.5789	13.5000	0.2886	0.8319	4.4750	0.7427	0.0000	0.0000	0.0000	0.0000	0.7184	13.7586	3.7802	4.8132	4.4948	6.1201	5.8730	0.8389	0.8133	4.1319	0.5507	0.0000	0.0000	0.0000	0.0000	0.7184	2.1011	25.7707	12.2822	22.6226	28.5479	34.2916	11.5936	0.8339	3.8870	0.7981	0.0000	0.0000	0.0000	0.0000	7.4334	19.4107	2.0897	12.6943	12.8216	12.8652	12.9908	0.7453	0.8253	4.2351	0.7039	0.0000	0.0000	0.0000	0.0000	1.6220	12.0875
9	400.0000	450.0000	302.2032	280.0000	260.7085	21.7244	0.8032	18.9672	1.3906	14.1986	13.2773	14.2665	13.3499	0.2510	0.8273	4.3475	0.7131	0.0000	0.0000	0.0000	0.0000	0.7023	13.4517	1.5535	14.2930	13.3967	14.3771	13.4864	0.1940	0.8288	4.3807	0.7302	0.0000	0.0000	0.0000	0.0000	0.7193	13.5397	4.4539	13.5106	13.1767	14.2258	13.9091	1.9088	0.8118	4.1209	0.5237	0.0000	0.0000	0.0000	0.0000	1.6119	12.5849	27.8081	19.2867	17.1656	33.8418	32.6795	4.6223	0.8607	4.2457	0.9999	0.0000	0.0000	0.0000	0.0000	9.6122	16.1188	2.7515	13.8145	11.7542	14.0858	12.0720	0.6575	0.8239	4.1557	0.6831	0.0000	0.0000	0.0000	0.0000	0.6333	13.1225
10	450.0000	500.0000	157.9955	151.0000	132.2124	15.0175	0.1359	10.6298	1.7734	18.1001	14.0124	18.1868	14.1242	0.7218	0.8274	4.3758	0.7036	0.0000	0.0000	0.0000	0.0000	1.3029	17.4944	2.0111	19.6728	14.5148	19.7754	14.6535	1.1815	0.8293	4.3942	0.7241	0.0000	0.0000	0.0000	0.0000	1.4880	19.0814	5.2541	6.8079	11.5116	8.5996	12.6540	2.9448	0.8119	4.1563	0.5425	0.0000	0.0000	0.0000	0.0000	2.4323	10.0236	50.9494	131.0398	3.8763	140.5962	51.0967	6.1471	0.8744	3.7840	0.6184	0.0000	0.0000	0.0000	0.0000	88.2699	96.5744	3.6805	15.6695	13.9668	16.0960	14.4436	0.3363	0.8246	4.4644	0.6776	0.0000	0.0000	0.0000	0.0000	2.4001	14.7848
