Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	0.0000	50.0000	95.8306	0.0000	21.5222	68.5868	2.0015	3.7201	2.0311	6.7368	6.6150	7.0363	6.9198	0.0798	0.8567	5.4339	0.8288	0.0000	0.0000	0.0000	0.0000	0.4004	3.7955	3.1455	9.2502	9.4848	9.7704	9.9927	1.2490	0.8552	5.8719	0.8445	0.0000	0.0000	0.0000	0.0000	0.8204	7.3421	2.5533	5.9722	5.8170	6.4951	6.3527	0.1280	0.8553	5.2315	0.8148	0.0000	0.0000	0.0000	0.0000	0.5301	2.5734	21.0109	10.7685	13.0444	23.6097	24.7308	10.2305	0.9047	7.4923	1.0542	0.0000	0.0000	0.0000	0.0000	3.2717	4.4433	7.9177	10.2780	11.1925	12.9741	13.7100	2.7677	0.8655	5.5249	0.8752	0.0000	0.0000	0.0000	0.0000	3.9684	9.5420
2	50.0000	100.0000	214.0996	0.0000	46.5698	153.4447	4.0564	10.0288	1.3512	6.2034	6.3947	6.3488	6.5359	0.9005	0.8574	5.3718	0.8283	0.0000	0.0000	0.0000	0.0000	0.2988	3.3605	2.0886	8.0325	8.8348	8.2996	9.0783	1.4281	0.8556	5.7379	0.8572	0.0000	0.0000	0.0000	0.0000	0.6973	6.5676	1.7034	5.7994	5.7653	6.0444	6.0117	0.7622	0.8566	5.2297	0.8138	0.0000	0.0000	0.0000	0.0000	0.2713	2.2974	15.1407	6.7620	9.8565	16.5820	18.0663	0.6993	0.9169	6.1580	0.9149	0.0000	0.0000	0.0000	0.0000	2.4750	7.4903	4.6056	7.0704	6.3309	8.4381	7.8289	0.6470	0.8552	5.5281	0.8811	0.0000	0.0000	0.0000	0.0000	0.8874	4.0972
3	100.0000	150.0000	248.7383	0.0000	62.3245	165.2513	6.1162	15.0463	1.2429	7.2814	7.3266	7.3867	7.4313	0.3572	0.8553	5.2796	0.8222	0.0000	0.0000	0.0000	0.0000	0.2929	5.0756	1.8164	9.0273	8.5488	9.2082	8.7397	1.3932	0.8480	5.4715	0.8221	0.0000	0.0000	0.0000	0.0000	0.3880	6.9937	1.6295	6.8459	6.8244	7.0372	7.0163	0.1326	0.8561	5.1494	0.8100	0.0000	0.0000	0.0000	0.0000	0.4497	4.4760	13.8218	8.4343	12.5089	16.1920	18.6417	5.2111	0.9056	6.3339	1.0815	0.0000	0.0000	0.0000	0.0000	1.6577	9.4625	3.7060	6.4799	7.2576	7.4648	8.1491	1.6755	0.8552	5.4869	0.8510	0.0000	0.0000	0.0000	0.0000	1.3526	4.2562
4	150.0000	200.0000	195.4784	0.0000	53.0728	124.3586	4.3289	13.7180	1.3453	7.9013	7.9511	8.0150	8.0641	0.5348	0.8524	5.1305	0.8132	0.0000	0.0000	0.0000	0.0000	0.3220	6.0574	1.9006	7.4275	8.4824	7.6668	8.6927	0.4547	0.8459	5.2722	0.8296	0.0000	0.0000	0.0000	0.0000	0.2391	6.6386	1.8675	8.1160	7.8913	8.3280	8.1092	0.7652	0.8528	5.0109	0.7947	0.0000	0.0000	0.0000	0.0000	0.2309	6.2259	10.8425	18.9136	7.3439	21.8010	13.0955	4.2988	0.9077	5.9660	1.0400	0.0000	0.0000	0.0000	0.0000	3.1970	17.2229	3.8869	6.0312	9.1918	7.1752	9.9798	1.2687	0.8559	5.4026	0.8460	0.0000	0.0000	0.0000	0.0000	1.5908	7.1670
5	200.0000	250.0000	145.2624	0.0000	41.1508	86.5460	4.9699	12.5958	1.5716	7.6620	7.6241	7.8215	7.7844	0.2417	0.8501	5.1106	0.8144	0.0000	0.0000	0.0000	0.0000	0.4069	5.6364	2.1088	9.0098	9.8773	9.2533	10.0999	1.1002	0.8446	5.1696	0.8213	0.0000	0.0000	0.0000	0.0000	0.3327	8.3477	2.2390	7.8120	6.8785	8.1266	7.2337	1.2385	0.8485	5.0338	0.7850	0.0000	0.0000	0.0000	0.0000	0.7254	5.6866	13.1674	8.8789	10.9046	15.8813	17.0965	6.4474	0.9127	5.9032	1.2588	0.0000	0.0000	0.0000	0.0000	1.9953	6.7489	4.1690	6.3314	6.7287	7.5808	7.9156	0.5796	0.8547	5.1330	0.8189	0.0000	0.0000	0.0000	0.0000	0.2898	4.3222
6	250.0000	300.0000	104.6998	0.0000	31.3605	60.5958	3.4602	9.2834	1.7721	7.1437	7.5735	7.3603	7.7780	0.5356	0.8464	5.0575	0.7733	0.0000	0.0000	0.0000	0.0000	0.5460	5.6099	2.3228	6.9614	7.6784	7.3387	8.0220	1.7964	0.8435	5.1958	0.7953	0.0000	0.0000	0.0000	0.0000	0.1184	5.5390	2.6137	6.5316	8.3434	7.0351	8.7433	0.4439	0.8443	4.9380	0.7549	0.0000	0.0000	0.0000	0.0000	0.9089	6.6572	12.8055	12.2748	6.5551	17.7385	14.3858	4.0797	0.9003	5.7668	0.8704	0.0000	0.0000	0.0000	0.0000	2.0157	9.9533	4.9027	12.1279	6.8805	13.0814	8.4485	1.6073	0.8494	5.1058	0.7834	0.0000	0.0000	0.0000	0.0000	1.3548	10.7361
7	300.0000	350.0000	69.4648	0.0000	21.8448	37.3222	3.1399	7.1579	2.1303	8.6101	8.0596	8.8697	8.3364	0.4745	0.8464	4.9642	0.7865	0.0000	0.0000	0.0000	0.0000	0.9444	6.8584	2.2883	10.0976	9.1273	10.3537	9.4098	0.9281	0.8416	5.2236	0.7710	0.0000	0.0000	0.0000	0.0000	0.4251	8.5048	3.3698	9.4042	7.5945	9.9898	8.3086	1.1635	0.8421	4.6769	0.7688	0.0000	0.0000	0.0000	0.0000	1.3836	7.8738	13.3386	8.7450	14.8439	15.9497	19.9564	6.5558	0.9117	6.4812	0.9740	0.0000	0.0000	0.0000	0.0000	3.4861	11.1377	5.9727	5.4531	5.7783	8.0876	8.3104	0.2349	0.8549	5.0049	0.8443	0.0000	0.0000	0.0000	0.0000	1.7857	2.8679
8	350.0000	400.0000	46.3705	0.0000	14.6662	24.6518	2.0377	5.0149	2.5065	8.5213	7.9533	8.8823	8.3389	0.7504	0.8438	4.8320	0.7579	0.0000	0.0000	0.0000	0.0000	0.5199	6.8991	1.8364	9.8219	8.0183	9.9921	8.2259	0.2747	0.8369	4.8154	0.7621	0.0000	0.0000	0.0000	0.0000	0.7703	8.4836	4.1115	8.3322	7.9214	9.2915	8.9249	0.6935	0.8416	4.7728	0.7375	0.0000	0.0000	0.0000	0.0000	1.1652	6.6360	16.9984	8.2563	12.9189	18.8974	21.3505	5.9487	0.8931	4.8531	0.8061	0.0000	0.0000	0.0000	0.0000	3.5327	10.5382	7.2177	11.9254	8.1533	13.9395	10.8891	0.9266	0.8549	5.1633	0.8270	0.0000	0.0000	0.0000	0.0000	1.2206	10.6434
9	400.0000	450.0000	31.2194	0.0000	10.2622	16.1608	1.1510	3.6454	2.8729	9.0292	11.7393	9.4752	12.0857	0.9097	0.8424	4.8520	0.7532	0.0000	0.0000	0.0000	0.0000	0.6183	10.6293	1.2152	9.7901	8.7118	9.8652	8.7961	0.0761	0.8357	5.0121	0.7367	0.0000	0.0000	0.0000	0.0000	0.4938	8.3207	4.9981	8.4458	14.4557	9.8139	15.2954	1.4599	0.8427	4.6466	0.7469	0.0000	0.0000	0.0000	0.0000	1.5244	13.5163	21.4604	18.3663	13.3783	28.2466	25.2889	3.7897	0.8959	6.0575	0.9594	0.0000	0.0000	0.0000	0.0000	6.2543	15.9247	7.5334	7.4290	9.3149	10.5802	11.9800	1.8765	0.8433	4.9317	0.7624	0.0000	0.0000	0.0000	0.0000	1.8304	7.4447
10	450.0000	500.0000	20.9932	0.0000	7.6042	10.5670	0.4531	2.3688	3.3267	10.5431	6.5365	11.0555	7.3344	0.3345	0.8343	4.7062	0.7185	0.0000	0.0000	0.0000	0.0000	0.7627	9.3329	1.8993	8.1525	9.0636	8.3708	9.2604	1.1068	0.8309	5.0174	0.7467	0.0000	0.0000	0.0000	0.0000	0.4233	7.4621	5.8765	9.0953	4.9157	10.8286	7.6614	0.7142	0.8341	4.4463	0.6779	0.0000	0.0000	0.0000	0.0000	0.7327	7.7944	26.4234	100.4744	9.9744	103.8908	28.2433	2.3534	0.8678	4.9719	0.9748	0.0000	0.0000	0.0000	0.0000	20.8746	98.1193	10.9230	10.2639	7.5857	14.9886	13.2987	0.7265	0.8397	4.8153	0.7604	0.0000	0.0000	0.0000	0.0000	2.2778	8.9610
