Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
3	100.0000	150.0000	119.0349	0.0000	5.7083	101.5795	6.6952	5.0520	1.9571	8.3214	9.1792	8.5485	9.3855	0.5644	0.9034	5.8790	0.7307	0.0000	0.0000	0.0000	0.0000	0.1546	7.0567	6.4612	11.3493	14.5215	13.0597	15.8941	0.8079	0.9062	6.5120	0.8083	0.0000	0.0000	0.0000	0.0000	1.6859	12.8807	2.0693	8.0251	8.4843	8.2876	8.7330	0.4311	0.9003	5.8098	0.7265	0.0000	0.0000	0.0000	0.0000	0.2404	6.2005	12.5890	11.5323	16.0550	17.0727	20.4021	1.4384	0.9435	6.5182	0.7210	0.0000	0.0000	0.0000	0.0000	0.0000	14.6268	7.9689	7.3799	9.7298	10.8612	12.5767	1.8133	0.9092	5.7081	0.7413	0.0000	0.0000	0.0000	0.0000	0.6693	7.6588
4	150.0000	200.0000	222.5248	0.0000	21.2390	181.7001	9.6465	9.9391	1.3812	8.1310	7.7376	8.2475	7.8599	0.3319	0.8769	5.5750	0.9835	0.0000	0.0000	0.0000	0.0000	0.3489	5.7573	3.2184	10.7891	11.3032	11.2589	11.7524	1.7368	0.8815	6.2817	1.0246	0.0000	0.0000	0.0000	0.0000	0.6291	9.2350	1.5550	7.8491	7.3929	8.0017	7.5547	0.1562	0.8736	5.4276	0.9615	0.0000	0.0000	0.0000	0.0000	0.2633	5.5108	8.9144	7.3262	7.2502	11.5386	11.4905	3.4016	0.9120	6.2658	1.1813	0.0000	0.0000	0.0000	0.0000	0.9276	3.0278	5.0857	9.5368	9.7860	10.8081	11.0286	2.4763	0.8941	6.0889	1.1060	0.0000	0.0000	0.0000	0.0000	1.3582	7.2452
5	200.0000	250.0000	239.9111	0.0000	46.0152	174.4465	5.6337	13.8157	1.2693	7.8238	7.6979	7.9261	7.8018	0.3316	0.8526	5.2211	0.8503	0.0000	0.0000	0.0000	0.0000	0.2235	5.6870	2.0136	11.0382	10.8621	11.2204	11.0472	1.1724	0.8637	5.8041	0.9312	0.0000	0.0000	0.0000	0.0000	0.4958	9.2514	1.5897	7.0402	6.9795	7.2175	7.1583	0.2991	0.8463	5.0006	0.8122	0.0000	0.0000	0.0000	0.0000	0.3338	4.8579	11.1816	6.8314	6.6466	13.1032	13.0079	1.4592	0.9169	6.3670	1.1417	0.0000	0.0000	0.0000	0.0000	0.0000	1.9773	4.1430	8.9709	7.9675	9.8814	8.9803	0.5838	0.8676	5.5966	0.9428	0.0000	0.0000	0.0000	0.0000	0.4093	6.8561
6	250.0000	300.0000	214.1851	0.0000	61.3258	132.9765	4.6350	15.2478	1.2836	7.4153	7.7073	7.5256	7.8135	0.4527	0.8408	5.0786	0.7857	0.0000	0.0000	0.0000	0.0000	0.3336	5.7847	1.7277	9.0926	10.0766	9.2553	10.2237	0.5338	0.8532	5.5139	0.8538	0.0000	0.0000	0.0000	0.0000	0.4766	8.4243	1.8029	6.7996	6.7823	7.0346	7.0179	0.2065	0.8323	4.8255	0.7443	0.0000	0.0000	0.0000	0.0000	0.2404	4.7536	13.0583	6.0598	5.8081	14.3958	14.2917	1.1023	0.8822	5.7113	0.9963	0.0000	0.0000	0.0000	0.0000	0.9177	1.0564	3.7220	7.4354	8.1444	8.3149	8.9546	2.3405	0.8527	5.3426	0.8089	0.0000	0.0000	0.0000	0.0000	0.8073	5.7017
7	300.0000	350.0000	158.4263	0.0000	59.0142	84.5900	2.1196	12.7025	1.4090	7.2178	7.1628	7.3541	7.3001	0.5661	0.8342	4.8959	0.7432	0.0000	0.0000	0.0000	0.0000	0.2546	5.1958	1.7189	8.6000	8.7842	8.7701	8.9508	0.6965	0.8407	5.2178	0.7934	0.0000	0.0000	0.0000	0.0000	0.1760	7.0452	2.2301	6.3627	6.3024	6.7422	6.6853	0.7641	0.8267	4.6410	0.6863	0.0000	0.0000	0.0000	0.0000	0.2458	4.2038	16.3244	5.3192	5.2965	17.1692	17.1622	0.4442	0.8950	5.0853	1.1979	0.0000	0.0000	0.0000	0.0000	0.0000	1.1225	4.1327	7.5497	6.5433	8.6068	7.7391	1.1891	0.8432	5.0656	0.8121	0.0000	0.0000	0.0000	0.0000	0.7204	5.3435
8	350.0000	400.0000	102.8674	0.0000	44.2147	46.8615	1.7484	10.0428	1.6888	6.5576	6.5358	6.7716	6.7505	0.5528	0.8299	4.7857	0.7149	0.0000	0.0000	0.0000	0.0000	0.1108	4.4242	1.9039	7.7627	7.7488	7.9927	7.9793	1.1934	0.8374	5.1192	0.7613	0.0000	0.0000	0.0000	0.0000	0.3411	5.7018	3.0231	5.4040	5.3845	6.1921	6.1751	0.4942	0.8201	4.4067	0.6682	0.0000	0.0000	0.0000	0.0000	0.3704	3.0427	16.9774	14.2285	11.6524	22.1513	20.5915	7.6434	0.8659	5.7789	0.7480	0.0000	0.0000	0.0000	0.0000	0.0000	10.7510	4.6075	6.6880	7.0375	8.1215	8.4116	1.6178	0.8368	4.9126	0.7227	0.0000	0.0000	0.0000	0.0000	0.9635	4.8489
9	400.0000	450.0000	62.8018	0.0000	30.4151	23.9943	1.2219	7.1705	1.9953	5.8756	6.1051	6.2051	6.4228	0.3123	0.8250	4.6308	0.7139	0.0000	0.0000	0.0000	0.0000	0.2384	3.9493	2.1308	7.0508	6.6209	7.3657	6.9554	1.0011	0.8310	4.9394	0.7406	0.0000	0.0000	0.0000	0.0000	0.1663	4.8542	4.0422	4.7913	5.3589	6.2687	6.7125	0.9019	0.8161	4.1722	0.6660	0.0000	0.0000	0.0000	0.0000	0.3312	3.2875	21.1572	6.0942	6.5086	22.0174	22.1357	2.7101	0.8367	5.9514	1.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.2682	5.7454	7.2041	7.7951	8.9248	1.0451	0.8274	4.6313	0.7102	0.0000	0.0000	0.0000	0.0000	0.8821	5.3364
10	450.0000	500.0000	40.1975	0.0000	20.1776	14.2329	0.7805	5.0066	2.3876	6.5512	6.2951	6.9728	6.7327	2.1389	0.8280	4.7351	0.6907	0.0000	0.0000	0.0000	0.0000	0.2080	3.8387	2.4485	7.4147	7.1997	7.8085	7.6047	1.4757	0.8305	4.9076	0.7128	0.0000	0.0000	0.0000	0.0000	0.2961	5.2560	5.1287	6.0498	5.7567	7.9312	7.7099	3.4139	0.8163	4.4648	0.6252	0.0000	0.0000	0.0000	0.0000	0.0456	2.2702	25.7961	7.3051	5.3562	26.8105	26.3463	4.8829	0.8787	5.2515	1.0823	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.4315	6.2829	7.1846	8.9911	9.6427	2.3962	0.8434	4.7280	0.7273	0.0000	0.0000	0.0000	0.0000	1.3890	4.8133
11	500.0000	550.0000	24.5090	0.0000	12.5808	8.5576	0.4736	2.8970	3.0429	6.2202	6.7273	6.9246	7.3835	2.5322	0.8242	4.5166	0.6815	0.0000	0.0000	0.0000	0.0000	0.2763	4.7732	2.7503	6.6629	7.5437	7.2083	8.0294	0.8691	0.8266	4.7161	0.7218	0.0000	0.0000	0.0000	0.0000	0.2896	5.8142	7.0267	9.8597	7.1162	12.1073	10.0007	8.6595	0.8153	4.1863	0.6017	0.0000	0.0000	0.0000	0.0000	0.2053	2.9796	31.8332	5.1012	5.9304	32.2393	32.3809	3.2371	0.8964	4.8931	1.0610	0.0000	0.0000	0.0000	0.0000	0.0000	0.3873	7.8848	5.2530	7.8280	9.4745	11.1107	0.6926	0.8286	4.5639	0.6807	0.0000	0.0000	0.0000	0.0000	0.4735	6.3310
12	550.0000	600.0000	14.9480	0.0000	8.9965	3.1892	0.2634	2.4989	3.4548	5.9375	5.5125	6.8694	6.5056	0.3979	0.8179	4.6512	0.6441	0.0000	0.0000	0.0000	0.0000	0.2859	3.5177	3.3455	6.1706	6.3587	7.0191	7.1851	0.9191	0.8227	4.7978	0.6575	0.0000	0.0000	0.0000	0.0000	0.5284	4.1301	10.5273	5.4845	4.4092	11.8703	11.4134	2.2309	0.8114	4.3349	0.5658	0.0000	0.0000	0.0000	0.0000	0.0000	2.3094	41.4677	7.0428	12.9789	42.0615	43.4514	12.4480	0.8619	3.4094	1.1978	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.0774	6.9946	5.4089	11.4596	10.5667	2.0458	0.8043	4.6583	0.6375	0.0000	0.0000	0.0000	0.0000	0.1923	5.0674
