Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.4599	0.0000	0.2719	0.0072	0.0410	0.1399	21.1306	28.1277	12.2418	35.1805	24.4206	1.4556	0.9136	7.4154	1.4216	0.0000	0.0000	0.0000	0.0000	9.5354	27.0408	27.3791	18.7376	14.2311	33.1770	30.8567	4.8055	0.9046	7.8335	1.4036	0.0000	0.0000	0.0000	0.0000	4.9543	15.9537	100.0000	462.2481	57.1040	472.9411	115.1559	98.6851	0.9053	5.9480	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	451.5469	76.9845	528.3722	109.4703	533.9511	133.8297	52.0856	0.8742	8.1709	1.4168	0.0000	0.0000	0.0000	0.0000	28.4754	525.7326	38.2089	7.4984	57.5916	38.9377	69.1138	6.2029	0.9431	6.4568	1.4315	0.0000	0.0000	0.0000	0.0000	13.3763	55.2854
2	-4.8000	-4.6000	0.5445	0.0000	0.3922	0.0981	0.0349	0.0192	23.9508	14.1705	18.7348	27.8289	30.4078	10.0754	0.8983	7.0351	1.3612	0.0000	0.0000	0.0000	0.0000	6.8214	14.7370	23.8444	10.5294	44.9990	26.0658	50.9261	7.8119	0.9047	6.7059	1.2102	0.0000	0.0000	0.0000	0.0000	5.6794	43.6165	61.9802	18.3675	62.7262	64.6445	88.1823	16.2536	0.8830	8.3662	1.5533	0.0000	0.0000	0.0000	0.0000	0.0000	60.4847	189.1306	390.2176	14.1942	433.6360	189.6625	11.9168	0.9053	9.4762	2.8431	0.0000	0.0000	0.0000	0.0000	33.9162	388.4312	73.7090	407.0958	14.9526	413.7149	75.2103	21.3916	0.8339	2.5254	0.7696	0.0000	0.0000	0.0000	0.0000	98.7634	394.3444
3	-4.6000	-4.4000	0.5567	0.0000	0.2875	0.0147	0.1458	0.1088	21.8753	40.5974	26.6263	46.1159	34.4600	2.4197	0.8914	6.3846	0.8714	0.0000	0.0000	0.0000	0.0000	24.0822	31.9832	22.9667	41.9852	16.6997	47.8563	28.3963	1.0331	0.8958	6.8073	0.9110	0.0000	0.0000	0.0000	0.0000	7.7823	40.6668	132.7522	457.4708	16.8870	476.3430	133.8220	14.9697	0.9053	7.9509	0.9975	0.0000	0.0000	0.0000	0.0000	163.5381	427.1648	63.0730	56.5258	96.9084	84.6957	115.6263	2.9013	0.8532	4.2808	0.4052	0.0000	0.0000	0.0000	0.0000	56.3235	88.3656	37.2031	30.0183	16.6872	47.8034	40.7742	6.5303	0.9289	7.8752	1.3746	0.0000	0.0000	0.0000	0.0000	5.0944	27.7079
4	-4.4000	-4.2000	0.6836	0.0000	0.2522	0.0636	0.2152	0.1526	21.3631	27.0805	22.4476	34.4925	30.9884	8.4229	0.9031	8.3712	1.3528	0.0000	0.0000	0.0000	0.0000	20.6800	20.7483	20.5417	24.6327	7.4768	32.0739	21.8601	10.0490	0.8869	7.6515	1.1059	0.0000	0.0000	0.0000	0.0000	8.8177	19.1699	53.8599	85.5456	36.2909	101.0888	64.9455	28.8154	0.9053	8.2050	1.8915	0.0000	0.0000	0.0000	0.0000	24.6323	80.1000	54.4491	46.8017	41.9903	71.7991	68.7596	10.1779	0.9267	9.8690	1.4864	0.0000	0.0000	0.0000	0.0000	38.1467	31.3456	40.0450	46.9181	62.6275	61.6840	74.3358	7.2518	0.8958	7.5167	1.3479	0.0000	0.0000	0.0000	0.0000	39.6590	47.6195
5	-4.2000	-4.0000	1.5310	0.0000	0.2747	0.5762	0.4921	0.1879	24.5465	11.4499	27.0926	27.0856	36.5587	4.1142	0.9082	6.3368	1.3933	0.0000	0.0000	0.0000	0.0000	6.4533	26.3249	21.6081	46.2249	18.3105	51.0259	28.3229	1.2720	0.8864	5.8951	1.3024	0.0000	0.0000	0.0000	0.0000	10.8179	45.8022	54.2249	14.7027	51.2389	56.1828	74.6041	11.6089	0.9271	6.0000	1.3404	0.0000	0.0000	0.0000	0.0000	6.5379	50.8486	38.7036	20.4107	25.5998	43.7558	46.4039	12.7048	0.9053	6.6103	1.6059	0.0000	0.0000	0.0000	0.0000	13.6132	23.6532	32.8246	27.8665	26.7817	43.0581	42.3641	4.9296	0.8895	7.2984	1.1318	0.0000	0.0000	0.0000	0.0000	15.5625	23.1460
6	-4.0000	-3.8000	1.1497	0.0000	0.5194	0.3077	0.0450	0.2776	15.4063	7.0779	16.8943	16.9544	22.8642	6.1421	0.9048	5.8218	1.1930	0.0000	0.0000	0.0000	0.0000	5.3430	13.5928	19.0686	6.9046	30.5706	20.2801	36.0301	2.3357	0.9078	5.7677	1.0296	0.0000	0.0000	0.0000	0.0000	5.0445	29.5039	37.4867	60.9825	24.9530	71.5829	45.0323	13.2423	0.9217	7.1825	1.6909	0.0000	0.0000	0.0000	0.0000	14.9704	59.4931	78.5024	207.3768	4.0686	221.7381	78.6078	18.1778	0.9053	3.7275	0.7923	0.0000	0.0000	0.0000	0.0000	0.0000	206.5415	30.1630	6.7143	43.8574	30.9013	53.2285	6.9725	0.8803	4.7543	1.0120	0.0000	0.0000	0.0000	0.0000	12.1553	41.2735
7	-3.8000	-3.6000	0.9124	0.0000	0.2459	0.3453	0.1874	0.1338	18.4636	37.4871	6.9269	41.7874	19.7202	2.2875	0.9087	6.5658	0.9795	0.0000	0.0000	0.0000	0.0000	12.6155	34.6492	25.8620	41.4607	7.2298	48.8654	26.8535	1.5416	0.8733	7.1961	0.9264	0.0000	0.0000	0.0000	0.0000	13.5235	38.5058	32.5977	37.5863	6.7079	49.7528	33.2807	3.3085	0.9154	4.9485	0.8152	0.0000	0.0000	0.0000	0.0000	5.9919	36.7537	52.0252	85.8282	14.0962	100.3648	53.9011	10.3912	0.9464	8.4545	1.2784	0.0000	0.0000	0.0000	0.0000	0.0000	84.8060	34.7334	132.4970	8.9118	136.9740	35.8585	7.7114	0.9040	6.9349	1.0825	0.0000	0.0000	0.0000	0.0000	62.5379	116.3397
8	-3.6000	-3.4000	1.5262	0.0000	0.2681	0.5489	0.2096	0.4996	13.9591	7.0875	13.3727	15.6553	19.3310	1.6517	0.8629	6.7716	0.9516	0.0000	0.0000	0.0000	0.0000	4.4435	10.7015	21.4026	42.1456	24.2632	47.2686	32.3539	4.3688	0.8456	8.3767	1.1063	0.0000	0.0000	0.0000	0.0000	10.1965	39.7739	26.3891	15.7998	29.9073	30.7574	39.8852	13.6657	0.8683	7.8291	0.9128	0.0000	0.0000	0.0000	0.0000	8.3470	27.3424	44.9171	20.8176	6.7368	49.5067	45.4194	1.8543	0.8021	6.2984	1.1322	0.0000	0.0000	0.0000	0.0000	0.0268	19.7347	22.1540	10.7226	34.7554	24.6124	41.2157	9.4537	0.8918	4.9470	0.8355	0.0000	0.0000	0.0000	0.0000	14.9038	29.5219
9	-3.4000	-3.2000	2.4246	0.0000	0.3681	0.6350	0.9624	0.4590	16.9131	8.8016	19.4268	19.0662	25.7576	3.6531	0.8972	6.4643	0.9578	0.0000	0.0000	0.0000	0.0000	6.6165	16.7015	24.1254	10.5397	14.0018	26.3271	27.8941	9.0521	0.9258	6.2826	1.1739	0.0000	0.0000	0.0000	0.0000	1.5117	8.5035	27.0820	22.3967	16.4454	35.1432	31.6841	17.5033	0.8694	7.0602	0.8533	0.0000	0.0000	0.0000	0.0000	3.5505	11.9964	36.0245	12.1706	48.3413	38.0248	60.2880	11.1748	0.9135	6.9006	0.9654	0.0000	0.0000	0.0000	0.0000	10.7348	45.2764	22.3068	17.1970	9.0622	28.1661	24.0773	4.9248	0.8788	4.8709	0.9128	0.0000	0.0000	0.0000	0.0000	12.5273	9.4455
10	-3.2000	-3.0000	2.0564	0.0000	0.1808	0.8996	0.4954	0.4807	14.2822	8.7983	9.8974	16.7747	17.3764	2.5835	0.8902	5.2101	1.0037	0.0000	0.0000	0.0000	0.0000	5.6440	8.3809	21.4070	25.6808	21.6768	33.4330	30.4654	5.7883	0.8393	4.1511	0.7885	0.0000	0.0000	0.0000	0.0000	5.6163	24.8428	22.6075	10.0975	9.5809	24.7600	24.5538	1.0382	0.9159	5.8093	1.2709	0.0000	0.0000	0.0000	0.0000	7.4477	7.3660	31.7529	20.9750	11.2037	38.0552	33.6714	6.0124	0.8815	4.9227	0.7158	0.0000	0.0000	0.0000	0.0000	19.4494	9.8696	28.4193	22.2885	26.5212	36.1170	38.8720	14.0048	0.8703	4.7835	0.8813	0.0000	0.0000	0.0000	0.0000	9.3901	21.2413
