Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct	DYJets_Stat_pct	DYJets_SystUp_pct	DYJets_SystDn_pct	DYJets_TotalUp_pct	DYJets_TotalDn_pct	DYJets_Pileup_pct	DYJets_ElectronID_pct	DYJets_ElectronReco_pct	DYJets_ElectronTrig_pct	DYJets_MuonID_pct	DYJets_MuonReco_pct	DYJets_MuonTrig_pct	DYJets_MuonIso_pct	DYJets_JER_pct	DYJets_JES_pct	TT_Stat_pct	TT_SystUp_pct	TT_SystDn_pct	TT_TotalUp_pct	TT_TotalDn_pct	TT_Pileup_pct	TT_ElectronID_pct	TT_ElectronReco_pct	TT_ElectronTrig_pct	TT_MuonID_pct	TT_MuonReco_pct	TT_MuonTrig_pct	TT_MuonIso_pct	TT_JER_pct	TT_JES_pct	Nonprompt_Stat_pct	Nonprompt_SystUp_pct	Nonprompt_SystDn_pct	Nonprompt_TotalUp_pct	Nonprompt_TotalDn_pct	Nonprompt_Pileup_pct	Nonprompt_ElectronID_pct	Nonprompt_ElectronReco_pct	Nonprompt_ElectronTrig_pct	Nonprompt_MuonID_pct	Nonprompt_MuonReco_pct	Nonprompt_MuonTrig_pct	Nonprompt_MuonIso_pct	Nonprompt_JER_pct	Nonprompt_JES_pct	Others_Stat_pct	Others_SystUp_pct	Others_SystDn_pct	Others_TotalUp_pct	Others_TotalDn_pct	Others_Pileup_pct	Others_ElectronID_pct	Others_ElectronReco_pct	Others_ElectronTrig_pct	Others_MuonID_pct	Others_MuonReco_pct	Others_MuonTrig_pct	Others_MuonIso_pct	Others_JER_pct	Others_JES_pct
1	-5.0000	-4.8000	0.0713	0.0000	0.0039	0.0633	0.0000	0.0041	51.6436	65.8080	50.7108	83.6525	72.3785	11.2048	0.9040	3.6514	1.0237	0.0000	0.0000	0.0000	0.0000	40.2292	64.7298	38.0499	23.8699	62.3122	44.9173	73.0110	23.6049	0.8818	5.6125	0.9239	0.0000	0.0000	0.0000	0.0000	13.8940	55.6978	57.8339	72.6793	98.7221	92.8819	114.4151	14.7044	0.9053	3.4090	1.0696	0.0000	0.0000	0.0000	0.0000	69.3135	71.0808	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	86.7003	717.2072	11.3677	722.4286	87.4424	9.9371	0.9053	5.5376	0.4127	0.0000	0.0000	0.0000	0.0000	382.1065	606.8768
2	-4.8000	-4.6000	0.0443	0.0000	0.0385	0.0000	0.0000	0.0058	77.4804	285.1817	18.1705	295.5196	79.5825	17.7292	0.9839	3.8529	0.7549	0.0000	0.0000	0.0000	0.0000	47.9959	280.7373	87.8857	18.3613	94.7587	89.7833	129.2405	21.0647	0.9958	3.8893	0.8688	0.0000	0.0000	0.0000	0.0000	2.8342	92.2559	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	138.4519	141.9523	170.7892	173.6389	11.7065	0.9053	3.6116	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	138.3327
3	-4.6000	-4.4000	0.3189	0.0000	0.0034	0.2854	0.0000	0.0300	32.5061	21.9617	61.5371	39.2296	69.5950	13.8933	0.8798	4.7309	0.9261	0.0000	0.0000	0.0000	0.0000	16.1566	58.8263	32.5068	991.2282	8.9555	991.7611	33.7179	8.0846	0.8965	7.6089	1.1451	0.0000	0.0000	0.0000	0.0000	36.9477	990.4761	34.9062	18.5875	66.0977	39.5467	74.7486	2.3929	0.8884	4.9988	0.9465	0.0000	0.0000	0.0000	0.0000	20.3334	62.6830	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	95.1860	126.8200	118.0963	158.5676	151.6809	125.3196	0.7960	1.8577	0.7071	0.0000	0.0000	0.0000	0.0000	19.3320	100.0000
4	-4.4000	-4.2000	0.2881	0.0000	0.0106	0.2604	0.0108	0.0064	36.0989	26.1478	52.2510	44.5740	63.5083	3.0142	0.8605	5.2788	0.8461	0.0000	0.0000	0.0000	0.0000	25.5810	49.9218	28.0065	9.2924	53.5900	29.5078	60.4669	6.4148	0.8738	6.6309	0.6830	0.0000	0.0000	0.0000	0.0000	32.7831	41.7157	39.6633	29.1568	55.7629	49.2270	68.4302	3.0911	0.8592	5.1646	0.8196	0.0000	0.0000	0.0000	0.0000	28.6712	53.5460	100.0000	37.6715	103.7544	106.8604	144.1006	36.6578	0.9053	8.4574	1.7329	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	82.6318	40.0053	98.5916	91.8066	128.6403	39.9215	0.8165	2.3530	0.7029	0.0000	0.0000	0.0000	0.0000	0.0000	95.9164
5	-4.2000	-4.0000	0.2318	0.0000	0.0083	0.2235	0.0000	0.0000	38.1024	33.8237	45.6099	50.9494	59.4311	5.7797	0.9039	4.9330	0.9925	0.0000	0.0000	0.0000	0.0000	44.9600	33.3255	27.1548	51.2185	12.4532	57.9718	29.8742	4.3778	0.8666	5.5710	0.7864	0.0000	0.0000	0.0000	0.0000	10.6062	49.5911	39.5035	20.2716	47.5997	44.4011	61.8567	5.8627	0.9053	4.9093	1.0001	0.0000	0.0000	0.0000	0.0000	46.9691	19.4430	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-4.0000	-3.8000	0.4443	0.0000	0.0176	0.4045	0.0167	0.0056	26.7358	28.5031	14.1866	39.0798	30.2665	1.1441	0.9159	5.4788	0.9481	0.0000	0.0000	0.0000	0.0000	12.9805	26.1857	20.7353	9.1323	6.8516	22.6572	21.8379	6.9470	0.8952	5.7045	0.7229	0.0000	0.0000	0.0000	0.0000	2.2453	1.1285	29.1173	16.7563	15.5348	33.5945	33.0023	3.6081	0.9174	5.4413	0.9962	0.0000	0.0000	0.0000	0.0000	14.2100	11.0082	86.2287	464.5933	60.7337	472.5276	105.4702	96.8677	0.9053	6.5218	0.1007	0.0000	0.0000	0.0000	0.0000	0.0000	454.3349	86.3468	14.6534	91.5734	87.5814	125.8629	13.9367	0.9053	4.3786	0.7071	0.0000	0.0000	0.0000	0.0000	0.0000	90.9094
7	-3.8000	-3.6000	0.9976	0.0000	0.0280	0.8413	0.0757	0.0526	19.7273	9.3687	18.4601	21.8390	27.0174	4.2328	0.8943	6.2283	0.8782	0.0000	0.0000	0.0000	0.0000	4.9563	16.8701	15.8612	22.6826	7.9472	27.6781	17.7408	2.5910	0.8900	5.6581	0.6840	0.0000	0.0000	0.0000	0.0000	3.2060	21.5461	21.2438	15.5207	13.1073	26.3096	24.9620	4.1787	0.8872	5.8895	0.8069	0.0000	0.0000	0.0000	0.0000	5.7531	12.5502	100.0000	10.6822	101.1138	100.5689	142.2111	11.7065	1.0147	9.4953	1.9408	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	61.3291	9.3188	14.4797	62.0330	63.0152	12.2364	0.8379	7.2509	0.5926	0.0000	0.0000	0.0000	0.0000	0.9666	3.2380
8	-3.6000	-3.4000	1.2474	0.0000	0.0595	1.0436	0.0360	0.1082	18.0725	6.8913	12.5740	19.3418	22.0164	3.4351	0.8953	5.8681	0.6321	0.0000	0.0000	0.0000	0.0000	5.9411	9.1692	11.0896	49.6300	6.9981	50.8539	13.1131	3.3313	0.8825	6.1419	0.8904	0.0000	0.0000	0.0000	0.0000	1.9883	49.1566	20.8440	7.3890	19.1439	22.1149	28.3012	4.7510	0.8907	5.5471	0.6578	0.0000	0.0000	0.0000	0.0000	7.1039	16.6413	100.0000	212.1251	20.2244	234.5145	102.0246	26.7760	1.0147	10.6014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	210.1587	42.9565	9.7611	10.3035	44.0516	44.1750	7.2328	0.9072	7.2382	0.4523	0.0000	0.0000	0.0000	0.0000	0.4695	6.2947
9	-3.4000	-3.2000	2.4235	0.0000	0.1953	2.0430	0.0000	0.1852	12.7159	17.4089	7.4391	21.5584	14.7321	2.8655	0.8968	5.2347	0.7724	0.0000	0.0000	0.0000	0.0000	3.4257	16.1647	22.9103	24.6360	18.8605	33.6425	29.6749	2.9848	0.8815	4.9191	0.7350	0.0000	0.0000	0.0000	0.0000	1.4219	24.0039	14.3904	17.8520	7.2966	22.9298	16.1346	3.5328	0.8994	5.0902	0.7576	0.0000	0.0000	0.0000	0.0000	3.9456	16.4446	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	43.6536	16.8640	15.0996	46.7978	46.1913	13.3229	0.8843	7.1616	0.9752	0.0000	0.0000	0.0000	0.0000	13.6708	4.8113
10	-3.2000	-3.0000	3.9750	0.0000	0.3815	3.3108	0.0728	0.2099	9.9302	10.9513	11.9270	14.7831	15.5198	2.2062	0.8749	6.1729	0.6403	0.0000	0.0000	0.0000	0.0000	0.4948	10.2277	17.6793	7.3870	18.0193	19.1605	25.2438	5.4163	0.8825	6.0689	0.6647	0.0000	0.0000	0.0000	0.0000	2.8339	16.0933	11.4551	15.5019	11.3549	19.2750	16.1293	2.2725	0.8741	6.2778	0.6383	0.0000	0.0000	0.0000	0.0000	1.0474	13.9092	72.1452	51.7455	29.1927	88.7836	77.8277	37.2495	0.9489	6.6932	0.3622	0.0000	0.0000	0.0000	0.0000	0.0000	35.2738	32.5412	5.4723	42.8733	32.9982	53.8243	2.8628	0.8492	4.5281	0.7235	0.0000	0.0000	0.0000	0.0000	12.2999	40.7893
