region,flavor,cut_index,cut,signal,background,asimov_z,z_over_first,z_reduction_percent
Boost,MM,1,All,2756.2907,3.1357246e+08,0.15565226,1,0
Boost,MM,2,Noise filter,2745.4624,3.1357246e+08,0.15504077,0.99607143,0.39285657
Boost,MM,3,Not resolved,2583.7075,2.9820904e+08,0.14961747,0.96122907,3.4979787
Boost,MM,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",2448.9249,87065621,0.26245211,1.686144,-75.415416
Boost,MM,5,Trigger,2394.941,86727962,0.25716582,1.6521817,2.0141949
Boost,MM,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",2394.7441,83676742,0.26179097,1.6818964,-1.7985082
Boost,MM,7,No extra tight lep,1404.6451,1115599,1.3296014,8.5421271,-407.88665
Boost,MM,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",1402.8338,1070859,1.3553308,8.7074277,-1.9351228
Boost,MM,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",1284.9827,102208,4.0109627,25.768741,-195.93976
Boost,MM,10,$M_{ll}>200$ GeV,1282.0295,100736,4.0307734,25.896016,-0.4939138
Boost,MM,11,$W_R>800$ GeV,1281.9114,84513,4.3984924,28.258456,-9.1227926
Boost,EE,1,All,2756.2907,3.1357246e+08,0.15565226,1,0
Boost,EE,2,Noise filter,2736.0122,3.1357246e+08,0.1545071,0.99264287,0.73571322
Boost,EE,3,Not resolved,2591.4251,2.9820904e+08,0.15006439,0.96410028,2.8754131
Boost,EE,4,"Tight lep $\geq 1$, $p_T$/$\eta$/id",2129.3527,87065621,0.22820359,1.4661117,-52.070453
Boost,EE,5,Trigger,2124.7851,86727962,0.22815693,1.4658119,0.020446359
Boost,EE,6,"$\Delta\phi(\ell,\mathrm{Fatjet})<2.0$",2124.352,83676742,0.2322321,1.4919932,-1.7861262
Boost,EE,7,No extra tight lep,1230.7625,1115599,1.1650388,7.484882,-401.67
Boost,EE,8,"$\ell_{\mathrm{loose,SF}}$ in Jet",1230.0144,1070859,1.1883953,7.634938,-2.0047879
Boost,EE,9,"No $\ell_{\mathrm{loose,OF}}$ in Jet",533.69662,102208,1.667918,10.715669,-40.350437
Boost,EE,10,$M_{ll}>200$ GeV,529.32593,100736,1.6662921,10.705223,0.097481375
Boost,EE,11,$W_R>800$ GeV,529.32593,84513,1.8189008,11.685669,-9.158576
Resolve,MM,1,All,2756.2907,3.1357246e+08,0.15565226,1,0
Resolve,MM,2,Noise filter,2745.4624,3.1357246e+08,0.15504077,0.99607143,0.39285657
Resolve,MM,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",413.95548,10678094,0.12667881,0.81385782,18.293228
Resolve,MM,4,Trigger,410.72668,10454697,0.12702651,0.81609164,-0.27447294
Resolve,MM,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",88.12255,4365292,0.042177316,0.27097144,66.796444
Resolve,MM,6,All object resolved,88.043799,4216375,0.042877321,0.27546868,-1.6596714
Resolve,MM,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",81.546828,86381,0.27741481,1.782273,-546.99661
Resolve,EE,1,All,2756.2907,3.1357246e+08,0.15565226,1,0
Resolve,EE,2,Noise filter,2736.0122,3.1357246e+08,0.1545071,0.99264287,0.73571322
Resolve,EE,3,"$N_{\ell_{\rm tight}}=2$, $p_T$/$\eta$/id",154.03727,10678094,0.047138733,0.30284645,69.490896
Resolve,EE,4,Trigger,153.56477,10454697,0.047493567,0.30512611,-0.7527448
Resolve,EE,5,"$N_{\rm jet}\geq 2$, $p_T$/$\eta$/id",45.478796,4365292,0.021767149,0.13984474,54.168216
Resolve,EE,6,All object resolved,45.478796,4216375,0.022148206,0.14229287,-1.7506069
Resolve,EE,7,"$W_R>800$ GeV, $M_{ll}>200$ GeV",40.793102,86381,0.13878529,0.89163686,-526.6209
